GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US02013,3420,297,3120,297,604,658,303.0,26.0,168.0
0500000US02016,5232,259,4579,259,553,583,395.0,42.0,691.0
0500000US02020,291247,14576,222915,11298,26173,17777,61014.0,7985.0,54174.0
0500000US02050,18666,85,12130,78,199,144,1090.0,251.0,2693.0
0500000US02060,844,6,658,3,15,25,274.0,31.0,140.0
0500000US02063,7102,49,5456,44,109,259,1658.2166962699823,247.02131438721136,1012.1776198934281
0500000US02066,2617,8,2031,7,24,49,882.7166666666666,67.94999999999999,257.41666666666663
0500000US02068,1619,11,1291,10,22,28,574.5953757225434,58.30635838150289,388.5606936416185
0500000US02070,4857,25,3319,24,83,87,647.0,109.0,974.0
0500000US02090,95655,4014,72748,3157,7238,5007,22020.0,2661.0,13527.0
0500000US02100,2080,2,1702,1,8,56,656.0,55.0,722.0
0500000US02105,2365,6,1845,6,36,67,449.3071253071253,82.4029484029484,753.5135135135135
0500000US02110,32255,350,25367,286,790,1392,5691.692874692874,989.5970515970516,8758.486486486487
0500000US02122,58799,386,45987,331,897,1501,18291.78330373002,1478.9786856127887,7553.822380106572
0500000US02130,13948,103,10855,82,238,427,3435.4773358001853,489.16836262719704,1961.0249768732656
0500000US02150,13101,90,9874,77,207,683,3045.0,397.0,1985.0
0500000US02158,8368,16,4947,15,43,11,391.0,81.0,1188.0
0500000US02164,1476,2,1025,2,7,20,171.0,51.0,192.0
0500000US02170,107081,1121,78081,889,2324,3062,31725.0,2379.0,8565.0
0500000US02180,10046,55,6751,42,99,123,929.0,187.0,1672.0
0500000US02185,11031,162,8179,154,346,477,802.0,91.0,1083.0
0500000US02188,7793,72,4986,66,154,69,551.0,113.0,1148.0
0500000US02195,3398,49,2685,37,90,102,914.7781818181818,90.11636363636363,565.9454545454546
0500000US02198,5748,21,4378,21,72,93,1312.7444823816331,133.71527373643931,1081.02956858128
0500000US02220,8458,37,6714,35,119,347,1815.0,207.0,2129.0
0500000US02230,1240,10,993,8,19,33,228.0,59.0,442.0
0500000US02240,6808,74,5223,61,142,257,2422.7360343642613,151.06084536082474,655.5593745704467
0500000US02275,2127,0,1707,0,11,49,750.0,51.0,269.0
0500000US02282,662,4,534,2,5,18,136.0,24.0,162.0
0500000US02290,5343,7,3918,4,20,37,810.9519232465288,136.68279625767235,1542.463265121268
