GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R20,L20,D20
0500000US01001,58805,11445,44523,8363,17065,1339,19838.0,349.99999999999994,7503.0
0500000US01003,231767,18217,182471,13593,28235,8197,83544.0,1228.9999999999998,24578.0
0500000US01005,25223,11933,20134,9278,18728,934,5622.0,67.99999999999996,4816.0
0500000US01007,22293,4413,17533,3564,7224,463,7525.0,73.99999999999997,1986.0
0500000US01009,59134,845,45403,647,1427,3534,24711.0,208.99999999999991,2640.0
0500000US01011,10357,7396,8356,5892,11844,273,1146.0,18.99999999999999,3446.0
0500000US01013,19051,8430,14903,6326,12824,178,5458.0,58.99999999999997,3965.0
0500000US01015,116441,25559,92289,19865,40519,3229,35101.0,552.9999999999999,15216.0
0500000US01017,34772,13512,27791,10540,21305,823,8753.0,140.99999999999994,6365.0
0500000US01019,24971,987,20169,825,1734,246,10583.0,81.99999999999996,1624.0
0500000US01021,45014,4067,34385,3069,6287,2735,16085.0,122.99999999999994,3073.0
0500000US01023,12665,5232,10168,4211,8496,75,4296.0,37.99999999999998,3127.0
0500000US01025,23087,10255,18249,7894,15917,124,7324.0,48.99999999999997,5755.0
0500000US01027,14236,1963,11299,1530,3132,287,5601.0,52.99999999999997,1267.0
0500000US01029,15056,466,11620,372,768,187,6484.0,59.99999999999997,675.0
0500000US01031,53465,8760,40774,6644,13745,2996,16899.0,263.99999999999994,5076.0
0500000US01033,57227,9286,45078,7169,14645,1061,19203.0,271.99999999999994,8343.0
0500000US01035,11597,5104,9277,3961,8002,155,3442.0,31.999999999999982,2966.0
0500000US01037,10387,3008,8603,2466,5016,112,3631.0,45.99999999999998,1796.0
0500000US01039,37570,4607,29387,3482,7113,414,14586.0,96.99999999999993,2721.0
0500000US01041,13194,3103,10360,2401,4918,119,4864.0,43.99999999999997,1700.0
0500000US01043,87866,937,68240,727,1610,2533,36880.0,417.9999999999999,4478.0
0500000US01045,49326,10241,38048,7505,15412,2101,14303.0,232.99999999999994,5170.0
0500000US01047,38462,26899,29613,20104,40598,217,5524.0,89.99999999999994,12230.0
0500000US01049,71608,1046,53920,831,1860,6600,24767.0,249.9999999999999,4281.0
0500000US01051,87977,18211,69005,14031,28470,1786,30164.0,397.99999999999994,10367.0
0500000US01053,36757,10991,28575,8495,17217,444,10869.0,93.99999999999996,4918.0
0500000US01055,103436,15146,81121,11488,23665,2916,35528.0,530.9999999999999,11567.0
0500000US01057,16321,1736,12791,1336,2764,245,7300.0,55.99999999999997,1395.0
0500000US01059,32113,1166,23931,911,1904,3729,10376.0,105.99999999999996,2086.0
0500000US01061,26659,2241,20820,1775,3710,793,10848.0,89.99999999999994,1595.0
0500000US01063,7730,6246,6070,4806,9690,50,875.0,7.999999999999991,3884.0
0500000US01065,14785,8337,11483,6370,12862,93,3192.0,36.99999999999998,4663.0
0500000US01067,17146,4248,13641,3429,6950,215,6607.0,68.99999999999997,2606.0
0500000US01069,107202,28408,82646,20476,41771,2855,32618.0,532.9999999999999,12917.0
0500000US01071,52579,1636,41768,1309,2799,1040,19670.0,207.99999999999991,3717.0
0500000US01073,674721,281326,527087,213751,432156,22613,138843.0,3577.9999999999995,181688.0
0500000US01075,13972,1425,11019,1145,2367,133,6174.0,32.99999999999998,978.0
0500000US01077,93564,9243,74908,7061,14628,1990,31721.0,536.9999999999999,11915.0
0500000US01079,33073,3304,25878,2726,5561,580,12322.0,125.99999999999994,3562.0
0500000US01081,174241,39570,136444,30298,61745,6130,42221.0,1018.9999999999999,27860.0
0500000US01083,103570,13307,79718,10495,21639,4294,34640.0,747.9999999999999,13672.0
0500000US01085,10311,7192,8283,5603,11327,98,1836.0,25.999999999999986,4972.0
0500000US01087,19532,15441,16226,12849,25940,271,1541.0,51.99999999999997,7108.0
0500000US01089,388153,92066,304143,70675,145203,16137,102780.0,3699.0,87286.0
0500000US01091,19323,10188,15053,7735,15587,262,5343.0,58.99999999999997,5488.0
0500000US01093,29341,1106,23264,880,1869,519,12205.0,114.99999999999993,1463.0
0500000US01095,97612,2428,73530,1725,3740,8841,33191.0,434.9999999999999,5943.0
0500000US01097,414809,146254,319427,107190,217495,9156,101243.0,1937.9999999999998,79474.0
0500000US01099,19772,8299,15562,6341,12781,128,6147.0,52.99999999999997,4455.0
0500000US01101,228954,130467,177427,97867,197750,6663,33311.0,922.9999999999999,64529.0
0500000US01103,123421,15453,95485,11562,23760,7447,39664.0,704.9999999999999,13234.0
0500000US01105,8511,5936,6740,4524,9115,63,1339.0,23.999999999999986,3860.0
0500000US01107,19123,7489,15447,5820,11751,911,5594.0,39.99999999999997,4022.0
0500000US01109,33009,12138,26809,9524,19346,622,8042.0,133.99999999999997,5636.0
0500000US01111,21967,3815,17264,2931,5945,336,8559.0,60.999999999999964,2203.0
0500000US01113,59183,26243,44681,19225,39065,1945,9864.0,197.99999999999994,11228.0
0500000US01115,91103,8652,70092,6631,13664,1589,36166.0,445.99999999999994,7744.0
0500000US01117,223024,28939,170487,21411,43878,10463,79700.0,1462.0,33268.0
0500000US01119,12345,8997,9914,7052,14190,107,1598.0,36.999999999999986,4648.0
0500000US01121,82149,26439,65024,20345,41176,1171,22235.0,246.9999999999999,13138.0
0500000US01123,41311,10409,33012,7841,15879,707,14963.0,129.99999999999994,5859.0
0500000US01125,227036,69088,179024,51418,104278,8589,51117.0,926.9999999999999,37765.0
0500000US01127,65342,3929,51667,3026,6258,1354,26002.0,276.9999999999999,4834.0
0500000US01129,15388,3318,12081,2641,5359,95,6564.0,44.99999999999997,2258.0
0500000US01131,10600,7483,8260,5639,11352,80,1833.0,16.99999999999999,4048.0
0500000US01133,23540,141,18766,107,253,464,10195.0,101.99999999999996,974.0
