GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US05001,17149,4156,13293,3073,6235,388,3826.0,125.99999999999996,1939.0
0500000US05003,19062,4669,14736,3526,7130,696,5338.0,155.99999999999997,2408.0
0500000US05005,41627,90,34358,69,199,694,14682.0,451.99999999999994,4169.0
0500000US05007,284333,4732,208604,3318,7689,32032,60871.0,3871.0,28005.0
0500000US05009,37373,108,29083,69,211,598,12235.0,378.99999999999994,2926.0
0500000US05011,10545,2937,7857,2171,4389,939,2164.0,72.99999999999999,1317.0
0500000US05013,4739,913,3781,753,1532,72,1556.0,43.999999999999986,639.0
0500000US05015,28260,95,22082,69,222,2711,6786.0,237.99999999999997,3342.0
0500000US05017,10208,5417,8005,4063,8199,378,1716.0,34.999999999999986,2350.0
0500000US05019,21446,5127,17401,4057,8286,701,4404.0,195.99999999999997,3620.0
0500000US05021,14552,42,11384,40,122,190,3781.0,99.99999999999996,1199.0
0500000US05023,24711,69,20099,47,138,378,9458.0,228.99999999999997,2101.0
0500000US05025,7550,686,5942,509,1048,115,2462.0,58.999999999999986,723.0
0500000US05027,22801,7866,17954,6005,12136,533,5456.0,116.99999999999996,3140.0
0500000US05029,20715,2209,15984,1685,3485,567,4849.0,170.99999999999997,2656.0
0500000US05031,111231,18473,83620,11965,24636,4213,22891.473354231974,1030.974921630094,10537.884012539185
0500000US05033,60133,897,45387,599,1469,2789,16686.0,581.0,4488.0
0500000US05035,48163,25905,35537,18116,36599,876,6964.0,241.99999999999997,8410.0
0500000US05037,16833,3658,12687,2626,5346,189,4584.0,104.99999999999997,1999.0
0500000US05039,6482,2592,5097,1971,3993,119,1509.0,25.99999999999998,1165.0
0500000US05041,11395,5398,8605,3901,7880,508,1919.0,43.99999999999998,2228.0
0500000US05043,17350,4846,13382,3650,7418,421,3968.0,110.99999999999997,2365.0
0500000US05045,123498,14384,94673,10377,22118,4392,29346.0,1675.0,14629.0
0500000US05047,17097,79,12986,49,141,302,5039.0,176.99999999999997,1376.0
0500000US05049,12075,27,9409,12,42,86,3471.0,106.99999999999997,1067.0
0500000US05051,100180,8128,79730,5918,12572,4390,26087.0,988.9999999999999,12311.0
0500000US05053,17958,458,13816,362,755,256,5725.0,176.99999999999997,1373.0
0500000US05055,45736,933,34486,526,1183,930,10720.0,403.99999999999994,3071.0
0500000US05057,20065,5683,15024,4141,8432,1778,4401.0,105.99999999999996,2377.0
0500000US05059,33040,3472,26041,2795,5802,768,8172.0,238.99999999999997,3149.0
0500000US05061,12785,2642,9548,1921,3928,891,3157.0,59.99999999999997,1351.0
0500000US05063,37938,849,28767,618,1377,1880,9936.0,351.99999999999994,2881.0
0500000US05065,13577,256,11172,248,551,222,4042.0,124.99999999999997,1113.0
0500000US05067,16755,2786,13442,2195,4483,288,3267.0,110.99999999999997,1583.0
0500000US05069,67260,37835,53273,28890,58262,1036,9248.0,295.99999999999994,15769.0
0500000US05071,25749,482,19377,385,864,2131,6091.0,294.0,2427.0
0500000US05073,6308,2057,5078,1614,3254,109,1758.0,25.99999999999999,1032.0
0500000US05075,16216,143,12597,125,307,212,4064.0,164.99999999999997,1263.0
0500000US05077,8600,4663,7029,3705,7526,166,1229.0,21.99999999999998,1735.0
0500000US05079,12941,3652,10858,3285,6660,420,2455.0,47.999999999999986,1252.0
0500000US05081,12026,2178,9354,1690,3435,237,3605.0,84.99999999999997,1397.0
0500000US05083,21131,232,16279,175,401,380,5746.0,194.99999999999997,1715.0
0500000US05085,74015,4386,54933,3178,6699,2151,19958.0,767.0,5664.0
0500000US05087,16521,41,12750,26,94,591,4928.0,143.99999999999997,1588.0
0500000US05089,16826,20,13820,12,54,241,5336.0,156.99999999999997,1434.0
0500000US05091,42600,10988,32724,7969,16213,1001,11294.0,236.99999999999994,4273.0
0500000US05093,40685,14323,30188,10036,20388,1062,7061.0,180.99999999999994,5670.0
0500000US05095,6799,2760,5364,2064,4173,126,1489.0,36.99999999999998,1312.0
0500000US05097,8484,18,6803,13,37,249,2643.0,51.99999999999998,748.0
0500000US05099,8310,2444,6433,1872,3810,215,2000.0,34.99999999999998,1157.0
0500000US05101,7225,7,5928,7,22,52,2875.0,48.999999999999986,699.0
0500000US05103,22650,8899,17751,6722,13656,317,5351.0,96.99999999999997,4321.0
0500000US05105,10019,107,7820,93,207,160,3008.0,112.99999999999999,1049.0
0500000US05107,16568,10343,12328,7360,14852,189,2446.0,61.999999999999964,4310.0
0500000US05109,10171,241,7897,196,419,536,3150.0,72.99999999999999,685.0
0500000US05111,22965,1783,17530,1272,2668,475,5502.526645768025,154.0250783699059,1880.115987460815
0500000US05113,19221,43,14907,28,108,790,6618.0,163.99999999999997,1212.0
0500000US05115,63381,2100,48973,1654,3605,4065,16256.0,618.0,5000.0
0500000US05117,8282,925,6495,715,1458,82,2505.0,55.99999999999998,814.0
0500000US05119,399125,143548,309578,105807,215621,21628,61257.0,4328.0,89574.0
0500000US05121,18571,140,14127,112,271,234,4509.0,202.99999999999997,1425.0
0500000US05123,23090,12561,18406,9533,19218,549,3195.0,63.999999999999964,4031.0
0500000US05125,123416,10414,93852,7018,14573,5124,35863.0,1466.0,13256.0
0500000US05127,9836,35,7507,11,47,426,2731.0,82.99999999999999,602.0
0500000US05129,7828,5,6274,0,13,89,2955.0,67.99999999999999,601.0
0500000US05131,127799,8061,97381,5837,12728,12049,29124.0,1630.0,12300.0
0500000US05133,15839,578,11405,474,1017,3319,3282.0,82.99999999999997,1075.0
0500000US05135,17271,118,13733,69,181,222,5407.0,154.99999999999997,1472.0
0500000US05137,12359,21,9880,10,36,177,4113.0,119.99999999999999,1203.0
0500000US05139,39054,12729,30008,9406,19048,1087,10456.0,274.99999999999994,5855.0
0500000US05141,15796,77,12778,62,150,311,5382.0,181.99999999999997,1549.0
0500000US05143,245871,8652,187669,6335,14075,28669,41476.0,3360.0,33366.0
0500000US05145,76822,3728,58935,2822,6001,2090,21077.0,694.9999999999999,5170.0
0500000US05147,6269,1613,4953,1305,2645,64,1347.0,44.999999999999986,1118.0
0500000US05149,20263,251,15326,184,417,2681,4608.0,156.99999999999997,1480.0
