GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US04001,66021,185,49105,164,452,2572,8240.0,1220.9999999999998,17083.0
0500000US04003,125447,4783,99330,3790,8540,29667,28092.0,2394.0,17450.0
0500000US04005,145101,1961,115992,1747,4417,15873,21108.0,2978.0,32404.0
0500000US04007,53272,282,43006,205,533,6535,14182.0,803.0,7003.0
0500000US04009,38533,537,27715,444,992,7880,8025.0,497.0,3301.0
0500000US04011,9563,87,6843,58,152,2939,1892.0,200.0,1092.0
0500000US04012,16557,114,13505,99,261,2818,4003.0,210.99999999999997,1575.0
0500000US04013,4420568,260469,3382386,188296,413471,902740,747361.0,67043.0,702907.0
0500000US04015,213267,2221,177461,1794,4418,24252,58282.0,2639.0,17455.0
0500000US04017,106717,760,79208,626,1570,7334,20577.0,1409.9999999999998,16459.0
0500000US04019,1043433,39954,834265,29806,67226,265048,167428.0,15620.0,224661.0
0500000US04021,425264,21968,325640,15957,34769,80802,72819.0,5010.0,47892.0
0500000US04023,47669,187,35215,127,333,27978,3897.0,432.0,11690.0
0500000US04025,236209,1543,199136,1253,3352,23500,71330.0,3996.0,35590.0
0500000US04027,203881,4099,153169,3267,7345,89679,25165.0,1873.0,24605.0
