GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US06001,95754.07225433526,514002.41233140655,16879.868015414257,1677736,1487348,522723,164701,19644,542685,14104,223491,190388,171313,13568,10748,39776,2290,80931,2677,4116,639,4173,705,150,3683,3679,3265,913,16679,2460,1648,152,1547,1066,137,4495,1697,2115,206,176,34,231,205,193,29,64,77,20,127,2106,403,49,817,109,159,22,123,256,21,105,25,8,0,6,3,262,95,129,14,12,12,0,28,28,1677736,393118,1284618,1196285,471296,159324,4126,537956,13190,10393,88333,80605,11926,7019,36950,1919,9240,2216,3791,565,1375,451,91,59,3338,1116,549,6883,1803,1390,114,417,710,92,67,1437,315,15,105,17,71,157,71,12,25,7,3,55,748,300,27,120,98,71,2,77,5,0,27,14,3,0,1,3,92,48,23,7,7,7,0,5,5,1334689,1205367,447611,134396,14907,432825,10914,164714,129322,117664,8436,8541,21788,1555,61279,2109,2211,360,2851,424,118,2807,2877,1644,664,10232,1748,665,73,859,585,87,3454,1070,926,108,100,20,172,100,96,4,40,40,9,76,1242,228,28,583,40,81,5,75,105,12,46,25,7,0,4,3,159,51,85,7,7,9,0,25,25,1334689,285703,1048986,991568,409304,131084,3314,429884,10348,7634,57418,52607,7755,5959,20624,1374,7285,1831,2099,331,1125,275,82,49,2655,703,460,4272,1369,575,62,279,415,60,58,937,179,4,66,8,63,84,42,1,24,7,0,39,471,179,22,92,40,43,2,59,5,0,8,14,3,0,1,3,63,28,21,0,7,7,0,5,5,620068,590134,29934,53692,10130,3406,397,6218,109,43562,17463,421,25678
0500000US06003,217.0,334.0,24.999999999999996,1204,1085,814,10,236,12,0,13,119,89,5,10,6,1,50,5,2,1,0,1,1,3,2,2,0,20,2,0,4,0,0,2,3,0,4,1,0,0,1,1,0,1,0,1,0,0,9,2,0,0,0,1,0,0,1,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1204,84,1120,1044,801,10,214,12,0,7,76,56,5,10,4,1,25,5,0,1,0,1,0,1,2,1,0,15,2,0,3,0,0,2,0,0,4,1,0,0,1,1,0,0,0,1,0,0,4,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1009,941,736,9,174,11,0,11,68,54,5,1,2,1,40,0,2,0,0,0,1,1,0,1,0,8,1,0,1,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,62,947,915,726,9,162,11,0,7,32,26,5,1,0,1,18,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540,530,1010,52,1,1,0,0,0,51,0,0,51
0500000US06005,10485.0,6004.0,804.0,40191,36332,31025,1156,752,577,82,2740,3859,3573,161,1122,307,59,1789,20,5,0,6,18,2,15,59,6,4,260,27,7,4,12,34,11,87,26,19,5,2,1,1,8,1,7,0,0,0,8,17,0,2,4,1,4,1,0,0,0,0,5,0,0,0,0,9,5,3,1,0,0,0,0,0,40191,5903,34288,32227,29648,1135,573,549,73,249,2061,1943,137,976,263,52,415,13,5,0,2,9,2,9,59,1,0,106,23,4,0,6,31,7,2,22,0,0,0,0,0,8,1,0,0,0,0,2,9,0,2,0,1,0,1,0,0,0,0,5,0,0,0,0,3,0,2,1,0,0,0,0,0,33772,31018,26388,1113,576,493,60,2388,2754,2606,98,830,185,42,1344,9,0,0,2,16,0,15,59,6,0,133,13,1,0,6,15,7,56,12,10,0,2,0,1,5,1,0,0,0,0,4,10,0,2,4,0,0,1,0,0,0,0,3,0,0,0,0,5,1,3,1,0,0,0,0,0,33772,4446,29326,27791,25497,1104,448,473,53,216,1535,1467,86,754,160,40,341,9,0,0,1,7,0,9,59,1,0,59,13,1,0,6,12,7,0,12,0,0,0,0,0,5,1,0,0,0,0,2,6,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,2,1,0,0,0,0,0,18784,15658,3126,4074,3861,3808,2,51,0,213,0,0,213
0500000US06007,45128.0,41537.0,4624.0,209492,185033,148007,3594,4457,10415,566,17994,24459,22641,1754,6619,2375,384,10323,176,93,24,157,69,22,372,172,83,18,1636,339,97,16,123,160,60,478,181,85,21,16,1,21,4,7,0,5,15,1,6,154,29,7,41,1,5,7,29,23,2,7,0,2,0,0,1,28,12,11,2,3,0,0,0,0,209492,39779,169713,156383,138182,3275,3028,10218,502,1178,13330,12448,1527,5749,2155,344,2118,126,80,22,55,50,21,21,154,25,1,814,257,87,16,37,121,44,30,169,15,2,6,0,16,4,2,0,5,0,0,3,54,22,2,10,1,0,0,16,3,0,0,0,0,0,0,0,14,5,6,0,3,0,0,0,0,166680,150111,121889,2732,3297,7870,457,13866,16569,15550,843,4799,1433,255,7401,104,56,13,112,41,19,269,132,65,8,913,179,50,1,58,56,25,323,107,48,18,5,0,16,4,4,0,5,8,0,6,85,7,6,19,1,5,7,20,13,2,3,0,2,0,0,0,21,12,8,1,0,0,0,0,0,166680,28209,138471,129338,115444,2569,2297,7736,410,882,9133,8667,767,4328,1323,230,1630,78,50,11,39,31,18,18,120,23,1,439,142,44,1,24,49,25,24,100,4,2,0,0,12,4,0,0,5,0,0,3,19,5,1,5,1,0,0,7,0,0,0,0,0,0,0,0,8,5,3,0,0,0,0,0,0,89264,82484,6780,4884,1449,496,31,902,20,3435,2234,0,1201
0500000US06009,13511.0,7944.0,1104.0,45292,40264,36315,364,747,743,100,1995,5028,4706,195,1513,428,110,2285,13,13,0,24,6,6,43,39,28,3,285,15,8,2,28,25,24,104,39,21,0,8,0,2,0,0,0,0,5,0,4,31,6,1,4,0,7,0,4,0,6,3,0,0,0,0,0,5,3,0,0,1,1,0,1,1,45292,5865,39427,36548,34668,334,497,706,75,268,2879,2748,182,1370,385,109,618,13,5,0,2,0,6,5,39,11,3,112,15,6,0,10,25,8,8,36,1,0,0,0,0,0,0,0,0,3,0,0,15,3,1,4,0,0,0,4,0,0,3,0,0,0,0,0,4,3,0,0,1,0,0,0,0,37337,33724,30591,278,613,652,82,1508,3613,3411,105,1163,237,80,1694,11,5,0,22,1,6,36,35,13,3,184,11,6,2,20,18,15,67,24,14,0,0,0,0,0,0,0,0,5,0,2,16,5,1,0,0,0,0,4,0,3,3,0,0,0,0,0,2,0,0,0,1,1,0,0,0,37337,4153,33184,31086,29518,254,422,621,66,205,2098,2006,101,1058,221,80,474,11,5,0,2,0,6,5,35,5,3,81,11,6,0,10,18,4,8,21,0,0,0,0,0,0,0,0,0,3,0,0,10,2,1,0,0,0,0,4,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,27422,18758,8664,461,311,170,40,101,0,150,0,0,150
0500000US06011,3551.0,2661.0,260.0,21839,17580,9364,198,513,276,80,7149,4259,4084,36,301,97,11,3498,15,5,5,5,1,2,67,23,11,7,143,17,0,0,8,0,8,74,4,14,2,6,0,1,0,0,3,0,0,6,0,29,6,5,0,1,1,2,4,4,0,0,0,3,0,3,0,2,2,0,0,0,0,0,1,1,21839,13476,8363,7817,6941,182,280,252,70,92,546,502,13,249,84,8,96,10,4,5,3,1,2,0,22,5,0,27,13,0,0,3,0,1,0,3,0,0,0,0,1,0,0,0,0,0,6,0,15,4,0,0,1,0,0,4,0,0,0,0,3,0,3,0,2,2,0,0,0,0,0,0,0,15733,12898,7318,149,351,234,62,4784,2835,2725,20,209,51,6,2337,1,3,5,5,1,0,50,19,11,7,90,16,0,0,8,0,0,44,3,7,2,0,0,1,0,0,3,0,0,6,0,17,4,5,0,0,0,0,2,0,0,0,0,3,0,3,0,2,2,0,0,0,0,0,1,1,15733,8830,6903,6501,5832,138,198,211,55,67,402,363,8,187,44,6,83,0,3,5,3,1,0,0,18,5,0,25,12,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,6,0,12,4,0,0,0,0,0,2,0,0,0,0,3,0,3,0,2,2,0,0,0,0,0,0,0,8099,7227,872,193,162,68,0,94,0,31,0,0,31
0500000US06013,115803.92774566474,318753.58766859345,16107.131984585742,1157794,1005172,498528,100680,12005,215358,6190,172411,152622,138839,9802,11048,28285,1856,72711,1602,2846,410,2750,429,82,2501,2081,2042,394,12197,1609,1253,183,1102,929,140,3251,1325,1556,189,123,8,127,117,125,14,29,30,10,77,1397,300,41,415,127,139,14,102,118,27,90,11,9,0,1,3,174,71,70,20,0,13,0,15,15,1157794,313515,844279,778240,452449,97207,2534,212060,5661,8329,66039,60549,8499,7930,25834,1501,8605,1341,2544,377,942,276,35,66,1853,583,163,4891,1118,995,144,298,633,85,72,1045,145,26,90,7,32,107,47,3,21,1,0,22,530,190,21,96,70,43,13,70,4,6,6,8,2,0,1,0,56,39,11,6,0,0,0,13,13,896442,796954,411043,77650,9113,170356,4766,124026,99488,91756,5250,8364,14156,1206,53220,1192,1409,202,1693,297,51,1868,1545,1015,288,6918,1064,472,73,548,435,89,2381,724,683,100,64,7,87,57,53,4,25,20,0,32,695,141,16,252,46,53,4,54,60,12,41,5,7,0,1,3,108,43,42,15,0,8,0,11,11,896442,219435,677007,636459,379811,75851,2044,168371,4428,5954,40548,37430,4765,6417,13222,1044,6507,1050,1306,192,729,203,28,53,1422,355,137,2790,805,394,62,179,311,55,52,633,72,17,52,7,32,56,32,3,17,0,0,11,283,103,12,61,30,18,3,41,4,4,4,2,0,0,1,0,36,24,6,6,0,0,0,9,9,420273,404346,15927,10740,4049,645,181,3199,24,6691,1461,0,5230
0500000US06015,5134.0,3485.0,416.0,27743,24304,17193,855,2434,840,46,2936,3439,3212,170,1318,190,38,1326,31,27,0,10,22,12,28,32,7,1,200,33,11,1,18,25,8,52,18,11,0,1,0,2,5,3,2,7,2,0,1,14,0,5,1,3,0,0,0,3,0,0,0,2,0,0,0,7,5,2,0,0,0,0,6,6,27743,5321,22422,20215,16262,841,2136,826,28,122,2207,2086,147,1148,164,38,453,25,27,0,3,20,12,12,30,6,1,108,33,6,1,2,25,7,5,14,0,0,1,0,2,5,0,0,7,0,0,0,5,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,6,6,22052,19802,14201,812,1618,585,23,2563,2250,2138,72,906,101,17,911,25,13,0,7,7,12,28,32,6,1,95,16,5,0,7,9,5,33,9,7,0,0,0,2,0,0,2,0,0,0,0,9,0,5,1,1,0,0,0,0,0,0,0,2,0,0,0,7,5,2,0,0,0,0,1,1,22052,3988,18064,16562,13613,803,1448,571,19,108,1502,1448,64,825,92,17,347,23,13,0,1,5,12,12,30,6,1,48,16,0,0,2,9,5,5,9,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,11090,9807,1283,3070,2909,2789,17,100,3,161,0,0,161
0500000US06017,48720.0,35983.0,4962.0,185549,164141,142043,1469,1878,9037,312,9402,21408,20005,936,4270,3165,298,10747,31,54,2,76,38,25,119,168,68,8,1286,123,89,14,63,150,60,378,190,137,30,7,0,3,2,14,1,5,6,9,5,93,28,2,19,1,0,3,10,13,4,10,0,1,0,2,0,19,4,11,0,0,4,0,5,5,185549,25785,159764,148666,135734,1369,1243,8863,275,1182,11098,10480,848,3617,2904,263,2545,31,46,2,28,28,11,0,135,19,3,594,91,78,9,23,111,46,26,171,12,6,0,0,3,0,6,1,4,0,2,5,23,7,1,3,1,0,0,2,4,0,3,0,0,0,2,0,1,1,0,0,0,0,0,0,0,147306,133015,116393,1161,1445,7010,245,6761,14291,13527,479,3150,1605,174,7682,26,42,0,51,24,21,103,129,33,8,696,63,35,6,24,60,26,260,105,65,15,7,0,3,2,10,1,4,3,2,5,57,16,1,15,1,0,3,2,5,1,10,0,1,0,2,0,6,4,2,0,0,0,0,5,5,147306,17390,129916,122487,112388,1100,978,6905,217,899,7429,7103,454,2785,1509,160,1967,26,35,0,22,17,11,0,109,5,3,306,50,31,1,9,49,26,26,93,0,1,0,0,3,0,5,1,4,0,2,5,19,7,0,3,1,0,0,0,3,0,3,0,0,0,2,0,1,1,0,0,0,0,0,0,0,89543,72902,16641,1079,528,318,36,158,16,551,0,0,551
0500000US06019,123953.0,141299.0,9241.0,1003677,841018,372712,48594,21951,112774,1656,283331,162659,154926,5645,11144,8706,680,118219,900,885,122,2083,539,60,3040,882,1755,266,7067,906,382,32,773,495,88,2721,364,884,81,36,13,90,62,47,8,17,24,10,34,589,154,4,197,14,33,9,21,98,5,40,9,4,0,0,1,72,21,43,3,1,4,0,5,5,1003677,538085,465592,436186,270387,44200,6040,109135,1226,5198,29406,27364,4516,7806,7145,530,4057,678,751,90,342,316,30,36,742,290,35,1858,579,279,23,110,301,47,56,298,39,2,20,13,25,47,7,0,2,0,0,10,163,107,2,16,9,1,0,7,10,2,2,7,0,0,0,0,21,19,2,0,0,0,0,0,0,726701,618422,291163,34260,15298,82651,1209,193841,108279,104001,2674,8154,4429,414,82114,574,340,66,1005,311,40,2187,658,859,176,3880,550,132,16,315,219,56,1853,207,345,37,14,9,40,29,16,2,3,18,7,12,340,93,4,133,5,14,0,9,44,4,26,6,1,0,0,1,54,16,30,3,1,4,0,4,4,726701,360429,366272,347123,224860,32225,4509,80957,963,3609,19149,17959,2305,6217,3882,339,3074,481,301,61,242,200,20,30,591,190,26,1080,397,105,12,59,141,35,45,188,20,2,10,9,15,26,7,0,2,0,0,7,92,63,2,14,0,0,0,5,1,2,1,4,0,0,0,0,18,16,2,0,0,0,0,0,0,336946,317878,19068,18343,11403,6885,221,2879,1418,6940,1837,0,5103
