GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R20,L20,D20
0500000US06001,1682423,164879,1338439,134525,288874,286180,136274.0,6293.0,617506.0
0500000US06003,1204,10,1009,9,28,62,244.0,14.999999999999998,476.0
0500000US06005,40474,1236,34042,1193,2525,4550,13585.0,349.0,8153.0
0500000US06007,211632,3644,168339,2773,7004,28425,48800.0,1787.0,50782.0
0500000US06009,45292,364,37337,278,738,4153,16518.0,358.99999999999994,10046.0
0500000US06011,21839,198,15733,149,360,8830,4559.0,80.99999999999996,3239.0
0500000US06013,1165918,101484,902664,78292,168816,220464,152334.0,6093.0,415225.0
0500000US06015,27743,855,22052,812,1773,3988,6461.0,149.99999999999997,4677.0
0500000US06017,191185,1537,152083,1209,3192,17878,61686.0,1865.0,51543.0
0500000US06019,1008622,48707,730211,34327,74448,362206,164402.632,4029.048,192999.784
0500000US06021,28917,177,21464,151,410,8394,7057.0,126.99999999999997,3993.0
0500000US06023,136480,1879,109823,1568,4197,13084,21769.0,1131.9999999999998,44768.0
0500000US06025,179702,4362,132200,3726,7935,109692,20818.0,389.9999999999999,34642.0
0500000US06027,19016,97,15180,81,233,2971,4618.0,127.99999999999997,4634.0
0500000US06029,909235,50130,651739,35846,76939,329372,164462.0,3941.9999999999995,133333.0
0500000US06031,152486,9023,111935,7188,15312,59175,24068.368,603.9519999999999,18695.216
0500000US06033,68163,1199,54080,1004,2416,10192,13123.0,373.99999999999994,14941.0
0500000US06035,32730,2277,27226,2199,4504,6363,8970.0,140.99999999999997,2799.0
0500000US06037,10013919,794361,7959716,639490,1372210,3562714,1145262.0,35449.0,3028307.0
0500000US06039,156255,4596,113229,3765,8106,61040,29378.324483082706,621.1205357142857,23155.01057330827
0500000US06041,262321,6339,209451,5442,12519,34769,24612.0,1536.0,128288.0
0500000US06043,17131,108,14187,99,277,1473,5944.254464285715,154.87946428571428,4085.1473214285716
0500000US06045,91561,642,72717,510,1452,15878,13219.0,590.9999999999999,28703.0
0500000US06047,281202,9158,200223,6898,15337,114581,39393.66446033949,941.0081135902636,48990.34109106437
0500000US06049,8700,67,6905,48,139,853,3109.0,38.99999999999997,1150.0
0500000US06051,13195,74,10555,61,155,2383,2513.0,125.99999999999999,4013.0
0500000US06053,438975,9941,327729,8469,19519,179849,46299.0,1819.9999999999998,113953.0
0500000US06055,138049,2443,110496,1990,4687,34407,20550.0,903.0,49565.0
0500000US06057,102241,460,84331,360,1069,7181,26633.95598349381,913.0618982118294,36245.198074277854
0500000US06059,3187017,53842,2519688,43457,103296,784079,675514.0,17303.0,813036.0
0500000US06061,404729,6890,313107,5351,13024,40506,122445.04401650619,3947.9381017881706,106849.80192572215
0500000US06063,19790,103,16340,77,230,1244,6445.0,152.99999999999997,4561.0
0500000US06065,2418185,156477,1823505,118101,256928,830669,448824.0,9967.0,528167.0
0500000US06067,1585055,152795,1217309,114882,252286,257434,259402.0,9770.0,440807.0
0500000US06069,64209,634,47915,475,1218,27227,10567.0,343.0,17566.0
0500000US06071,2181654,184558,1629042,136376,292227,814248,365388.0,8778.0,455273.0
0500000US06073,3298622,155811,2608760,122720,275463,807208,599664.0,21372.0,964127.0
0500000US06075,874038,46728,760799,40305,89356,111083,56417.0,3299.0,378156.0
0500000US06077,779233,60351,573400,44560,95962,217560,121091.0,2928.9999999999995,161127.0
0500000US06079,282378,4610,231698,4069,9552,47987,67433.0,2408.0,88310.0
0500000US06081,764596,15710,610378,13450,31555,141262,75510.0,3548.0,291256.0
0500000US06083,448195,7372,350771,6153,14922,146165,65685.42632612967,2415.0314341846756,129822.92927308448
0500000US06085,1936285,44969,1529739,36508,82977,353059,214453.12582781457,9122.966887417218,617535.0132450331
0500000US06087,270700,3145,219616,2742,7185,67797,26915.87417218543,1701.0331125827813,114176.98675496689
0500000US06089,182155,1912,143512,1455,3785,12990,60777.0,1277.0,29997.0
0500000US06091,3236,7,2698,3,25,254,1142.0,26.999999999999993,730.0
0500000US06093,44076,496,35590,396,1029,3729,13285.0,317.99999999999994,9578.0
0500000US06095,453491,62157,354770,49380,106121,88585,69141.0,2472.0,131510.0
0500000US06097,488853,7615,393145,6148,15311,98134,61408.0,3395.0,198615.0
0500000US06099,552876,15913,407906,11770,26672,177715,104132.75659229209,2492.9918864097363,105837.50101419879
0500000US06101,99642,1982,74589,1498,3568,20687,24377.0,521.0,17368.0
0500000US06103,65829,420,49851,323,889,11392,19141.0,402.99999999999994,8911.0
0500000US06105,16114,71,13421,59,143,684,3188.0,116.99999999999997,2851.0
0500000US06107,473117,6668,331093,4688,10939,201152,77500.0,1497.9999999999998,66061.0
0500000US06109,55620,1009,46268,983,2198,5284,17680.0,438.99999999999994,11973.0
0500000US06111,843728,15330,656089,12298,29464,257833,162049.57367387033,5066.968565815324,251152.07072691552
0500000US06113,216403,6164,171256,4813,11294,51177,27290.0,1206.0,67595.0
0500000US06115,81575,3052,59545,2265,5350,15011,17676.0,510.0,11230.0
