GEOID,R20,D20,L20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US08001,95657.0,134202.0,3731.0,519572,428280,289718,17463,9520,23268,925,87386,91292,86938,3773,7962,4541,372,66451,426,303,54,812,99,11,1557,209,301,67,4057,598,190,13,413,221,34,1969,225,285,22,6,4,38,5,16,0,0,16,2,0,282,56,6,107,7,21,0,26,43,4,12,0,0,0,0,0,15,7,7,0,1,0,0,0,0,519572,216649,302923,283923,239295,16054,2869,22583,753,2369,19000,17892,3140,5500,4069,321,3736,321,284,36,160,54,1,26,191,52,1,1035,401,169,6,55,139,10,25,185,22,5,0,3,7,0,8,0,0,0,0,0,66,27,2,3,7,2,0,19,5,0,1,0,0,0,0,0,7,6,0,0,1,0,0,0,0,386271,325825,227309,12450,7126,17724,699,60517,60446,57967,1711,5606,2415,222,45428,298,166,26,462,73,4,1178,166,169,43,2337,335,66,2,169,93,21,1338,113,140,16,0,2,25,0,10,0,0,5,2,0,133,22,3,57,0,12,0,16,22,0,1,0,0,0,0,0,9,6,2,0,1,0,0,0,0,386271,144998,241273,228991,195320,11785,2301,17324,581,1680,12282,11656,1521,4187,2217,199,2744,245,166,21,109,43,0,22,151,31,0,587,249,66,2,43,62,10,24,97,16,2,0,1,7,0,8,0,0,0,0,0,32,7,2,0,0,2,0,15,5,0,1,0,0,0,0,0,7,6,0,0,1,0,0,0,0,186544,178525,8019,4464,3125,1485,86,1547,7,1339,0,0,1339
0500000US08003,3813.0,3759.0,89.99999999999997,16376,13470,10069,251,709,180,19,2242,2906,2770,75,335,71,13,2194,0,7,1,3,5,0,53,0,8,5,117,1,2,3,4,3,0,81,5,12,2,2,0,0,1,1,0,0,0,0,0,19,2,0,3,0,0,4,1,4,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,16376,7701,8675,8181,7490,211,215,142,19,104,494,463,57,203,45,2,145,0,2,0,1,3,0,4,0,0,1,17,0,2,1,4,3,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,14,2,0,3,0,0,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12544,10509,7987,219,506,141,16,1640,2035,1948,35,247,42,6,1558,0,6,0,0,3,0,41,0,5,5,69,0,2,1,0,3,0,58,0,5,0,0,0,0,0,0,0,0,0,0,0,18,2,0,3,0,0,4,0,4,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,12544,5441,7103,6761,6190,191,170,118,16,76,342,323,29,147,28,1,108,0,2,0,0,3,0,4,0,0,1,6,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,3,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7064,6377,687,941,264,136,0,128,0,677,614,0,63
0500000US08005,127323.0,213607.0,5423.0,655070,572238,396027,70787,6820,42472,1777,54355,82832,77061,8844,7902,8574,532,45399,1157,895,156,1575,125,22,1043,392,379,66,5249,1345,454,52,677,285,33,1406,430,356,31,61,4,66,19,23,1,3,2,0,1,481,109,25,215,17,50,1,26,16,5,11,6,0,0,0,0,40,24,16,0,0,0,0,1,1,655070,135729,519341,485891,368047,68152,2654,41855,1634,3549,33450,30923,7929,6259,8076,465,5246,926,791,144,471,70,14,36,352,140,4,2339,1020,380,35,133,199,29,34,360,37,9,59,1,14,19,8,0,1,1,0,0,170,72,17,28,13,6,1,19,0,5,6,3,0,0,0,0,17,11,6,0,0,0,0,1,1,501680,447998,319400,51427,5137,32829,1239,37966,53682,50518,4318,5933,4567,331,31612,797,523,80,955,72,22,757,300,199,52,2877,771,153,11,260,141,23,979,256,163,14,41,3,34,15,8,0,2,2,0,1,258,49,17,121,6,21,1,12,14,5,7,5,0,0,0,0,28,17,11,0,0,0,0,1,1,501680,91366,410314,389457,301270,50032,2126,32468,1150,2411,20857,19438,4040,4888,4387,304,3797,679,482,68,340,50,14,30,273,82,4,1312,634,133,11,62,100,23,30,221,20,9,41,1,5,15,6,0,0,1,0,0,94,27,10,20,6,5,1,11,0,5,6,3,0,0,0,0,12,11,1,0,0,0,0,1,1,262493,250206,12287,5398,3764,1118,103,2540,3,1634,36,334,1264
0500000US08007,5189.0,3738.0,119.99999999999999,13359,11761,10749,41,240,105,6,620,1598,1479,44,353,67,0,985,7,1,1,0,3,3,10,1,2,2,85,19,0,5,4,7,1,32,10,5,0,0,2,0,0,0,0,0,0,0,0,23,6,0,0,7,1,2,0,6,0,1,0,0,0,0,0,6,6,0,0,0,0,0,5,5,13359,2159,11200,10570,10175,41,170,101,6,77,630,567,38,299,63,0,154,3,1,0,0,3,3,0,1,2,0,36,10,0,3,2,5,1,8,7,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,0,7,0,2,0,5,0,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,10948,9866,9082,34,175,83,5,487,1082,995,28,248,30,0,665,3,1,1,0,1,3,10,1,2,2,64,15,0,4,2,4,1,23,10,5,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,2,0,5,0,1,0,0,0,0,0,4,4,0,0,0,0,0,5,5,10948,1503,9445,9007,8690,34,129,80,5,69,438,396,23,219,30,0,113,3,1,0,0,1,3,0,1,2,0,24,6,0,2,0,2,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,2,0,5,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,9495,5792,3703,89,64,15,0,49,0,25,0,0,25
0500000US08009,1867.0,317.0,25.999999999999982,3506,3274,3043,26,42,13,0,150,232,210,12,121,0,0,61,4,2,0,0,2,0,1,4,3,0,14,7,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,2,1,1,0,0,0,0,1,1,3506,346,3160,3018,2916,19,38,8,0,37,142,134,9,110,0,0,12,0,2,0,0,0,0,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2753,2596,2429,14,33,12,0,108,157,143,10,78,0,0,44,4,0,0,0,2,0,1,4,0,0,10,6,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,2753,226,2527,2424,2348,14,29,8,0,25,103,96,7,78,0,0,10,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1972,1575,397,37,37,1,0,36,0,0,0,0,0
0500000US08011,1503.0,732.0,14.999999999999986,5650,5163,3831,256,162,52,0,862,487,453,27,141,14,0,259,0,1,0,0,1,1,6,0,1,2,16,5,0,0,1,1,0,2,0,0,0,3,1,0,3,0,0,0,0,0,0,18,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5650,1760,3890,3707,3315,255,90,39,0,8,183,166,20,105,8,0,29,0,1,0,0,1,0,2,0,0,0,12,5,0,0,0,1,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4745,4429,3215,244,150,52,0,768,316,305,8,101,5,0,182,0,0,0,0,1,0,5,0,1,2,8,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4745,1393,3352,3238,2858,243,90,39,0,8,114,108,8,74,0,0,24,0,0,0,0,1,0,1,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2136,1805,331,1542,1454,1395,0,59,0,88,0,0,88
0500000US08013,42501.0,159089.0,2539.0,330758,297757,255983,3393,2509,16450,274,19148,33001,31322,1927,3845,4951,206,19462,79,80,0,175,29,13,364,53,120,18,1529,234,102,1,168,120,27,597,121,118,11,10,2,2,0,6,5,0,3,0,2,135,25,1,56,0,13,0,9,20,0,11,0,0,0,0,0,14,2,7,2,0,3,0,1,1,330758,48168,282590,267816,245203,3149,1112,16291,241,1820,14774,14123,1737,3215,4753,200,3882,56,78,0,41,21,11,11,51,65,2,607,168,84,0,47,106,13,24,117,30,0,8,2,1,0,6,1,0,0,0,0,44,18,1,13,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268640,246459,213690,2779,1952,13752,245,14041,22181,21119,1121,2904,2641,150,13612,58,73,0,123,25,4,259,48,85,16,954,132,55,1,79,68,15,452,81,51,3,6,2,2,0,6,0,0,0,0,1,97,11,0,45,0,11,0,9,13,0,8,0,0,0,0,0,11,2,7,2,0,0,0,0,0,268640,33513,235127,225299,206447,2625,938,13635,218,1436,9828,9427,1035,2499,2548,147,2925,45,71,0,31,17,2,11,46,48,2,369,105,46,0,31,57,8,21,77,11,0,4,2,1,0,6,0,0,0,0,0,32,8,0,13,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140848,132551,8297,15351,1879,349,51,1479,0,13472,12094,0,1378
0500000US08014,16295.0,29077.0,772.0,74112,66010,56334,989,435,5146,89,3017,8102,7634,472,1032,1254,53,4602,17,20,9,56,9,0,45,20,31,14,426,81,11,0,51,40,3,139,42,49,5,3,0,0,0,0,0,0,2,0,0,20,0,2,7,3,1,0,4,0,1,0,2,0,0,0,0,19,5,13,1,0,0,0,3,3,74112,9919,64193,60555,53904,927,197,5096,80,351,3638,3438,424,865,1196,53,802,11,20,9,24,4,0,5,19,6,0,185,69,11,0,18,37,3,6,33,7,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,4,0,0,0,1,0,0,0,0,7,5,2,0,0,0,0,0,0,57916,52731,45316,773,344,4041,65,2192,5185,4941,240,779,616,36,3103,12,10,8,37,9,0,45,19,18,9,235,30,5,0,37,11,3,109,20,14,5,1,0,0,0,0,0,0,0,0,0,7,0,2,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,57916,6756,51160,48907,43673,740,166,4002,62,264,2253,2164,228,675,587,36,559,11,10,8,16,4,0,5,19,6,0,89,29,5,0,16,11,3,4,18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31298,29682,1616,497,478,87,0,391,0,19,0,0,19
0500000US08015,6222.0,7160.0,188.99999999999997,19476,18106,16693,296,185,137,13,782,1370,1286,57,357,113,11,717,4,7,0,11,0,1,1,7,0,0,61,13,5,1,2,3,2,25,0,1,1,2,1,0,0,3,1,0,0,1,0,19,8,4,0,0,0,0,0,0,2,4,0,1,0,0,0,1,1,0,0,0,0,0,3,3,19476,1841,17635,16866,16195,295,132,133,11,100,769,735,51,307,107,10,250,0,0,0,3,0,1,0,6,0,0,25,13,0,0,0,3,2,5,0,0,0,0,1,0,0,0,1,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,16471,15483,14213,271,167,121,11,700,988,935,32,278,51,5,552,4,0,0,7,0,0,1,5,0,0,42,5,5,1,0,3,2,24,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,4,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,16471,1457,15014,14466,13875,271,120,119,9,72,548,529,29,246,51,5,191,0,0,0,3,0,0,0,4,0,0,15,5,0,0,0,3,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,10921,8411,2510,1311,1278,1209,0,69,0,33,0,0,33
0500000US08017,993.0,131.0,5.999999999999995,1748,1636,1534,1,13,4,0,84,112,92,13,29,2,0,42,1,1,0,3,0,0,1,0,0,0,11,2,1,0,0,0,1,2,0,3,0,0,0,0,0,0,1,1,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1748,206,1542,1482,1470,1,5,3,0,3,60,53,13,23,1,0,12,1,0,0,3,0,0,0,0,0,0,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1338,1266,1195,1,8,3,0,59,72,60,3,22,2,0,29,0,0,0,3,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1338,125,1213,1175,1168,1,0,3,0,3,38,33,3,17,1,0,9,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,925,745,180,27,27,0,0,27,0,0,0,0,0
