GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R20,L20,D20
0500000US08001,519572,17463,386271,12450,28172,144998,95657.0,3731.0,134202.0
0500000US08003,16376,251,12544,219,482,5441,3813.0,89.99999999999997,3759.0
0500000US08005,655070,70787,501680,51427,110823,91366,127323.0,5423.0,213607.0
0500000US08007,13359,41,10948,34,122,1503,5189.0,119.99999999999999,3738.0
0500000US08009,3506,26,2753,14,49,226,1867.0,25.999999999999982,317.0
0500000US08011,5650,256,4745,244,504,1393,1503.0,14.999999999999986,732.0
0500000US08013,330758,3393,268640,2779,7216,33513,42501.0,2539.0,159089.0
0500000US08014,74112,989,57916,773,1926,6756,16295.0,772.0,29077.0
0500000US08015,19476,296,16471,271,597,1457,6222.0,188.99999999999997,7160.0
0500000US08017,1748,1,1338,1,10,125,993.0,5.999999999999995,131.0
0500000US08019,9397,52,8011,34,102,495,2754.0,112.99999999999999,3604.0
0500000US08021,7461,27,5515,19,55,2848,2286.0,33.99999999999998,1959.0
0500000US08023,3499,40,2879,29,81,1562,741.0,14.999999999999977,1311.0
0500000US08025,5922,517,5284,507,1024,1378,1271.0,21.99999999999999,437.0
0500000US08027,4704,11,3996,11,42,140,2474.0,28.99999999999999,1112.0
0500000US08029,31196,145,24993,115,307,2914,13081.0,217.99999999999997,5887.0
0500000US08031,715522,64038,581062,48224,104269,142473,71618.0,4870.0,313293.0
0500000US08033,2326,18,1924,14,36,115,1089.0,4.999999999999991,341.0
0500000US08035,357978,5160,266006,3940,9695,22174,121270.0,3715.0,104653.0
0500000US08037,55731,340,43263,274,689,11577,9892.0,377.0,18588.0
0500000US08039,26062,123,20395,98,271,1358,14027.0,306.0,4490.0
0500000US08041,730395,43822,558711,33007,75088,85855,202828.0,9264.0,161941.0
0500000US08043,48939,1848,41204,1791,3685,4781,17517.0,396.99999999999994,7369.0
0500000US08045,61685,335,46166,249,739,12631,14717.0,423.99999999999994,15427.0
0500000US08047,5808,38,4916,35,81,293,1833.0,70.0,2223.0
0500000US08049,15717,64,13090,56,144,1053,4883.0,173.99999999999997,4710.0
0500000US08051,16918,88,14028,69,174,1129,3735.0,209.99999999999997,7132.0
0500000US08053,788,8,657,3,17,25,353.0,9.999999999999995,255.0
0500000US08055,6820,65,5722,48,112,1569,2203.0,70.99999999999997,2076.0
0500000US08057,1379,0,1137,0,6,87,681.0,11.999999999999995,175.0
0500000US08059,582910,7356,469066,5667,14262,64628,148417.0,6394.0,218396.0
0500000US08061,1446,4,1099,3,15,57,795.0,8.999999999999991,98.0
0500000US08063,7087,24,5305,15,42,865,3144.0,33.99999999999997,662.0
0500000US08065,7436,38,5884,29,80,1832,1497.0,100.99999999999999,2303.0
0500000US08067,55638,205,45269,147,495,4994,14233.0,530.0,20548.0
0500000US08069,359066,3815,289333,3040,7912,30786,91489.0,4089.0,126120.0
0500000US08071,14555,211,12044,167,378,4322,4284.0,85.99999999999997,3497.0
0500000US08073,5675,275,4485,274,559,602,2135.0,25.999999999999986,470.0
0500000US08075,21528,765,17431,695,1443,2576,8087.0,138.99999999999994,2218.0
0500000US08077,155703,1151,123055,857,2272,15716,56894.0,1306.0,31536.0
0500000US08079,865,3,773,3,10,33,427.0,2.9999999999999933,317.0
0500000US08081,13292,77,9993,57,147,1357,5670.0,96.99999999999999,1203.0
0500000US08083,25849,80,20464,59,211,2043,9306.0,191.99999999999997,5836.0
0500000US08085,42679,181,33608,122,364,5987,16770.0,284.99999999999994,7687.0
0500000US08087,29111,975,21390,645,1359,6881,9593.0,150.99999999999994,3876.0
0500000US08089,18690,165,14318,133,326,5340,5756.0,87.99999999999994,3605.0
0500000US08091,4874,16,4183,16,39,208,1577.0,45.99999999999999,2365.0
0500000US08093,17390,94,14595,80,223,868,6991.0,237.99999999999997,4903.0
0500000US08095,4530,19,3401,8,25,758,1958.0,23.999999999999975,486.0
0500000US08097,17358,106,14481,99,258,1461,2780.0,93.99999999999999,8989.0
0500000US08099,11999,109,8960,79,185,3005,4008.0,38.99999999999997,1458.0
0500000US08101,168162,3642,130863,2738,6523,49706,42252.0,1199.9999999999998,43772.0
0500000US08103,6529,34,4889,25,62,388,3061.0,41.99999999999998,561.0
0500000US08105,11539,61,8959,46,132,3312,3660.0,65.99999999999997,2495.0
0500000US08107,24829,156,20060,120,299,1484,5925.0,235.99999999999997,10582.0
0500000US08109,6368,20,5096,15,30,1704,1413.0,38.99999999999998,1884.0
0500000US08111,705,3,600,0,2,56,202.0,6.999999999999995,342.0
0500000US08113,8072,21,6515,20,77,599,1136.0,51.999999999999986,3924.0
0500000US08115,2404,5,1920,5,13,234,1121.0,7.999999999999989,301.0
0500000US08117,31055,247,25853,219,518,3744,5322.0,353.0,12631.0
0500000US08119,24710,135,20544,118,316,1185,11241.0,267.0,5278.0
0500000US08121,4817,32,3722,32,83,335,2595.0,24.999999999999968,369.0
0500000US08123,328981,4539,241833,3116,7489,64192,96145.0,2895.0,66060.0
0500000US08125,9988,22,7320,16,44,1703,4107.0,51.999999999999964,785.0
