GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US12001,278468,52156,227905,38366,80027,26433,46834.0,4059.0,75820.0
0500000US12003,28259,3847,21638,3073,6215,718,10294.0,169.0,2112.0
0500000US12005,175216,17856,139659,13392,28173,9565,62194.0,2652.0,21797.0
0500000US12007,28303,5478,22992,4545,9235,1094,8913.0,176.99999999999997,2924.0
0500000US12009,606612,58692,497095,44032,94457,48780,181475.0,9418.0,119441.0
0500000US12011,1944321,531905,1546002,396542,829562,470964,260712.0,11061.0,553004.0
0500000US12013,13648,1682,10923,1446,2956,465,4655.0,123.99999999999999,1241.0
0500000US12015,186864,9268,164252,7489,16235,10315,60218.0,1945.9999999999998,33445.0
0500000US12017,153843,4122,131487,3230,7223,6705,54456.0,1723.9999999999998,22789.0
0500000US12019,218245,26624,166139,19004,40199,15420,74963.0,2806.0,27822.0
0500000US12021,375752,23349,313169,16564,35128,74006,105372.86378870092,3259.991860836259,61012.35389403128
0500000US12023,69698,11593,54813,8666,17815,3560,20368.0,523.0,7601.0
0500000US12027,33976,4270,27008,3485,7090,6786,6778.0,165.99999999999997,3781.0
0500000US12029,16759,1571,13730,1377,2805,523,5822.0,76.99999999999999,1270.0
0500000US12031,995567,292337,781603,215010,443537,80636,211672.0,11318.0,205704.0
0500000US12033,321841,68975,258097,50461,104103,14928,88808.0,4612.0,57461.0
0500000US12035,115378,10935,96386,8515,18167,9050,33846.0,1114.0,22017.0
0500000US12037,12449,1422,10553,1258,2563,506,4125.0,94.99999999999999,1744.0
0500000US12039,43826,23435,34617,17875,36095,3362,6728.0,228.99999999999994,15020.0
0500000US12041,17864,801,14174,641,1340,927,6740.0,154.99999999999997,1458.0
0500000US12043,12126,1469,10088,1261,2559,2265,2996.0,53.999999999999986,1271.0
0500000US12045,14192,1703,11821,1461,2990,418,5329.0,194.99999999999997,1720.0
0500000US12047,14004,4477,11329,3622,7328,989,3443.0,78.99999999999997,1904.0
0500000US12049,25327,2179,18840,1785,3691,6845,5242.0,139.99999999999997,2149.0
0500000US12051,39619,4357,29444,3070,6303,15713,6195.136211299075,207.0081391637408,4615.64610596872
0500000US12053,194515,10263,158664,7619,16805,20782,58970.0,2051.0,31795.0
0500000US12055,101235,9891,83524,7138,15041,14713,29565.0,853.9999999999999,14937.0
0500000US12057,1459704,237432,1138984,173521,369943,313046,266870.0,15703.0,307896.0
0500000US12059,19653,1237,15598,1097,2243,494,7483.0,132.99999999999997,853.0
0500000US12061,159788,13367,134386,9557,20032,14560,48620.0,1723.0,29043.0
0500000US12063,47319,12150,38271,9850,19995,1620,14257.0,265.99999999999994,6397.0
0500000US12065,14510,4621,12055,3722,7503,484,3930.0,109.99999999999999,3541.0
0500000US12067,8226,1045,6819,955,1925,678,2809.0,46.999999999999986,518.0
0500000US12069,383956,39544,312444,29222,62279,46469,102179.0,3985.0,62833.0
0500000US12071,759454,58906,627073,41720,89503,122702,191551.0,6982.0,124908.0
0500000US12073,292198,88862,236591,67873,139168,17673,53677.0,4384.0,91763.0
0500000US12075,42917,3690,34295,2729,5701,2717,13775.0,357.99999999999994,5101.0
