GEOID,R20,D20,L20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US12001,50972.0,89704.0,1389.9999999999998,278468,250960,170245,52156,849,18076,112,9522,27508,25544,3580,2906,2896,120,14376,301,212,36,841,14,5,72,43,124,18,1730,387,137,2,420,59,9,269,65,298,9,22,6,23,9,8,0,2,0,0,5,194,19,2,128,6,18,0,5,11,0,0,1,0,0,0,4,33,2,27,0,2,2,0,7,7,278468,33614,244854,231856,160463,51171,562,17891,101,1668,12998,12018,3223,2698,2791,106,2216,284,200,30,335,4,3,9,43,76,0,911,281,127,1,86,52,6,30,62,204,4,16,6,16,9,8,0,2,0,0,1,57,19,2,12,6,16,0,0,0,0,0,1,0,0,0,1,12,2,8,0,2,0,0,0,0,227905,208037,146223,38366,675,15198,104,7471,19868,18564,1663,2332,1835,83,11446,231,158,23,592,10,5,53,38,77,18,1154,234,73,2,269,28,4,194,46,242,9,13,6,19,4,8,0,2,0,0,1,124,14,0,88,0,13,0,5,0,0,0,0,0,0,0,4,19,0,15,0,2,2,0,7,7,227905,26433,201472,192805,138324,37723,455,15043,93,1167,8667,7994,1486,2196,1772,76,1727,221,150,17,240,4,3,9,38,55,0,627,173,70,1,47,28,4,23,46,187,4,11,6,12,4,8,0,2,0,0,1,37,14,0,9,0,13,0,0,0,0,0,0,0,0,0,1,9,0,7,0,2,0,0,0,0,123359,112723,10636,17629,2523,1211,60,1214,38,15106,13316,0,1790
0500000US12003,11911.0,2037.0,92.99999999999999,28259,27154,22565,3847,122,157,14,449,1105,1045,205,407,88,10,294,10,0,0,14,4,0,7,2,2,2,38,6,0,0,0,0,5,8,2,4,6,0,4,0,0,1,1,0,1,0,0,22,0,5,10,0,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,28259,973,27286,26374,22185,3825,109,157,14,84,912,876,195,403,88,10,158,9,0,0,5,4,0,0,2,2,0,20,6,0,0,0,0,5,1,0,3,3,0,0,0,0,1,1,0,0,0,0,16,0,5,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21638,20967,17277,3073,97,113,11,396,671,639,46,299,44,10,211,10,0,0,12,2,0,1,2,0,2,20,1,0,0,0,0,2,8,2,3,3,0,0,0,0,0,0,0,1,0,0,12,0,0,6,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,21638,718,20920,20380,17047,3059,84,113,11,66,540,527,43,299,44,10,113,9,0,0,5,2,0,0,2,0,0,6,1,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9809,9087,722,3062,3062,2289,0,389,384,0,0,0,0
0500000US12005,66097.0,25614.0,1003.9999999999999,175216,159888,131304,17856,1033,4138,208,5349,15328,14475,2168,3660,1734,164,5881,169,176,12,305,8,9,52,94,41,2,759,182,93,9,104,68,3,126,73,47,7,8,8,16,4,11,0,0,0,0,0,87,13,0,40,2,6,1,2,10,0,2,6,0,0,3,2,7,2,3,0,2,0,0,0,0,175216,13846,161370,151674,128348,17549,795,4068,194,720,9696,9220,2018,3518,1649,160,1316,146,170,7,112,8,9,0,91,16,0,450,152,90,9,20,61,3,10,65,11,4,8,8,2,4,3,0,0,0,0,0,24,9,0,2,0,0,0,2,0,0,0,6,0,0,3,2,2,2,0,0,0,0,0,0,0,139659,129672,107998,13392,841,3416,157,3868,9987,9541,770,2899,942,82,4278,129,108,5,179,8,9,44,64,22,2,390,103,31,2,40,32,3,83,45,24,5,2,0,15,0,5,0,0,0,0,0,51,7,0,24,2,6,1,0,3,0,0,6,0,0,0,2,5,0,3,0,2,0,0,0,0,139659,9565,130094,123915,106035,13199,660,3369,143,509,6179,5933,722,2816,918,80,1026,115,104,3,62,8,9,0,63,7,0,232,89,31,2,9,32,3,8,37,11,4,2,0,1,0,3,0,0,0,0,0,14,4,0,2,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,102971,70134,32837,3065,2725,1744,34,901,46,340,38,114,188
0500000US12007,10334.0,3160.0,109.99999999999997,28303,27135,20929,5478,77,142,17,492,1168,1110,258,361,65,3,325,40,19,2,25,0,0,5,1,4,2,54,4,3,3,3,4,0,9,0,2,1,0,4,4,0,4,6,0,0,1,6,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,28303,1350,26953,26049,20320,5427,58,135,12,97,904,876,252,361,63,3,125,31,17,0,14,0,0,5,1,4,0,25,4,3,3,1,4,0,0,0,2,1,0,4,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,22992,22253,17119,4545,70,120,10,389,739,707,85,280,35,0,252,25,8,0,14,0,0,4,0,4,0,29,0,0,3,0,3,0,4,0,2,1,0,0,0,0,4,6,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,22992,1094,21898,21353,16594,4521,56,117,10,55,545,531,85,280,33,0,90,19,7,0,9,0,0,4,0,4,0,12,0,0,3,0,3,0,0,0,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,10723,9462,1261,4319,4280,4010,0,270,0,39,0,0,39
0500000US12009,207883.0,148549.0,3177.9999999999995,606612,545794,448180,58692,2293,15913,544,20172,60818,57212,7389,8865,5449,402,31131,520,571,107,2104,51,5,157,166,231,64,3143,711,370,44,690,194,18,480,211,233,24,22,5,61,29,29,6,0,8,1,7,431,65,1,292,19,19,0,11,12,0,0,1,7,0,4,0,31,22,7,0,2,0,0,1,1,606612,67907,538705,508461,430936,56498,1569,15587,482,3389,30244,28555,6719,8369,5096,365,5863,433,529,100,754,33,5,12,154,113,10,1571,537,324,41,121,157,18,58,186,36,10,11,4,15,28,20,0,0,0,0,5,103,48,1,15,12,7,0,8,0,0,0,1,7,0,4,0,15,13,0,0,2,0,0,0,0,497095,455361,380564,44032,1878,13228,435,15224,41734,39641,3070,6990,3020,247,23515,387,367,76,1451,44,5,124,149,140,56,1757,397,163,19,350,103,14,337,121,113,13,13,4,52,16,27,1,0,8,1,5,312,55,1,209,9,11,0,11,6,0,0,1,6,0,3,0,23,14,7,0,2,0,0,1,1,497095,48780,448315,428687,368773,42799,1320,13029,395,2371,19628,18662,2809,6678,2881,225,4493,345,345,75,540,30,5,8,141,78,9,871,301,139,19,57,95,14,42,105,25,8,8,4,15,16,20,0,0,0,0,3,80,39,1,14,7,1,0,8,0,0,0,1,6,0,3,0,15,13,0,0,2,0,0,0,0,288794,257026,31768,7990,4445,1054,190,3181,20,3545,1676,135,1734
0500000US12011,333409.0,618752.0,3113.9999999999995,1944321,1559552,776164,531905,7439,75911,902,167231,384769,371241,19231,6674,8264,377,305582,1938,4532,866,19145,239,42,1751,324,1876,400,11698,1302,1549,88,4263,192,16,1742,188,1362,66,66,16,316,113,315,49,1,22,2,30,1700,194,25,952,34,345,16,10,65,1,17,6,22,0,13,0,125,20,89,10,0,0,6,5,5,1944321,608680,1335641,1260875,644222,517616,2916,74033,696,21392,74766,70215,16494,5194,7298,320,26349,1616,4232,837,5989,202,34,71,287,1116,176,4076,802,1353,68,771,147,13,61,155,212,4,55,11,46,85,227,39,1,7,0,19,424,136,19,73,32,120,9,10,7,0,1,4,3,0,10,0,51,18,27,0,0,0,6,0,0,1546002,1246626,652556,396542,5756,60597,702,130473,299376,290770,11481,5425,4869,281,245109,1469,3331,725,14472,189,30,1430,271,1350,338,7405,919,935,50,2489,100,7,1352,135,728,40,45,16,240,77,186,43,1,18,0,24,1100,134,16,677,19,179,5,3,39,0,9,2,9,0,8,0,96,19,62,10,0,0,5,5,5,1546002,470964,1075038,1020667,555228,387874,2217,59294,560,15494,54371,51398,10083,4367,4436,245,20861,1266,3184,708,4733,162,22,50,245,886,150,2650,568,837,38,477,82,7,54,119,128,0,34,11,39,62,142,35,1,3,0,13,278,98,10,57,18,75,5,3,5,0,0,0,2,0,5,0,45,18,22,0,0,0,5,0,0,860324,756652,103672,14940,10413,3282,101,6487,543,4527,1068,0,3459
0500000US12013,5274.0,1209.0,28.99999999999998,13648,12802,10741,1682,111,46,0,222,846,771,138,432,37,14,125,6,6,1,6,2,0,1,0,3,0,55,7,6,0,0,0,19,6,7,2,0,0,0,0,1,7,0,0,0,0,0,10,1,0,0,7,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,8,8,13648,622,13026,12307,10490,1668,93,46,0,10,719,661,132,406,37,14,49,6,6,1,6,2,0,0,0,2,0,42,7,6,0,0,0,19,0,7,0,0,0,0,0,1,2,0,0,0,0,0,7,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,8,10923,10372,8613,1446,87,43,0,183,551,516,38,339,13,14,89,6,6,1,6,2,0,1,0,1,0,21,7,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,8,10923,465,10458,9981,8420,1432,76,43,0,10,477,442,35,324,13,14,35,6,6,1,6,2,0,0,0,0,0,21,7,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,8,5628,4784,844,1805,1805,1562,0,243,0,0,0,0,0
0500000US12015,73243.0,42273.0,564.9999999999998,186864,173920,157560,9268,517,2627,72,3876,12944,12345,1398,2172,781,70,7129,69,48,18,517,5,8,58,12,23,37,545,140,39,20,123,34,23,99,8,16,15,1,0,11,1,15,0,0,0,0,0,39,1,3,18,0,9,0,4,0,0,3,0,0,0,0,1,15,10,5,0,0,0,0,0,0,186864,14079,172785,166383,153717,8870,385,2566,63,782,6402,6099,1260,2076,742,61,1577,57,48,18,191,3,8,5,6,17,30,279,108,37,16,28,34,21,12,8,1,3,1,0,0,1,9,0,0,0,0,0,14,0,0,3,0,7,0,4,0,0,0,0,0,0,0,0,10,9,1,0,0,0,0,0,0,164252,154957,141742,7489,448,2232,64,2982,9295,8956,580,1779,427,44,5520,52,28,18,392,3,8,45,12,23,25,307,85,16,8,53,23,12,64,4,9,8,0,0,11,1,13,0,0,0,0,0,23,1,3,9,0,9,0,0,0,0,0,0,0,0,0,1,9,4,5,0,0,0,0,0,0,164252,10315,153937,149423,139010,7241,338,2195,55,584,4514,4335,538,1728,421,42,1302,48,28,18,153,3,8,5,6,17,18,164,69,14,8,10,23,12,10,4,1,3,0,0,0,1,9,0,0,0,0,0,10,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,110058,85858,24200,3908,3556,1871,52,1595,38,352,94,0,258
0500000US12017,65352.0,27092.0,547.9999999999998,153843,144110,134596,4122,568,2449,54,2321,9733,9330,1154,2492,568,55,4710,52,31,6,168,6,7,19,26,27,9,358,129,31,2,52,16,8,66,12,15,6,0,1,0,8,2,0,0,0,0,10,41,10,1,10,0,8,0,0,0,1,3,0,1,0,7,0,4,0,2,0,2,0,0,0,0,153843,9241,144602,138806,131477,3891,466,2412,43,517,5796,5569,1053,2396,534,55,1352,43,20,3,56,6,1,0,25,22,3,205,90,31,2,20,16,4,4,12,7,4,0,1,0,8,2,0,0,0,0,4,20,5,1,0,0,3,0,0,0,1,3,0,0,0,7,0,2,0,0,0,2,0,0,0,0,131487,124581,116953,3230,492,2062,34,1810,6906,6678,462,1973,321,38,3620,43,20,5,122,6,6,19,26,13,4,195,83,13,0,12,4,7,41,11,7,4,0,0,0,3,0,0,0,0,0,10,32,8,1,9,0,6,0,0,0,0,0,0,1,0,7,0,1,0,1,0,0,0,0,0,0,131487,6705,124782,120758,114814,3098,408,2029,27,382,4024,3906,434,1928,308,38,1061,36,16,2,41,6,0,0,25,8,3,105,60,13,0,3,4,3,0,11,0,4,0,0,0,3,0,0,0,0,0,4,13,3,1,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,81687,69438,12249,2836,2306,629,88,1589,0,530,0,0,530
0500000US12019,84480.0,38317.0,1286.0,218245,197040,154895,26624,943,6804,385,7389,21205,19637,2825,3860,2263,203,8961,195,231,26,751,22,5,66,116,81,32,1369,329,152,14,302,66,5,191,110,129,11,0,3,23,11,11,0,8,4,0,0,187,19,9,98,8,14,5,10,14,1,0,0,5,0,4,0,6,1,1,4,0,0,0,6,6,218245,23134,195111,183340,148986,25621,680,6626,363,1064,11771,11011,2549,3611,2126,184,1740,154,211,26,237,15,1,9,115,29,4,717,252,135,14,65,56,5,21,107,26,3,0,0,5,11,9,0,8,0,0,0,35,13,0,2,0,4,0,7,7,1,0,0,0,0,1,0,5,1,0,4,0,0,0,3,3,166139,152732,121990,19004,751,5505,272,5210,13407,12623,1019,2877,1183,105,6412,151,118,7,509,19,5,51,93,51,23,674,174,39,0,136,36,4,126,58,52,3,0,3,23,5,7,0,8,0,0,0,104,6,3,70,8,6,0,3,5,0,0,0,0,0,3,0,6,1,1,4,0,0,0,0,0,166139,15420,150719,143610,118241,18488,562,5403,251,665,7109,6736,948,2748,1134,99,1259,125,105,7,168,13,1,9,93,24,3,356,138,39,0,34,29,4,12,56,18,3,0,0,5,5,5,0,8,0,0,0,12,5,0,2,0,0,0,0,5,0,0,0,0,0,0,0,5,1,0,4,0,0,0,0,0,85049,78939,6110,2498,1987,427,9,1551,0,511,0,0,511
