GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R20,L20,D20
0500000US13001,18444,3387,13958,2441,4970,1118,6526.0,35.99999999999995,1779.0
0500000US13003,8286,1213,6129,907,1837,1282,2300.0,29.999999999999982,825.0
0500000US13005,11140,1763,8310,1174,2419,547,4018.0,24.99999999999997,625.0
0500000US13007,2876,1130,2275,907,1833,77,897.0,5.999999999999995,652.0
0500000US13009,43799,18404,35732,14233,28741,835,8906.382064807838,208.024868123587,9143.166541070083
0500000US13011,18035,395,13900,312,671,721,7800.720219270557,74.14863866787948,934.2936762988668
0500000US13013,83505,10369,62195,7566,15778,6726,26804.0,664.0,10453.0
0500000US13015,108901,11512,83570,8656,18001,6817,37595.00113346557,699.4899404930575,12073.217342023236
0500000US13017,17194,6267,13165,4608,9353,653,4110.0,57.999999999999964,2392.0
0500000US13019,18160,1954,13690,1406,2905,622,6419.0,54.999999999999964,1269.0
0500000US13021,157346,85885,120902,62618,126851,4734,26603.219135864507,749.2273398351366,43469.14689559661
0500000US13023,12583,2818,9613,1990,4016,311,4328.0,66.99999999999999,1311.0
0500000US13025,18021,568,13692,412,877,212,6991.0,55.99999999999997,699.0
0500000US13027,16301,5714,12747,4240,8590,635,4260.0,49.999999999999964,2790.0
0500000US13029,44738,6486,31828,4591,9600,1919,14244.0,357.0,6739.0
0500000US13031,81099,23052,64494,17476,35681,3021,18386.0,454.99999999999994,11243.0
0500000US13033,24596,11027,18778,8142,16493,494,5400.0,74.99999999999996,5209.0
0500000US13035,25434,6832,20360,5512,11163,559,8406.0,90.99999999999999,3274.0
0500000US13037,5573,3581,4687,2970,5968,90,923.0,10.999999999999988,1260.0
0500000US13039,54768,9697,41808,7244,15048,2457,15251.0,470.0,7967.0
0500000US13043,10981,2695,8241,1968,3972,835,3133.0,28.999999999999975,1269.0
0500000US13045,119148,22126,90996,16743,34557,6129,37476.0,760.0,16238.0
0500000US13047,67872,1858,52448,1381,3062,1492,25167.0,494.0,6932.0
0500000US13049,12518,2627,10135,2068,4206,1971,3419.0,43.99999999999997,1103.0
0500000US13051,295291,109313,234715,81665,166779,16551,53237.0,1928.9999999999998,78254.0
0500000US13053,9565,1511,7199,1119,2397,1160,880.0,34.99999999999999,667.0
0500000US13055,24965,2408,19416,2087,4313,733,8064.0,131.99999999999997,1854.0
0500000US13057,266620,17785,202928,13095,28028,20915,99587.0,2449.0,42794.0
0500000US13059,128671,31660,106830,23514,48262,10213,14446.0,839.0,36048.0
0500000US13061,2848,1597,2246,1209,2433,19,637.0,6.999999999999994,790.0
0500000US13063,297595,207981,220578,153694,312456,27378,15813.0,1055.0,95476.0
0500000US13065,6749,1965,5034,1360,2764,156,2105.0,11.99999999999999,747.0
0500000US13067,766149,203840,591848,155087,320940,74505,165459.0,6441.0,221846.0
0500000US13069,43092,11972,32419,8935,18120,3324,10578.0,124.99999999999994,4511.0
0500000US13071,45898,10068,34193,7207,14664,5467,11777.0,118.99999999999994,4187.0
0500000US13073,156010,28315,114823,20435,42655,7355,50013.0,1330.0,29236.0
0500000US13075,17229,4772,12938,3487,7078,704,4900.0,75.99999999999997,2059.0
0500000US13077,146158,25867,111155,19021,39162,7384,51504.011001410436,1088.0126939351198,24211.744146685473
0500000US13079,12130,2268,9606,1846,3773,287,4428.0,58.999999999999986,1615.0
0500000US13081,20128,8879,15570,6436,13034,414,4987.0,65.99999999999996,2986.0
0500000US13083,16251,142,12987,110,247,243,6066.0,106.99999999999999,1261.0
0500000US13085,26798,209,21441,155,397,1047,13398.0,197.0,2486.0
0500000US13087,29367,12241,22443,9023,18212,1196,6758.0,88.99999999999996,4780.0
0500000US13089,764382,388963,595276,301682,615624,55506,58373.0,4204.0,308227.0
