GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US19001,2461.0,1133.0,126.99999999999997,7496,7262,7149,46,19,23,2,23,234,219,30,80,18,0,85,3,0,0,3,0,0,0,0,0,0,15,3,0,0,7,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7496,186,7310,7155,7066,45,16,23,1,4,155,149,24,71,14,0,39,1,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5834,5697,5608,35,14,16,2,22,137,131,10,58,5,0,55,3,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5834,83,5751,5643,5577,34,11,16,1,4,108,106,10,55,5,0,35,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3585,3217,368,153,153,0,0,153,0,0,0,0,0
0500000US19003,1395.0,565.0,92.99999999999997,3704,3597,3531,12,19,13,0,22,107,99,17,19,10,0,39,4,0,0,4,0,0,3,0,1,2,8,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3704,42,3662,3573,3518,12,15,13,0,15,89,81,17,19,10,0,31,4,0,0,0,0,0,0,0,0,0,8,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2891,2820,2773,8,15,13,0,11,71,63,3,18,6,0,29,0,0,0,4,0,0,3,0,0,0,8,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2891,21,2870,2808,2772,8,11,13,0,4,62,54,3,18,6,0,27,0,0,0,0,0,0,0,0,0,0,8,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1888,1614,274,74,35,0,0,35,0,39,0,0,39
0500000US19005,4093.0,2421.0,226.99999999999997,14061,13622,12621,154,91,41,5,710,439,422,26,81,19,2,270,1,1,0,2,1,2,16,0,0,1,12,4,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,14061,1221,12840,12631,12401,146,14,41,5,24,209,200,26,79,17,1,73,0,1,0,1,0,2,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10782,10529,9904,89,66,36,5,429,253,243,7,65,6,1,153,0,1,0,2,0,2,6,0,0,0,8,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10782,697,10085,9959,9806,85,11,36,5,16,126,124,7,64,5,0,44,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7668,5797,1871,233,187,4,0,183,0,46,0,0,46
0500000US19007,4033.0,1814.0,138.99999999999997,12317,11906,11690,75,24,70,7,40,411,391,33,159,36,3,147,2,0,0,2,2,0,0,0,0,7,15,6,4,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,12317,231,12086,11763,11586,75,19,69,0,14,323,312,29,157,36,2,77,2,0,0,0,2,0,0,0,0,7,9,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,9608,9342,9186,52,16,55,4,29,266,258,16,112,18,3,109,0,0,0,0,0,0,0,0,0,0,8,1,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9608,146,9462,9249,9122,52,11,54,0,10,213,209,12,112,18,2,65,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6306,5320,986,185,143,5,0,138,0,42,14,0,28
0500000US19009,2136.0,1080.0,106.99999999999999,5674,5527,5469,17,5,5,1,30,147,131,19,45,8,0,46,3,4,0,0,0,1,0,5,0,0,8,0,1,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5674,86,5588,5474,5443,17,5,4,1,4,114,101,19,42,8,0,20,3,4,0,0,0,0,0,5,0,0,8,0,1,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,4437,4352,4321,9,3,5,0,14,85,79,5,34,0,0,36,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,4437,47,4390,4324,4306,9,3,4,0,2,66,61,5,34,0,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,2787,2498,289,103,103,5,0,98,0,0,0,0,0
0500000US19011,8229.051724137931,4676.318965517242,541.8415948275862,25575,24626,24258,114,34,83,2,135,949,920,160,315,51,4,360,12,0,0,6,0,0,0,1,9,2,23,14,1,0,0,0,0,1,2,1,0,2,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,25575,462,25113,24356,24077,112,29,79,2,57,757,732,154,300,51,4,205,5,0,0,3,0,0,0,1,9,0,21,14,1,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,19458,18937,18673,77,28,60,0,99,521,508,29,217,24,2,225,7,0,0,1,0,0,0,1,0,2,7,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,19458,256,19202,18771,18577,76,24,56,0,38,431,420,29,209,24,2,149,5,0,0,1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11076,10282,794,322,266,12,0,254,0,56,0,0,56
0500000US19013,27476.0,32233.0,2368.0,131144,124003,102832,13676,422,3427,854,2792,7141,6785,2267,1206,671,58,2170,104,38,2,144,4,1,79,30,6,5,343,156,29,12,33,13,1,80,5,8,0,6,0,0,0,0,0,0,0,0,0,10,0,0,2,0,4,0,4,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,131144,6448,124696,119535,101150,13529,219,3412,848,377,5161,4926,2159,1136,641,53,684,99,38,2,80,4,0,0,30,0,0,229,142,29,12,13,9,1,5,4,8,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102527,98649,83972,9510,342,2456,498,1871,3878,3697,821,891,343,29,1356,77,15,0,79,4,1,57,24,0,0,173,84,10,0,8,10,0,49,3,3,0,6,0,0,0,0,0,0,0,0,0,8,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102527,3990,98537,95741,82933,9434,185,2448,492,249,2796,2674,792,859,333,29,493,75,15,0,50,4,0,0,24,0,0,116,75,10,0,8,6,0,5,3,3,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58559,54223,4336,4508,1381,302,0,1079,0,3127,3023,0,104
0500000US19015,7484.0,5541.0,643.0,26715,25660,24943,301,65,100,3,248,1055,1005,136,333,80,12,412,12,6,0,6,0,0,0,2,5,1,41,22,3,0,2,0,0,1,5,0,1,0,3,2,0,2,0,0,0,0,0,9,2,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26715,709,26006,25205,24720,289,51,100,3,42,801,760,131,306,75,12,212,7,6,0,6,0,0,0,2,2,1,34,18,3,0,1,0,0,0,5,0,0,0,3,2,0,2,0,0,0,0,0,7,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20533,19901,19476,155,45,75,2,148,632,603,41,235,34,5,257,12,6,0,5,0,0,0,2,5,1,27,13,3,0,2,0,0,0,2,0,0,0,3,2,0,2,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20533,393,20140,19644,19358,147,33,75,2,29,496,470,39,221,34,5,148,7,6,0,5,0,0,0,2,2,1,26,13,3,0,1,0,0,0,2,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11921,10981,940,729,571,32,198,341,0,158,0,0,158
0500000US19017,7208.0,5356.0,543.0,24988,24240,23597,239,46,196,2,160,748,703,144,192,87,6,266,8,0,0,0,0,0,0,0,0,0,38,11,5,0,3,4,0,9,2,3,0,1,0,0,0,0,0,0,0,0,0,7,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,24988,511,24477,23898,23403,239,26,196,2,32,579,558,142,179,85,4,140,8,0,0,0,0,0,0,0,0,0,14,1,5,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19135,18697,18209,198,23,164,2,101,438,411,48,142,44,4,168,5,0,0,0,0,0,0,0,0,0,23,11,0,0,0,4,0,2,2,3,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19135,319,18816,18473,18081,198,11,164,2,17,343,333,48,135,42,4,99,5,0,0,0,0,0,0,0,0,0,6,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10484,9646,838,1537,333,65,36,232,0,1204,1180,0,24
0500000US19019,5510.0,3970.0,477.99999999999994,20565,19960,19696,72,28,52,12,100,605,587,87,230,58,0,203,0,0,2,0,3,0,1,1,0,2,12,0,0,0,2,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,20565,338,20227,19733,19565,70,18,52,11,17,494,489,87,214,55,0,130,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,15150,14777,14596,58,17,43,5,58,373,358,22,151,32,0,145,0,0,2,0,2,0,1,1,0,2,9,0,0,0,2,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,15150,200,14950,14647,14513,58,14,43,4,15,303,298,22,146,32,0,95,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8886,8198,688,138,138,23,0,65,50,0,0,0,0
