GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R20,L20,D20
0500000US19001,7496,46,5834,35,87,83,2917.0,34.999999999999964,1198.0
0500000US19003,3704,12,2891,8,31,21,1530.0,26.99999999999997,590.0
0500000US19005,14061,154,10782,89,188,697,4735.0,70.99999999999997,2576.0
0500000US19007,12317,75,9608,52,127,146,4512.0,71.99999999999996,1891.0
0500000US19009,5674,17,4437,9,27,47,2295.0,31.99999999999997,1071.0
0500000US19011,25575,114,19458,77,195,256,9184.699353448275,185.93534482758614,5158.137931034483
0500000US19013,131144,13676,102527,9510,20120,3990,29640.0,721.9999999999999,35647.0
0500000US19015,26715,301,20533,155,399,393,8695.0,197.99999999999994,6303.0
0500000US19017,24988,239,19135,198,461,319,8294.0,184.99999999999997,5958.0
0500000US19019,20565,72,15150,58,142,200,6420.0,95.99999999999994,4169.0
0500000US19021,20823,591,15327,384,813,3806,5056.0,65.99999999999996,2961.0
0500000US19023,14334,26,11127,21,57,108,5542.0,67.99999999999996,2424.0
0500000US19025,9927,152,7806,142,318,149,3689.0,58.999999999999964,1470.0
0500000US19027,20760,262,15779,153,331,385,7737.0,67.99999999999994,3454.0
0500000US19029,13127,29,10235,26,71,178,4969.0,60.99999999999995,2201.0
0500000US19031,18505,83,14283,47,140,283,6161.0,123.99999999999996,4337.0
0500000US19033,43127,930,34430,595,1381,1451,12442.0,195.99999999999994,10941.0
0500000US19035,11658,87,9132,64,154,313,4495.0,47.99999999999996,1936.0
0500000US19037,12012,80,9183,35,86,302,4308.0,46.999999999999964,2233.0
0500000US19039,9748,44,7332,27,68,951,3144.0,33.99999999999997,1466.0
0500000US19041,16384,100,12704,75,174,402,6137.0,100.99999999999996,2662.0
0500000US19043,17043,158,13339,86,203,173,6106.0,81.99999999999996,3340.0
0500000US19045,46460,1420,35887,943,2101,874,13361.0,313.99999999999994,10812.0
0500000US19047,16525,394,12099,259,546,2841,4854.0,41.999999999999936,2220.0
0500000US19049,99678,2698,72050,1663,3688,4003,27987.0,743.9999999999999,26879.0
0500000US19051,9110,8,6384,6,25,95,3032.0,29.99999999999997,1013.0
0500000US19053,7645,108,5873,87,194,167,2615.0,28.999999999999968,1120.0
0500000US19055,17488,122,13359,72,148,155,6666.0,86.99999999999996,3157.0
0500000US19057,38910,2532,30442,1668,3602,764,10592.0,274.99999999999994,8893.0
0500000US19059,17703,79,14332,53,127,232,7438.0,91.99999999999997,3661.0
0500000US19061,99266,4126,76916,2645,5699,1931,27214.0,555.9999999999999,25657.0
0500000US19063,9388,92,7330,66,166,521,3265.0,35.99999999999998,1520.0
0500000US19065,19509,203,15310,161,378,315,6145.0,101.99999999999994,3835.0
0500000US19067,15627,419,11969,232,505,321,4732.0,62.99999999999995,3172.0
0500000US19069,10019,32,7668,17,54,958,3422.0,44.99999999999996,1626.0
0500000US19071,6605,11,5121,8,17,126,2711.0,36.999999999999964,1080.0
0500000US19073,8771,28,6818,7,25,156,3223.0,35.99999999999998,1769.0
0500000US19075,12329,49,9393,19,51,82,4929.0,86.99999999999996,2206.0
0500000US19077,10623,36,8232,24,52,162,4272.0,78.99999999999996,1985.0
0500000US19079,15039,103,11564,66,171,873,4956.0,70.99999999999996,2843.0
0500000US19081,10795,76,8405,39,107,355,4390.0,48.99999999999996,1683.0
0500000US19083,16878,147,13066,78,187,508,5850.0,104.99999999999994,2976.0
0500000US19085,14578,27,11165,22,58,152,5569.0,84.99999999999996,2440.0
0500000US19087,20482,506,16167,427,935,699,6507.0,127.99999999999994,3275.0
0500000US19089,9469,23,7093,17,48,148,3127.0,22.999999999999968,1772.0
0500000US19091,9597,56,7266,32,89,230,3819.0,38.999999999999964,1442.0
0500000US19093,7005,31,5399,23,55,157,2880.0,26.999999999999964,917.0
0500000US19095,16662,111,12763,79,183,282,6009.0,101.99999999999996,3547.0
0500000US19097,19485,152,15254,86,213,146,6940.0,78.99999999999996,4029.0
0500000US19099,37813,703,29446,513,1115,675,12084.0,206.99999999999991,7737.0
0500000US19101,15663,419,12724,361,773,411,4443.0,94.99999999999996,4319.0
0500000US19103,152854,12847,122084,8339,17778,7241,22925.0,963.9999999999999,59177.0
0500000US19105,20646,441,16239,376,795,337,6572.0,117.99999999999994,4213.0
0500000US19107,10033,51,7654,29,71,129,3797.0,50.99999999999996,1414.0
0500000US19109,14828,78,11653,57,133,372,6275.0,60.99999999999996,2696.0
0500000US19111,33555,910,26398,761,1731,751,9773.0,239.99999999999994,6541.0
0500000US19113,230299,16449,176911,10773,23467,5654,53367.300646551725,2015.0646551724137,70875.86206896552
0500000US19115,10837,78,8372,60,146,1141,3500.0,66.99999999999997,1726.0
0500000US19117,8634,23,6614,18,57,138,3287.0,29.99999999999997,1284.0
0500000US19119,11934,41,8487,16,53,241,5707.0,55.99999999999996,1067.0
0500000US19121,16548,50,12321,31,96,198,6507.0,123.99999999999994,3134.0
0500000US19123,22190,394,16933,281,613,307,8297.0,133.99999999999994,2894.0
0500000US19125,33414,292,25620,175,432,441,12663.0,232.99999999999994,6178.0
0500000US19127,40105,815,30017,552,1244,5422,9571.0,215.99999999999994,8176.0
0500000US19129,14484,77,10925,47,123,243,5585.0,99.99999999999997,2508.0
0500000US19131,10565,42,8085,24,71,116,3677.0,55.99999999999996,2053.0
0500000US19133,8751,28,6822,17,57,152,3248.0,35.999999999999964,1407.0
0500000US19135,7577,19,5796,17,60,61,2975.0,20.99999999999997,1078.0
0500000US19137,10330,25,8062,25,62,205,3659.0,49.999999999999964,1583.0
0500000US19139,43235,1141,32767,699,1546,4918,10823.0,292.99999999999994,9372.0
0500000US19141,14182,161,10884,99,222,570,5861.0,76.99999999999996,1569.0
0500000US19143,6192,30,4782,19,47,389,2690.0,17.999999999999975,601.0
0500000US19145,15211,365,12021,331,697,304,5319.0,75.99999999999994,2086.0
0500000US19147,8996,52,6971,34,89,166,3370.0,42.99999999999997,1519.0
0500000US19149,25698,356,19215,218,508,894,10492.0,111.99999999999994,3494.0
0500000US19151,7078,66,5473,40,101,208,2826.0,36.999999999999964,933.0
0500000US19153,492401,35623,371655,23241,49867,29626,106800.0,3322.0,146250.0
0500000US19155,93667,1889,71810,1350,3065,4699,26247.0,551.9999999999999,18575.0
0500000US19157,18662,328,15037,275,595,370,5657.0,89.99999999999994,4306.0
0500000US19159,4663,3,3623,1,10,38,1968.0,17.999999999999968,709.0
0500000US19161,9814,46,7614,32,84,205,4061.0,46.99999999999995,1389.0
0500000US19163,174669,14117,133731,9486,20694,7562,43683.0,1123.9999999999998,46926.0
0500000US19165,11746,53,9108,27,80,248,4697.0,82.99999999999996,1959.0
0500000US19167,35872,195,25861,92,236,2814,15680.0,169.99999999999994,3019.0
0500000US19169,98537,3019,82031,2318,5147,3945,20340.0,924.0,29175.0
0500000US19171,17135,137,12990,90,222,1062,5303.0,86.99999999999994,3577.0
0500000US19173,5896,2,4516,0,21,246,2463.0,16.99999999999997,746.0
0500000US19175,12138,118,9361,90,222,252,4010.0,60.99999999999995,2061.0
0500000US19177,7203,28,5485,14,41,56,2859.0,22.99999999999997,875.0
0500000US19179,35437,1469,26940,939,2008,2579,9516.0,199.99999999999994,5821.0
