GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US16001,93752.0,75677.0,9984.0,494967,453110,410263,8058,3274,13929,1318,16268,41857,39497,2957,8380,6791,839,19374,131,84,26,228,46,20,241,225,127,28,2155,275,137,15,227,259,21,600,406,194,7,0,2,8,0,0,0,3,0,1,0,170,32,0,64,6,2,1,36,15,0,5,0,5,0,3,1,22,11,10,0,0,0,1,13,13,494967,45223,449744,425355,397998,7733,2269,13651,1219,2485,24389,23281,2738,7496,6404,799,5233,102,78,25,78,35,13,14,199,61,6,1033,200,115,13,70,223,19,13,363,12,4,0,0,0,0,0,0,0,0,1,0,60,14,0,10,4,0,1,27,1,0,0,0,0,0,3,0,6,1,4,0,0,0,1,9,9,378479,352188,320628,5058,2605,10913,944,12040,26291,25109,1356,5970,3567,459,12935,87,51,11,153,40,7,187,186,74,26,1084,143,39,3,100,119,12,366,220,70,4,0,2,2,0,0,0,3,0,1,0,78,12,0,35,3,0,1,18,1,0,2,0,2,0,3,1,17,6,10,0,0,0,1,3,3,378479,29841,348638,333220,313039,4891,1840,10729,880,1841,15418,14841,1262,5506,3419,448,3761,69,50,11,55,34,3,14,166,37,6,544,111,35,3,43,107,12,12,204,12,4,0,0,0,0,0,0,0,0,1,0,26,4,0,7,1,0,1,9,1,0,0,0,0,0,3,0,6,1,4,0,0,0,1,1,1,196901,187488,9413,13459,8944,6357,19,2488,80,4515,2897,0,1618
0500000US16003,1556.0,415.0,82.99999999999999,4379,4159,4060,3,38,11,0,47,220,200,10,104,13,0,71,1,0,1,0,0,0,0,0,0,0,16,2,0,1,3,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4379,152,4227,4048,3992,3,27,8,0,18,179,173,9,104,11,0,47,1,0,1,0,0,0,0,0,0,0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3619,3477,3388,3,38,11,0,37,142,134,1,75,7,0,50,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3619,106,3513,3396,3345,3,27,8,0,13,117,116,0,75,5,0,35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2642,1927,715,24,24,24,0,0,0,0,0,0,0
0500000US16005,17180.0,10342.0,1471.0,87018,81011,72902,748,3104,1197,268,2792,6007,5657,449,1447,727,195,2631,32,3,8,35,17,9,67,26,11,0,314,75,2,13,52,26,1,72,55,13,0,0,0,2,0,0,0,1,0,2,0,34,2,1,5,5,1,0,1,14,0,5,0,0,0,0,0,1,0,0,1,0,0,0,1,1,87018,7993,79025,75503,70447,688,2600,1148,249,371,3522,3341,419,1256,696,179,693,27,3,6,18,16,0,2,26,0,0,166,56,1,12,12,17,1,0,55,9,0,0,0,0,0,0,0,1,0,2,0,14,1,1,2,5,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,64357,60766,54838,586,2145,994,192,2011,3591,3415,186,962,394,83,1652,16,0,6,25,14,7,54,12,4,0,163,44,1,4,13,14,1,42,31,9,0,0,0,2,0,0,0,0,0,2,0,11,1,1,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,64357,5054,59303,57170,53391,551,1842,960,181,245,2133,2037,177,863,389,72,476,15,0,4,13,14,0,2,12,0,0,89,38,0,4,2,6,1,0,31,5,0,0,0,0,0,0,0,0,0,2,0,6,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,34903,32438,2465,2240,902,556,34,312,0,1338,931,0,407
0500000US16007,2203.0,255.0,53.999999999999986,6372,6137,6036,10,32,13,2,44,235,203,10,70,26,0,83,0,4,0,6,0,4,0,0,0,0,27,1,10,0,2,2,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6372,208,6164,6027,5977,10,25,13,2,0,137,125,5,67,20,0,25,0,0,0,4,0,4,0,0,0,0,10,1,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4630,4492,4412,6,28,13,1,32,138,126,7,49,9,0,58,0,0,0,1,0,2,0,0,0,0,10,1,0,0,2,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4630,128,4502,4415,4372,6,23,13,1,0,87,81,2,46,9,0,22,0,0,0,0,0,2,0,0,0,0,4,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3849,2427,1422,53,53,0,0,53,0,0,0,0,0
0500000US16009,3103.0,770.0,150.99999999999997,9530,8850,7853,8,828,35,15,111,680,652,12,263,20,3,319,19,0,4,3,0,3,3,2,1,0,16,3,0,0,1,0,2,3,3,2,0,0,0,0,1,0,0,0,0,0,1,9,3,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3,0,0,1,0,2,0,0,0,9530,254,9276,8692,7773,8,796,30,15,70,584,568,12,242,19,1,267,18,0,4,0,0,3,1,1,0,0,9,2,0,0,1,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,7429,6946,6257,4,546,24,15,100,483,470,6,186,10,2,242,13,0,4,1,0,3,1,1,1,0,9,2,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,7429,162,7267,6841,6207,4,526,24,15,65,426,416,6,179,9,0,201,13,0,4,0,0,3,1,0,0,0,6,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,4628,3875,753,69,69,8,0,61,0,0,0,0,0
0500000US16011,10907.0,2924.0,416.99999999999994,47992,44507,36630,126,3340,200,39,4172,3485,3334,122,703,247,61,2063,6,17,0,16,9,3,80,4,0,3,136,16,0,2,12,4,0,75,23,2,0,0,0,0,0,0,0,0,2,0,0,15,6,0,2,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47992,8331,39661,38312,34937,115,2892,192,38,138,1349,1298,105,625,224,54,244,6,14,0,6,9,3,4,4,0,0,41,12,0,0,0,1,0,5,22,1,0,0,0,0,0,0,0,0,0,0,0,10,6,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33315,31217,25870,77,2273,163,28,2806,2098,2018,41,454,113,16,1300,5,12,0,6,9,1,57,4,0,0,74,9,0,0,7,0,0,42,13,1,0,0,0,0,0,0,0,0,2,0,0,6,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33315,5241,28074,27251,24907,74,1998,157,28,87,823,793,41,422,102,16,177,5,12,0,0,9,1,4,4,0,0,24,7,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16905,15891,1014,509,462,138,0,213,111,47,0,0,47
0500000US16013,3340.0,6416.0,424.0,24272,22051,18677,50,144,212,16,2952,2221,2147,57,285,126,22,1546,2,0,0,9,6,1,64,12,11,6,62,10,6,2,7,2,0,28,0,5,0,0,0,1,0,0,0,0,0,0,1,10,2,0,1,5,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,24272,5021,19251,18445,18024,45,34,211,15,116,806,775,39,253,121,22,320,2,0,0,3,6,1,0,8,0,0,23,10,5,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,19152,17748,15454,45,102,182,10,1955,1404,1368,26,193,69,14,993,2,0,0,9,6,1,42,7,0,6,28,0,1,0,6,1,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,19152,3227,15925,15385,15048,42,25,181,9,80,540,530,19,178,64,14,236,2,0,0,3,6,1,0,7,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,15436,10225,5211,369,157,56,0,101,0,212,16,0,196
0500000US16015,2673.0,777.0,172.99999999999997,7610,7125,6844,26,66,37,7,145,485,453,28,197,30,7,186,0,0,1,1,1,2,0,0,0,0,30,4,6,2,0,0,0,7,5,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7610,324,7286,6949,6751,19,55,36,4,84,337,322,28,193,30,7,63,0,0,1,0,0,0,0,0,0,0,14,2,2,0,0,0,0,3,5,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6356,5999,5771,23,59,36,6,104,357,337,17,156,15,2,144,0,0,0,0,1,2,0,0,0,0,19,4,6,0,0,0,0,4,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6356,229,6127,5873,5708,16,48,35,3,63,254,244,17,154,15,2,56,0,0,0,0,0,0,0,0,0,0,9,2,2,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5443,3364,2079,30,0,0,0,0,0,30,0,0,30
0500000US16017,13343.0,5819.0,762.0,47110,44232,42939,118,346,255,42,532,2878,2767,101,1157,264,42,1178,0,1,0,5,5,3,1,8,0,2,101,23,0,8,1,5,13,20,19,2,9,0,0,0,0,0,0,0,1,0,0,9,0,0,3,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,47110,1504,45606,43352,42344,115,307,252,39,295,2254,2188,93,1090,255,39,693,0,1,0,0,5,3,1,8,0,0,63,23,0,8,1,0,10,3,17,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37908,35894,34902,64,283,205,36,404,2014,1951,53,845,143,18,872,0,0,0,5,5,3,1,6,0,0,54,17,0,0,0,5,1,13,8,0,9,0,0,0,0,0,0,0,1,0,0,8,0,0,3,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37908,990,36918,35330,34548,64,255,204,36,223,1588,1556,50,811,142,17,521,0,0,0,0,5,3,1,6,0,0,30,17,0,0,0,0,1,3,8,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26312,19619,6693,526,410,89,19,302,0,116,0,0,116
0500000US16019,26699.0,8930.0,1634.0,123964,115090,103736,626,1261,1423,154,7890,8874,8415,532,1526,842,179,5089,26,1,8,39,13,1,107,20,19,13,430,76,17,9,39,46,2,132,45,44,19,0,0,0,0,1,0,0,0,0,0,27,3,1,14,0,0,0,5,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,123964,17094,106870,103145,99943,593,677,1392,145,395,3725,3544,489,1283,788,165,745,20,0,8,16,6,1,2,15,6,0,168,58,17,9,3,31,2,6,41,0,1,0,0,0,0,0,0,0,0,0,0,12,0,1,6,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,86205,81181,73625,424,852,1104,92,5084,5024,4784,210,944,363,88,3039,17,0,4,18,7,1,62,14,11,6,229,36,10,0,12,29,2,84,30,18,8,0,0,0,0,0,0,0,0,0,0,10,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,86205,10108,76097,73948,71591,412,491,1092,85,277,2149,2036,199,851,349,83,517,13,0,4,7,1,1,2,9,0,0,104,30,10,0,2,23,2,6,30,0,1,0,0,0,0,0,0,0,0,0,0,8,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,45214,42684,2530,1652,1269,514,24,513,218,383,0,0,383
