GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US16001,494967,8058,378479,5058,12063,29841,93752.0,9984.0,75677.0
0500000US16003,4379,3,3619,3,8,106,1556.0,82.99999999999999,415.0
0500000US16005,87018,748,64357,586,1469,5054,17180.0,1471.0,10342.0
0500000US16007,6372,10,4630,6,23,128,2203.0,53.999999999999986,255.0
0500000US16009,9530,8,7429,4,35,162,3103.0,150.99999999999997,770.0
0500000US16011,47992,126,33315,77,234,5241,10907.0,416.99999999999994,2924.0
0500000US16013,24272,50,19152,45,135,3227,3340.0,424.0,6416.0
0500000US16015,7610,26,6356,23,75,229,2673.0,172.99999999999997,777.0
0500000US16017,47110,118,37908,64,203,990,13343.0,762.0,5819.0
0500000US16019,123964,626,86205,424,1155,10108,26699.0,1634.0,8930.0
0500000US16021,12056,27,9249,24,82,486,3789.0,161.0,933.0
0500000US16023,2574,2,1922,2,9,87,914.0,24.99999999999999,160.0
0500000US16025,1077,2,829,0,17,33,410.0,22.999999999999993,110.0
0500000US16027,231105,1629,166440,1100,2899,36468,47222.0,2778.0,16883.0
0500000US16029,7027,1,4971,1,14,243,2275.0,63.999999999999986,271.0
0500000US16031,24655,68,16999,42,113,4528,5949.0,201.99999999999997,1036.0
0500000US16033,790,10,580,3,10,181,203.0,3.9999999999999973,43.99999999999999
0500000US16035,8734,40,7304,36,90,205,2852.0,96.99999999999999,704.0
0500000US16037,4275,5,3538,3,13,104,1777.0,66.99999999999999,427.0
0500000US16039,28666,757,21446,605,1415,3299,5816.0,332.0,1814.0
0500000US16041,14194,26,9682,15,47,599,3901.0,116.99999999999999,385.0
0500000US16043,13388,21,9698,15,49,994,4090.0,126.99999999999997,651.0
0500000US16045,19123,30,14596,26,80,1043,5980.0,241.0,1229.0
0500000US16047,15598,29,11275,23,72,2995,3743.0,109.99999999999996,930.0
0500000US16049,16541,58,13270,36,96,384,6441.0,253.99999999999997,1196.0
0500000US16051,30891,86,20372,43,134,1959,8436.0,274.0,976.0
0500000US16053,24237,48,16874,27,78,5513,4644.0,217.99999999999997,1329.0
0500000US16055,171362,522,132205,360,1118,5579,44449.0,2604.0,16264.0
0500000US16057,39517,332,31752,250,648,1578,7265.0,1197.0,8093.0
0500000US16059,7974,19,6470,13,34,198,3011.0,137.99999999999997,733.0
0500000US16061,3533,6,2797,6,12,84,1202.0,61.999999999999986,270.0
0500000US16063,5127,6,3692,3,11,1072,1184.0,53.999999999999986,360.0
0500000US16065,52913,736,42141,665,1463,4078,8941.0,612.0,1201.0
0500000US16067,21613,39,15383,27,89,5136,4887.0,206.99999999999994,1167.0
0500000US16069,42090,193,33042,124,377,1094,10699.0,879.0,4828.0
0500000US16071,4564,3,3273,1,19,110,1531.0,36.999999999999986,184.0
0500000US16073,11913,30,8722,15,49,1865,3052.0,107.99999999999997,591.0
0500000US16075,25386,66,18652,45,128,2615,6489.0,246.99999999999997,1507.0
0500000US16077,7878,20,5500,10,44,1546,1666.0,91.99999999999999,699.0
0500000US16079,13169,21,10589,16,50,275,3297.0,219.0,1384.0
0500000US16081,11630,25,8615,22,67,1235,2167.0,184.0,2159.0
0500000US16083,90046,1057,65472,585,1391,9561,19828.0,1076.0,6233.0
0500000US16085,11746,17,9560,11,42,403,2906.0,229.99999999999997,1913.0
0500000US16087,10500,22,8040,10,36,1064,3283.0,137.99999999999997,776.0
