GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R20,L20,D20
0500000US17001,65737,2501,51030,1771,4013,796,24220.0,482.99999999999994,8633.0
0500000US17003,5240,1617,4238,1264,2562,57,1486.0,6.999999999999991,1114.0
0500000US17005,16725,1077,13675,1015,2083,500,5625.0,157.99999999999997,2288.0
0500000US17007,53448,1245,40102,849,1899,8182,13883.0,359.99999999999994,10542.0
0500000US17009,6244,1054,5156,1043,2096,265,1931.0,46.999999999999986,486.0
0500000US17011,33244,275,26212,198,486,1975,10411.0,208.99999999999991,6669.0
0500000US17013,4437,7,3535,7,19,32,2046.0,35.99999999999999,677.0
0500000US17015,15702,694,12871,677,1402,552,5105.0,110.99999999999996,2748.0
0500000US17017,13042,725,9826,439,926,1742,3625.0,49.999999999999964,1615.0
0500000US17019,205865,28675,166418,20436,43135,11970,35285.0,1506.9999999999998,57067.0
0500000US17021,34032,390,27218,330,738,925,11563.0,209.99999999999991,4335.0
0500000US17023,15455,54,11993,40,97,155,6226.0,94.99999999999996,1993.0
0500000US17025,13288,38,10245,25,81,131,5629.0,87.99999999999996,1129.0
0500000US17027,36899,1151,28856,1035,2171,958,14304.0,257.99999999999994,4493.0
0500000US17029,46863,2083,37724,1666,3571,1325,14037.0,305.99999999999994,8067.0
0500000US17031,5275541,1205824,4172402,936911,1919788,986886,558151.0,17652.999999999996,1725825.0
0500000US17033,18679,621,14891,575,1212,347,7043.0,118.99999999999996,2202.0
0500000US17035,10450,28,8062,17,60,79,4601.0,62.999999999999964,1142.0
0500000US17037,100420,8954,77882,6211,13127,8950,21905.0,782.9999999999999,24643.0
0500000US17039,15516,110,12184,65,164,302,5632.0,138.99999999999997,2191.0
0500000US17041,19740,67,14852,43,134,1025,6227.0,118.99999999999994,2335.0
0500000US17043,932877,45516,724333,33634,71384,97664,193611.0,6249.0,281222.0
0500000US17045,16866,83,13394,62,151,145,6193.0,74.99999999999994,1887.0
0500000US17047,6245,22,4814,14,41,42,2833.0,30.999999999999982,488.0
0500000US17049,34668,155,26584,99,251,515,15006.0,231.99999999999994,3716.0
0500000US17051,21488,797,17041,769,1561,551,8055.0,112.99999999999994,1826.0
0500000US17053,13534,76,10501,54,178,312,5048.0,99.99999999999997,1754.0
0500000US17055,37804,181,29695,130,349,415,13622.0,140.9999999999999,4760.0
0500000US17057,33609,1125,26974,1063,2201,589,9867.0,178.99999999999994,6503.0
0500000US17059,4946,26,3930,24,63,34,2019.0,17.999999999999986,622.0
0500000US17061,11985,23,9311,15,40,63,4770.0,69.99999999999996,1349.0
0500000US17063,52533,865,39383,584,1304,3506,16523.0,355.99999999999994,9626.0
0500000US17065,7993,41,6177,28,72,52,3432.0,40.99999999999997,824.0
0500000US17067,17620,73,13868,51,155,212,6906.0,113.99999999999996,2315.0
0500000US17069,3649,13,2985,11,28,32,1691.0,13.999999999999993,449.0
0500000US17071,6387,30,5185,14,37,73,2394.0,48.99999999999998,1187.0
0500000US17073,49284,1078,38047,747,1671,1950,15300.0,368.99999999999994,9797.0
0500000US17075,27077,231,21113,158,412,1262,10877.0,146.99999999999991,2908.0
0500000US17077,52974,7598,42742,5533,11610,2011,10890.0,310.99999999999994,11181.0
