GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US18001,35809,183,24641,102,273,1038,9648.0,595.0,2805.0
0500000US18003,385410,44481,287203,31162,66149,20077,83864.0,6801.0,55378.0
0500000US18005,82208,1826,62440,1362,3144,4371,20639.0,1911.0,9841.0
0500000US18007,8719,51,6554,39,94,378,2579.0,214.99999999999997,860.0
0500000US18009,12112,59,9527,47,124,155,3350.0,229.99999999999997,1243.0
0500000US18011,70812,1441,52065,1036,2313,1762,19654.0,2226.0,10181.0
0500000US18013,15475,64,12642,52,135,170,5016.0,375.0,2518.0
0500000US18015,20306,155,15504,94,218,492,6273.0,444.99999999999994,1892.0
0500000US18017,37870,604,28711,445,1056,4064,9701.0,680.0,3759.0
0500000US18019,121093,9390,93523,6987,15159,4795,30035.0,2304.0,18808.0
0500000US18021,26466,138,20452,112,310,282,8528.0,424.99999999999994,2306.0
0500000US18023,33190,201,24551,145,349,3712,8531.0,547.0,2819.0
0500000US18025,10526,30,8221,18,59,71,3015.0,255.0,1323.0
0500000US18027,33381,638,23699,456,1019,1216,8545.0,390.99999999999994,1800.0
0500000US18029,50679,307,39363,220,573,434,18113.0,917.0,4883.0
0500000US18031,26472,91,20317,63,182,392,8490.0,487.0,2121.0
0500000US18033,43265,190,32726,114,335,724,12054.0,821.0,3941.0
0500000US18035,111903,8249,90284,6335,13679,2510,24263.0,2388.0,18153.0
0500000US18037,43637,202,33355,143,354,2471,13365.0,1163.0,5389.0
0500000US18039,207047,11372,150481,7699,16801,24203,41867.0,2716.0,20740.0
0500000US18041,23398,281,18313,231,548,183,6839.0,439.0,2252.0
0500000US18043,80484,4341,62345,3060,6793,1880,21432.0,1861.0,13945.0
0500000US18045,16479,64,12907,38,111,268,5662.0,336.99999999999994,1476.0
0500000US18047,22785,31,17422,18,63,127,8669.0,358.0,1969.0
0500000US18049,20480,148,15582,108,271,633,6010.0,404.0,1960.0
0500000US18051,33011,639,25160,475,1120,433,11081.0,673.0,3721.0
0500000US18053,66674,4689,52856,3575,7752,2173,17008.0,1198.0,7010.0
0500000US18055,30803,54,24000,34,112,293,10277.0,559.0,2929.0
0500000US18057,347467,14993,253195,10555,22976,11216,87404.0,9122.0,57263.0
