GEOID,R20,D20,L20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US18001,10686.0,3236.0,286.99999999999994,35809,34632,33670,183,105,137,4,533,1177,1127,118,322,45,19,575,12,7,0,13,0,1,12,0,0,3,33,1,2,2,1,0,1,19,7,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,4,0,0,0,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,35809,1637,34172,33520,33080,171,80,135,4,50,652,622,114,297,43,15,132,8,7,0,5,0,1,0,0,0,0,17,0,2,2,1,0,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,3,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,24641,23918,23250,102,87,94,3,382,723,696,33,229,25,5,357,12,6,0,13,0,1,12,0,0,3,15,0,2,2,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,24641,1038,23603,23197,22915,90,65,94,3,30,406,388,32,218,23,5,90,8,6,0,5,0,1,0,0,0,0,10,0,2,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13172,12386,786,493,453,107,0,346,0,40,0,0,40
0500000US18003,92080.0,73189.0,3727.0,385410,358197,277055,44481,1671,18304,154,16532,27213,25613,7262,4682,2183,149,9661,400,148,29,573,37,0,203,109,160,17,1511,610,118,1,292,90,13,266,54,45,0,2,1,12,1,2,0,0,4,0,0,74,20,3,37,0,3,0,5,6,0,0,0,0,0,0,0,13,13,0,0,0,0,0,2,2,385410,32923,352487,334930,270149,43629,883,18191,138,1940,17557,16624,6776,4349,2115,130,2198,357,143,29,266,34,0,4,109,114,0,883,490,116,1,98,81,13,9,49,9,0,2,1,12,0,2,0,0,0,0,0,35,20,3,8,0,0,0,4,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,2,2,287203,271954,216585,31162,1235,12239,118,10615,15249,14517,2753,3399,1033,80,6253,282,61,17,302,19,0,147,80,75,16,679,281,34,0,90,39,12,167,37,10,0,2,1,0,0,2,0,0,4,0,0,46,10,1,21,0,3,0,5,6,0,0,0,0,0,0,0,5,5,0,0,0,0,0,2,2,287203,20077,267126,257515,212663,30792,700,12167,104,1089,9611,9179,2633,3229,999,76,1591,264,60,17,151,17,0,4,80,58,0,402,232,34,0,44,30,12,9,34,2,0,2,1,0,0,2,0,0,0,0,0,23,10,1,8,0,0,0,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,2,2,162431,151690,10741,6255,3819,731,140,2943,5,2436,1412,0,1024
0500000US18005,22410.0,12934.0,872.0,82208,77198,65763,1826,305,5390,49,3865,5010,4766,799,1143,354,55,2250,23,10,3,50,0,0,50,5,24,0,209,76,17,4,20,6,1,59,12,8,0,0,0,0,0,4,1,0,0,0,1,31,0,1,19,2,2,0,0,0,2,3,2,0,0,0,0,4,4,0,0,0,0,0,0,0,82208,7257,74951,72013,64395,1768,132,5383,45,290,2938,2808,764,1092,340,52,481,16,7,3,24,0,0,7,5,17,0,122,64,17,4,9,2,1,6,12,5,0,0,0,0,0,0,1,0,0,0,1,5,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,62440,59443,51416,1362,224,3942,35,2464,2997,2850,291,860,162,27,1407,11,10,3,28,0,0,40,5,6,0,126,52,10,0,14,4,0,37,7,0,0,0,0,0,0,0,1,0,0,0,1,17,0,1,10,2,2,0,0,0,0,0,2,0,0,0,0,4,4,0,0,0,0,0,0,0,62440,4371,58069,56294,50688,1335,107,3939,32,193,1775,1699,287,829,156,27,351,10,7,3,11,0,0,7,5,6,0,68,40,10,0,6,2,0,1,7,0,0,0,0,0,0,0,1,0,0,0,1,5,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,35317,32607,2710,1249,739,206,38,495,0,510,333,0,177
0500000US18007,3007.0,1009.0,91.99999999999997,8719,8362,7954,51,27,13,9,308,357,339,33,93,0,4,200,0,0,0,0,1,0,0,0,2,6,14,3,0,0,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8719,629,8090,7896,7789,44,15,13,7,28,194,185,33,87,0,4,58,0,0,0,0,1,0,0,0,2,0,8,3,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6554,6332,6040,39,26,12,7,208,222,217,16,69,0,4,125,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6554,378,6176,6038,5947,33,15,12,5,26,138,133,16,69,0,4,41,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3783,3408,375,114,71,27,0,44,0,43,0,0,43
0500000US18009,3841.0,1376.0,131.99999999999997,12112,11600,11380,59,39,24,0,98,512,484,82,256,16,6,113,6,2,0,0,0,0,0,1,0,2,18,6,1,0,0,5,2,0,0,1,0,0,0,0,1,2,0,0,0,0,0,9,3,0,0,3,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,12112,252,11860,11424,11278,54,38,24,0,30,436,415,80,251,16,6,55,4,2,0,0,0,0,0,1,0,0,13,4,0,0,0,5,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9527,9196,9047,47,30,19,0,53,331,316,18,198,8,0,81,6,2,0,0,0,0,0,1,0,2,11,1,1,0,0,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,9527,155,9372,9096,8986,43,29,19,0,19,276,266,18,193,8,0,40,4,2,0,0,0,0,0,1,0,0,7,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5857,5179,678,128,128,44,0,72,12,0,0,0,0
0500000US18011,22351.0,15244.0,905.0,70812,66719,61825,1441,164,2401,19,869,4093,3922,487,1010,572,35,1737,12,14,5,21,1,0,8,8,11,1,158,37,7,2,28,19,0,34,7,22,0,0,0,0,1,1,0,0,0,0,0,13,4,0,2,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,70812,2775,68037,65338,61135,1426,128,2389,19,241,2699,2617,456,966,555,35,541,9,14,5,17,0,0,2,8,9,0,77,37,4,2,14,10,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52065,49744,46244,1036,122,1724,13,605,2321,2246,175,693,191,14,1128,12,1,5,12,1,0,6,8,0,0,68,18,0,2,15,8,0,20,0,4,0,0,0,0,0,1,0,0,0,0,0,7,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52065,1762,50303,48844,45832,1036,93,1716,13,154,1459,1420,169,664,187,14,355,9,1,5,8,0,0,0,8,0,0,34,18,0,2,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28103,26593,1510,813,728,151,23,536,18,85,0,0,85
0500000US18013,5777.0,3036.0,168.0,15475,14848,14565,64,38,68,5,108,627,609,42,339,29,2,193,0,0,0,2,0,1,0,0,0,1,17,9,0,0,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15475,270,15205,14666,14463,55,30,65,5,48,539,526,42,338,29,2,111,0,0,0,2,0,1,0,0,0,1,13,9,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12642,12194,11969,52,29,55,5,84,448,441,26,258,18,0,139,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12642,170,12472,12080,11909,48,29,52,5,37,392,387,26,257,18,0,86,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8436,6557,1879,153,136,37,0,99,0,17,0,0,17
0500000US18015,7086.0,2224.0,184.99999999999994,20306,19599,18985,155,60,48,0,351,707,698,94,255,47,0,292,0,0,1,3,0,0,0,6,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,20306,823,19483,18993,18727,128,33,48,0,57,490,484,75,242,40,0,119,0,0,1,2,0,0,0,5,0,0,5,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15504,15067,14666,94,49,38,0,220,437,435,28,183,35,0,186,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15504,492,15012,14697,14528,80,23,38,0,28,315,315,22,175,29,0,87,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9483,8125,1358,116,96,0,0,96,0,20,0,0,20
0500000US18017,10552.0,4304.0,332.99999999999994,37870,35122,30122,604,426,577,8,3385,2748,2675,286,462,110,20,1693,3,16,3,29,4,0,31,0,16,2,70,19,4,0,6,1,2,26,6,2,0,0,0,1,1,0,0,0,0,2,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37870,6675,31195,30070,28744,560,109,573,8,76,1125,1098,266,445,110,18,216,3,16,2,4,4,0,0,0,14,0,26,14,4,0,0,1,2,0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28711,26932,23700,445,281,393,7,2106,1779,1730,95,370,66,7,1110,3,16,3,25,4,0,24,0,7,0,48,19,4,0,0,0,2,14,6,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28711,4064,24647,23916,22966,427,82,390,7,44,731,707,84,356,66,7,160,3,16,2,4,4,0,0,0,5,0,24,14,4,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16379,14900,1479,726,538,184,31,323,0,188,0,0,188
0500000US18019,33668.0,23093.0,1108.0,121093,112488,97115,9390,549,1340,134,3960,8605,8106,2426,2042,549,66,2595,116,49,0,189,3,2,29,16,13,11,452,165,67,11,65,10,4,80,13,27,1,0,0,6,0,3,0,0,0,0,0,40,8,11,18,0,0,0,0,0,2,1,0,0,0,0,0,7,7,0,0,0,0,0,0,0,121093,7891,113202,106840,95403,9265,249,1305,127,491,6362,6021,2366,1985,538,61,767,116,46,0,115,0,2,5,16,4,0,316,157,61,11,23,10,1,16,13,21,0,0,0,0,0,3,0,0,0,0,0,18,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,93523,88635,77534,6987,420,1052,89,2553,4888,4658,841,1581,269,34,1678,86,33,0,79,3,0,24,16,6,8,218,100,18,0,25,0,1,54,8,8,1,0,0,0,0,3,0,0,0,0,0,10,1,7,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,93523,4795,88728,85112,76607,6920,201,1026,82,276,3616,3452,831,1556,264,34,582,86,30,0,48,0,0,5,16,0,0,155,93,16,0,14,0,1,12,8,8,0,0,0,0,0,3,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,52169,48778,3391,1655,1138,221,47,837,33,517,0,0,517
