GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US20001,3651.0,1433.0,228.99999999999994,12526,11744,11180,186,150,67,2,159,782,727,107,344,36,10,205,12,1,0,5,0,0,0,4,0,3,53,17,6,0,0,4,0,10,14,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12526,502,12024,11407,10991,173,135,67,2,39,617,587,99,322,36,10,103,12,0,0,5,0,0,0,0,0,0,30,10,1,0,0,4,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9789,9340,8879,171,105,57,2,126,449,425,32,228,15,7,134,3,0,0,0,0,0,0,4,0,2,22,7,0,0,0,4,0,5,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9789,321,9468,9116,8771,159,97,57,2,30,352,343,32,212,15,7,74,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6054,5273,781,385,138,28,0,91,19,247,247,0,0
0500000US20003,2435.0,672.0,150.99999999999997,7836,7506,7312,26,53,47,2,66,330,306,53,164,10,1,75,1,0,2,0,0,0,0,0,0,0,18,3,1,1,2,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7836,155,7681,7404,7259,26,46,47,0,26,277,272,53,164,10,1,41,1,0,2,0,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5831,5621,5477,26,46,28,0,44,210,193,16,125,0,1,51,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5831,104,5727,5553,5448,26,39,28,0,12,174,173,16,125,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3556,3108,448,92,75,15,0,24,36,17,0,0,17
0500000US20005,4049.0,1989.0,316.0,16348,15346,14111,788,88,83,7,269,1002,934,322,273,62,7,252,4,0,0,0,0,0,5,1,4,4,53,8,0,8,8,12,4,4,2,0,5,0,0,0,1,1,0,0,0,0,0,14,0,0,6,0,3,0,3,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,16348,583,15765,14923,13925,785,78,80,6,49,842,800,318,254,61,7,147,4,0,0,0,0,0,1,0,4,4,39,8,0,8,1,11,4,0,2,0,4,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12749,12198,11234,604,67,71,5,217,551,506,88,194,31,1,177,4,0,0,0,0,0,3,0,4,4,34,3,0,7,8,9,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,11,0,0,6,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12749,432,12317,11872,11110,601,64,71,5,21,445,417,88,180,30,1,105,4,0,0,0,0,0,1,0,4,4,25,3,0,7,1,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6814,6109,705,1683,223,39,0,184,0,1460,1395,0,65
0500000US20007,1850.0,286.0,77.99999999999999,4228,4011,3857,8,34,16,5,91,217,201,28,96,17,0,53,2,0,0,5,0,0,0,0,0,0,16,4,4,1,0,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4228,162,4066,3887,3814,7,34,16,5,11,179,169,28,89,17,0,30,0,0,0,5,0,0,0,0,0,0,10,1,4,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3292,3146,3061,2,24,14,0,45,146,135,16,66,8,0,40,0,0,0,5,0,0,0,0,0,0,11,4,1,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3292,85,3207,3083,3041,2,24,14,0,2,124,119,16,66,8,0,24,0,0,0,5,0,0,0,0,0,0,5,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2574,1916,658,55,50,0,8,21,21,5,0,0,5
0500000US20009,7888.0,1839.0,346.99999999999994,25493,23556,21157,312,149,80,3,1855,1937,1886,194,513,50,0,1057,15,3,0,13,0,0,35,3,3,0,50,12,0,0,11,4,2,16,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,25493,4127,21366,20440,19911,293,90,80,3,63,926,907,163,474,50,0,205,15,0,0,0,0,0,0,0,0,0,19,9,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19337,18145,16493,230,125,69,3,1225,1192,1165,77,364,20,0,663,5,0,0,8,0,0,28,0,0,0,26,12,0,0,7,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,19337,2509,16828,16229,15810,219,78,69,3,50,599,590,67,347,20,0,151,5,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12370,10640,1730,537,335,70,15,249,1,202,67,0,135
0500000US20011,4424.0,1336.0,204.99999999999994,14360,13400,12585,469,100,98,2,146,960,909,141,452,55,10,223,8,0,0,5,6,0,6,3,0,0,46,19,1,2,8,1,0,8,0,0,0,1,1,0,4,1,0,0,0,0,0,5,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14360,386,13974,13133,12451,454,88,98,2,40,841,810,138,437,55,9,154,7,0,0,4,0,0,3,3,0,0,29,19,0,2,3,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10704,10130,9519,368,74,79,1,89,574,550,45,297,24,4,161,8,0,0,5,0,0,3,3,0,0,19,5,0,0,3,1,0,3,0,0,0,1,1,0,4,1,0,0,0,0,0,5,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10704,201,10503,9993,9460,359,68,79,1,26,510,498,45,294,24,3,118,7,0,0,4,0,0,0,3,0,0,10,5,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6770,5666,1104,394,156,35,0,121,0,238,212,0,26
0500000US20013,2906.0,863.0,157.99999999999997,9508,8901,7772,100,872,45,7,105,607,587,97,266,32,0,139,17,5,7,9,1,1,8,2,0,3,14,9,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,9508,352,9156,8648,7683,97,795,42,6,25,508,498,95,245,31,0,84,17,5,7,6,1,0,4,0,0,3,7,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,7159,6801,6035,81,568,28,7,82,358,350,33,175,11,0,99,10,5,7,0,1,0,4,2,0,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7159,192,6967,6662,5992,78,541,25,6,20,305,302,31,162,10,0,69,10,5,7,0,1,0,4,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4482,3841,641,126,78,0,0,78,0,48,0,0,48
0500000US20015,19073.0,6573.0,1415.0,67380,62152,58119,1463,569,1005,39,957,5228,5025,630,2235,371,41,1653,26,12,1,17,8,1,11,11,4,4,184,68,9,2,16,14,3,51,6,4,1,3,0,0,4,0,0,0,0,0,3,18,9,1,2,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,67380,3578,63802,59988,56846,1398,489,996,37,222,3814,3704,597,2103,345,40,549,26,12,1,14,3,0,3,11,0,0,99,52,9,2,9,14,1,0,6,0,0,3,0,0,0,0,0,0,0,0,3,11,6,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50070,46965,43948,1208,423,687,30,669,3105,3005,198,1508,162,20,1037,23,9,1,17,5,1,8,11,4,1,85,20,6,0,13,7,1,22,6,0,0,3,0,0,4,0,0,0,0,0,3,14,9,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,50070,2206,47864,45538,43175,1160,354,681,28,140,2326,2261,194,1451,149,20,389,23,9,1,14,0,0,0,11,0,0,55,20,6,0,9,7,1,0,6,0,0,3,0,0,0,0,0,0,0,0,3,10,6,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26901,24660,2241,2584,2148,1649,0,355,144,436,333,0,103
0500000US20017,969.0,316.0,44.999999999999986,2572,2464,2271,20,16,8,3,146,108,92,13,42,9,1,20,1,0,0,0,0,0,0,0,6,0,11,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2572,222,2350,2272,2228,18,8,8,1,9,78,72,13,39,3,1,12,1,0,0,0,0,0,0,0,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045,1980,1803,20,9,8,1,139,65,58,7,32,1,1,13,1,0,0,0,0,0,0,0,3,0,7,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045,176,1869,1815,1781,18,3,8,1,4,54,50,7,31,1,1,9,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397,1056,341,170,170,143,0,27,0,0,0,0,0
0500000US20019,1236.0,197.0,24.999999999999986,3379,3154,2847,23,189,19,0,76,225,201,21,143,4,0,22,1,3,2,0,0,0,4,0,1,0,20,1,1,0,3,6,4,1,2,1,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3379,138,3241,3050,2822,23,185,18,0,2,191,174,17,143,2,0,8,0,1,2,0,0,0,0,0,1,0,14,0,1,0,2,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2641,2501,2279,19,120,18,0,65,140,132,8,104,3,0,15,0,1,0,0,0,0,0,0,1,0,5,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2641,100,2541,2417,2262,19,118,17,0,1,124,118,5,104,2,0,5,0,1,0,0,0,0,0,0,1,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1976,1401,575,77,44,0,0,44,0,33,0,0,33
