GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US21001,18903,529,14861,460,1012,397,6637.0,140.99999999999997,1323.0
0500000US21003,20588,204,15641,152,377,321,6466.0,160.99999999999997,1349.0
0500000US21005,23852,492,18268,399,893,325,8242.0,319.0,2634.0
0500000US21007,7728,208,6117,154,328,54,3161.0,76.99999999999999,816.0
0500000US21009,44485,1724,33802,1331,2861,1186,13483.0,455.0,4275.0
0500000US21011,12750,128,9503,106,242,94,3082.0,74.99999999999999,1361.0
0500000US21013,24097,558,18995,476,1044,163,7764.0,143.99999999999997,1720.0
0500000US21015,135968,5728,100137,3859,8497,4753,39082.0,2299.0,15026.0
0500000US21017,20252,1035,15500,833,1787,862,5569.0,283.0,2791.0
0500000US21019,48261,1310,37983,1089,2350,463,13591.0,495.99999999999994,6021.0
0500000US21021,30614,2194,24326,1783,3874,1035,8040.0,365.0,4281.0
0500000US21023,8400,51,6360,30,76,47,2711.0,50.99999999999999,705.0
0500000US21025,13718,57,10673,41,112,68,3991.0,116.99999999999999,1537.0
0500000US21027,20432,426,15711,341,757,185,6484.0,193.99999999999997,1960.0
0500000US21029,82217,1045,63008,722,1698,1271,26210.0,964.0,8255.0
0500000US21031,12371,15,9377,15,83,306,4428.0,136.0,947.0
0500000US21033,12649,674,9903,520,1097,131,4507.0,117.99999999999999,1260.0
0500000US21035,37103,1313,30297,1094,2453,885,10367.0,491.99999999999994,4749.0
0500000US21037,93076,2832,73538,2108,4668,1489,25050.0,1789.0,14658.0
0500000US21039,4826,63,3720,48,119,57,2094.0,41.999999999999986,432.0
0500000US21041,10810,184,8104,139,330,459,2588.0,99.99999999999999,1106.0
0500000US21043,26627,212,20774,198,442,133,7587.0,236.99999999999997,2276.0
0500000US21045,15941,83,12064,64,170,288,5482.0,120.99999999999999,767.0
0500000US21047,72748,15527,53678,11100,23070,3755,14108.0,473.99999999999994,7188.0
0500000US21049,36972,1648,28694,1251,2653,863,10710.0,453.0,4706.0
0500000US21051,20345,839,15983,797,1661,294,5861.0,82.99999999999999,752.0
0500000US21053,9253,40,7098,27,78,116,3809.0,59.999999999999986,547.0
0500000US21055,8990,82,6958,74,179,84,3290.0,75.99999999999999,617.0
0500000US21057,5888,150,4649,127,277,54,2502.0,66.99999999999999,459.0
0500000US21059,103312,4872,78502,3610,7985,2306,28907.0,1488.0,14163.0
0500000US21061,12126,98,9503,78,177,110,4135.0,76.99999999999999,979.0
0500000US21063,7354,246,5903,246,497,68,2000.0,66.99999999999999,740.0
0500000US21065,14163,30,11084,21,75,84,4236.0,129.0,1108.0
0500000US21067,322570,48076,254496,35152,73780,19139,56890.0,5230.0,69776.0
0500000US21069,15082,148,11469,125,282,117,4722.0,108.99999999999999,1348.0
0500000US21071,35942,122,28039,84,219,177,11993.0,356.99999999999994,4015.0
0500000US21073,51541,4481,40657,3430,7349,1233,11819.0,725.0,10717.0
0500000US21075,6515,1444,5189,1098,2257,99,1549.0,34.999999999999986,774.0
0500000US21077,8690,74,6497,74,171,279,2443.0,100.0,749.0
0500000US21079,16953,302,13021,243,550,249,5904.0,157.0,1453.0
0500000US21081,24941,195,18397,145,367,418,7268.0,225.99999999999997,1910.0
0500000US21083,36649,1564,27768,1130,2441,1614,12671.0,410.99999999999994,3308.0
0500000US21085,26420,310,20390,275,605,237,8219.0,259.0,1959.0
0500000US21087,11107,160,8644,141,333,112,4372.0,83.99999999999999,832.0
0500000US21089,35962,220,27993,167,412,184,11546.0,318.99999999999994,4146.0
0500000US21091,9095,79,6932,59,146,91,2788.0,129.0,1244.0
0500000US21093,110702,12825,84095,9637,20646,4254,26971.0,1413.0,13944.0
0500000US21095,26831,541,20888,443,976,192,9129.0,155.99999999999997,1372.0
0500000US21097,18692,307,14477,256,604,224,5435.0,183.99999999999997,2031.0
0500000US21099,19288,705,14376,594,1261,187,5320.0,139.99999999999997,1730.0
0500000US21101,44793,3652,34500,2808,5966,801,12159.0,507.0,6707.0
0500000US21103,15678,372,12102,291,680,338,4944.0,224.0,1828.0
0500000US21105,4521,386,3530,296,618,52,1657.0,25.999999999999986,449.0
0500000US21107,45423,2947,35186,2257,4773,680,15277.0,477.99999999999994,4310.0
0500000US21109,12955,12,9994,12,34,60,4889.0,78.99999999999999,482.0
0500000US21111,782969,168910,614376,122748,254269,41100,143768.0,10188.0,190836.0
0500000US21113,52991,2290,39704,1534,3338,1381,15474.0,829.0,6144.0
0500000US21115,22680,45,17751,38,131,139,8043.0,162.99999999999997,1250.0
0500000US21117,169064,8195,128943,5848,12848,4670,42958.0,3093.0,24213.0
