GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US22001,21163.145833333332,5638.583333333333,281.0041666666666,57576,55603,44480,9989,152,163,2,817,1973,1846,696,389,67,16,580,53,5,0,29,0,0,3,0,3,5,119,56,0,1,22,3,0,29,0,2,1,2,0,0,3,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57576,1641,55935,54470,44115,9946,145,163,2,99,1465,1395,674,377,65,16,186,44,4,0,24,0,0,0,0,3,2,66,53,0,1,9,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42943,41857,34071,7041,105,131,2,507,1086,1013,219,280,39,13,393,39,1,0,28,0,0,0,0,1,0,69,36,0,0,15,2,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42943,1026,41917,41138,33847,7012,103,131,2,43,779,734,214,273,37,13,140,32,0,0,24,0,0,0,0,1,0,41,34,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24840,22029,2811,699,567,49,38,480,0,132,0,0,132
0500000US22003,6869.788167938931,2106.223282442748,102.01717557251906,22750,21679,16327,4102,539,183,7,521,1071,961,261,394,22,9,197,36,9,2,20,7,1,0,0,1,2,100,23,9,0,13,14,3,10,6,8,4,0,0,6,0,0,0,2,0,0,2,10,0,0,5,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,22750,1893,20857,19938,15146,4016,525,183,7,61,919,840,255,391,19,9,96,36,7,1,18,7,1,0,0,0,0,78,21,9,0,11,10,3,0,6,6,4,0,0,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17510,16935,12751,3157,393,143,7,484,575,514,52,245,9,4,155,12,9,2,16,7,1,0,0,0,2,56,16,0,0,3,6,3,4,6,6,4,0,0,4,0,0,0,2,0,0,2,5,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,17510,1755,15755,15274,11626,3074,381,143,7,43,481,431,52,245,9,4,79,12,7,1,14,7,1,0,0,0,0,49,16,0,0,2,6,3,0,6,6,4,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9484,7851,1633,2810,2810,2747,7,56,0,0,0,0,0
0500000US22005,36143.0,16476.0,1184.0,126500,118718,81141,30521,513,1709,33,4801,7782,7344,1037,1272,518,35,3966,99,58,33,223,4,2,69,13,13,2,396,83,21,0,95,22,1,147,10,6,2,3,0,3,0,1,1,1,0,0,0,36,10,0,21,0,0,0,3,1,0,0,1,0,0,0,0,6,6,0,0,0,0,0,0,0,126500,10383,116117,112275,79645,30296,266,1681,32,355,3842,3645,984,1179,497,35,628,93,58,32,113,0,1,0,13,11,1,181,72,21,0,43,18,0,7,10,6,0,3,0,0,0,0,1,0,0,0,0,16,4,0,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91957,87190,61136,21352,355,1250,23,3074,4767,4511,399,897,219,12,2666,67,29,11,143,4,1,46,9,7,1,234,53,8,0,51,10,1,90,10,4,2,3,0,0,0,1,1,0,0,0,0,16,6,0,9,0,0,0,1,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,91957,6661,85296,83112,60221,21222,188,1238,23,220,2184,2068,381,842,215,12,431,63,29,11,69,0,0,0,9,5,1,114,46,8,0,28,7,0,7,10,4,0,3,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49690,45866,3824,628,569,311,0,258,0,59,0,0,59
0500000US22007,6714.0,3931.0,126.99999999999999,21039,20184,13722,6013,102,62,0,285,855,811,141,145,27,1,454,29,0,1,7,0,2,2,1,0,1,42,14,1,0,8,1,0,7,1,4,2,0,1,0,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21039,914,20125,19709,13580,5973,83,56,0,17,416,386,137,145,22,1,59,19,0,0,0,0,1,0,1,0,1,29,11,0,0,8,0,0,0,1,4,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16616,16081,11145,4618,86,45,0,187,535,517,55,102,10,0,322,16,0,0,7,0,1,2,1,0,1,17,7,1,0,1,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16616,631,15985,15756,11038,4586,75,44,0,13,229,220,55,102,7,0,40,14,0,0,0,0,0,0,1,0,1,9,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9935,8409,1526,160,148,85,0,63,0,12,0,0,12
0500000US22009,11167.25,5035.925,188.07499999999996,39693,37886,25625,10706,364,359,9,823,1807,1694,684,383,56,2,345,162,7,6,29,3,0,5,3,6,3,101,41,2,6,14,3,0,14,0,0,7,1,0,8,0,0,3,1,0,1,0,10,0,0,1,0,5,0,0,1,0,2,0,0,1,0,0,2,2,0,0,0,0,0,0,0,39693,1485,38208,36688,25236,10649,349,345,3,106,1520,1444,684,351,54,2,143,161,7,6,20,3,0,1,3,6,3,72,37,2,6,14,3,0,0,0,0,2,0,0,5,0,0,3,0,0,0,0,4,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30578,29428,20269,7805,258,331,7,758,1150,1074,328,296,36,1,273,101,5,5,16,3,0,2,3,2,3,72,27,2,6,4,2,0,14,0,0,7,1,0,5,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,30578,1257,29321,28374,19967,7768,248,321,1,69,947,895,328,277,34,1,120,100,5,5,13,3,0,1,3,2,3,51,27,2,6,4,2,0,0,0,0,2,0,0,5,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18126,15181,2945,2797,2721,2101,23,597,0,76,0,0,76
0500000US22011,12245.429151853732,2394.203148806501,225.22194007110204,36549,34566,29529,4111,304,223,32,367,1983,1835,379,717,145,9,509,20,10,0,34,3,0,1,7,1,0,128,40,13,1,14,10,4,26,11,2,0,4,0,2,0,0,1,0,0,0,0,19,7,1,10,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,36549,1271,35278,33734,29039,4082,273,222,27,91,1544,1439,356,694,145,9,185,20,10,0,16,3,0,1,0,0,0,96,37,12,0,13,10,4,5,6,2,0,4,0,2,0,0,1,0,0,0,0,8,2,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,27489,26290,22304,3281,244,170,24,267,1199,1127,129,511,75,5,352,14,10,0,19,3,0,1,7,1,0,65,24,0,1,7,10,4,13,3,0,0,1,0,2,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,27489,828,26661,25723,21983,3263,217,170,19,71,938,884,119,498,75,5,148,14,10,0,11,3,0,1,0,0,0,51,21,0,0,7,10,4,3,3,0,0,1,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,15771,13797,1974,1062,1062,904,0,158,0,0,0,0,0
0500000US22013,3756.4611570247935,3129.134710743802,54.006611570247905,12981,12406,6950,5307,62,21,5,61,575,528,222,141,34,6,95,21,0,3,5,0,1,0,0,0,0,39,11,5,0,8,1,0,3,1,0,0,0,0,7,3,0,0,0,0,0,0,8,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12981,211,12770,12271,6901,5273,61,21,5,10,499,475,218,135,34,6,60,21,0,0,0,0,1,0,0,0,0,24,3,5,0,7,1,0,3,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10073,9697,5486,4111,46,11,0,43,376,347,125,112,17,4,64,17,0,3,4,0,1,0,0,0,0,21,8,0,0,4,1,0,3,1,0,0,0,0,1,3,0,0,0,0,0,0,8,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10073,141,9932,9608,5459,4082,46,11,0,10,324,312,125,106,17,4,42,17,0,0,0,0,1,0,0,0,0,12,0,0,0,3,1,0,3,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6816,5459,1357,318,309,35,0,274,0,9,0,0,9
0500000US22015,35532.15228358093,12693.500413823489,1027.6609062534726,128746,119411,81052,30099,797,2396,119,4948,9335,8719,1485,2306,916,87,3205,177,159,22,225,5,6,57,32,30,7,552,150,76,2,74,49,5,101,49,13,12,2,2,1,5,10,0,1,0,0,0,64,17,3,34,0,2,3,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,128746,10237,118509,112357,78982,29868,573,2341,113,480,6152,5765,1385,2129,851,82,797,170,154,21,121,0,6,5,31,8,5,349,129,76,2,19,46,3,11,47,3,0,0,2,1,5,4,0,1,0,0,0,38,15,1,13,0,2,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,95876,90068,62931,21336,617,1889,90,3205,5808,5480,514,1740,463,50,2222,126,108,14,147,5,4,39,26,18,4,306,89,31,1,35,18,5,72,25,4,9,2,2,0,5,8,0,0,0,0,0,22,6,3,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,95876,6619,89257,85493,61602,21217,456,1846,84,288,3764,3566,484,1629,438,48,599,120,103,14,89,0,4,5,26,3,4,188,77,31,1,14,18,3,10,23,0,0,0,2,0,5,4,0,0,0,0,0,10,4,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,55237,50092,5145,2174,1661,979,19,663,0,513,0,316,197
0500000US22017,48947.84771641907,53430.49958617651,1857.3390937465272,237848,226988,103457,115298,1093,3206,126,3808,10860,10080,2176,2566,717,69,3204,536,179,26,513,11,1,46,22,9,5,724,281,59,8,132,48,3,131,10,7,1,0,0,14,21,7,0,1,1,0,0,51,11,0,28,0,2,1,1,0,0,0,0,0,0,8,0,4,0,2,0,1,1,0,1,1,237848,8381,229467,221546,101727,114769,895,3179,120,856,7921,7385,2104,2415,695,69,988,520,170,22,360,10,1,11,16,2,2,502,253,59,8,81,38,3,13,10,4,0,0,0,13,18,2,0,0,0,0,0,31,10,0,11,0,0,1,1,0,0,0,0,0,0,8,0,2,0,0,0,1,1,0,1,1,182407,175290,85059,84143,890,2523,98,2577,7117,6608,1038,1947,403,39,2308,381,93,17,318,11,1,29,16,7,0,465,195,30,1,73,30,0,91,10,5,1,0,0,12,10,5,0,1,1,0,0,39,6,0,26,0,2,1,0,0,0,0,0,0,0,4,0,4,0,2,0,1,1,0,1,1,182407,5618,176789,171593,83857,83807,744,2504,92,589,5196,4838,1006,1872,390,39,778,366,88,17,246,10,1,7,16,2,0,335,175,30,1,60,26,0,9,10,4,0,0,0,11,7,2,0,0,0,0,0,20,6,0,9,0,0,1,0,0,0,0,0,0,0,4,0,2,0,0,0,1,1,0,1,1,112323,99029,13294,4079,3400,1214,56,2130,0,679,248,0,431
0500000US22019,54191.0,26296.0,1786.0,216785,204918,139772,55263,1100,3827,138,4818,11867,11020,2419,2216,740,87,4337,337,59,17,696,13,4,45,20,21,9,751,284,25,3,154,36,11,160,20,13,0,1,3,27,5,4,5,0,0,0,0,85,14,0,50,1,5,0,3,7,0,2,1,2,0,0,0,8,6,2,0,0,0,0,3,3,216785,11384,205401,197624,137110,54825,902,3797,137,853,7777,7233,2338,2094,719,81,1069,330,59,17,467,9,0,7,20,19,4,499,246,25,3,112,35,11,13,20,0,0,1,3,27,0,3,0,0,0,0,0,39,14,0,13,1,5,0,1,0,0,2,1,2,0,0,0,4,2,2,0,0,0,0,2,2,163166,155652,108789,39719,811,2938,104,3291,7514,6976,1037,1644,347,55,3057,232,42,10,463,8,4,34,18,16,9,466,199,12,1,90,14,4,107,10,3,0,0,3,16,0,2,5,0,0,0,0,67,14,0,40,0,5,0,3,0,0,2,1,2,0,0,0,2,2,0,0,0,0,0,3,3,163166,7570,155596,150810,107077,39470,660,2908,103,592,4786,4425,1006,1584,343,49,785,232,42,10,327,4,0,7,18,14,4,319,176,12,1,72,14,4,9,10,0,0,0,3,16,0,2,0,0,0,0,0,38,14,0,13,0,5,0,1,0,0,2,1,2,0,0,0,2,2,0,0,0,0,0,2,2,93232,83865,9367,2616,2097,1018,62,829,188,519,357,0,162
