GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R20,L20,D20
0500000US22001,57576,9989,42943,7041,14420,1026,22596.0,240.99999999999991,5443.0
0500000US22003,22750,4102,17510,3157,6428,1755,7574.0,72.99999999999997,2108.0
0500000US22005,126500,30521,91957,21352,43470,6661,40687.0,816.0,20399.0
0500000US22007,21039,6013,16616,4618,9324,631,7271.0,67.99999999999999,3833.0
0500000US22009,39693,10706,30578,7805,16113,1257,12028.0,160.99999999999997,4979.0
0500000US22011,36549,4111,27489,3281,6769,828,13575.0,171.99999999999994,2542.0
0500000US22013,12981,5307,10073,4111,8387,141,3891.0,48.99999999999997,3067.0
0500000US22015,128746,30099,95876,21336,43754,6619,38074.0,632.0,15662.0
0500000US22017,237848,115298,182407,84143,170459,5618,48021.0,1020.9999999999999,55110.0
0500000US22019,216785,55263,163166,39719,81550,7570,55066.0,1083.0,25982.0
0500000US22021,9645,1534,7478,1195,2414,163,3976.0,20.999999999999993,745.0
0500000US22023,5617,72,4358,51,118,130,3671.0,22.999999999999996,324.0
0500000US22025,8906,2297,6951,1679,3410,558,3541.0,25.99999999999999,1269.0
0500000US22027,14170,6184,11507,4731,9549,403,3770.0,28.999999999999982,2731.0
0500000US22029,18687,7518,14217,5517,11130,310,5550.0,63.99999999999998,3177.0
0500000US22031,26812,9621,20440,7278,14700,495,9112.0,78.99999999999997,5457.0
0500000US22033,456781,206681,355612,152669,309351,21539,88420.0,2440.0,115577.0
0500000US22035,7459,5188,5901,3979,8009,80,1080.0,19.99999999999999,1900.0
0500000US22037,19539,7139,16183,5790,11694,317,6064.0,88.99999999999999,4280.0
0500000US22039,32350,8664,24408,6217,12692,1111,11053.0,95.99999999999996,4158.0
0500000US22041,19774,6554,15028,4655,9421,183,6970.0,44.99999999999998,2658.0
0500000US22043,22169,3108,17527,2629,5342,1179,8117.0,78.99999999999997,1157.0
0500000US22045,69929,23162,52791,16474,33523,2657,21251.0,252.99999999999994,11027.0
0500000US22047,30241,13377,24086,10027,20240,1187,7893.0,140.99999999999997,8514.0
0500000US22049,15031,3956,11783,3025,6140,372,5394.0,50.99999999999998,2143.0
0500000US22051,440781,117892,344654,87526,179561,55484,105949.0,1934.9999999999998,84477.0
0500000US22053,32250,5148,24039,3745,7747,489,11423.0,130.99999999999994,3208.0
0500000US22055,241753,61086,183875,43846,89698,10829,72519.0,1511.9999999999998,39685.0
0500000US22057,97557,14640,74619,10639,21711,3743,36024.0,423.99999999999994,8672.0
0500000US22059,14791,1299,11563,1024,2082,1325,6378.0,38.99999999999998,638.0
0500000US22061,48396,18729,38655,14720,29821,1187,11311.0,275.99999999999994,7559.0
0500000US22063,142282,11268,105141,7651,15770,5390,54877.0,817.0,9249.0
0500000US22065,10017,6224,7435,4322,8710,149,1930.0,22.99999999999999,2654.0
0500000US22067,25629,12048,20062,9014,18309,292,6510.0,55.99999999999998,4946.0
0500000US22069,37515,14948,29349,10950,22337,1140,9358.0,171.99999999999997,6896.0
0500000US22071,383997,208273,306196,158350,324127,23156,26664.0,1602.9999999999998,147854.0
0500000US22073,160368,59083,120200,41188,83434,3946,42255.0,623.9999999999999,25913.0
0500000US22075,23515,4920,17334,3645,7492,1377,7412.0,102.99999999999999,3414.0
0500000US22077,20758,7245,16250,5368,10862,429,7503.0,93.99999999999999,4683.0
0500000US22079,130023,40484,98792,29149,59326,3442,38347.0,692.9999999999999,19475.0
0500000US22081,7620,2965,5714,2112,4269,113,2413.0,30.999999999999993,1644.0
0500000US22083,20043,7336,15383,5387,10930,293,6607.0,52.99999999999997,3225.0
0500000US22085,22155,3529,17064,2540,5188,502,8776.0,48.99999999999997,1731.0
0500000US22087,43764,11507,31775,7596,15518,4028,11179.0,187.99999999999997,6151.0
0500000US22089,52549,13133,39541,9549,19423,2737,18233.0,294.0,9800.0
0500000US22091,10920,5861,8463,4291,8659,149,2714.0,42.99999999999999,3346.0
0500000US22093,20192,9523,15505,7188,14482,237,5954.0,46.999999999999986,6510.0
0500000US22095,42477,24305,32503,17908,36339,2210,7538.0,117.99999999999999,13582.0
0500000US22097,82540,34360,61811,24701,50185,1374,23171.0,300.99999999999994,17372.0
0500000US22099,51767,15099,39404,10896,22180,1144,18203.0,204.99999999999997,8439.0
0500000US22101,49406,15058,37521,11127,22633,2954,14811.0,172.99999999999997,8055.0
0500000US22103,264570,34356,202228,24700,51296,14310,99666.0,1867.9999999999998,37746.0
0500000US22105,133157,40039,101491,28327,57515,4840,37806.0,588.9999999999999,18887.0
0500000US22107,4147,2250,3235,1702,3428,46,1197.0,10.999999999999995,1329.0
0500000US22109,109580,21253,82505,15077,30844,4701,34339.0,433.99999999999994,11198.0
0500000US22111,21107,4995,16632,3754,7615,709,8407.0,75.99999999999997,2654.0
0500000US22113,57359,7931,43012,5484,11270,1496,21930.0,227.99999999999994,5009.0
0500000US22115,48750,6491,36261,4695,9809,2740,14107.0,187.99999999999994,2898.0
0500000US22117,45463,12858,34951,9481,19201,901,13307.0,119.99999999999994,5970.0
0500000US22119,36967,12185,28753,9220,18678,434,11830.0,118.99999999999996,6172.0
0500000US22121,27199,10754,20526,7922,16067,871,7684.0,121.99999999999999,6200.0
0500000US22123,9751,1341,7532,988,1995,192,4317.0,11.999999999999991,710.0
0500000US22125,15310,3618,12783,2902,5849,572,3863.0,66.0,2298.0
0500000US22127,13755,3525,10906,2591,5285,941,4619.0,35.99999999999998,1543.0
