GEOID,R20,D20,L20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US25001,55311.0,91994.0,1855.9999999999998,228982,213100,196446,6603,1224,3222,81,5524,15882,14516,1473,1748,1025,62,8927,186,49,12,874,8,8,49,20,58,17,1200,230,30,3,590,24,3,129,54,44,2,4,0,66,4,10,5,1,0,0,1,147,6,0,97,2,26,10,1,0,0,5,0,0,0,0,0,19,1,16,0,2,0,0,0,0,228982,7908,221074,208744,194548,6409,1092,3182,65,3448,12330,11241,1393,1624,989,58,6142,161,45,6,706,6,3,36,19,46,7,967,205,28,0,499,20,3,61,52,26,0,3,0,62,3,3,1,1,0,0,0,112,0,0,73,2,24,7,1,0,0,5,0,0,0,0,0,10,0,10,0,0,0,0,0,0,196273,185339,172537,4966,929,2578,71,4258,10934,10177,636,1327,565,56,6592,135,22,6,702,6,8,47,19,42,14,662,135,16,3,305,9,2,74,36,23,2,2,0,42,3,6,3,0,0,0,1,79,6,0,50,2,11,4,1,0,0,5,0,0,0,0,0,16,0,14,0,2,0,0,0,0,196273,5460,190813,182246,171242,4838,833,2551,55,2727,8567,7952,607,1263,553,53,4639,121,22,6,584,6,3,34,19,35,7,549,127,16,0,271,9,2,31,35,14,0,1,0,40,2,0,1,0,0,0,0,58,0,0,35,2,11,4,1,0,0,5,0,0,0,0,0,8,0,8,0,0,0,0,0,0,164882,103365,61517,4423,2186,213,37,1875,61,2237,1360,39,838
0500000US25003,18064.0,51705.0,926.9999999999999,129026,120699,110862,4296,287,2019,24,3211,8327,7793,1785,1506,681,38,3392,78,31,3,186,4,2,40,12,24,11,478,204,31,8,86,23,1,85,8,2,0,10,2,10,2,0,0,1,1,0,4,54,5,3,24,0,3,1,2,11,0,0,0,4,0,1,0,2,1,0,0,1,0,0,0,0,129026,7064,121962,116141,109263,4064,165,1999,18,632,5821,5484,1624,1446,671,38,1519,71,21,3,54,4,2,6,11,13,1,315,180,29,8,45,22,1,6,8,2,0,10,2,0,2,0,0,0,0,0,0,20,1,0,13,0,0,0,0,2,0,0,0,4,0,0,0,2,1,0,0,1,0,0,0,0,106768,101510,94050,3196,246,1684,17,2317,5258,4946,690,1196,362,21,2411,59,20,0,119,4,2,31,8,13,10,273,120,8,4,37,17,0,58,2,0,0,10,2,9,0,0,0,1,1,0,4,37,1,3,17,0,3,1,2,10,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,106768,4751,102017,98377,93010,3060,152,1677,15,463,3640,3457,645,1164,358,21,1133,57,17,0,35,4,2,6,8,6,1,171,105,8,4,19,16,0,5,2,0,0,10,2,0,0,0,0,0,0,0,0,10,1,0,7,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,69759,57015,12744,5709,1716,188,105,1296,127,3993,3045,0,948
0500000US25005,119872.0,153377.0,3667.0,579167,528489,455737,25668,2441,13778,171,30694,50678,46081,4790,3942,2648,172,22345,514,164,52,10737,17,0,345,58,137,160,4153,571,118,20,2549,56,23,304,48,96,14,16,1,223,5,60,34,3,1,2,9,426,37,2,302,11,40,2,0,8,3,3,2,3,0,12,1,15,13,1,0,0,1,0,3,3,579167,54749,524418,492174,445633,23123,936,13650,102,8730,32244,28956,4227,3668,2595,166,9008,410,149,47,8410,13,0,75,46,76,66,3038,464,91,20,1985,54,17,86,42,46,8,11,0,137,2,43,25,0,0,0,7,237,23,2,163,3,36,2,0,0,0,1,1,1,0,5,0,10,9,0,0,0,1,0,3,3,461845,429140,376397,18441,1760,10625,130,21787,32705,30323,2040,2969,1338,132,15046,370,82,35,7775,16,0,256,46,92,126,2166,342,37,12,1211,28,13,198,25,37,14,9,1,165,0,41,28,0,1,0,4,199,11,2,154,2,17,2,0,0,0,1,2,0,0,7,1,14,12,1,0,0,1,0,3,3,461845,35385,426460,405235,370319,16912,744,10553,89,6618,21225,19458,1838,2811,1318,130,6374,316,72,31,6352,13,0,59,39,54,51,1640,290,27,12,990,28,10,61,25,22,8,7,0,108,0,27,23,0,0,0,2,114,8,2,85,2,13,2,0,0,0,1,1,0,0,0,0,10,9,0,0,0,1,0,3,3,243450,229279,14171,14139,4970,885,313,3530,242,9169,6660,0,2509
0500000US25007,2631.0,9914.0,137.99999999999997,20569,18347,16297,813,213,185,10,829,2222,2053,174,126,100,21,1433,50,16,6,95,12,4,6,5,5,0,120,33,8,3,37,0,0,6,1,3,0,2,0,11,4,10,1,0,0,1,0,41,10,3,9,4,7,0,0,0,2,5,0,0,0,1,0,4,4,0,0,0,0,0,4,4,20569,533,20036,18096,16207,795,201,184,9,700,1940,1805,159,126,98,21,1228,49,14,2,85,7,2,4,5,5,0,105,30,8,0,37,0,0,6,0,3,0,2,0,9,0,9,0,0,0,1,0,24,5,1,7,2,4,0,0,0,0,4,0,0,0,1,0,2,2,0,0,0,0,0,4,4,17251,15648,13973,720,159,152,9,635,1603,1497,103,103,44,11,1076,41,13,2,86,7,4,3,1,3,0,77,23,6,0,22,0,0,4,1,2,0,1,0,9,4,4,1,0,0,0,0,23,9,3,3,2,1,0,0,0,0,5,0,0,0,0,0,2,2,0,0,0,0,0,4,4,17251,384,16867,15456,13911,702,150,152,9,532,1411,1321,98,103,44,11,917,41,13,2,76,7,2,3,1,3,0,71,23,6,0,22,0,0,4,0,2,0,1,0,9,0,4,0,0,0,0,0,13,4,1,1,2,1,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,4,4,17501,8920,8581,84,56,15,0,41,0,28,0,0,28
0500000US25009,144823.6913580247,267167.5802469136,5354.7037037037035,809793,734577,558305,33524,4076,29819,285,108568,75216,70949,6070,4488,4802,191,42261,362,224,36,10451,49,1,1045,71,446,452,3632,559,159,16,1868,82,12,492,101,142,11,3,4,107,10,21,12,3,7,7,16,587,54,4,440,8,33,2,0,6,3,25,1,0,0,8,3,46,12,33,1,0,0,0,2,2,809793,182845,626948,600487,536404,27081,782,29302,130,6788,26461,25299,4693,3983,4648,168,10328,244,201,27,761,46,1,21,57,97,24,1033,318,136,12,277,59,9,38,101,47,3,2,3,10,6,5,0,1,2,0,4,117,43,4,31,6,15,1,0,0,0,12,1,0,0,4,0,12,6,6,0,0,0,0,0,0,640811,590229,462025,24774,2917,23067,214,77232,50582,47972,3111,3439,2122,132,29455,288,110,28,7826,40,0,750,62,268,341,2177,338,72,12,1110,44,7,329,56,69,6,2,1,74,6,15,7,3,7,7,12,405,34,4,320,2,19,1,0,4,1,10,0,0,0,7,3,28,7,20,1,0,0,0,0,0,640811,127013,513798,496916,448538,20290,571,22789,104,4624,16882,16228,2367,3141,2066,121,7456,202,103,19,577,37,0,18,52,58,11,583,200,55,12,146,38,4,23,56,28,2,2,0,9,2,3,0,1,2,0,0,64,26,4,23,0,6,1,0,0,0,0,0,0,0,4,0,7,1,6,0,0,0,0,0,0,327175,309020,18155,19026,7217,2118,287,4779,33,11809,8020,19,3770
0500000US25011,11201.0,30030.0,691.9999999999999,71029,66227,62398,1075,195,1198,11,1350,4802,4444,589,1103,491,9,2060,40,11,0,92,5,5,15,7,8,9,299,89,26,5,53,21,0,45,15,22,4,9,0,4,6,0,0,0,0,0,0,50,5,8,22,1,6,2,0,3,2,0,1,0,0,0,0,8,5,1,0,2,0,0,1,1,71029,3592,67437,64106,61464,963,121,1186,10,362,3331,3130,523,1057,470,6,979,37,11,0,24,1,3,5,5,5,4,159,61,24,5,19,14,0,6,15,0,4,8,0,0,3,0,0,0,0,0,0,35,3,8,14,0,4,2,0,3,0,0,1,0,0,0,0,6,4,0,0,2,0,0,1,1,58799,55615,52603,818,158,1010,10,1016,3184,2982,267,853,261,4,1452,30,10,0,61,5,5,14,5,6,9,167,58,9,0,23,13,0,34,6,12,0,8,0,0,4,0,0,0,0,0,0,31,2,6,14,1,6,0,0,0,2,0,0,0,0,0,0,3,0,1,0,2,0,0,1,1,58799,2326,56473,54189,52028,745,108,1008,10,290,2284,2165,249,824,257,4,748,28,10,0,24,1,3,5,5,3,4,94,45,8,0,11,9,0,6,6,0,0,8,0,0,1,0,0,0,0,0,0,22,2,6,10,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,1,34345,31323,3022,1683,747,318,45,369,15,936,290,0,646
0500000US25013,87318.0,125948.0,2971.0,465825,417894,302357,41556,2338,12344,286,59013,47931,44787,4966,3805,2305,175,28002,654,273,53,3461,39,18,441,42,230,323,2676,733,121,20,981,40,9,304,80,108,37,26,1,182,3,18,9,0,0,3,1,449,38,10,356,3,14,0,0,4,4,18,0,0,0,2,0,17,7,7,0,3,0,0,2,2,465825,121319,344506,329335,278464,35988,659,12110,169,1945,15171,14205,3893,3434,2196,140,3325,466,228,41,353,19,6,2,39,49,14,874,421,103,16,127,38,8,13,69,26,5,26,0,11,2,6,2,0,0,0,1,89,29,6,28,2,1,0,0,4,2,15,0,0,0,2,0,3,0,0,0,3,0,0,0,0,367439,335355,251374,30702,1733,9477,234,41835,32084,30203,2501,2962,1257,109,19592,488,163,44,2279,22,12,326,38,164,246,1552,466,52,6,538,29,2,191,49,36,28,13,1,120,3,10,7,0,0,0,1,312,33,4,247,3,8,0,0,0,2,14,0,0,0,1,0,17,7,7,0,3,0,0,0,0,367439,82305,285134,275026,236006,27586,565,9344,144,1381,10108,9494,2034,2754,1210,96,2474,377,140,32,270,12,6,2,37,38,12,552,292,44,2,79,27,2,13,45,14,5,13,0,6,2,5,2,0,0,0,1,59,25,0,19,2,1,0,0,0,0,11,0,0,0,1,0,3,0,0,0,3,0,0,0,0,197033,185030,12003,14286,4846,1031,217,3561,37,9440,7137,0,2303
0500000US25015,22281.0,63362.0,1086.0,162308,150362,130161,4706,426,10796,58,4215,11946,11137,1414,1561,1849,74,5283,85,93,5,553,14,10,71,30,73,22,656,146,71,6,174,28,4,118,24,40,4,8,2,10,12,2,0,2,4,1,0,138,13,0,84,2,12,5,6,3,0,9,3,0,0,1,0,12,0,7,4,1,0,0,3,3,162308,11622,150686,143662,127578,4360,205,10740,56,723,7024,6686,1282,1459,1791,64,1632,71,88,5,218,9,0,7,30,26,4,292,95,71,3,37,28,2,2,22,12,3,2,2,2,11,0,0,0,0,0,0,36,9,0,15,0,1,0,1,0,0,7,3,0,0,0,0,10,0,6,3,1,0,0,0,0,138414,129849,112274,4000,344,9904,49,3278,8565,8046,845,1245,1189,44,3959,72,59,5,446,9,10,61,30,61,11,425,104,37,0,107,18,4,90,23,12,4,8,2,6,5,2,0,2,0,1,0,84,6,0,60,2,4,0,6,3,0,2,0,0,0,1,0,10,0,7,3,0,0,0,0,0,138414,8464,129950,124965,110520,3772,186,9858,47,582,4985,4779,786,1179,1165,44,1252,65,58,5,159,9,0,6,30,21,0,183,65,37,0,20,18,2,2,21,6,3,2,2,1,4,0,0,0,0,0,0,14,4,0,8,0,0,0,1,0,0,1,0,0,0,0,0,9,0,6,3,0,0,0,0,0,66245,61774,4471,22692,964,143,22,752,47,21728,20717,0,1011
0500000US25017,226969.3086419753,617226.4197530864,10650.296296296296,1632002,1497263,1112445,84670,3676,210462,444,85566,134739,128013,11190,7148,21176,365,76838,673,800,99,6734,216,7,1173,340,1024,230,5960,1033,496,24,1802,237,11,1054,327,722,37,11,0,82,13,86,5,0,10,4,6,707,73,0,465,11,73,15,9,43,2,6,1,2,0,7,0,45,17,20,6,0,2,0,14,14,1632002,143245,1488757,1406508,1085919,80996,1414,209632,353,28194,82249,78975,10192,6338,20652,352,35241,543,753,97,3260,195,5,320,321,678,28,2982,743,455,15,823,199,11,88,314,227,8,8,0,22,8,58,0,0,3,0,0,247,64,0,96,11,51,4,8,3,2,6,0,2,0,0,0,34,17,11,4,0,2,0,11,11,1313737,1224094,924740,65086,2771,167073,400,64024,89643,85553,6047,5488,9640,259,55983,529,469,79,5026,136,4,893,269,570,161,3560,720,205,11,1055,126,7,754,215,295,26,5,0,58,5,57,3,0,8,4,6,478,54,0,327,6,33,11,9,20,2,6,1,2,0,7,0,38,17,15,4,0,2,0,14,14,1313737,102423,1211314,1158367,906500,62690,1092,166602,321,21162,52947,50968,5591,4950,9416,253,26184,444,438,79,2564,118,4,237,257,408,25,1778,531,191,5,491,110,7,62,208,108,5,2,0,14,2,39,0,0,3,0,0,159,45,0,72,6,15,0,8,3,2,6,0,2,0,0,0,31,17,8,4,0,2,0,11,11,658283,625916,32367,57722,12881,3109,611,8890,271,44841,37287,146,7408
0500000US25019,1914.0,5241.0,81.0,14255,12868,10159,1027,87,264,5,1326,1387,1270,88,51,87,2,895,17,4,9,92,1,2,1,0,20,1,84,7,9,3,27,7,2,0,4,5,2,4,4,2,0,4,4,0,0,0,0,23,7,0,0,0,2,5,0,1,0,2,1,2,0,3,0,10,0,10,0,0,0,0,0,0,14255,2312,11943,11328,9889,1006,19,263,2,149,615,548,86,48,87,2,265,13,0,9,35,0,2,0,0,0,1,46,7,2,3,19,2,0,0,0,0,2,2,4,0,0,1,4,0,0,0,0,21,7,0,0,0,1,5,0,1,0,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,11552,10557,8477,821,74,214,0,971,995,908,32,39,45,2,678,13,3,8,67,1,2,1,0,17,0,64,7,7,3,21,7,0,0,4,5,2,0,4,0,0,0,4,0,0,0,0,17,7,0,0,0,2,5,0,0,0,0,1,0,0,2,0,6,0,6,0,0,0,0,0,0,11552,1677,9875,9451,8293,800,16,213,0,129,424,373,31,36,45,2,214,9,0,8,26,0,2,0,0,0,0,35,7,0,3,13,2,0,0,0,0,2,0,4,0,0,0,4,0,0,0,0,16,7,0,0,0,1,5,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,12169,5478,6691,64,34,0,0,34,0,30,0,0,30
