GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R20,L20,D20
0500000US25001,228982,6603,196273,4966,11948,5460,55311.0,1855.9999999999998,91994.0
0500000US25003,129026,4296,106768,3196,7470,4751,18064.0,926.9999999999999,51705.0
0500000US25005,579167,25668,461845,18441,49030,35385,119872.0,3667.0,153377.0
0500000US25007,20569,813,17251,720,1755,384,2631.0,137.99999999999997,9914.0
0500000US25009,809793,33524,640811,24774,62548,127013,144823.6913580247,5354.7037037037035,267167.5802469136
0500000US25011,71029,1075,58799,818,2106,2326,11201.0,691.9999999999999,30030.0
0500000US25013,465825,41556,367439,30702,68095,82305,87318.0,2971.0,125948.0
0500000US25015,162308,4706,138414,4000,9698,8464,22281.0,1086.0,63362.0
0500000US25017,1632002,84670,1313737,65086,144441,102423,226969.3086419753,10650.296296296296,617226.4197530864
0500000US25019,14255,1027,11552,821,1811,1677,1914.0,81.0,5241.0
0500000US25021,725981,51371,577336,39751,87274,26618,125211.0,5190.0,273153.0
0500000US25023,530677,45130,419395,33257,81673,16124,121227.0,4310.0,173630.0
0500000US25025,797795,145548,670180,113422,252301,132203,58613.0,2959.0,270521.0
0500000US25027,862111,48022,683585,34774,77977,76346,171683.0,7130.0,248773.0
