GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US24001,68106,5341,56039,4923,10334,834,21270.0,857.9999999999999,7875.0
0500000US24003,587924,104445,455748,79179,165469,36700,122403.0,10408.0,128419.0
0500000US24005,854309,255715,669367,192614,395700,40172,149477.0,11748.0,218412.0
0500000US24009,92770,12096,70913,9605,20199,2591,26176.0,1815.0,18225.0
0500000US24011,33273,4430,25358,3316,6893,1674,9368.0,444.99999999999994,4009.0
0500000US24013,172891,6482,135048,5119,11161,4868,58215.0,4286.0,26567.0
0500000US24015,103725,7803,80465,5852,12511,3376,28868.0,1665.0,13650.0
0500000US24017,166617,82035,126667,61035,125886,7407,25614.0,1696.0,49341.0
0500000US24019,32531,9140,25733,6752,13850,1109,8413.0,337.0,6245.0
0500000US24021,271717,27802,207660,20093,43047,20823,59522.0,5427.0,56522.0
0500000US24023,28801,246,23331,184,432,211,10776.0,399.99999999999994,2567.0
0500000US24025,260924,37706,202309,27243,57092,9048,77860.0,5060.0,47077.0
0500000US24027,332317,65275,251136,47069,98551,17957,47484.0,6282.0,102597.0
0500000US24029,19198,2808,16164,2230,4581,756,4876.0,312.0,4575.0
0500000US24031,1062068,197077,819119,147983,310348,152620,92700.0,11513.0,357831.0
0500000US24033,967211,578698,756055,460457,941844,139438,32811.0,4557.0,344049.0
0500000US24035,49752,2811,39005,2280,4807,1562,16993.0,940.0,7973.0
0500000US24037,113770,16292,86365,12328,25948,4217,28663.0,2270.0,17534.0
0500000US24039,24620,9505,20381,7947,16117,672,5341.0,189.99999999999997,4196.0
0500000US24041,37525,4249,30681,3381,7021,2068,10724.0,632.0,8653.0
0500000US24043,154705,17691,121143,13417,28661,6554,40997.0,2164.0,21129.0
0500000US24045,103588,27990,80944,20714,42708,4552,22198.0,1297.0,18050.0
0500000US24047,52446,6236,43310,4813,9956,1379,17210.0,735.0,9753.0
0500000US24510,585708,338467,471691,265425,540958,31652,25205.0,4568.0,202673.0
