GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US23001,111139,6531,87871,3686,7913,1413,28279.0,3316.0,23206.0
0500000US23003,67105,447,54341,350,842,550,19451.0,1658.0,13497.0
0500000US23005,303069,12120,247098,7955,17327,5514,57823.0,7457.0,103860.0
0500000US23007,29456,174,24045,129,336,262,7931.3709150326795,1106.93954248366,7074.527777777777
0500000US23009,55478,355,46160,274,711,662,13730.0,1564.0,16254.0
0500000US23011,123642,919,100401,705,1881,1640,31739.0,3792.0,29551.0
0500000US23013,40607,272,33700,244,598,474,9166.0,952.0,12550.0
0500000US23015,35237,165,29468,129,313,283,9745.0,1043.0,10329.0
0500000US23017,57777,229,46644,145,442,516,16241.62908496732,2055.0604575163397,12278.472222222223
0500000US23019,152199,1507,124474,1141,2856,1806,41704.0,4401.0,33117.0
0500000US23021,16800,61,13901,47,130,170,5417.0,465.0,3121.0
0500000US23023,36699,314,29938,238,605,462,9323.0,1185.0,10753.0
0500000US23025,50477,250,40887,179,468,415,15028.0,1368.0,9168.0
0500000US23027,39607,148,32289,107,326,371,10402.0,1224.0,10530.0
0500000US23029,31095,162,25404,129,346,424,9110.0,792.0,6124.0
0500000US23031,211972,2098,173464,1491,3667,2694,50500.0,5726.0,56320.0
