GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US26001,10167,23,8821,12,58,73,4201.0,163.99999999999997,1732.0
0500000US26003,8842,587,7442,583,1179,72,2585.0,177.0,1663.0
0500000US26005,120502,1584,91395,1028,2558,5758,34183.21262458472,2513.083056478405,18047.225913621263
0500000US26007,28907,99,23539,63,199,270,9090.0,498.0,4877.0
0500000US26009,23431,39,19314,23,86,274,8469.0,458.99999999999994,4448.0
0500000US26011,15002,35,12327,25,91,178,4950.0,270.0,2384.0
0500000US26013,8158,604,6715,599,1222,75,2158.0,105.99999999999999,1156.0
0500000US26015,62423,313,48234,191,566,1308,19202.0,1424.0,9114.0
0500000US26017,103828,1705,83193,1222,3012,3729,28328.0,2189.0,21642.0
0500000US26019,17970,67,14838,43,140,261,5539.0,382.0,4108.0
0500000US26021,154316,21420,121067,15294,31847,5725,38647.0,2760.0,29495.0
0500000US26023,44862,1156,34007,1042,2220,1570,11786.0,582.0,5061.0
0500000US26025,134310,14513,103647,10479,22458,4706,31494.0,2284.0,24157.0
0500000US26027,51589,2321,40513,1826,4082,1274,14243.0,753.0,7270.0
0500000US26029,26054,78,21255,52,175,257,8674.0,532.0,5137.0
0500000US26031,25579,96,21112,80,221,233,8683.0,462.99999999999994,4302.0
0500000US26033,36785,2625,29926,2566,5239,488,9122.0,583.0,5379.0
0500000US26035,30856,150,24685,111,279,415,8490.569852941177,433.52941176470586,4237.327205882353
0500000US26037,79128,1715,61200,1350,3085,2430,21634.38172043011,1885.825940860215,16490.979166666668
0500000US26039,12988,57,10653,37,90,177,4354.0,267.0,2110.0
0500000US26041,36903,93,29711,65,203,328,11121.0,660.0,6436.0
0500000US26043,25947,65,20796,47,142,269,8580.0,449.99999999999994,3923.0
0500000US26045,109175,7688,85978,5781,12463,4236,27609.0,2618.0,24938.0
0500000US26047,34112,163,27855,139,363,402,10616.0,806.0,6972.0
0500000US26049,406211,79914,315909,58394,120791,10629,84172.54623862002,6220.172017249641,102745.51317680882
0500000US26051,25386,70,20577,56,160,315,8124.0,393.0,3794.0
0500000US26053,14380,79,12007,68,169,145,4018.0,212.99999999999997,2925.0
0500000US26055,95229,595,76411,432,1153,1982,27413.0,2149.0,20965.0
0500000US26057,41761,2238,32681,1976,4076,1984,9880.0,687.0,5666.0
0500000US26059,45746,206,35596,156,425,694,14095.0,699.9999999999999,4799.0
0500000US26061,37361,286,29863,226,582,516,8475.0,837.0,6018.0
0500000US26063,31382,83,25437,54,172,562,10692.0,476.99999999999994,4579.0
