GEOID,R20,D20,L20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US27001,6258.0,3607.0,54.99999999999997,15697,15098,14538,62,395,38,1,64,599,570,57,228,36,4,237,1,0,2,2,0,0,0,0,1,2,28,2,3,0,3,1,0,2,9,3,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15697,220,15477,14977,14479,58,376,38,1,25,500,486,54,221,36,1,169,1,0,0,2,0,0,0,0,0,2,14,2,0,0,3,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13034,12660,12305,31,252,29,0,43,374,363,30,149,16,4,164,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13034,119,12915,12587,12267,31,242,29,0,18,328,319,28,143,16,1,131,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13944,7199,6745,320,225,30,0,195,0,95,0,0,95
0500000US27003,104902.0,100893.0,2475.0,363887,340318,280171,28657,2531,19257,105,9597,23569,22155,4326,4834,3377,109,8363,264,169,9,254,43,3,149,113,123,19,1311,615,138,6,108,89,8,175,93,41,9,10,1,1,4,8,0,3,0,0,2,91,33,5,45,1,3,0,1,1,0,0,0,0,2,0,0,8,0,3,0,5,0,0,4,4,363887,19506,344381,327147,276205,28378,1912,19158,93,1401,17234,16198,4109,4564,3305,104,3307,237,165,9,139,31,3,13,110,83,19,979,545,137,6,41,82,7,29,87,9,8,10,1,1,4,8,0,3,0,0,1,53,29,5,12,1,2,0,1,1,0,0,0,0,2,0,0,4,0,3,0,1,0,0,0,0,275754,262647,222977,17737,1906,13444,88,6495,13107,12456,1664,3265,1365,63,5390,146,75,6,161,31,2,107,93,69,19,603,296,48,1,39,29,1,106,50,18,4,0,1,1,0,7,0,1,0,0,1,44,23,0,16,0,1,0,1,1,0,0,0,0,2,0,0,4,0,0,0,4,0,0,0,0,275754,12028,263726,254301,220749,17600,1499,13404,79,970,9425,8956,1600,3147,1335,61,2307,135,71,6,92,25,2,13,90,53,19,443,264,47,1,17,29,1,18,44,8,3,0,1,1,0,7,0,1,0,0,1,26,20,0,1,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,138017,133879,4138,3461,2447,1420,103,851,73,1014,26,0,988
0500000US27005,12438.0,6589.0,167.99999999999994,35183,32862,29818,203,2468,162,22,189,2321,2228,108,1527,111,7,428,26,0,0,1,6,0,9,0,0,5,80,37,0,6,0,1,3,11,3,2,0,6,0,0,6,0,0,0,0,0,5,8,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,5,4,1,0,0,0,0,0,0,35183,575,34608,32527,29645,200,2417,156,9,100,2081,2021,108,1482,107,7,288,22,0,0,1,6,0,0,0,0,0,59,31,0,6,0,1,3,1,3,0,0,4,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,26736,25413,23434,134,1573,124,17,131,1323,1284,44,886,59,1,275,11,0,0,0,2,0,1,0,0,5,35,18,0,2,0,0,0,4,0,2,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,26736,298,26438,25243,23350,134,1558,120,9,72,1195,1170,44,873,56,1,187,7,0,0,0,2,0,0,0,0,0,25,14,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19620,14371,5249,468,356,55,0,301,0,112,0,0,112
0500000US27007,12185.35816286434,11422.894967061924,255.98172017659428,46228,43325,32794,543,9418,280,18,272,2903,2757,228,1526,179,0,664,83,4,0,6,38,3,13,7,6,0,144,70,6,2,12,22,7,3,10,2,2,0,0,1,4,0,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46228,1108,45120,42579,32445,519,9198,268,15,134,2541,2411,211,1444,178,0,463,63,4,0,3,35,2,1,7,0,0,130,67,6,2,8,19,7,2,10,0,2,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34776,33081,26415,433,5780,231,11,211,1695,1634,79,870,108,0,503,31,4,0,6,12,0,10,7,4,0,59,27,5,2,0,4,7,3,2,0,2,0,0,0,4,0,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34776,706,34070,32602,26189,414,5675,220,8,96,1468,1411,70,844,107,0,343,21,4,0,3,12,0,0,7,0,0,57,27,5,2,0,3,7,2,2,0,2,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21271,17678,3593,2119,647,163,65,395,24,1472,1049,0,423
0500000US27009,14382.0,7280.0,350.99999999999994,41379,39369,36145,2022,232,466,9,495,2010,1869,405,503,232,12,657,38,2,3,13,0,0,1,0,0,3,104,54,5,2,5,8,0,17,5,8,0,0,0,0,0,0,0,0,0,0,0,37,4,0,0,0,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41379,1216,40163,38576,35821,1991,184,463,8,109,1587,1477,387,466,228,12,329,36,2,3,13,0,0,0,0,0,1,73,53,4,2,0,8,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,37,4,0,0,0,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30955,29833,27666,1270,162,367,7,361,1122,1025,129,348,104,3,406,17,2,3,10,0,0,0,0,0,3,65,31,2,0,5,2,0,15,4,6,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30955,776,30179,29303,27478,1249,126,364,6,80,876,806,126,330,100,3,214,17,2,3,10,0,0,0,0,0,1,38,30,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17315,16479,836,708,441,29,5,407,0,267,0,0,267
0500000US27011,1863.0,1053.0,13.999999999999991,5166,5008,4832,29,49,17,4,77,158,139,26,45,5,0,46,5,3,0,1,2,0,2,1,0,3,13,4,0,0,0,0,3,1,0,3,0,2,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5166,140,5026,4912,4809,19,34,12,4,34,114,96,26,41,0,0,18,5,3,0,0,2,0,0,1,0,0,13,4,0,0,0,0,3,1,0,3,0,2,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4075,3992,3880,20,37,15,2,38,83,74,5,31,0,0,30,0,3,0,0,0,0,2,0,0,3,8,2,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4075,87,3988,3933,3868,14,25,12,2,12,55,47,5,27,0,0,12,0,3,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2982,2224,758,221,104,0,0,104,0,117,0,0,117
0500000US27013,16731.577112203846,18330.46401430487,477.0429146177916,69112,65589,58205,3970,292,1841,33,1248,3523,3382,754,651,512,31,1303,31,17,1,38,5,0,12,20,0,7,125,35,5,0,15,1,0,25,12,20,4,0,0,0,0,0,0,0,3,0,5,9,5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,69112,3221,65891,63408,57222,3873,208,1834,24,247,2483,2411,722,598,502,31,458,21,17,1,31,5,0,5,18,0,2,60,35,5,0,1,0,0,1,9,4,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,55070,52989,47445,2708,223,1605,29,979,2081,2012,336,465,275,14,857,15,8,1,17,0,0,7,10,0,7,59,16,0,0,5,0,0,15,2,13,3,0,0,0,0,0,0,0,0,0,5,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,55070,2250,52820,51368,46771,2641,158,1601,20,177,1452,1419,324,441,273,14,316,15,8,1,17,0,0,0,8,0,2,24,16,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,29169,27193,1976,4336,585,84,13,484,4,3751,2935,0,816
0500000US27015,9552.0,4753.0,135.99999999999997,25912,25034,24321,128,51,127,6,401,878,835,91,153,62,1,503,15,0,0,2,0,0,7,1,0,0,35,19,0,0,2,0,0,6,0,7,0,0,0,1,0,0,0,0,0,0,0,6,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,25912,1171,24741,24277,23968,118,39,126,6,20,464,449,90,146,61,1,132,15,0,0,0,0,0,3,1,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20310,19810,19296,79,45,113,1,276,500,484,27,100,31,1,310,5,0,0,2,0,0,7,1,0,0,11,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20310,692,19618,19356,19119,73,33,113,1,17,262,256,27,99,31,1,89,5,0,0,0,0,0,3,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11780,10970,810,1083,323,18,0,305,0,760,618,0,142
0500000US27017,9791.0,10098.0,230.99999999999997,36207,34260,31151,562,2217,153,12,165,1947,1878,161,1025,146,23,434,36,0,3,1,2,0,12,29,4,2,58,20,4,1,7,9,0,10,2,0,1,2,0,1,0,1,0,0,0,0,0,10,0,0,5,0,2,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,36207,612,35595,33864,30910,556,2148,153,12,85,1731,1684,147,983,143,21,319,32,0,3,1,2,0,4,29,0,0,45,18,4,1,7,8,0,1,2,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,28079,26971,24684,502,1517,122,12,134,1108,1081,50,615,67,8,292,10,0,0,0,2,0,5,29,1,2,22,3,0,1,0,9,0,2,2,0,1,2,0,1,0,1,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28079,362,27717,26698,24514,502,1489,122,12,59,1019,1001,50,598,67,6,237,10,0,0,0,2,0,2,29,0,0,18,2,0,1,0,8,0,1,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15688,13789,1899,2255,1458,1046,9,403,0,797,75,0,722
0500000US27019,34009.0,30774.0,822.0,106922,101091,92448,2208,291,3641,18,2485,5831,5545,714,885,1099,34,2617,33,27,1,56,0,0,20,14,36,9,251,68,12,3,30,20,0,48,18,43,7,0,0,0,0,0,0,2,0,0,0,30,7,3,9,0,3,0,0,0,0,0,3,5,0,0,0,4,1,2,0,0,1,0,1,1,106922,5308,101614,97725,91443,2173,193,3617,15,284,3889,3742,692,837,1070,26,1002,22,27,1,31,0,0,4,14,16,0,134,62,12,3,20,17,0,0,18,0,0,0,0,0,0,0,0,2,0,0,0,13,4,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,77890,74957,69127,1293,198,2678,16,1645,2933,2806,237,539,355,23,1537,23,19,1,28,0,0,12,14,9,9,110,33,1,3,12,6,0,22,17,14,0,0,0,0,0,0,0,2,0,0,0,15,4,0,3,0,3,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,1,1,77890,3189,74701,72838,68572,1276,132,2663,15,180,1863,1782,234,524,347,18,592,15,19,1,15,0,0,0,14,3,0,73,33,1,3,11,6,0,0,17,0,0,0,0,0,0,0,0,2,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,40380,38863,1517,911,330,46,0,284,0,581,302,0,279
