GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R20,L20,D20
0500000US27001,15697,62,13034,31,95,119,6258.0,54.99999999999997,3607.0
0500000US27003,363887,28657,275754,17737,37919,12028,104902.0,2475.0,100893.0
0500000US27005,35183,203,26736,134,347,298,12438.0,167.99999999999994,6589.0
0500000US27007,46228,543,34776,433,1024,706,12185.35816286434,255.98172017659428,11422.894967061924
0500000US27009,41379,2022,30955,1270,2739,776,14382.0,350.99999999999994,7280.0
0500000US27011,5166,29,4075,20,52,87,1863.0,13.999999999999991,1053.0
0500000US27013,69112,3970,55070,2708,5814,2250,16731.577112203846,477.0429146177916,18330.46401430487
0500000US27015,25912,128,20310,79,199,692,9552.0,135.99999999999997,4753.0
0500000US27017,36207,562,28079,502,1072,362,9791.0,230.99999999999997,10098.0
0500000US27019,106922,2208,77890,1293,2943,3189,34009.0,822.0,30774.0
0500000US27021,30066,73,23840,45,160,238,11620.0,110.99999999999994,6342.0
0500000US27023,12598,75,9593,47,120,729,4250.0,57.999999999999964,2226.0
0500000US27025,56621,853,43569,725,1618,865,21916.0,463.99999999999994,11806.0
0500000US27027,65295,3190,48820,1911,4104,1728,15043.0,409.99999999999994,16357.0
0500000US27029,8524,23,6417,11,54,69,3372.060869565217,28.005797101449264,1261.1159420289855
0500000US27031,5600,25,4709,23,79,83,1203.0,35.99999999999999,2496.0
0500000US27033,11517,143,8769,91,197,663,4165.0,54.99999999999997,1834.0
0500000US27035,66123,419,52003,269,692,550,25676.0,356.99999999999994,13726.0
0500000US27037,439882,32740,332708,20539,44475,22864,109638.0,2957.0,146155.0
0500000US27039,20867,134,15339,78,193,621,7783.0,166.99999999999997,4079.0
0500000US27041,39006,235,30580,153,385,475,15799.0,237.99999999999994,7868.0
0500000US27043,13921,60,10870,48,114,597,5191.0,71.99999999999996,2531.0
0500000US27045,21228,101,16111,76,181,235,7301.0,134.99999999999994,4551.0
0500000US27047,30895,486,24027,271,622,1932,9578.0,145.99999999999994,6889.0
0500000US27049,47582,685,36901,444,1062,1120,16052.0,396.99999999999994,11806.0
0500000US27051,6074,13,4655,11,32,91,2269.0,42.999999999999986,1300.0
0500000US27053,1281565,171511,1008791,115630,245578,65396,205973.0,7526.0,532623.0
0500000US27055,18843,98,14636,51,150,154,6334.0,113.99999999999997,4853.0
0500000US27057,21344,93,16554,54,164,266,8204.580967570442,134.01248272195636,4463.989090909091
0500000US27059,41135,318,31218,210,543,516,16489.0,303.99999999999994,7138.0
0500000US27061,45014,178,35503,123,347,370,15239.0,246.99999999999994,10786.0
0500000US27063,9989,120,7726,73,178,215,3948.0,52.99999999999997,1745.0
0500000US27065,16032,67,12543,37,97,119,6278.0,92.99999999999997,2774.0
0500000US27067,43732,2649,32859,1431,2957,3529,14440.336170212766,211.03404255319143,8441.497872340426
0500000US27069,4207,3,3314,3,23,53,1546.0,43.999999999999986,1006.0
0500000US27071,12062,44,9831,41,121,104,4131.0,59.99999999999997,2659.0
0500000US27073,6719,36,5273,29,65,121,2528.0,19.99999999999998,1446.0
0500000US27075,10883,10,8824,10,41,73,3393.0,77.99999999999997,3647.0
0500000US27077,3763,13,3066,11,32,31,1704.0,21.99999999999999,671.0
0500000US27079,28674,264,21841,165,390,1095,10775.0,168.99999999999997,5672.0
0500000US27081,5640,10,4320,10,40,58,2121.0,22.999999999999986,937.0
0500000US27083,25269,922,18861,594,1284,1007,7979.0,139.99999999999997,4634.0
0500000US27085,36771,235,28494,164,405,1488,13986.0,291.99999999999994,6413.0
0500000US27087,5411,8,3857,4,32,91,1142.0,8.999999999999993,1112.0
0500000US27089,9040,13,6903,8,31,221,3721.0,36.99999999999998,1295.0
0500000US27091,20025,118,15673,69,193,801,7480.0,97.99999999999996,3305.0
0500000US27093,23400,93,17827,61,163,534,9359.0,121.99999999999996,3867.0
0500000US27095,26459,83,20290,58,200,257,9952.0,180.99999999999997,4404.0
0500000US27097,34010,185,25976,93,236,371,14821.0,172.99999999999994,4367.0
0500000US27099,40029,1638,29817,957,2056,2908,10025.0,176.99999999999994,8899.0
0500000US27101,8179,26,6401,23,66,228,3363.0,31.999999999999982,1449.0
0500000US27103,34454,1707,26581,1065,2229,1128,9016.422887796156,221.95708538220828,9619.535985695127
0500000US27105,22290,983,16056,597,1241,4264,5600.0,58.999999999999964,2933.0
0500000US27107,6441,20,4975,18,52,164,1953.0,30.999999999999982,1404.0
0500000US27109,162847,11113,124225,6908,14639,5781,39692.0,1078.0,49491.0
0500000US27111,60081,856,47036,497,1112,1319,23800.0,256.9999999999999,11958.0
0500000US27113,13992,181,10854,133,318,407,4532.0,102.99999999999999,2568.0
0500000US27115,28876,478,22986,430,950,479,10253.0,167.99999999999994,5419.0
0500000US27117,9424,107,7080,67,162,453,3553.0,24.99999999999997,1306.0
0500000US27119,31192,977,23515,610,1290,1166,9865.0,122.99999999999996,5439.0
0500000US27121,11308,39,8808,30,76,95,4417.0,55.99999999999998,2477.0
0500000US27123,552352,71390,427139,47319,100647,29602,77376.0,2865.0,211620.0
0500000US27125,3935,15,2987,15,44,58,1454.0,17.99999999999999,691.0
0500000US27127,15425,80,11521,52,136,234,5771.0,75.99999999999997,2355.0
0500000US27129,14723,69,11348,54,138,769,5467.0,67.99999999999996,2496.0
0500000US27131,67097,4386,52206,2870,5970,4469,17464.0,371.99999999999994,17402.0
0500000US27133,9704,51,7257,26,87,208,3583.0,34.99999999999998,1556.0
0500000US27135,15331,87,11662,50,137,141,6065.0,80.99999999999997,2188.0
0500000US27137,200231,4189,162074,3187,7310,2343,49016.0,1387.9999999999998,67704.0
0500000US27139,150928,8225,110072,4772,10253,5529,45872.0,1048.0,40040.0
0500000US27141,97183,3666,71512,2294,4942,1745,36222.0,734.0,18065.0
0500000US27143,14836,84,11403,52,136,802,5864.0,70.99999999999997,2417.0
0500000US27145,158292,13315,120904,7661,16125,4309,50959.0,1035.9999999999998,31879.0
0500000US27147,37406,1373,28066,759,1639,1839,12656.0,277.99999999999994,7917.0
0500000US27149,9671,84,7429,74,177,663,3044.0,43.999999999999986,1922.0
0500000US27151,9838,88,7541,40,118,376,3312.663829787234,41.96595744680848,1782.5021276595744
0500000US27153,25262,119,18882,90,318,1320,9753.0,84.99999999999994,3286.0
0500000US27155,3360,27,2629,17,55,135,1172.0,11.999999999999993,661.0
0500000US27157,21387,122,16743,65,154,405,8153.0,132.99999999999997,4696.0
0500000US27159,14065,131,10590,81,220,156,5520.0,53.99999999999997,2023.0
0500000US27161,18968,359,14553,236,510,778,6624.0,122.99999999999997,3496.0
0500000US27163,267568,14041,201867,9188,19865,7921,73764.0,1895.0,89165.0
0500000US27165,11253,48,8416,28,76,1963,3103.0,27.999999999999975,1987.0
0500000US27167,6506,42,4974,27,66,128,2328.0,40.999999999999986,1026.0
0500000US27169,49671,917,40382,622,1459,1286,13227.0,271.99999999999994,13333.0
0500000US27171,141337,2637,101389,1602,3726,2698,51973.0,991.9999999999999,28430.0
0500000US27173,9528,53,7349,39,115,261,3734.0,44.99999999999996,1688.0
