GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US29001,25314,1279,20460,926,2010,499,6030.0,426.0,3500.0
0500000US29003,18135,156,13703,109,273,232,6665.0,336.0,2045.0
0500000US29005,5305,23,4168,6,19,43,2060.0,103.99999999999999,541.0
0500000US29007,24962,1307,19070,1024,2184,455,6981.0,362.99999999999994,2570.0
0500000US29009,34534,106,26586,82,235,1995,11428.0,337.99999999999994,2710.0
0500000US29011,11637,32,8773,21,62,148,4959.0,134.99999999999994,795.0
0500000US29013,16042,155,12376,126,290,191,6001.0,305.99999999999994,1618.0
0500000US29015,19394,76,15916,46,139,216,7213.0,277.99999999999994,2025.0
0500000US29017,10567,39,8246,30,80,83,4827.0,96.99999999999999,705.0
0500000US29019,183610,18100,145252,13078,28168,5616,36200.0,4268.0,41125.0
0500000US29021,84793,4423,66126,3353,7433,3704,21320.0,1709.0,12013.0
0500000US29023,42130,2488,32298,1796,3838,532,13650.0,391.99999999999994,3036.0
0500000US29025,8815,69,6773,65,137,110,3232.0,187.99999999999997,838.0
0500000US29027,44283,1974,34738,1550,3288,627,13057.0,757.0,4989.0
0500000US29029,42745,258,34946,176,452,877,16944.0,597.0,4768.0
0500000US29031,81710,6503,64296,4452,9364,1456,27017.0,1109.0,8492.0
0500000US29033,8495,97,6659,85,209,76,3480.0,105.99999999999997,745.0
0500000US29035,5202,13,4071,10,37,67,2324.0,54.99999999999999,436.0
0500000US29037,107824,5018,81653,3509,7537,3361,33098.0,2159.0,14846.0
0500000US29039,14188,64,10641,33,91,153,5021.0,178.99999999999994,1011.0
0500000US29041,7408,149,5750,123,255,50,2950.0,97.99999999999997,888.0
0500000US29043,88842,616,65681,419,1126,1841,30946.0,1495.0,8508.0
0500000US29045,6634,23,5065,5,19,41,2458.0,100.99999999999999,724.0
0500000US29047,253335,18271,191373,12655,27312,12055,57476.0,5155.0,45304.0
0500000US29049,21184,209,16230,162,408,299,7067.0,433.99999999999994,2572.0
0500000US29051,77279,8123,60163,5868,12228,1686,24616.0,1377.0,10913.0
0500000US29053,17103,924,13296,781,1689,183,5624.0,306.0,1932.0
0500000US29055,23056,148,17846,114,266,292,7724.0,223.99999999999997,1824.0
0500000US29057,7569,36,5956,21,58,96,3184.0,93.99999999999997,637.0
0500000US29059,17071,46,12997,22,93,207,5895.0,180.99999999999997,1272.0
0500000US29061,8430,33,6252,18,58,75,2767.0,144.99999999999997,730.0
0500000US29063,11029,672,8927,664,1356,166,3540.0,177.99999999999997,824.0
0500000US29065,14421,70,11245,44,119,151,5600.0,135.99999999999997,978.0
0500000US29067,11578,40,9074,23,74,133,5486.0,134.99999999999997,984.0
0500000US29069,28283,3184,21317,2145,4449,1211,8026.0,141.99999999999994,2360.0
0500000US29071,104682,904,81077,689,1681,1306,35430.0,1628.0,12341.0
0500000US29073,14794,23,11692,21,83,126,5670.0,179.99999999999997,1520.0
0500000US29075,6162,15,4595,5,20,48,2304.0,107.99999999999997,605.0
0500000US29077,298915,10233,237444,7685,17646,9675,78035.0,5754.0,42728.0
0500000US29079,9808,56,7358,44,106,146,3462.0,117.99999999999997,780.0
0500000US29081,8157,37,6239,29,71,87,2965.0,96.99999999999996,574.0
0500000US29083,21946,187,17087,150,376,323,7075.0,310.99999999999994,2357.0
0500000US29085,8279,18,6926,12,27,87,3542.0,107.99999999999997,1016.0
0500000US29087,4223,10,3312,10,23,41,1926.0,65.99999999999997,347.0
0500000US29089,10151,542,7903,452,953,155,3277.0,208.99999999999997,1283.0
0500000US29091,39750,194,30281,131,362,523,13893.0,433.99999999999994,2881.0
0500000US29093,9537,147,7533,108,253,126,3173.0,109.99999999999999,933.0
0500000US29095,717204,158559,554167,116314,242011,50822,116201.0,10841.0,168870.0
