GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US28001,5874.0,7757.0,124.99999999999997,29538,28779,10994,16785,66,165,8,761,759,682,236,152,18,4,146,70,7,3,33,0,0,10,0,2,1,66,30,5,0,4,4,5,3,5,0,2,0,0,4,4,0,0,0,0,0,0,9,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,29538,1012,28526,27898,10926,16709,56,165,7,35,628,568,233,152,18,3,61,67,7,3,22,0,0,1,0,1,0,52,30,5,0,4,0,5,0,0,0,0,0,0,4,4,0,0,0,0,0,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,23528,23002,9312,12765,44,149,8,724,526,482,144,114,3,4,123,51,7,3,22,0,0,10,0,1,0,35,19,0,0,1,4,2,3,2,0,0,0,0,4,0,0,0,0,0,0,0,7,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,23528,913,22615,22188,9260,12702,39,149,7,31,427,394,141,114,3,3,61,48,7,3,13,0,0,1,0,0,0,26,19,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,14885,12686,2199,1283,1231,1011,17,203,0,52,52,0,0
0500000US28003,11819.0,2684.0,166.99999999999994,34740,33353,27992,4337,101,181,19,723,1387,1343,375,513,69,0,323,24,6,0,21,0,0,7,4,1,0,42,21,2,0,9,5,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34740,1248,33492,32364,27738,4316,61,180,19,50,1128,1098,353,499,67,0,143,22,6,0,3,0,0,0,4,1,0,30,19,0,0,4,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26866,26070,22220,3228,64,131,10,417,796,776,88,394,36,0,215,20,6,0,7,0,0,6,4,0,0,18,11,0,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26866,683,26183,25503,22074,3220,41,131,10,27,680,663,88,390,36,0,118,18,6,0,3,0,0,0,4,0,0,17,11,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16159,14395,1764,685,629,360,17,252,0,56,0,0,56
0500000US28005,4289.0,2697.0,37.99999999999998,12720,12444,7463,4854,32,31,0,64,276,242,58,95,12,0,41,24,1,0,11,0,0,0,0,0,0,27,8,0,0,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,4,0,0,0,0,0,0,12720,129,12591,12343,7434,4835,25,31,0,18,248,218,58,91,12,0,22,24,1,0,10,0,0,0,0,0,0,27,8,0,0,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,10239,10025,6142,3776,28,26,0,53,214,186,35,77,5,0,41,17,1,0,10,0,0,0,0,0,0,23,8,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,10239,92,10147,9954,6125,3764,24,26,0,15,193,167,35,77,5,0,22,17,1,0,10,0,0,0,0,0,0,23,8,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,7230,5597,1633,73,73,11,0,62,0,0,0,0,0
0500000US28007,4897.0,3242.0,56.99999999999997,17889,17494,9440,7678,39,97,4,236,395,372,103,104,39,0,75,36,0,2,12,0,0,0,1,0,0,18,8,0,0,2,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17889,331,17558,17219,9410,7642,29,97,4,37,339,318,103,104,39,0,29,36,0,2,4,0,0,0,1,0,0,16,8,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13493,13259,7555,5452,32,65,3,152,234,214,46,78,22,0,47,17,0,0,3,0,0,0,1,0,0,15,8,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13493,205,13288,13084,7529,5427,27,65,3,33,204,184,46,78,22,0,17,17,0,0,3,0,0,0,1,0,0,15,8,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8277,7098,1179,239,231,0,0,231,0,8,0,0,8
0500000US28009,2251.0,1719.0,27.99999999999999,7646,7367,4582,2666,16,1,0,102,279,256,103,67,6,0,53,13,2,0,10,2,0,0,0,0,0,23,10,0,1,0,0,0,4,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7646,145,7501,7264,4565,2654,6,1,0,38,237,224,99,67,4,0,33,13,2,0,6,0,0,0,0,0,0,13,6,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6078,5902,3736,2086,16,1,0,63,176,157,56,50,0,0,28,13,0,0,10,0,0,0,0,0,0,19,10,0,1,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6078,101,5977,5822,3723,2076,6,1,0,16,155,142,52,50,0,0,21,13,0,0,6,0,0,0,0,0,0,13,6,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4057,3179,878,62,62,8,0,54,0,0,0,0,0
0500000US28011,4590.0,9046.0,99.99999999999996,30985,30184,10111,19365,27,262,0,419,801,756,251,169,56,0,165,67,0,2,43,0,0,3,0,0,0,31,20,6,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,5,5,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,30985,794,30191,29539,9946,19257,22,262,0,52,652,618,235,168,54,0,59,67,0,2,33,0,0,0,0,0,0,22,14,5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,23662,23089,8243,14302,22,217,0,305,573,544,152,150,35,0,116,48,0,2,39,0,0,2,0,0,0,23,14,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,23662,581,23081,22598,8102,14231,17,217,0,31,483,462,152,149,33,0,49,48,0,2,29,0,0,0,0,0,0,15,8,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13628,11994,1634,1522,1012,578,0,434,0,510,500,0,10
0500000US28013,4390.0,1910.0,48.99999999999997,13266,12784,8776,3467,27,17,0,497,482,471,132,143,5,0,154,8,6,0,7,0,0,11,2,0,3,10,0,4,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13266,747,12519,12156,8662,3444,15,17,0,18,363,352,131,143,5,0,51,8,6,0,4,0,0,4,0,0,0,10,0,4,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10432,10143,7147,2663,23,13,0,297,289,284,55,114,0,0,85,8,6,0,0,0,0,11,2,0,3,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10432,453,9979,9753,7075,2644,15,13,0,6,226,221,55,114,0,0,34,8,6,0,0,0,0,4,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6720,5543,1177,314,236,27,0,209,0,78,0,0,78
0500000US28015,3799.0,1680.0,28.999999999999982,9998,9747,6543,3044,20,31,0,109,251,214,36,89,9,0,51,5,1,0,10,4,0,0,4,5,0,33,8,8,3,2,0,0,1,7,0,0,0,0,1,0,3,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9998,154,9844,9621,6529,3030,15,29,0,18,223,191,36,89,6,0,41,5,1,0,5,4,0,0,4,0,0,32,8,8,3,2,0,0,1,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8122,7947,5403,2418,20,25,0,81,175,155,21,69,4,0,36,5,0,0,9,2,0,0,4,5,0,18,5,8,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8122,122,8000,7851,5390,2404,15,25,0,17,149,132,21,69,1,0,26,5,0,0,4,2,0,0,4,0,0,17,5,8,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4914,4040,874,594,594,543,0,51,0,0,0,0,0
0500000US28017,4127.0,3649.0,60.99999999999998,17106,16599,8664,7436,32,43,0,424,507,472,178,106,29,0,104,29,3,2,13,0,0,4,1,3,0,32,15,0,0,3,0,0,3,0,3,1,0,0,5,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17106,642,16464,16060,8584,7407,13,41,0,15,404,383,178,96,29,0,35,27,3,2,9,0,0,0,1,3,0,18,15,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13222,12924,7030,5569,32,36,0,257,298,279,68,89,16,0,67,28,3,2,1,0,0,4,1,0,0,16,8,0,0,0,0,0,3,0,0,1,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13222,408,12814,12583,6987,5540,13,34,0,9,231,217,68,79,16,0,21,26,3,2,1,0,0,0,1,0,0,11,8,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7789,6778,1011,524,494,343,0,151,0,30,0,0,30
0500000US28019,2788.0,1218.0,25.999999999999986,8246,7978,5593,2343,15,6,0,21,268,238,75,94,15,0,41,4,2,1,6,0,0,0,0,0,0,24,3,1,0,5,7,0,4,0,0,0,0,2,1,1,0,0,0,0,0,0,6,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8246,117,8129,7919,5559,2332,15,6,0,7,210,189,71,80,15,0,10,4,2,1,6,0,0,0,0,0,0,16,3,1,0,2,2,0,4,0,0,0,0,2,1,1,0,0,0,0,0,0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6447,6287,4479,1772,12,4,0,20,160,142,31,75,8,0,17,3,2,0,6,0,0,0,0,0,0,15,3,0,0,2,5,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6447,63,6384,6246,4455,1768,12,4,0,7,138,124,31,64,8,0,10,3,2,0,6,0,0,0,0,0,0,11,3,0,0,2,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4353,3454,899,170,104,11,11,82,0,66,0,0,66
