GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R20,L20,D20
0500000US28001,29538,16785,23528,12765,25781,913,5696.0,47.99999999999998,7917.0
0500000US28003,34740,4337,26866,3228,6594,683,12818.0,117.99999999999996,2782.0
0500000US28005,12720,4854,10239,3776,7638,92,4503.0,20.999999999999982,2620.0
0500000US28007,17889,7678,13493,5452,10978,205,5178.0,35.999999999999964,3542.0
0500000US28009,7646,2666,6078,2086,4270,101,2570.0,11.999999999999988,1679.0
0500000US28011,30985,19365,23662,14302,28866,581,4671.0,47.999999999999964,8904.0
0500000US28013,13266,3467,10432,2663,5399,453,4625.0,14.999999999999979,1902.0
0500000US28015,9998,3044,8122,2418,4888,122,3924.0,13.999999999999988,1729.0
0500000US28017,17106,7436,13222,5569,11252,408,4175.0,74.99999999999997,3810.0
0500000US28019,8246,2343,6447,1772,3593,63,3001.0,15.99999999999999,1185.0
0500000US28021,9135,7989,7223,6208,12501,51,603.0,10.999999999999991,3772.0
0500000US28023,15615,5115,12027,3841,7785,70,5417.0,27.999999999999968,2838.0
0500000US28025,18636,10803,14614,8135,16385,128,4181.0,47.99999999999997,5844.0
0500000US28027,21390,16281,15915,11654,23534,249,2375.0,19.99999999999998,6020.0
0500000US28029,28368,14342,22065,10780,21829,692,6250.0,57.999999999999964,6470.0
0500000US28031,18340,6416,14126,4787,9657,235,5854.0,32.999999999999964,3416.0
0500000US28033,185314,56205,138014,39772,80603,6345,46462.0,722.0,28265.0
0500000US28035,78158,28330,61220,21213,42990,2192,17290.0,328.99999999999994,13755.0
0500000US28037,7675,2585,6069,1973,3978,39,2923.0,20.999999999999986,1480.0
0500000US28039,24350,1782,18253,1342,2743,405,9713.0,53.99999999999997,1218.0
0500000US28041,13530,3149,10824,2757,5551,111,4794.0,19.999999999999982,966.0
0500000US28043,21629,9409,16697,6992,14144,193,6081.0,37.99999999999997,4734.0
0500000US28045,46053,3957,36202,2837,5945,1391,16132.0,182.99999999999994,4504.0
0500000US28047,208621,51706,159463,36383,74824,9162,46822.0,725.9999999999999,27728.0
0500000US28049,227742,158112,177425,119372,240846,3233,25141.0,395.9999999999999,73550.0
0500000US28051,17000,14256,12981,10577,21322,81,1369.0,25.999999999999975,6588.0
0500000US28053,7785,6110,5872,4449,9006,67,1118.0,9.999999999999991,3016.0
0500000US28055,1338,757,1157,646,1300,119,308.0,4.999999999999998,355.0
0500000US28057,23863,1625,18529,1261,2581,252,9438.0,78.99999999999997,1249.0
0500000US28059,143252,30070,109676,22212,45569,6563,36295.0,473.99999999999994,17375.0
0500000US28061,16367,8341,12708,6242,12576,110,4302.0,29.999999999999975,4341.0
0500000US28063,7260,6191,5578,4667,9402,45,531.0,13.999999999999993,3327.0
0500000US28065,11321,6643,8964,5120,10350,65,2534.0,15.999999999999984,3599.0
0500000US28067,67246,19239,50776,13700,27746,2451,21226.0,168.99999999999991,8517.0
0500000US28069,8988,5495,7169,4269,8606,53,1787.0,9.99999999999999,2887.0
0500000US28071,55813,11381,45658,8872,18019,1532,12949.0,241.99999999999997,10070.0
0500000US28073,64222,14372,47683,9975,20322,1452,20704.0,263.99999999999994,7340.0
0500000US28075,72984,32133,55594,23246,47001,1146,17967.0,148.99999999999991,12960.0
0500000US28077,12016,3703,9042,2709,5469,132,4285.0,18.999999999999982,2260.0
0500000US28079,21275,8235,15843,5977,12070,689,5228.0,18.99999999999998,3897.0
0500000US28081,83343,24246,63696,17404,35272,1704,24207.0,291.99999999999994,12189.0
0500000US28083,28339,20895,20986,14939,30163,557,3129.0,30.99999999999996,7648.0
0500000US28085,34907,10542,26514,7782,15752,252,11596.0,63.99999999999996,5040.0
0500000US28087,58879,25997,45651,19455,39319,925,13800.0,181.99999999999994,13087.0
0500000US28089,109145,38647,82961,28645,57915,2628,31091.0,350.99999999999994,24440.0
0500000US28091,24441,7623,18669,5690,11478,245,8273.0,43.999999999999964,3787.0
0500000US28093,33752,14912,27156,11894,24040,977,7566.0,47.99999999999997,8057.0
0500000US28095,34180,10337,26628,7869,15927,301,11177.0,92.99999999999994,5874.0
0500000US28097,9822,4373,7741,3297,6661,68,2917.0,8.999999999999986,2121.0
0500000US28099,29087,6404,21219,4504,9153,285,8320.0,45.999999999999964,3260.0
0500000US28101,21291,6472,16144,4800,9713,225,6997.0,46.99999999999996,3075.0
0500000US28103,10285,7227,7805,5432,10997,103,1240.0,12.999999999999988,4040.0
0500000US28105,51788,18330,42786,14127,28568,1010,9004.0,254.99999999999997,10299.0
0500000US28107,33208,16092,25135,11501,23244,411,8060.0,47.999999999999964,7403.0
0500000US28109,56145,6710,43337,5040,10344,1522,19595.0,159.99999999999994,4148.0
0500000US28111,11511,2097,9011,1647,3319,96,4500.0,20.999999999999982,1362.0
0500000US28113,40324,21562,30676,15616,31540,424,8479.0,90.99999999999994,8646.0
0500000US28115,31184,4226,23286,3156,6454,1163,11550.0,102.99999999999996,2614.0
0500000US28117,25008,3570,19426,2765,5648,280,8370.0,69.99999999999997,2153.0
0500000US28119,6176,4546,4885,3489,7028,4,1026.0,11.999999999999986,2150.0
0500000US28121,157031,32566,120310,24212,49056,3259,50895.0,554.9999999999999,18847.0
0500000US28123,27990,10012,20301,7129,14439,2430,6285.0,37.999999999999964,4330.0
0500000US28125,3800,2689,2919,1980,3999,46,688.0,8.999999999999995,1465.0
0500000US28127,25949,8838,19729,6474,13127,254,7635.0,48.999999999999964,4037.0
0500000US28129,14209,3112,11025,2275,4586,131,6458.0,32.99999999999998,1791.0
0500000US28131,18333,3253,14294,2507,5066,341,5964.0,56.99999999999998,1802.0
0500000US28133,25971,18164,20456,13827,27854,501,2799.0,17.999999999999964,6781.0
0500000US28135,12715,7454,10163,5645,11341,402,2488.0,19.999999999999986,3105.0
0500000US28137,28064,8262,21712,6171,12533,494,8707.0,83.99999999999999,4183.0
0500000US28139,21815,3464,16724,2646,5386,687,8054.0,42.999999999999964,1937.0
0500000US28141,18850,434,14902,361,787,341,7933.0,96.99999999999997,1059.0
0500000US28143,9782,7559,7095,5235,10542,137,926.0,8.999999999999991,2580.0
0500000US28145,27777,3974,21120,2979,6076,795,10373.0,80.99999999999997,2160.0
0500000US28147,13884,5732,10801,4307,8693,136,4220.0,18.999999999999982,2835.0
0500000US28149,44722,21417,34312,15510,31326,604,10365.0,92.99999999999997,10442.0
0500000US28151,44922,32042,34277,23698,47779,393,5300.0,52.99999999999993,12503.0
0500000US28153,19779,7732,15032,5624,11350,221,6307.0,44.99999999999998,3624.0
0500000US28155,9926,1785,7621,1356,2743,86,4291.0,26.999999999999986,1043.0
0500000US28157,8587,5787,6879,4501,9100,59,1324.0,11.999999999999991,2749.0
0500000US28159,17714,8121,13650,5936,11982,143,5112.0,40.99999999999997,4040.0
0500000US28161,12481,4638,9980,3513,7091,123,3671.0,25.999999999999982,2785.0
0500000US28163,26743,15931,21129,12026,24225,1000,4832.0,20.99999999999998,5496.0
