GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US30001,3353.0,1143.0,265.0,9371,8798,8451,29,132,39,3,144,573,555,21,263,22,5,231,3,0,0,8,0,0,0,0,2,0,14,2,0,0,8,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9371,431,8940,8554,8330,24,120,37,3,40,386,380,21,238,22,3,89,3,0,0,4,0,0,0,0,0,0,6,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7524,7130,6908,16,77,22,3,104,394,389,11,176,16,2,181,0,0,0,2,0,0,0,0,1,0,5,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7524,303,7221,6963,6824,11,72,20,3,33,258,255,11,159,16,0,69,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4918,4108,810,395,200,5,115,80,0,195,150,0,45
0500000US30003,1853.0,2094.0,184.99999999999997,13124,12477,3520,11,8794,46,9,97,647,595,24,400,29,1,82,15,0,0,8,10,3,20,2,1,0,47,8,2,3,2,10,0,14,1,2,2,0,0,0,0,0,2,0,1,0,0,5,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13124,515,12609,12101,3407,11,8627,44,9,3,508,488,22,362,26,1,32,15,0,0,8,10,3,7,2,0,0,19,2,1,2,0,10,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8747,8325,2926,7,5273,38,3,78,422,403,21,253,15,1,73,6,0,0,8,7,1,15,2,1,0,16,0,1,3,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8747,329,8418,8063,2837,7,5179,36,3,1,355,341,21,245,12,1,32,6,0,0,8,7,1,6,2,0,0,14,0,1,2,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4522,3927,595,285,195,110,19,66,0,90,0,0,90
0500000US30005,1268.0,1202.0,101.99999999999999,7044,6748,2956,13,3718,13,0,48,296,270,9,178,14,2,39,6,0,0,2,8,2,2,8,0,0,21,6,0,0,3,3,4,0,0,0,3,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,7044,158,6886,6621,2942,10,3621,13,0,35,265,246,6,170,14,2,30,6,0,0,0,8,2,0,8,0,0,15,5,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4965,4773,2343,12,2369,7,0,42,192,178,2,121,2,0,38,3,0,0,1,5,2,2,2,0,0,9,3,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4965,96,4869,4699,2332,9,2320,7,0,31,170,162,2,116,2,0,30,3,0,0,0,5,2,0,2,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2824,2467,357,221,45,12,0,33,0,176,0,0,176
0500000US30007,2348.0,573.0,169.0,6774,6347,6222,17,63,7,0,38,427,400,33,167,14,5,173,0,0,1,0,7,0,0,0,0,0,25,7,2,0,0,5,0,6,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6774,200,6574,6239,6149,17,44,5,0,24,335,328,33,157,14,5,112,0,0,0,0,7,0,0,0,0,0,5,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5309,5034,4939,12,50,7,0,26,275,266,15,113,13,0,118,0,0,1,0,6,0,0,0,0,0,9,2,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5309,125,5184,4963,4894,12,38,5,0,14,221,221,15,107,13,0,80,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3172,2795,377,56,37,24,0,13,0,19,0,0,19
0500000US30009,3748.0,1828.0,307.0,10473,9949,9720,22,111,21,0,75,524,495,11,183,41,18,231,1,0,0,0,1,0,4,5,0,0,25,4,0,0,0,2,2,10,4,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,10473,261,10212,9779,9603,13,97,21,0,45,433,419,11,183,41,17,161,1,0,0,0,0,0,0,5,0,0,12,4,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8506,8140,7960,22,83,18,0,57,366,351,8,130,27,9,171,1,0,0,0,0,0,0,5,0,0,12,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,8506,167,8339,8032,7895,13,69,18,0,37,307,303,8,130,27,9,123,1,0,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6359,4694,1665,86,64,0,0,64,0,22,0,0,22
0500000US30011,678.0,69.99999999999999,23.99999999999999,1415,1359,1347,0,7,1,0,4,56,51,3,16,10,1,13,0,0,2,0,1,4,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415,11,1404,1353,1341,0,7,1,0,4,51,46,3,14,9,1,11,0,0,2,0,1,4,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,1047,1040,0,7,0,0,0,41,37,3,13,5,1,11,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,10,1078,1041,1034,0,7,0,0,0,37,33,3,11,4,1,10,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817,593,224,20,20,0,0,20,0,0,0,0,0
0500000US30013,19632.0,12175.0,1996.0,84414,77679,70265,1196,4004,952,123,1139,6735,6339,635,2885,660,76,1811,65,30,5,44,22,21,33,35,17,0,368,116,20,0,17,61,16,74,48,13,0,1,0,0,0,0,0,0,0,1,1,26,3,4,4,0,1,0,10,1,0,0,0,1,2,0,0,2,2,0,0,0,0,0,0,0,84414,4012,80402,75058,68794,1085,3725,908,105,441,5344,5053,587,2688,608,66,890,65,30,5,20,22,15,9,35,13,0,267,97,20,0,4,61,15,16,48,4,0,1,0,0,0,0,0,0,0,0,1,22,2,4,2,0,1,0,10,0,0,0,0,1,2,0,0,2,2,0,0,0,0,0,0,0,65587,61487,55970,933,2819,791,105,869,4100,3938,235,1837,356,37,1297,30,18,5,33,13,6,28,31,12,0,147,47,4,0,4,27,9,29,21,3,0,1,0,0,0,0,0,0,0,1,1,13,2,3,4,0,0,0,3,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,65587,2650,62937,59657,54974,858,2649,764,91,321,3280,3153,228,1756,335,37,659,30,18,5,18,13,6,9,31,8,0,114,42,4,0,1,27,8,9,21,0,0,1,0,0,0,0,0,0,0,0,1,11,2,3,2,0,0,0,3,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,38937,35011,3926,3111,1160,560,26,563,11,1951,366,619,966
0500000US30015,1679.0,732.0,130.99999999999997,5895,5682,4214,10,1409,18,0,31,213,192,17,87,23,0,55,0,0,0,0,8,0,2,0,0,0,11,4,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,8,0,1,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,5895,159,5736,5557,4172,10,1347,18,0,10,179,171,16,77,22,0,46,0,0,0,0,8,0,2,0,0,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4346,4224,3344,5,830,14,0,31,122,108,5,58,8,0,33,0,0,0,0,3,0,1,0,0,0,7,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,4346,97,4249,4144,3319,5,796,14,0,10,105,98,4,52,7,0,31,0,0,0,0,3,0,1,0,0,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2843,2291,552,38,20,9,0,11,0,18,0,0,18
0500000US30017,3657.0,1176.0,302.0,11867,11276,10838,71,207,52,7,101,591,575,33,239,62,16,221,0,1,0,0,1,1,0,0,1,0,12,7,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11867,362,11505,11036,10701,71,192,52,7,13,469,460,33,231,62,16,114,0,1,0,0,1,1,0,0,1,0,7,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9247,8869,8537,51,148,44,7,82,378,371,16,165,29,7,153,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9247,238,9009,8704,8453,51,140,44,7,9,305,299,16,165,29,7,81,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5776,5024,752,482,259,109,22,128,0,223,161,0,62
0500000US30019,730.0,168.0,50.99999999999999,1661,1532,1474,0,40,13,3,2,129,111,6,47,10,1,33,3,0,0,0,8,0,0,2,1,0,16,1,1,0,1,3,0,3,3,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1661,49,1612,1514,1467,0,34,13,0,0,98,92,6,42,10,1,19,3,0,0,0,8,0,0,2,1,0,5,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,1229,1193,0,21,13,0,2,82,74,4,31,5,0,20,3,0,0,0,8,0,0,2,1,0,7,1,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1311,26,1285,1216,1186,0,17,13,0,0,69,67,4,29,5,0,15,3,0,0,0,8,0,0,2,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,738,305,22,22,0,0,22,0,0,0,0,0
