GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US30001,9371,29,7524,16,49,303,3353.0,265.0,1143.0
0500000US30003,13124,11,8747,7,54,329,1853.0,184.99999999999997,2094.0
0500000US30005,7044,13,4965,12,33,96,1268.0,101.99999999999999,1202.0
0500000US30007,6774,17,5309,12,42,125,2348.0,169.0,573.0
0500000US30009,10473,22,8506,22,56,167,3748.0,307.0,1828.0
0500000US30011,1415,0,1088,0,5,10,678.0,23.99999999999999,69.99999999999999
0500000US30013,84414,1196,65587,933,2243,2650,19632.0,1996.0,12175.0
0500000US30015,5895,10,4346,5,19,97,1679.0,130.99999999999997,732.0
0500000US30017,11867,71,9247,51,123,238,3657.0,302.0,1176.0
0500000US30019,1661,0,1311,0,9,26,730.0,50.99999999999999,168.0
0500000US30021,8940,42,6974,38,96,152,3320.0,184.0,787.0
0500000US30023,9421,23,7851,23,64,157,1763.0,276.0,2058.0
0500000US30025,3049,5,2209,4,12,28,1279.0,44.999999999999986,154.0
0500000US30027,11446,21,9076,3,10,137,4269.0,302.0,1202.0
0500000US30029,104357,280,81505,186,579,2146,30240.0,2199.0,13293.0
0500000US30031,118960,526,95459,414,1227,4143,23802.0,4015.0,24246.0
0500000US30033,1173,0,897,0,2,9,653.0,26.999999999999996,33.99999999999999
0500000US30035,13778,20,9448,12,73,169,1620.0,202.99999999999997,3121.0
0500000US30037,823,10,661,5,19,18,365.0,28.999999999999996,71.0
0500000US30039,3309,0,2706,0,22,56,1192.0,82.99999999999999,472.0
0500000US30041,16309,46,11997,38,128,304,3478.0,438.0,2371.0
0500000US30043,12085,16,9566,11,44,170,4177.0,394.0,1998.0
0500000US30045,2023,9,1647,8,19,32,872.0,78.99999999999999,235.0
0500000US30047,31134,64,23912,50,194,760,7530.0,534.0,4776.0
0500000US30049,70973,282,55685,211,626,1663,16895.0,2210.0,14478.0
0500000US30051,1959,2,1492,2,13,6,698.0,46.99999999999999,206.0
0500000US30053,19677,37,16037,26,96,372,6729.0,395.99999999999994,2041.0
0500000US30055,1729,1,1353,1,5,17,862.0,36.99999999999999,154.0
0500000US30057,8623,15,7231,11,26,183,3297.0,194.99999999999997,1180.0
0500000US30059,1927,13,1591,9,26,36,729.0,40.99999999999999,193.0
0500000US30061,4535,10,3719,5,19,88,1330.0,107.99999999999999,519.0
0500000US30063,117922,752,95035,533,1533,4610,22250.0,3357.0,31543.0
0500000US30065,4730,7,3820,7,19,103,1967.0,93.99999999999999,332.0
0500000US30067,17191,62,14273,54,137,344,4980.0,500.0,3595.0
0500000US30069,496,0,413,0,2,4,278.0,11.999999999999996,30.0
0500000US30071,4217,5,3235,5,19,68,1723.0,98.99999999999999,318.0
0500000US30073,5898,5,4459,3,22,52,1799.0,134.99999999999997,738.0
0500000US30075,1694,5,1379,1,10,23,884.0,38.999999999999986,126.99999999999999
0500000US30077,6946,67,5921,65,157,102,2029.0,162.99999999999997,551.0
0500000US30079,1088,2,883,2,4,19,556.0,29.99999999999999,100.0
0500000US30081,44174,94,35657,75,225,1024,14810.0,992.0,6223.0
0500000US30083,11491,63,8679,46,125,376,3908.0,238.99999999999997,671.0
0500000US30085,10794,32,7460,15,52,147,1797.0,179.99999999999997,1560.0
0500000US30087,8329,20,6076,7,31,130,2253.0,151.99999999999997,987.0
0500000US30089,12400,23,10214,22,58,227,4286.0,299.0,1218.0
0500000US30091,3539,14,2786,9,25,61,1241.0,91.99999999999999,477.0
0500000US30093,35133,131,28121,97,274,1080,6376.0,1057.0,8619.0
0500000US30095,8963,17,7095,6,25,177,3661.0,251.0,908.0
0500000US30097,3678,8,2923,6,21,64,1595.0,76.99999999999999,402.0
0500000US30099,6226,21,4768,13,40,50,2170.0,161.99999999999997,808.0
0500000US30101,4971,32,3971,30,71,119,1497.0,95.99999999999999,402.0
0500000US30103,762,1,581,1,4,25,351.0,25.999999999999996,59.0
0500000US30105,7578,15,5821,13,41,108,2698.0,233.99999999999997,886.0
0500000US30107,2069,6,1610,1,9,22,702.0,42.99999999999999,179.0
0500000US30109,937,2,730,2,7,18,463.0,18.0,55.0
0500000US30111,164731,1309,126567,911,2496,6268,40920.0,4316.0,22171.0
