GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US37001,38847.47037283755,29874.2692428584,1798.0534413762844,171415,159680,105847,34014,1427,2848,105,15439,11735,10936,2102,1918,669,45,4879,502,99,32,388,16,9,216,10,39,12,727,382,45,5,104,24,0,120,0,20,1,2,0,13,7,3,0,1,0,0,0,63,8,4,37,6,1,0,1,0,0,0,0,4,0,0,2,9,6,1,0,2,0,0,0,0,171415,24703,146712,140285,102487,33555,584,2811,86,762,6427,5893,1967,1785,638,43,690,465,98,26,131,9,4,11,9,17,0,495,347,41,5,46,23,0,2,0,11,0,2,0,7,7,3,0,1,0,0,0,32,8,4,7,6,1,0,0,0,0,0,0,4,0,0,2,7,4,1,0,2,0,0,0,0,133969,126728,87334,26095,1032,2233,75,9959,7241,6800,791,1467,369,28,3268,364,28,22,243,16,0,158,5,29,12,398,221,20,2,40,11,0,82,0,9,0,2,0,10,0,0,0,1,0,0,0,38,4,4,23,3,1,0,1,0,0,0,0,0,0,0,2,5,2,1,0,2,0,0,0,0,133969,15630,118339,114426,85337,25844,489,2211,64,481,3913,3628,752,1413,359,28,533,354,28,16,104,9,0,11,4,17,0,261,203,20,2,17,10,0,2,0,0,0,2,0,4,0,0,0,1,0,0,0,21,4,4,7,3,1,0,0,0,0,0,0,0,0,0,2,3,0,1,0,2,0,0,0,0,73385,67925,5460,6092,1029,397,18,601,13,5063,4427,0,636
0500000US37003,13891.703990351432,3766.6279678903597,436.968532584311,36444,34766,31284,1932,144,392,5,1009,1678,1621,309,596,73,4,578,10,11,0,24,7,2,7,0,0,0,42,25,0,0,2,1,1,7,0,4,0,0,0,0,0,0,0,0,0,0,2,9,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,36444,1836,34608,33397,30893,1919,111,390,1,83,1211,1178,301,587,70,4,189,7,9,0,11,0,0,0,0,0,0,25,23,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29273,28207,25462,1648,124,283,1,689,1066,1024,116,452,37,4,375,4,9,0,11,7,2,7,0,0,0,33,18,0,0,2,1,0,6,0,4,0,0,0,0,0,0,0,0,0,0,2,9,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29273,1163,28110,27318,25239,1644,102,283,1,49,792,765,108,449,34,4,155,4,9,0,2,0,0,0,0,0,0,19,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15960,14408,1552,1492,1434,1274,14,146,0,58,10,0,48
0500000US37005,3805.2559081452846,1303.472375135482,128.71170338301286,10888,10318,9544,104,47,15,6,602,570,524,52,146,9,8,289,1,6,0,8,3,0,0,1,1,0,43,7,0,3,4,8,0,9,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,10888,1288,9600,9349,9186,103,35,15,6,4,251,226,36,134,8,8,28,0,6,0,2,3,0,0,1,0,0,22,7,0,3,1,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8942,8565,7972,89,34,15,3,452,377,361,20,119,3,4,204,0,6,0,0,3,0,0,1,1,0,13,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8942,865,8077,7904,7771,89,22,15,3,4,173,169,18,110,3,4,24,0,6,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7666,4844,2822,246,107,39,0,68,0,139,0,0,139
0500000US37007,4500.559496567505,5857.3352402745995,128.87128146453085,22055,21340,10692,9871,106,221,7,443,715,670,224,206,23,2,101,54,13,0,34,0,0,4,0,3,6,30,24,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,7,7,0,0,0,0,0,1,1,22055,665,21390,20783,10593,9838,89,221,4,38,607,571,217,206,23,2,36,47,13,0,24,0,0,0,0,3,0,26,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,17845,17397,8965,7874,90,169,7,292,448,415,104,150,10,2,72,37,7,0,24,0,0,0,0,3,6,20,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,1,1,17845,454,17391,17016,8907,7847,77,169,4,12,375,349,97,150,10,2,29,37,7,0,14,0,0,0,0,3,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,9834,8554,1280,1641,1612,1394,0,218,0,29,0,0,29
0500000US37009,9408.896407353424,3500.3980500681005,332.01238402143633,26577,25477,24435,127,77,103,12,723,1100,1036,87,413,32,0,474,6,0,0,9,1,0,3,5,2,4,57,16,0,5,13,6,0,6,2,4,0,0,0,4,0,0,0,1,0,0,0,5,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,26577,1519,25058,24358,24028,125,48,102,12,43,700,673,87,404,31,0,145,6,0,0,0,0,0,0,0,0,0,25,16,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,21984,21216,20459,97,76,79,0,505,768,740,39,327,17,0,327,6,0,0,9,1,0,3,5,2,4,23,4,0,1,6,0,0,2,2,3,0,0,0,4,0,0,0,1,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21984,1007,20977,20474,20220,95,47,79,0,33,503,494,39,321,17,0,111,6,0,0,0,0,0,0,0,0,0,8,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16935,11708,5227,455,347,127,8,212,0,108,0,0,108
0500000US37011,6296.929936305733,1688.4649681528663,165.99999999999997,17806,17110,15746,664,89,63,1,547,696,662,49,278,36,3,272,4,6,0,8,0,0,1,1,4,0,33,3,0,0,2,8,0,6,5,0,0,0,0,0,1,5,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17806,987,16819,16357,15549,649,58,56,1,44,462,435,49,277,35,1,61,4,6,0,0,0,0,1,1,0,0,26,3,0,0,0,8,0,2,5,0,0,0,0,0,1,4,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15104,14601,13446,662,67,44,1,381,503,480,36,219,16,3,188,2,4,0,8,0,0,1,1,2,0,22,3,0,0,0,8,0,6,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15104,687,14417,14072,13302,647,47,41,1,34,345,327,36,218,15,1,49,2,4,0,0,0,0,1,1,0,0,17,3,0,0,0,8,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13827,6860,6967,2516,1956,1810,13,133,0,560,489,0,71
0500000US37013,14543.0,8764.0,425.99999999999994,44652,42822,29817,10303,168,166,16,2352,1830,1719,447,391,78,5,656,73,6,3,39,6,0,2,0,8,5,102,34,2,2,21,11,0,17,1,0,2,0,0,3,0,1,0,1,0,0,7,7,2,0,0,1,0,0,0,0,2,1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,44652,3433,41219,40018,29431,10195,90,164,16,122,1201,1142,421,363,78,4,166,69,6,3,17,6,0,0,0,7,2,56,28,2,0,7,11,0,2,1,0,2,0,0,0,0,0,0,1,0,0,2,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36005,34895,25150,7993,123,142,8,1479,1110,1044,157,298,42,1,445,53,2,0,36,3,0,2,0,0,5,58,23,2,0,9,8,0,8,0,0,2,0,0,3,0,0,0,1,0,0,2,7,2,0,0,1,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,36005,2110,33895,33166,24917,7948,72,142,8,79,729,688,148,290,42,0,135,49,2,0,17,3,0,0,0,0,2,38,20,2,0,1,8,0,2,0,0,2,0,0,0,0,0,0,1,0,0,2,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24090,19430,4660,429,261,0,0,261,0,168,0,0,168
0500000US37015,3456.0,5778.0,69.99999999999997,17934,17398,6339,10720,63,63,6,207,536,482,176,91,21,7,74,58,17,3,27,4,0,4,0,0,0,40,17,1,0,1,1,0,6,5,2,1,4,0,0,0,0,0,0,2,0,0,14,7,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17934,330,17604,17141,6298,10674,57,63,0,49,463,421,167,90,21,2,52,51,14,3,17,4,0,0,0,0,0,31,17,0,0,1,1,0,0,5,2,1,4,0,0,0,0,0,0,0,0,0,11,7,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14896,14524,5422,8800,63,53,6,180,372,333,103,74,17,2,58,38,3,3,27,4,0,4,0,0,0,30,13,1,0,0,1,0,6,0,2,1,4,0,0,0,0,0,0,2,0,0,9,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14896,261,14635,14307,5389,8765,57,53,0,43,328,300,101,73,17,2,45,35,3,3,17,4,0,0,0,0,0,21,13,0,0,0,1,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8936,7264,1672,1515,1480,1367,0,113,0,35,0,0,35
0500000US37017,8547.334108815594,7026.734789467406,211.63846766737166,29606,28328,16102,9576,799,48,11,1792,1278,1178,226,364,29,1,356,126,3,4,50,9,5,2,3,0,0,83,30,2,0,7,8,3,19,7,6,0,0,1,0,0,0,0,0,0,0,0,17,2,0,5,0,6,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29606,2546,27060,26158,15830,9505,701,47,8,67,902,834,224,347,29,1,63,126,2,4,20,9,5,1,3,0,0,60,30,2,0,6,7,3,1,7,3,0,0,1,0,0,0,0,0,0,0,0,8,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23426,22648,13212,7645,618,48,9,1116,778,713,101,262,13,1,218,78,3,0,23,9,0,2,3,0,0,53,25,2,0,7,8,0,5,5,0,0,0,1,0,0,0,0,0,0,0,0,12,2,0,0,0,6,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23426,1558,21868,21302,13057,7597,553,47,6,42,566,511,101,247,13,1,49,78,2,0,7,9,0,1,3,0,0,47,25,2,0,6,7,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,8,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15131,12410,2721,327,272,112,0,160,0,55,0,0,55
0500000US37019,42700.50206327373,23267.35162528053,1716.0324332150872,136693,129304,112307,11546,895,910,92,3554,7389,7084,1104,2143,423,38,3018,131,39,8,130,4,0,29,11,6,0,280,140,27,0,26,25,2,31,14,14,0,0,0,0,0,1,0,0,0,0,0,21,10,0,7,0,3,0,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,136693,7420,129273,124182,110716,11392,743,890,75,366,5091,4864,1062,2071,386,38,1065,130,33,8,56,2,0,2,11,0,0,216,132,23,0,19,23,2,0,12,5,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,116606,111689,98602,9248,717,765,60,2297,4917,4750,359,1648,246,21,2246,107,17,0,70,2,0,17,11,6,0,152,80,10,0,10,15,0,18,6,12,0,0,0,0,0,1,0,0,0,0,0,11,7,0,0,0,3,0,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,116606,4812,111794,108434,97625,9141,610,755,48,255,3360,3225,342,1607,227,21,866,107,15,0,25,2,0,2,11,0,0,124,80,10,0,8,15,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,88330,61496,26834,964,851,241,0,610,0,113,0,0,113
