GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US37001,171415,34014,133969,26095,53933,15630,38847.47037283755,1798.0534413762844,29874.2692428584
0500000US37003,36444,1932,29273,1648,3456,1163,13891.703990351432,436.968532584311,3766.6279678903597
0500000US37005,10888,104,8942,89,208,865,3805.2559081452846,128.71170338301286,1303.472375135482
0500000US37007,22055,9871,17845,7874,15940,454,4500.559496567505,128.87128146453085,5857.3352402745995
0500000US37009,26577,127,21984,97,263,1007,9408.896407353424,332.01238402143633,3500.3980500681005
0500000US37011,17806,664,15104,662,1379,687,6296.929936305733,165.99999999999997,1688.4649681528663
0500000US37013,44652,10303,36005,7993,16271,2110,14543.0,425.99999999999994,8764.0
0500000US37015,17934,10720,14896,8800,17792,261,3456.0,69.99999999999997,5778.0
0500000US37017,29606,9576,23426,7645,15530,1558,8547.334108815594,211.63846766737166,7026.734789467406
0500000US37019,136693,11546,116606,9248,19150,4812,42700.50206327373,1716.0324332150872,23267.35162528053
0500000US37021,269452,15311,219874,11911,25534,14579,55753.63529957499,4286.870918375535,75471.00715202757
0500000US37023,87570,4854,70018,4034,8502,4464,26191.323714620572,986.7952087482796,11242.039154102536
0500000US37025,225804,42622,167539,30611,63655,16899,53804.6891709715,2785.800906514753,35525.72996319618
0500000US37027,80652,3914,64436,3040,6528,3113,26626.500474962842,849.108323094102,8427.1940879973
0500000US37029,10355,1055,7887,871,1797,199,3546.0,149.0,1274.0
0500000US37031,67686,3274,56213,2695,5723,2033,26569.0,913.0,9939.0
0500000US37033,22736,6824,18596,5757,11715,664,6029.225333559292,214.15131530712935,4796.766328810557
0500000US37035,160610,12835,126566,10004,21159,11061,48538.570068073,1979.1113172333794,21275.052715567363
0500000US37037,76285,7914,60788,6390,13324,6491,17100.990744168826,1129.754535357275,21062.285449833395
0500000US37039,28774,381,24051,277,670,586,10844.0,345.99999999999994,2860.0
0500000US37041,13708,4408,11114,3449,7015,337,4014.0,162.0,2992.0
0500000US37043,11089,65,9234,53,129,287,4439.207084468665,143.08641494745035,1367.941222265473
0500000US37045,99519,20159,78032,15284,31295,2595,28475.64126304409,849.9268530575055,14959.68439585889
0500000US37047,50623,14586,40316,11553,23619,1650,14277.96732480943,306.4462465385489,9095.28662181541
0500000US37049,100720,20204,79783,15609,32258,4747,27726.68984550928,1209.8845457420646,17627.49221849141
0500000US37051,334728,127610,254481,95657,198619,26741,51290.57474294754,3374.1468494595306,71627.55470603744
0500000US37053,28100,1392,22004,1100,2376,763,9163.0,482.0,2913.0
0500000US37055,36915,703,30445,563,1265,1635,11460.0,674.0,7222.0
0500000US37057,168930,16065,132179,12161,25251,8599,54324.572980516146,1859.7993089513689,18119.12735548368
0500000US37059,42712,2428,33784,1925,4082,2096,15585.493317563572,630.495792203066,5265.73302097075
0500000US37061,48715,11604,37043,9129,18545,6701,12200.323171100625,259.6439296246783,8279.070645771806
0500000US37063,324833,110610,259565,87670,179564,33066,28390.301961011704,4002.9011851647297,121313.54996930226
0500000US37065,48900,27429,38189,21025,42553,1720,8261.0,283.99999999999994,16224.0
0500000US37067,382590,95324,297388,73000,150288,34063,75970.18677086443,5369.624718643586,94459.86652644555
0500000US37069,68573,15990,53144,12416,25472,4357,16368.0,777.0,12874.0
0500000US37071,227930,40323,177840,29660,61189,13036,61791.3095816363,2444.794933587802,31179.060128990444
0500000US37073,10478,3023,8343,2504,5118,117,2874.0,108.0,2385.0
0500000US37075,8030,50,6370,36,117,133,3283.0,73.99999999999999,768.0
0500000US37077,60992,18435,48195,14837,30228,3940,13591.0,596.0,12909.0
0500000US37079,20451,7250,16566,6037,12210,1896,4372.916832622096,84.98605974395446,3603.911490437806
0500000US37081,541299,181848,423763,138672,284565,34038,98052.76651686743,6753.473821989189,149242.38928824232
0500000US37083,48622,24846,38975,19564,39690,938,9027.426587380802,289.73554201101007,15724.565898058074
0500000US37085,133568,27417,98069,20043,41651,11334,27615.219457624895,1252.13246015842,16738.673294561224
0500000US37087,62089,663,51091,550,1296,1861,18929.15061459468,905.0132254551112,10473.137077952388
0500000US37089,116281,3388,94428,2643,5784,10076,35773.114740363424,1624.201206738973,19809.133102025222
0500000US37091,21552,12393,17639,9844,19938,1403,3099.0,132.99999999999997,6910.0
0500000US37093,52082,16766,37472,12465,25887,4696,7741.88046087374,576.3374939990398,9716.658665386462
0500000US37095,4589,1169,3785,1027,2095,223,1288.0,41.99999999999999,965.0
0500000US37097,186693,21678,143795,16082,33432,10160,54765.367097187365,2184.959947485583,24734.30832027639
0500000US37099,43109,856,35790,792,1827,2279,9862.134871211,741.7756589911102,7709.247568189155
0500000US37101,215999,33730,160099,24948,51702,21098,54394.92457913578,2348.79257347321,28378.988533977485
0500000US37103,9172,2579,7481,2160,4386,254,2976.833893745797,59.04236718224612,2065.607262945528
0500000US37105,63285,10885,48392,8311,17177,8128,13712.0,684.0,10469.0
0500000US37107,55122,22195,42923,16899,34267,2663,13608.37856428002,397.92285538625976,12632.869495848756
0500000US37109,86810,4482,68416,3587,7543,4261,28646.02055333361,966.3078855704717,9847.338400142458
0500000US37111,44578,1732,35805,1451,3091,1844,14573.134175219791,396.1157966435691,4669.288842650587
0500000US37113,37014,257,30345,202,545,2237,12132.507429725658,467.1247006063281,4878.674131592984
0500000US37115,21193,215,17481,210,497,536,6783.0,336.0,3926.0
0500000US37117,22031,8922,17615,7019,14226,546,5897.0,164.99999999999997,5846.0
0500000US37119,1115482,330458,860025,250649,515842,113979,155507.74679286574,15487.006610757973,294542.1382142097
0500000US37121,14903,53,12246,41,126,447,6280.399303828941,137.9567379413227,1595.5678766782696
0500000US37123,25751,4226,20177,3343,6812,2342,7134.215876089061,203.14262665375924,4152.4749919328815
0500000US37125,99727,10671,78212,8307,17293,4573,30485.78412391094,1354.8573733462406,16326.52500806712
0500000US37127,94970,36958,74574,28419,57756,4680,23319.0,749.9999999999999,23235.0
0500000US37129,225702,27386,184113,21227,44436,11565,55379.18909750476,3950.551734856405,50998.64329499185
0500000US37131,17471,9689,14372,7784,15721,215,3582.0,92.99999999999997,6144.0
0500000US37133,204576,28026,157467,20997,45063,19679,37136.43438384464,1926.2418799076409,17516.465512225375
0500000US37135,148696,15848,119527,12836,27029,10627,18516.682798951882,2401.7975573671183,59906.489864851654
0500000US37137,12276,2061,10478,1794,3687,353,4258.0,123.99999999999999,2448.0
0500000US37139,40568,14478,31964,11336,23064,1447,8180.0,442.0,8615.0
0500000US37141,60203,7619,46608,6227,12806,2998,17623.71659510436,682.4583518475318,9348.24944761202
0500000US37143,13005,2715,10592,2193,4481,191,4177.0,162.0,2319.0
0500000US37145,39097,9937,30963,7743,15816,1406,11185.0,418.99999999999994,7833.0
0500000US37147,170243,60414,132273,45019,92201,8546,35695.31015449072,2162.115454257935,41826.50778150859
0500000US37149,19328,698,16204,561,1202,658,6773.049217593075,271.9879081439824,3735.0821501847904
0500000US37151,144171,8748,112315,6761,14242,11931,49446.05756872401,1403.4017574418426,13197.125412691856
0500000US37153,42930,12878,33230,9736,19872,1868,10393.011315429501,333.10147170631035,8505.875642430225
0500000US37155,116530,26424,88455,20315,41695,7223,20750.69654018676,802.4062398877206,19000.396477118124
0500000US37157,91096,16789,72783,13456,27603,3752,26821.706652124492,870.7378252455562,14225.249880742538
0500000US37159,146875,23012,114968,17649,36256,9860,42840.11866761677,1518.742561212371,19419.574288034175
0500000US37161,64444,5903,51419,4665,9758,2033,21860.143172581993,623.8513976853225,7509.883601851537
0500000US37163,59036,14130,44936,11101,22659,7538,14857.149413447993,393.5244189051356,10558.780897487934
0500000US37165,34174,13162,26845,10046,20414,832,6246.535506937442,253.92323074147757,7315.4930977449385
0500000US37167,62504,7079,49264,5456,11258,1934,21962.396752917302,663.9365804160324,7093.426686960934
0500000US37169,44520,1644,36049,1377,2923,953,17118.10880986867,571.046855530888,4665.51292195594
0500000US37171,71359,2486,56438,1978,4274,5314,23701.272427047763,739.6231910815627,7493.333832306259
0500000US37173,14117,108,10975,92,228,371,3565.0,240.0,2196.0
0500000US37175,32986,1037,27299,797,1761,1124,10520.0,489.0,6558.0
0500000US37177,3245,938,2574,760,1544,150,975.0,27.999999999999996,720.0
0500000US37179,238267,26981,173864,19841,41331,18891,66712.44050343249,3327.128718535469,34338.6647597254
0500000US37181,42578,21237,32871,16015,32431,2284,7332.0,294.0,12229.0
0500000US37183,1129410,208493,860079,157662,326967,84197,196007.9036771828,19452.867815055248,302619.31833228027
0500000US37185,18642,9114,15292,7281,14793,465,3217.5734126191987,146.26445798898988,6436.434101941927
0500000US37187,11003,5375,8850,4154,8392,209,2564.0,64.99999999999999,3510.0
0500000US37189,54086,2149,46590,1983,4337,2870,13693.872309899569,1335.8421807747488,14135.704447632712
0500000US37191,117333,35795,90502,27408,56177,9317,27541.86873806908,963.0860507944685,21768.75610717946
0500000US37193,65969,2634,52651,2121,4503,2855,23731.899773813566,646.7135393350627,6635.544413487696
0500000US37195,78784,30097,61055,23054,46928,5632,17531.0,667.0,19663.0
0500000US37197,37214,1136,29484,888,1867,2708,13882.484210526316,398.0890688259109,3160.4615384615386
0500000US37199,18470,108,15105,90,238,599,6386.600696171059,261.04326205867727,3196.4321233217306
