GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US38001,909.0,216.0,64.99999999999999,2200,2117,2039,13,14,39,1,11,83,66,3,28,2,2,29,0,0,0,1,0,0,0,1,0,0,16,1,2,0,1,0,2,1,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2200,36,2164,2094,2028,12,14,39,1,0,70,62,3,28,2,2,25,0,0,0,1,0,0,0,1,0,0,8,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1767,1705,1655,8,12,23,0,7,62,48,3,20,0,0,25,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,2,1,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1767,25,1742,1693,1650,8,12,23,0,0,49,44,3,20,0,0,21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,1011,353,64,59,0,0,59,0,5,0,0,5
0500000US38003,3160.0,1597.0,407.0,10853,10459,10025,186,103,69,3,73,394,374,47,146,42,8,116,5,3,0,0,0,0,1,6,0,0,11,2,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,4,0,0,0,0,10853,185,10668,10328,9964,177,92,69,2,24,340,329,44,141,42,8,81,5,2,0,0,0,0,0,6,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,8740,8526,8153,154,85,62,3,69,214,208,23,92,18,0,70,2,1,0,0,0,0,0,2,0,0,4,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8740,123,8617,8426,8117,148,75,62,2,22,191,188,23,92,18,0,51,2,0,0,0,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5671,4772,899,515,167,1,1,165,0,348,319,0,29
0500000US38005,929.0,842.0,111.99999999999997,5964,5794,2542,7,3216,7,2,20,170,153,8,108,5,0,18,5,0,1,0,7,0,0,1,0,0,17,1,0,3,1,4,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5964,89,5875,5732,2532,2,3190,7,0,1,143,133,8,101,2,0,8,5,0,1,0,7,0,0,1,0,0,10,1,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3926,3842,2063,6,1752,7,0,14,84,81,1,61,3,0,14,0,0,0,0,2,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3926,52,3874,3804,2055,2,1740,7,0,0,70,67,1,56,0,0,8,0,0,0,0,2,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2542,2015,527,43,43,33,0,10,0,0,0,0,0
0500000US38007,495.0,58.99999999999999,32.99999999999999,945,926,911,4,5,6,0,0,19,14,3,0,2,0,8,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,945,22,923,915,902,4,3,6,0,0,8,7,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,737,726,715,3,2,6,0,0,11,10,3,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,737,13,724,720,711,3,0,6,0,0,4,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,567,406,161,6,0,0,0,0,0,6,0,0,6
0500000US38009,2494.0,736.0,176.99999999999997,6379,6086,5754,31,217,42,1,41,293,282,23,197,15,2,34,4,1,2,1,0,0,3,0,0,0,9,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,6379,141,6238,5972,5688,31,197,42,1,13,266,259,22,187,14,2,28,4,1,0,1,0,0,0,0,0,0,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4981,4818,4578,30,151,29,1,29,163,155,9,108,12,0,21,4,0,1,0,0,0,0,0,0,0,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4981,80,4901,4753,4537,30,143,29,1,13,148,143,9,102,12,0,16,4,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3931,2779,1152,179,62,2,0,60,0,117,117,0,0
0500000US38011,1446.0,227.0,78.99999999999999,2993,2888,2793,0,37,17,3,38,105,96,12,32,0,0,50,0,0,0,1,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2993,129,2864,2814,2760,0,34,17,3,0,50,48,9,30,0,0,9,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2292,2225,2164,0,18,16,0,27,67,61,7,20,0,0,33,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2292,67,2225,2188,2154,0,18,16,0,0,37,35,7,20,0,0,8,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1633,1294,339,49,49,0,0,49,0,0,0,0,0
0500000US38013,895.0,118.99999999999999,25.999999999999982,2201,2147,2082,13,25,12,0,15,54,49,5,20,8,0,14,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2201,59,2142,2099,2049,12,21,12,0,5,43,40,5,20,8,0,6,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641,1606,1561,13,11,12,0,9,35,31,5,13,4,0,8,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641,29,1612,1582,1547,12,10,12,0,1,30,28,5,13,4,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1378,954,424,0,0,0,0,0,0,0,0,0,0
0500000US38015,32532.0,10881.0,2722.0,98458,94173,85148,2283,4257,1054,317,1114,4285,4088,522,1545,433,35,1354,71,0,3,34,7,18,30,27,0,9,177,60,4,2,18,12,0,39,13,17,0,0,0,2,5,0,0,0,5,0,0,19,0,0,12,0,0,0,2,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,98458,3084,95374,92198,84349,2227,4053,1043,316,210,3176,3077,493,1491,424,33,494,64,0,3,14,7,18,8,24,0,4,97,53,4,2,1,11,0,1,13,5,0,0,0,2,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,75621,73224,67004,1594,2759,836,211,820,2397,2306,186,870,210,17,915,22,0,3,22,0,8,23,21,0,9,78,25,0,0,6,0,0,25,4,8,0,0,0,2,3,0,0,0,5,0,0,13,0,0,6,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75621,2055,73566,71893,66496,1561,2655,825,210,146,1673,1634,172,860,207,15,313,16,0,3,10,0,8,8,18,0,4,38,24,0,0,0,0,0,0,4,5,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42692,39927,2765,4186,2268,1051,33,1184,0,1918,1559,0,359
0500000US38017,39816.0,31361.0,6085.0,184525,175047,151307,12963,2614,6068,101,1994,9478,9029,1532,2907,1214,61,2884,145,85,14,92,13,4,33,30,12,3,413,167,51,1,36,41,0,64,22,15,0,4,0,7,2,2,1,0,0,0,0,34,14,0,10,2,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,184525,6182,178343,171142,149442,12761,2367,6034,79,459,7201,6891,1472,2717,1174,59,1142,136,85,14,37,12,4,1,30,8,0,293,154,51,0,12,38,0,6,22,4,0,4,0,0,2,0,0,0,0,0,0,17,12,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,142934,137316,121044,8188,1861,4606,76,1541,5618,5398,629,1916,622,44,1903,80,53,14,67,7,3,24,27,6,3,200,72,23,0,14,16,0,40,18,7,0,4,0,3,0,2,1,0,0,0,0,18,8,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,142934,4149,138785,134569,119823,8080,1702,4584,63,317,4216,4069,605,1830,610,42,768,77,53,14,27,7,3,1,27,5,0,139,70,23,0,7,13,0,4,18,0,0,4,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85397,78672,6725,5757,1349,169,26,1154,0,4408,3856,0,552
0500000US38019,1357.0,476.0,109.99999999999997,3704,3573,3504,3,28,16,0,22,131,125,13,57,7,0,38,8,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3704,45,3659,3546,3485,2,28,16,0,15,113,113,13,55,7,0,28,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2885,2819,2774,2,19,11,0,13,66,61,6,31,1,0,22,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2885,35,2850,2796,2759,1,19,11,0,6,54,54,6,31,1,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097,1661,436,45,45,0,0,45,0,0,0,0,0
