GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US38001,2200,13,1767,8,25,25,909.0,64.99999999999999,216.0
0500000US38003,10853,186,8740,154,335,123,3160.0,407.0,1597.0
0500000US38005,5964,7,3926,6,16,52,929.0,111.99999999999997,842.0
0500000US38007,945,4,737,3,9,13,495.0,32.99999999999999,58.99999999999999
0500000US38009,6379,31,4981,30,78,80,2494.0,176.99999999999997,736.0
0500000US38011,2993,0,2292,0,9,67,1446.0,78.99999999999999,227.0
0500000US38013,2201,13,1641,13,32,29,895.0,25.999999999999982,118.99999999999999
0500000US38015,98458,2283,75621,1594,3457,2055,32532.0,2722.0,10881.0
0500000US38017,184525,12963,142934,8188,17338,4149,39816.0,6085.0,31361.0
0500000US38019,3704,3,2885,2,11,35,1357.0,109.99999999999997,476.0
0500000US38021,4999,28,3774,22,65,123,1667.0,122.99999999999999,554.0
0500000US38023,2195,23,1691,11,35,32,867.0,70.99999999999999,245.0
0500000US38025,4095,25,3056,25,84,68,1771.0,59.99999999999998,358.0
0500000US38027,2347,5,1824,4,20,39,791.0,52.999999999999986,355.0
0500000US38029,3301,0,2615,0,12,20,1677.0,51.99999999999998,214.99999999999997
0500000US38031,3397,8,2627,8,28,46,1241.0,95.99999999999999,347.0
0500000US38033,1736,5,1274,1,5,21,796.0,39.99999999999999,98.99999999999999
0500000US38035,73170,3065,57784,2144,4748,2372,16340.0,2004.0,10851.0
0500000US38037,2301,10,1885,8,22,20,1108.0,64.99999999999999,185.0
0500000US38039,2306,8,1827,5,18,20,847.0,92.99999999999999,298.0
0500000US38041,2489,5,1943,0,11,15,1050.0,45.999999999999986,168.0
0500000US38043,2394,3,1877,0,8,36,1111.0,63.999999999999986,178.99999999999997
0500000US38045,4093,14,3170,6,15,49,1481.0,108.99999999999997,502.0
0500000US38047,1876,2,1424,2,10,14,888.0,37.999999999999986,113.99999999999999
0500000US38049,5345,11,4099,9,29,69,2050.0,188.99999999999997,489.99999999999994
0500000US38051,2530,7,2054,6,17,29,1100.0,70.99999999999999,235.0
0500000US38053,14704,218,10366,152,341,952,3670.0,171.99999999999997,698.0
0500000US38055,9771,32,7579,25,101,92,3860.0,255.99999999999997,1081.0
0500000US38057,8350,42,6358,29,65,124,3759.0,189.99999999999997,621.0
0500000US38059,33291,466,25365,302,686,806,11336.0,914.0,3080.0
0500000US38061,9809,113,7075,91,231,493,2582.0,165.99999999999997,1220.0
0500000US38063,3015,6,2473,6,20,54,1025.0,113.99999999999999,536.0
0500000US38065,1877,3,1414,0,2,22,830.0,46.99999999999999,118.99999999999999
0500000US38067,6844,29,5365,21,63,163,2208.0,166.99999999999997,681.0
0500000US38069,3990,38,3096,26,65,39,1437.0,131.99999999999997,431.0
0500000US38071,11605,73,8927,65,150,154,3217.0,405.0,1505.0
0500000US38073,5703,38,4315,24,65,81,1210.0,247.0,838.0
0500000US38075,2282,5,1778,2,14,30,993.0,70.99999999999999,200.99999999999997
0500000US38077,16529,155,12831,101,249,319,4767.0,492.99999999999994,2064.0
0500000US38079,12187,17,8161,17,47,79,1217.0,155.99999999999997,2099.0
0500000US38081,3862,50,3057,36,89,60,1088.0,166.99999999999997,694.0
0500000US38083,1265,2,1016,0,1,1,650.0,28.999999999999993,94.99999999999999
0500000US38085,3898,3,2544,3,10,32,260.0,24.99999999999999,758.0
0500000US38087,706,3,554,2,9,5,362.0,18.999999999999993,42.99999999999999
0500000US38089,33646,1050,24973,714,1530,1416,9755.0,526.0,1753.0
0500000US38091,1798,3,1407,3,14,17,538.0,74.99999999999999,361.0
0500000US38093,21593,456,17254,331,741,413,6718.0,574.0,2498.0
0500000US38095,2162,2,1668,2,7,23,733.0,90.0,305.0
0500000US38097,7997,48,6131,39,100,180,2265.0,292.0,1241.0
0500000US38099,10563,71,8159,51,132,808,2995.0,330.0,1167.0
0500000US38101,69919,3024,52806,2254,5082,3110,18636.0,2055.0,5806.0
0500000US38103,3982,18,3180,10,49,24,1796.0,100.99999999999997,419.0
0500000US38105,40950,2096,29793,1427,3017,2505,10069.0,631.0,1735.0
