GEOID,R20,D20,L20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US34001,64438.0,73808.0,957.9999999999998,274534,248886,156796,41519,1253,21784,342,27192,25648,24124,3066,1937,1787,89,14188,512,245,53,1474,81,6,322,70,181,113,1329,401,101,15,422,36,3,152,42,48,10,12,2,58,7,9,0,3,3,1,4,184,25,0,125,9,7,8,4,0,0,6,0,0,0,0,0,11,3,7,0,0,1,0,0,0,274534,53713,220821,211225,148858,39022,357,21563,82,1343,9596,8962,2558,1713,1695,82,1791,425,213,40,235,68,6,0,64,69,3,581,310,84,15,53,33,0,11,39,7,0,12,2,0,7,5,0,0,0,0,3,50,23,0,11,9,0,1,0,0,0,6,0,0,0,0,0,3,3,0,0,0,0,0,0,0,217993,201095,132064,31191,943,17317,225,19355,16898,16007,1492,1470,941,61,10006,382,152,36,927,60,6,228,52,106,88,782,264,34,10,232,14,0,103,24,29,6,12,2,35,7,2,0,3,2,1,2,99,14,0,71,0,0,8,0,0,0,6,0,0,0,0,0,10,3,7,0,0,0,0,0,0,217993,36798,181195,175124,126875,29819,291,17212,64,863,6071,5685,1279,1341,912,54,1296,331,134,29,164,51,6,0,46,41,1,357,208,34,10,31,14,0,11,24,3,0,12,2,0,7,0,0,0,0,0,1,26,14,0,5,0,0,1,0,0,0,6,0,0,0,0,0,3,3,0,0,0,0,0,0,0,132038,106716,25322,5655,1713,394,32,1280,7,3942,2903,31,1008
0500000US34003,204417.0,285967.0,2851.9999999999995,955732,858445,543849,54831,4535,158630,217,96383,97287,91695,5030,2120,8877,136,64735,697,815,63,6148,156,8,1295,420,980,215,4718,707,324,17,1758,75,14,798,106,605,31,39,1,93,5,110,3,0,15,0,17,826,72,23,575,3,107,0,0,38,0,7,0,0,1,0,0,44,12,28,2,2,0,0,4,4,955732,204683,751049,726733,511919,49909,811,157500,130,6464,24316,23057,3783,1628,8425,120,5889,540,734,55,883,133,1,54,395,384,33,1136,390,237,10,125,68,12,18,102,65,1,19,1,11,5,53,3,0,6,0,10,101,42,13,16,3,27,0,0,0,0,0,0,0,0,0,0,18,12,4,0,2,0,0,4,4,755234,687143,442109,43549,3326,125789,174,72196,68091,64680,2810,1607,3792,93,48616,543,446,43,4525,113,6,986,354,580,166,2853,467,143,11,1087,33,14,615,53,246,27,24,1,65,5,42,3,0,6,0,11,525,41,13,391,3,54,0,0,22,0,0,0,0,1,0,0,29,11,18,0,0,0,0,4,4,755234,150353,604881,590365,419867,40286,571,125126,105,4410,14516,13773,2159,1276,3634,86,4229,436,420,43,717,105,0,34,339,269,26,653,259,109,5,74,30,12,18,53,29,1,11,1,5,5,32,3,0,2,0,4,73,26,9,16,3,19,0,0,0,0,0,0,0,0,0,0,13,11,2,0,0,0,0,4,4,367383,350664,16719,10586,4726,723,49,3408,546,5860,3078,0,2782
0500000US34005,103345.0,154595.0,2206.0,461860,424520,303024,77749,1168,26235,303,16041,37340,34262,6338,3715,4046,146,15484,937,712,73,2159,90,6,211,95,191,59,2656,983,368,14,531,110,4,263,65,119,15,55,0,56,23,38,1,0,10,1,0,394,113,16,212,2,31,2,1,5,2,4,0,0,0,4,2,17,4,13,0,0,0,0,11,11,461860,40387,421473,399406,294510,74807,609,25980,265,3235,22067,20336,5631,3449,3852,135,4681,825,653,60,719,68,6,39,90,122,6,1568,777,333,13,169,100,4,13,62,9,2,39,0,13,14,12,0,0,7,1,0,153,99,14,18,2,11,2,1,0,0,4,0,0,0,0,2,6,4,2,0,0,0,0,4,4,365405,341969,247915,60935,905,20226,231,11757,23436,21700,2954,2761,2040,97,10684,711,435,45,1487,73,4,165,76,129,39,1479,596,158,2,270,67,4,157,36,38,7,41,0,46,18,27,1,0,10,1,0,243,62,15,134,2,22,2,1,0,0,1,0,0,0,4,0,7,2,5,0,0,0,0,7,7,365405,27250,338155,324555,242318,59265,490,20071,203,2208,13600,12584,2695,2622,1970,91,3293,653,415,36,562,60,4,23,71,88,1,912,491,150,2,94,59,4,6,36,0,0,29,0,13,9,11,0,0,7,1,0,96,52,13,16,2,9,2,1,0,0,1,0,0,0,0,0,4,2,2,0,0,0,0,4,4,184775,174560,10215,11584,9744,7019,245,2480,0,1840,0,756,1084
0500000US34007,86207.0,175065.0,1883.9999999999998,523485,480854,293198,101109,2468,32598,196,51285,42631,39667,6149,3282,3391,170,20444,1243,586,84,3046,40,3,598,78,223,330,2573,984,187,29,617,96,0,313,57,111,17,21,5,76,2,36,8,2,10,2,0,353,41,10,237,1,28,4,7,8,3,6,0,6,1,1,0,33,11,14,1,1,6,0,5,5,523485,95255,428230,410104,279274,95135,692,32328,99,2576,18126,16841,5184,2978,3234,161,2927,1039,518,76,482,37,0,22,72,97,14,1192,726,163,21,77,86,0,3,48,21,2,21,5,4,2,11,2,0,0,0,0,83,32,10,24,0,3,1,3,0,3,3,0,3,0,1,0,9,3,1,0,0,5,0,1,1,406504,379470,240461,75624,1770,25532,143,35940,27034,25254,2816,2418,1640,123,14220,920,322,58,1852,22,3,429,70,126,235,1531,642,99,15,328,46,0,199,32,48,11,16,4,53,1,22,2,2,10,1,0,230,23,0,170,1,14,2,7,0,3,6,0,3,1,0,0,16,8,1,1,1,5,0,3,3,406504,63392,343112,332079,231662,72589,571,25382,80,1795,11033,10195,2443,2264,1575,120,2084,810,301,50,376,20,0,15,68,60,9,774,505,87,15,46,42,0,0,27,12,2,16,4,4,1,11,2,0,0,0,0,54,21,0,21,0,0,0,3,0,3,3,0,3,0,0,0,9,3,1,0,0,5,0,1,1,212759,199373,13386,6454,4061,567,183,2947,364,2393,500,0,1893
0500000US34009,33158.0,23941.0,310.99999999999983,95263,89588,81536,3567,253,908,28,3296,5675,5393,854,980,361,44,2809,54,14,3,196,7,5,41,8,8,9,247,85,1,4,60,2,1,38,18,6,2,0,2,9,3,11,3,2,0,0,0,34,4,5,6,5,2,0,1,0,0,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,95263,7465,87798,84678,80040,3305,99,893,22,319,3120,2976,765,914,350,38,794,54,11,3,34,3,0,0,8,0,2,133,78,0,4,19,1,1,4,15,1,0,0,2,3,3,0,0,2,0,0,0,11,4,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78971,75494,69523,2768,188,753,25,2237,3477,3347,308,728,181,29,1874,45,8,3,115,7,5,22,6,7,9,116,51,1,4,20,1,0,15,6,4,2,0,0,9,3,0,0,0,0,0,0,13,0,3,6,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,78971,4731,74240,72314,68611,2636,86,741,19,221,1926,1844,286,694,175,26,565,45,8,3,31,3,0,0,6,0,2,81,48,0,4,16,0,0,0,6,1,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99606,41012,58594,1474,836,137,16,683,0,638,0,96,542
0500000US34011,28952.0,32742.0,396.9999999999999,154152,135746,74606,28581,2382,2108,19,28050,18406,17190,2126,1378,346,48,11184,634,50,33,938,20,6,295,21,49,62,1033,445,16,2,259,11,4,201,6,0,6,3,6,45,0,13,0,3,7,5,1,162,21,4,112,10,3,2,0,4,0,1,1,1,0,2,1,21,6,7,0,5,3,0,0,0,154152,53054,101098,95746,65808,26375,905,2051,12,595,5352,4906,1664,1254,311,26,872,555,41,25,103,15,4,10,17,9,0,394,316,16,0,15,9,4,7,6,0,0,3,3,4,0,4,0,2,1,4,0,44,20,0,8,10,0,0,0,4,0,0,0,0,0,2,0,8,4,4,0,0,0,0,0,0,118421,106284,61876,21357,1677,1650,17,19707,12137,11439,906,1070,192,25,7876,464,31,19,546,15,6,198,21,24,46,570,233,9,0,119,3,4,136,4,0,2,0,3,35,0,11,0,1,4,5,1,113,17,4,79,1,0,2,0,4,0,1,1,1,0,2,1,15,4,3,0,5,3,0,0,0,118421,35993,82428,78975,56012,20191,754,1611,12,395,3453,3188,754,1000,187,16,651,421,27,19,73,10,4,6,17,3,0,230,181,9,0,9,1,4,7,4,0,0,0,3,4,0,3,0,0,1,4,0,29,16,0,6,1,0,0,0,4,0,0,0,0,0,2,0,6,4,2,0,0,0,0,0,0,57119,52649,4470,10722,9531,8447,15,1069,0,1191,0,0,1191
0500000US34013,75476.56132163525,266826.1995893224,1296.0253873436623,863728,773192,261487,335047,4604,47591,378,124085,90536,85263,6860,1359,4950,78,50419,2441,1069,244,14951,140,18,1408,129,807,390,4378,1089,301,23,1488,37,8,613,52,346,20,49,4,158,26,110,11,0,19,12,12,811,85,19,568,10,90,1,0,9,0,6,7,8,3,5,0,77,30,46,0,0,1,0,7,7,863728,210353,653375,619648,235125,324081,1238,46957,169,12078,33727,31797,5729,933,4724,62,8794,2123,1006,228,7352,105,4,99,129,418,91,1666,728,249,20,295,31,2,21,50,54,3,49,4,55,26,71,4,0,4,0,0,225,66,19,76,9,43,0,0,0,0,0,6,4,0,2,0,34,21,13,0,0,0,0,5,5,661508,597030,209847,254770,3427,36984,285,91717,64478,61079,4042,995,1897,52,37756,1841,642,204,11531,92,14,1065,121,533,294,2776,760,166,16,920,7,2,447,24,130,17,34,1,126,18,61,7,0,19,12,9,563,67,16,393,10,42,0,0,9,0,6,7,6,3,4,0,53,27,26,0,0,0,0,7,7,661508,151967,509541,486421,191781,248175,940,36581,126,8818,23120,21805,3447,708,1802,45,6604,1626,605,193,6121,71,4,77,121,311,70,1115,547,142,16,197,6,2,16,23,29,0,34,1,39,18,38,3,0,4,0,0,167,51,16,57,9,24,0,0,0,0,0,6,2,0,2,0,28,19,9,0,0,0,0,5,5,334896,312913,21983,26662,13112,9263,122,3673,54,13550,9641,0,3909
0500000US34015,83340.0,86702.0,1615.9999999999998,302294,281793,230313,32992,727,9543,84,8134,20501,19158,3803,2986,1994,103,8529,450,213,34,798,20,6,87,34,60,41,1212,486,152,8,213,56,7,129,50,52,5,7,0,15,7,20,2,0,3,0,0,111,31,6,55,1,4,1,0,1,0,3,0,2,0,5,2,20,3,10,0,2,3,2,0,0,302294,22135,280159,267855,225355,31517,331,9475,74,1103,12304,11547,3348,2810,1920,100,2450,379,186,31,208,17,4,15,30,34,15,708,363,130,8,48,48,6,17,38,9,2,7,0,9,7,14,0,0,2,0,0,42,28,4,6,0,2,0,0,0,0,2,0,0,0,0,0,7,3,0,0,2,0,2,0,0,237281,224914,186112,24842,555,7491,73,5841,12367,11649,1552,2188,1018,79,5707,348,87,9,503,9,5,65,34,29,16,644,288,64,4,90,17,2,83,26,28,2,0,0,15,7,14,2,0,2,0,0,64,17,2,33,0,2,1,0,0,0,2,0,0,0,5,2,10,3,4,0,0,3,0,0,0,237281,14340,222941,215633,183009,24086,281,7439,63,755,7308,6892,1404,2094,983,77,1705,305,80,9,160,9,4,10,30,17,5,384,214,55,4,19,17,2,17,23,5,2,0,0,9,7,9,0,0,1,0,0,29,17,2,6,0,2,0,0,0,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,117208,110471,6737,7746,1109,0,49,1060,0,6637,6083,0,554
0500000US34017,65698.0,181452.0,1252.0,724822,620345,248552,79496,7388,124550,417,159942,104477,98895,5276,1513,5143,118,71447,843,732,132,8586,252,19,2782,305,1283,464,4659,712,186,28,1702,69,7,983,90,414,45,12,5,183,13,129,21,8,11,10,31,860,85,17,622,7,55,7,5,38,0,16,2,1,0,4,1,50,7,35,3,0,5,0,13,13,724822,293000,431822,411839,206524,71384,1069,123419,233,9210,19983,18829,3830,918,4838,101,4963,618,671,116,1334,224,3,123,285,710,95,1003,299,137,17,138,49,3,14,80,93,3,12,4,27,12,81,7,8,2,0,17,146,68,8,46,6,13,0,3,0,0,0,0,1,0,0,1,5,2,2,0,0,1,0,0,0,582730,501387,207276,62031,5487,104145,338,122110,81343,77452,3464,1228,2736,84,58142,679,401,108,6713,187,19,2159,264,893,375,3202,536,107,22,1128,39,6,775,57,206,31,11,4,131,9,79,11,8,8,10,24,646,61,14,487,6,40,2,2,25,0,6,2,1,0,0,0,31,0,24,3,0,4,0,12,12,582730,225158,357572,343615,176119,56631,698,103387,204,6576,13957,13194,2582,772,2595,69,3954,509,379,97,1104,170,3,85,244,543,88,654,224,84,11,91,24,2,11,49,46,3,11,4,17,9,41,6,8,2,0,11,106,51,8,28,6,10,0,2,0,0,0,0,1,0,0,0,3,0,2,0,0,1,0,0,0,312705,289407,23298,8158,3182,1326,16,1815,25,4976,3219,0,1757
0500000US34019,43150.61780358007,39455.40251572327,984.9380745041121,128947,120088,106790,3174,282,5714,23,4105,8859,8425,536,857,1089,14,5584,35,38,1,151,1,7,54,18,40,0,362,58,25,3,63,15,5,91,22,52,0,11,0,5,0,7,0,1,4,0,0,60,4,4,23,4,7,2,0,9,1,2,0,0,0,0,4,9,3,1,1,0,2,2,3,3,128947,10929,118018,114009,104667,3030,92,5677,8,535,4009,3832,490,809,1064,13,1289,32,29,1,61,1,0,1,18,24,0,158,48,19,3,18,12,5,10,22,2,0,11,0,4,0,2,0,1,1,0,0,14,4,4,1,0,4,0,0,1,0,0,0,0,0,0,0,4,1,0,1,0,0,2,1,1,104020,98326,88095,2634,208,4450,22,2917,5694,5441,257,630,435,10,3851,27,14,1,122,1,7,45,17,24,0,222,37,8,0,40,5,4,69,13,21,0,9,0,5,0,7,0,0,4,0,0,23,0,1,10,0,3,2,0,2,1,0,0,0,0,0,4,5,3,1,1,0,0,0,3,3,104020,7427,96593,94159,86733,2546,75,4429,8,368,2434,2322,245,605,429,10,911,27,9,1,52,1,0,0,17,15,0,105,37,8,0,12,5,4,10,13,0,0,9,0,4,0,2,0,0,1,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,1,51687,48978,2709,3592,2878,2040,15,788,35,714,0,0,714
