GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R20,L20,D20
0500000US34001,274534,41519,217993,31191,65969,36798,64438.0,957.9999999999998,73808.0
0500000US34003,955732,54831,755234,43549,97313,150353,204417.0,2851.9999999999995,285967.0
0500000US34005,461860,77749,365405,60935,128661,27250,103345.0,2206.0,154595.0
0500000US34007,523485,101109,406504,75624,158398,63392,86207.0,1883.9999999999998,175065.0
0500000US34009,95263,3567,78971,2768,6103,4731,33158.0,310.99999999999983,23941.0
0500000US34011,154152,28581,118421,21357,45090,35993,28952.0,396.9999999999999,32742.0
0500000US34013,863728,335047,661508,254770,529909,151967,75476.56132163525,1296.0253873436623,266826.1995893224
0500000US34015,302294,32992,237281,24842,52667,14340,83340.0,1615.9999999999998,86702.0
0500000US34017,724822,79496,582730,62031,137465,225158,65698.0,1252.0,181452.0
0500000US34019,128947,3174,104020,2634,5795,7427,43150.61780358007,984.9380745041121,39455.40251572327
0500000US34021,387340,74993,304672,57732,120140,58353,51641.0,1426.9999999999998,122532.0
0500000US34023,863162,84360,680009,65482,141407,138338,143467.0,2553.9999999999995,226250.0
0500000US34025,643615,41124,511670,32173,69069,55060,191808.0,2707.9999999999995,181291.0
0500000US34027,509285,16669,403593,13182,29361,55405,141134.0,2436.0,153881.0
0500000US34029,637223,19079,482596,14402,31918,44404,217740.0,2468.9999999999995,119456.0
0500000US34031,524118,57809,403816,44366,97304,162368,92009.0,1102.9999999999998,129097.0
0500000US34033,64837,9534,50538,6868,14396,4108,18827.0,405.99999999999994,14479.0
0500000US34035,345361,31842,271204,24594,52269,40896,71996.0,1641.0,111173.0
0500000US34037,144221,3088,116445,2372,5498,9902,51698.0,1094.0,34481.0
0500000US34039,575345,117306,440856,91052,191199,141485,80000.43867836476,1426.9746126563373,170238.80041067762
0500000US34041,109632,5899,87819,4198,9209,8260,34771.38219641993,655.0619254958876,24902.59748427673
