GEOID,R20,D20,L20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US35001,116135.0,193757.0,4829.0,676444,534445,353144,21344,38197,20253,794,100713,141999,135087,4396,9498,5548,440,109478,1148,329,48,1294,286,49,1755,273,434,111,6313,782,233,20,805,324,47,3012,253,593,46,31,4,78,14,26,6,2,19,3,15,544,96,10,245,9,29,3,39,68,5,33,2,0,0,0,5,53,5,44,0,0,3,1,2,2,676444,329481,346963,325149,253355,17871,30628,19226,564,3505,21814,20432,3292,6109,4617,347,4064,887,287,40,201,198,47,78,200,53,12,1261,458,153,15,79,182,38,39,195,37,0,31,4,5,7,1,4,1,0,0,12,104,51,5,20,8,8,0,11,0,0,0,1,0,0,0,0,15,0,12,0,0,3,0,2,2,533771,429900,291659,16030,28591,16469,626,76525,103871,99696,2363,6776,3318,288,83218,642,195,31,793,160,42,1272,205,312,81,3816,461,101,8,350,140,20,2179,160,267,19,20,4,44,5,8,2,1,12,3,12,317,51,5,171,1,14,1,17,40,3,8,1,0,0,0,5,42,3,35,0,0,3,1,0,0,533771,241402,292369,277107,220384,14267,23417,15837,469,2733,15262,14433,1986,4698,2931,251,3252,525,184,28,146,107,40,62,162,50,11,745,281,79,7,42,85,14,36,136,24,0,20,4,5,2,1,0,0,0,0,9,69,32,5,19,1,4,0,7,0,0,0,1,0,0,0,0,15,0,12,0,0,3,0,0,0,299451,279298,20153,11142,4411,1540,204,2592,75,6731,2805,693,3233
0500000US35003,1698.0,595.0,16.999999999999982,3579,3219,2961,37,59,8,0,154,360,345,0,61,16,3,247,2,0,0,6,0,1,4,1,3,1,9,0,0,0,4,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,5,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3579,602,2977,2865,2738,35,47,8,0,37,112,109,0,61,15,2,25,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3216,2915,2699,23,54,5,0,134,301,292,0,57,15,0,207,2,0,0,3,0,1,4,1,1,1,4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3216,500,2716,2613,2517,21,42,5,0,28,103,100,0,57,15,0,25,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3231,1835,1396,38,1,1,0,0,0,37,0,0,37
0500000US35005,15656.0,6381.0,267.99999999999994,65157,52886,36649,1225,903,667,43,13399,12271,11959,273,786,187,0,10419,20,7,6,97,8,6,102,8,24,16,287,50,9,0,27,11,1,158,7,6,1,2,0,14,0,0,0,0,0,1,0,21,4,0,10,3,0,0,0,0,0,0,0,3,1,0,0,4,0,0,1,0,3,0,0,0,65157,37097,28060,26701,24445,947,411,611,29,258,1359,1291,196,578,161,0,321,0,4,6,8,1,6,0,7,2,1,57,23,6,0,3,3,1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,3,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,47971,39513,27837,917,684,507,35,9533,8458,8266,111,576,91,0,7312,1,2,6,37,8,6,75,7,21,13,175,30,2,0,7,1,1,117,2,3,1,0,0,10,0,0,0,0,0,1,0,13,0,0,9,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,1,0,3,0,0,0,47971,25077,22894,21929,20117,798,329,476,25,184,965,916,89,460,87,0,250,0,2,6,7,1,6,0,7,1,0,45,21,2,0,3,0,1,16,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,26658,23521,3137,2121,1267,988,13,229,37,854,351,0,503
0500000US35006,3975.0,4745.0,98.99999999999996,27172,23696,8080,284,12240,209,18,2865,3476,3345,41,394,47,11,2633,43,3,2,34,18,11,85,3,18,2,123,16,0,0,3,13,1,64,0,6,5,3,0,2,0,3,4,3,0,0,0,6,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,27172,8644,18528,17963,5538,254,11767,201,7,196,565,516,34,315,37,8,41,37,3,2,1,16,11,7,3,1,0,44,16,0,0,1,13,1,0,0,2,0,2,0,2,0,0,4,3,0,0,0,5,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20758,18009,6708,256,8688,174,18,2165,2749,2666,29,265,28,11,2183,27,3,2,29,9,8,52,3,17,0,78,16,0,0,1,7,1,36,0,4,5,0,0,2,0,2,4,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,20758,6490,14268,13871,4880,233,8432,166,7,153,397,363,23,222,21,8,35,21,3,2,1,9,8,7,3,0,0,31,16,0,0,1,7,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11099,9080,2019,2185,2141,1964,48,129,0,44,0,0,44
0500000US35007,3271.0,2611.0,86.99999999999996,12387,9779,8137,36,211,61,18,1316,2608,2511,38,260,26,0,2148,1,0,0,11,1,0,24,0,2,0,95,17,3,1,6,4,0,40,0,16,4,0,2,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12387,5878,6509,6197,5954,25,108,60,11,39,312,290,24,143,26,0,88,1,0,0,7,0,0,1,0,0,0,21,11,3,0,0,2,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10108,8117,6782,31,180,56,16,1052,1991,1929,13,196,8,0,1675,1,0,0,11,0,0,23,0,2,0,60,15,0,0,6,0,0,30,0,2,4,0,2,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10108,4458,5650,5418,5207,25,93,55,9,29,232,219,12,117,8,0,73,1,0,0,7,0,0,1,0,0,0,12,9,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9503,5519,3984,618,592,477,23,92,0,26,0,0,26
0500000US35009,10444.0,4307.0,244.99999999999994,48430,40520,27928,2900,634,810,37,8211,7910,7632,559,651,311,37,5693,35,33,0,185,3,4,70,20,25,6,258,53,12,2,58,12,0,75,12,23,2,2,0,0,7,0,0,0,0,0,0,10,0,0,4,0,2,0,0,0,0,0,4,0,0,0,0,8,3,5,0,0,0,0,2,2,48430,21796,26634,24793,21052,2513,249,733,35,211,1841,1745,460,476,269,35,385,27,30,0,34,1,4,3,17,4,0,85,42,11,0,3,12,0,0,6,0,2,2,0,0,7,0,0,0,0,0,0,7,0,0,1,0,2,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,0,2,2,35463,30257,21268,2095,499,656,29,5710,5206,5061,251,476,171,17,3909,26,21,0,86,3,0,57,20,18,6,134,37,2,2,21,4,0,42,11,11,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,6,2,4,0,0,0,0,2,2,35463,14311,21152,19907,17008,1930,197,606,27,139,1245,1192,226,391,157,15,303,23,21,0,31,1,0,3,17,4,0,47,32,2,0,0,4,0,0,5,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,2,21102,18563,2539,843,305,160,15,130,0,538,0,496,42
0500000US35011,656.0,231.0,10.999999999999991,1698,1510,1298,8,10,11,5,178,188,162,9,11,1,2,131,1,1,0,0,1,0,4,1,0,0,19,2,0,0,0,0,3,7,1,2,0,0,0,1,0,0,0,3,0,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1698,654,1044,998,983,3,4,4,4,0,46,35,9,8,1,0,13,1,1,0,0,1,0,0,1,0,0,9,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,1222,1043,7,6,6,4,156,138,122,2,11,0,2,102,1,0,0,0,1,0,2,1,0,0,11,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,3,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1360,504,856,832,818,2,4,4,4,0,24,19,2,8,0,0,6,1,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,770,355,15,15,15,0,0,0,0,0,0,0
0500000US35013,32802.0,47957.0,1128.9999999999998,219561,159464,104209,4072,4089,2700,195,44199,60097,58311,932,2231,897,96,52840,137,63,1,339,22,8,529,70,118,28,1682,185,27,3,203,61,6,985,43,129,16,0,1,7,0,8,0,5,3,0,0,99,10,1,40,2,7,1,11,15,4,1,3,1,0,0,3,3,1,1,1,0,0,0,2,2,219561,147672,71889,67796,59749,3172,1463,2458,115,839,4093,3850,644,1304,720,71,810,87,44,1,38,16,1,25,66,20,3,215,109,19,1,12,24,6,6,29,3,0,0,1,1,0,4,0,0,0,0,0,24,5,0,1,1,3,0,11,0,0,1,1,1,0,0,0,2,0,1,1,0,0,0,2,2,167142,123488,82553,2993,3131,2225,129,32457,43654,42452,488,1647,561,60,38764,87,49,1,180,18,7,415,70,81,24,1126,107,13,1,86,29,3,761,40,69,3,0,1,7,0,4,0,0,2,0,0,71,7,1,27,2,0,0,8,15,4,1,3,0,0,0,3,3,1,1,1,0,0,0,2,2,167142,105300,61842,58764,52253,2568,1170,2060,84,629,3078,2905,405,1063,482,47,675,59,37,1,24,13,0,20,66,10,3,152,70,13,1,5,19,3,6,26,3,0,0,1,1,0,4,0,0,0,0,0,17,5,0,1,1,0,0,8,0,0,1,1,0,0,0,0,2,0,1,1,0,0,0,2,2,89804,82366,7438,4618,1670,1167,101,367,35,2948,2490,77,381
0500000US35015,17454.0,5424.0,238.9999999999999,62314,50648,36266,977,922,597,61,11825,11666,11396,226,986,168,29,9723,20,3,16,85,1,3,83,4,32,17,243,39,5,0,39,8,4,91,15,25,2,0,0,4,3,0,0,4,1,0,3,25,0,0,11,7,0,2,4,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,62314,31307,31007,29473,27139,791,518,578,43,404,1534,1469,157,778,144,21,341,12,1,10,4,0,1,0,0,0,0,56,18,5,0,0,8,0,4,5,4,2,0,0,0,3,0,0,4,0,0,3,8,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,45921,37975,27584,747,688,442,44,8470,7946,7790,106,705,91,23,6693,11,2,6,38,1,3,70,4,26,11,145,23,1,0,22,8,4,56,4,10,2,0,0,4,3,0,0,4,1,0,3,10,0,0,7,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,45921,21301,24620,23520,21746,646,395,431,35,267,1100,1060,88,593,81,21,258,9,0,5,4,0,1,0,0,0,0,39,14,1,0,0,8,0,0,4,0,2,0,0,0,3,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26277,22751,3526,932,530,373,0,157,0,402,0,0,402
0500000US35017,6553.0,7590.0,158.99999999999994,28185,22692,18266,309,588,202,21,3306,5493,5290,106,446,90,11,4504,2,5,8,31,7,0,56,6,3,15,188,22,5,0,15,4,0,110,9,10,11,0,0,1,1,0,0,0,0,0,0,14,3,0,6,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,28185,13466,14719,14008,13117,249,265,191,18,168,711,672,62,296,70,11,206,2,0,8,4,0,0,3,4,2,4,36,12,2,0,13,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22831,18665,15157,246,448,168,21,2625,4166,4038,56,339,49,0,3497,2,5,1,21,7,0,42,4,0,15,117,6,2,0,10,4,0,80,6,1,7,0,0,0,1,0,0,0,0,0,0,11,1,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22831,9990,12841,12308,11551,218,214,157,18,150,533,511,39,238,45,0,174,2,0,1,4,0,0,0,4,0,4,21,4,2,0,9,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14584,12269,2315,650,305,89,0,216,0,345,262,0,83
