GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US36001,314848,43206,255875,32026,68640,15425,47763.0,4790.0,82978.0
0500000US36003,46464,829,36869,765,1681,725,12525.0,734.9999999999999,4882.0
0500000US36005,1472358,487103,1122833,368866,805633,600290,37314.0,2269.0,344953.0
0500000US36007,198683,12684,161645,9052,20200,7054,40934.39704140001,3245.7381391911686,39208.163284583956
0500000US36009,77036,1043,60211,810,1953,984,19692.0,1246.0,9497.0
0500000US36011,76248,2910,61212,2437,5415,1843,17384.0,1358.0,13522.0
0500000US36013,127657,3354,101314,2612,6147,7533,31594.0,2203.0,19091.0
0500000US36015,84148,5315,66485,4145,9168,1930,20097.0,1447.0,13757.0
0500000US36017,47220,357,37509,251,675,739,11929.883158742949,916.293311845286,6779.022562449637
0500000US36019,79843,3060,65038,2798,6019,2285,14449.0,1312.0,15059.0
0500000US36021,61570,2557,50848,1962,4418,2378,13756.0,944.0,15284.0
0500000US36023,46809,895,37850,716,1642,1277,9850.0,954.0,8694.0
0500000US36025,44278,1072,36529,866,1939,1439,11942.0,649.9999999999999,6627.0
0500000US36027,295911,32289,239623,25231,54213,29630,61820.0,3602.0,62285.0
0500000US36029,954249,134795,762133,98842,206106,39747,188303.0,12720.0,215456.0
0500000US36031,37362,676,30627,617,1342,757,7965.5329341317365,729.5065868263473,7779.104191616767
0500000US36033,47555,1848,37865,1793,3699,1120,8213.467065868263,715.4934131736527,7279.895808383233
0500000US36035,53323,1068,42717,842,1977,1311,13462.0,779.0,6496.0
0500000US36037,58388,1441,46834,1142,2626,1931,16915.0,1319.0,7650.0
0500000US36039,47931,2370,39625,2108,4591,2270,13073.0,647.0,7405.0
0500000US36041,5107,31,4441,30,81,67,2064.0,118.99999999999999,949.0
0500000US36043,60139,759,47722,560,1364,946,16699.0,1002.0,8083.0
0500000US36045,116647,6704,89974,5175,11380,5516,21763.0,1670.0,13809.0
0500000US36047,2734958,771121,2139452,613015,1304246,391465,139144.0,6788.0,627587.0
0500000US36049,26582,109,20422,76,209,287,7400.0,495.99999999999994,3146.0
0500000US36051,61834,1191,50109,1070,2389,1870,17290.0,1276.0,10697.0
0500000US36053,68016,1120,54863,1010,2284,1198,15936.0,1582.0,11667.0
0500000US36055,759361,118877,605053,85876,181159,48481,136582.0,13205.0,188592.0
0500000US36057,49533,1267,38249,876,2140,4663,11301.0,690.0,6595.0
0500000US36059,1395635,153268,1098782,121156,256769,184319,292013.0,11337.0,332143.0
0500000US36061,1694159,229339,1461675,188617,419360,329209,63521.0,9256.0,566246.0
0500000US36063,212666,16740,170508,12141,26092,4888,51961.0,2865.0,35559.0
0500000US36065,232125,16184,182459,11286,24470,9959,51437.0,3754.0,33743.0
0500000US36067,476264,56947,377560,39939,85672,17540,83649.0,8524.0,112337.0
0500000US36069,112458,2662,90306,2038,4760,3941,26025.0,2485.0,22225.0
0500000US36071,401305,45543,299298,34293,74591,61549,76470.0,3840.0,68151.0
0500000US36073,40343,1951,32190,1673,3579,1431,10936.0,680.0,4470.0
0500000US36075,117525,1584,92794,1294,3035,2362,27688.0,2137.0,17095.0
0500000US36077,58524,1286,48464,1077,2454,1802,13308.0,1066.0,10451.0
0500000US36079,97668,2828,78270,2239,5127,12357,27024.0,1171.0,19366.0
0500000US36081,2405430,403075,1949444,324226,699711,516040,149079.0,7098.0,514214.0
0500000US36083,161130,12872,130081,9041,19942,6262,33726.0,2944.0,32717.0
0500000US36085,495710,52032,389365,38244,82444,68227,101410.0,2428.0,73784.0
0500000US36087,338329,35542,239516,28139,59411,45652,60911.0,2284.0,69342.0
0500000US36089,108505,3074,86264,2928,6257,2268,19942.0,1445.0,16488.0
0500000US36091,235040,4032,188211,3066,7342,5807,54575.0,5116.0,50913.0
0500000US36093,158061,17322,124281,12093,26907,7963,28953.0,2624.0,33747.0
0500000US36095,29714,305,24341,253,622,776,8831.0,531.0,4240.0
0500000US36097,17898,101,14508,68,194,223,5049.0,308.99999999999994,3088.0
0500000US36099,33814,1414,26820,1266,2697,974,7236.0,638.0,5697.0
0500000US36101,93584,1469,73447,1109,2586,1112,26831.0,1666.0,12526.0
0500000US36103,1525473,114286,1214028,88362,192017,234063,350570.0,13916.0,303951.0
0500000US36105,78624,6814,61786,5416,11790,9582,15931.0,733.9999999999999,12568.0
0500000US36107,48455,452,38075,362,873,735,13259.719799857041,929.9685489635453,7525.814152966404
0500000US36109,105740,4597,90048,3785,8800,5677,10371.0,1393.0,28890.0
0500000US36111,181867,11063,149467,8890,19917,14861,35239.0,2392.0,44597.0
0500000US36113,65737,799,54003,623,1508,1191,15753.30497237569,1255.1276243093923,13092.144751381216
0500000US36115,61302,1715,49492,1623,3430,1323,13607.69502762431,925.8723756906077,9096.855248618784
0500000US36117,91283,2562,71744,1925,4456,2807,23380.0,1911.0,13473.0
0500000US36119,1004438,141091,782424,111214,238661,193971,130837.0,8027.0,271609.0
0500000US36121,40531,1999,32895,1944,3982,1211,12442.0,673.0,3904.0
0500000US36123,24774,161,19090,147,351,426,5660.0,493.99999999999994,3659.0
