GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US39001,27477,84,20896,65,181,118,8659.0,225.99999999999997,2326.0
0500000US39003,102206,12573,78419,9250,19564,2029,30487.0,1486.0,13294.0
0500000US39005,52447,394,40638,294,727,550,17493.0,906.0,5740.0
0500000US39007,97574,3606,76412,2982,6590,2766,23318.0,1213.0,15577.0
0500000US39009,62431,2894,52633,2671,5908,1217,11354.0,1012.0,16370.0
0500000US39011,46422,240,35366,159,446,480,18658.0,701.0,3980.0
0500000US39013,66497,2117,53782,1860,4075,545,21108.0,776.9999999999999,8785.0
0500000US39015,43676,304,33734,236,581,281,14573.0,430.99999999999994,4353.0
0500000US39017,390357,34704,299082,24683,52440,15477,106976.0,5790.0,58642.0
0500000US39019,26721,122,21151,91,223,204,9254.0,449.99999999999994,3154.0
0500000US39021,38714,688,29878,545,1334,388,12631.0,582.0,4594.0
0500000US39023,136001,12200,105692,9063,19408,3201,35205.0,1895.0,23328.0
0500000US39025,208601,3347,160815,2423,5632,3121,67518.0,3504.0,26715.0
0500000US39027,42018,832,32671,676,1578,466,13838.0,514.0,4066.0
0500000US39029,101877,2122,81318,1788,3943,1113,31676.0,1401.0,12432.0
0500000US39031,36612,397,27671,277,691,213,10785.0,467.99999999999994,4013.0
0500000US39033,42025,319,33149,224,583,379,13611.0,714.0,4625.0
0500000US39035,1264817,370895,1008892,278310,571945,57215,184211.0,12993.0,398271.0
0500000US39037,51881,303,39608,203,553,506,20012.0,648.9999999999999,4470.0
0500000US39039,38286,668,29420,504,1175,2540,11688.0,782.0,5368.0
0500000US39041,214124,7840,157099,5649,12369,4233,57568.0,4116.0,40872.0
0500000US39043,75622,6807,60530,5035,10887,2016,19648.0,1225.0,16057.0
0500000US39045,158921,13484,120333,9145,19287,2426,44314.0,2439.0,24881.0
0500000US39047,28951,543,22198,437,1065,409,7995.0,295.0,2739.0
0500000US39049,1323807,299771,1022233,209976,438627,59348,199331.0,19725.0,351198.0
0500000US39051,42713,254,32659,157,451,2408,13709.0,1024.0,6069.0
0500000US39053,29220,600,22432,472,1086,168,9822.0,284.99999999999994,2628.0
0500000US39055,95397,1082,73972,834,1883,1053,30227.0,1502.0,17569.0
0500000US39057,167966,11486,132605,9310,20123,3422,48540.0,3277.0,28943.0
0500000US39059,38438,535,30106,409,1001,281,11445.0,548.9999999999999,4359.0
0500000US39061,830639,209173,645526,152332,313526,22874,173665.0,13200.0,215719.0
0500000US39063,74920,1431,58460,1060,2502,2707,24183.0,1535.0,9609.0
0500000US39065,30696,262,23628,191,504,445,8717.0,464.99999999999994,2920.0
0500000US39067,14483,241,11427,198,481,73,5098.0,177.99999999999997,1688.0
0500000US39069,27662,160,21212,117,276,1362,9301.0,659.0,3756.0
0500000US39071,43317,520,32967,408,998,253,14020.0,472.99999999999994,3773.0
0500000US39073,28050,140,21922,91,276,136,8497.0,367.0,3775.0
0500000US39075,44223,123,30519,96,291,293,8720.0,373.99999999999994,1788.0
0500000US39077,58565,605,44780,462,1209,2412,16226.0,923.0,7192.0
0500000US39079,32653,159,24906,137,395,193,9949.0,372.99999999999994,3226.0
0500000US39081,65249,3687,52568,2744,5996,746,21117.0,841.0,9675.0
