GEOID,R20,D20,L20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US39001,9870.0,2156.0,91.99999999999996,27477,26558,26277,84,78,39,1,79,919,868,101,561,20,9,155,0,1,4,5,0,0,1,2,7,2,44,11,7,0,2,6,0,3,10,0,0,1,1,0,0,3,0,0,0,0,0,7,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27477,217,27260,26416,26185,84,74,39,1,33,844,801,101,550,20,9,105,0,1,4,5,0,0,1,2,3,0,38,10,4,0,1,6,0,3,10,0,0,1,0,0,0,3,0,0,0,0,0,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20896,20306,20086,65,68,36,1,50,590,565,28,413,11,0,99,0,1,3,5,0,0,1,0,4,0,18,8,5,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20896,118,20778,20220,20029,65,64,36,1,25,558,538,28,411,11,0,78,0,1,3,5,0,0,1,0,0,0,15,8,2,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12692,10938,1754,305,218,19,0,199,0,87,0,0,87
0500000US39003,33116.0,14149.0,589.9999999999999,102206,95969,80753,12573,300,840,53,1450,6237,5838,2489,1309,315,13,1423,94,26,5,119,4,0,15,15,11,0,378,200,25,5,77,15,4,29,9,2,0,5,1,1,3,0,0,0,2,0,0,21,4,1,8,0,0,0,4,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,102206,3272,98934,93817,79691,12475,233,835,42,541,5117,4792,2345,1250,303,13,663,92,26,5,76,4,0,2,8,5,0,313,192,25,5,53,14,3,9,2,0,0,5,1,1,3,0,0,0,0,0,0,12,4,1,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78419,75223,64050,9250,236,678,29,980,3196,3002,791,943,149,6,952,68,17,1,46,4,0,10,15,0,0,181,91,7,5,33,8,3,23,4,0,0,1,0,1,3,0,0,0,2,0,0,13,4,1,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78419,2029,76390,73788,63410,9201,183,673,29,292,2602,2442,763,909,144,6,488,66,17,1,34,4,0,2,8,0,0,152,91,7,5,26,7,2,9,0,0,0,1,0,1,3,0,0,0,0,0,0,8,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44563,40935,3628,3522,2479,1513,0,966,0,1043,788,0,255
0500000US39005,19407.0,6541.0,344.99999999999994,52447,50397,49249,394,114,322,33,285,2050,1914,279,920,108,14,559,6,1,0,12,7,2,2,4,0,0,126,32,7,0,20,21,1,26,13,5,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,52447,862,51585,49871,48948,383,82,322,33,103,1714,1623,270,899,106,14,308,6,1,0,11,6,1,1,0,0,0,90,32,7,0,9,21,1,5,13,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40638,39316,38415,294,91,277,33,206,1322,1237,94,687,59,7,379,4,0,0,2,0,0,1,4,0,0,81,22,5,0,11,8,1,19,13,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,40638,550,40088,38950,38223,290,65,277,33,62,1138,1078,94,670,57,7,244,4,0,0,2,0,0,0,0,0,0,60,22,5,0,4,8,1,5,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22471,20700,1771,1522,698,91,71,536,0,824,598,0,226
0500000US39007,26890.0,16497.0,558.9999999999999,97574,91321,85486,3606,203,349,18,1659,6253,5993,1354,1815,243,35,2366,32,1,4,111,9,0,5,8,4,6,236,136,3,0,40,3,0,15,22,8,0,1,0,3,0,3,0,2,0,0,0,16,5,0,3,2,1,0,1,4,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,97574,4489,93085,88320,84064,3492,154,338,12,260,4765,4574,1255,1737,227,30,1221,28,0,2,52,9,0,3,6,4,0,171,125,3,0,7,3,0,2,22,7,0,1,0,0,0,0,0,1,0,0,0,12,5,0,3,0,0,0,1,3,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,76412,72629,68021,2982,163,298,18,1147,3783,3642,454,1336,149,19,1585,27,1,2,47,6,0,5,6,4,1,125,79,1,0,8,3,0,6,15,4,0,1,0,3,0,3,0,2,0,0,0,8,2,0,2,2,1,0,0,1,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,76412,2766,73646,70727,67230,2922,123,287,12,153,2919,2811,424,1291,140,19,873,27,0,0,18,6,0,3,6,4,0,96,69,1,0,3,3,0,0,15,3,0,1,0,0,0,0,0,1,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,46237,39329,6908,3346,2812,1871,4,927,10,534,89,0,445
0500000US39009,10862.0,14772.0,298.99999999999994,62431,59509,54513,2894,247,1223,2,630,2922,2670,595,878,340,14,736,41,22,0,25,2,1,2,10,4,0,238,121,9,0,48,6,5,24,22,0,0,2,0,0,0,0,0,0,1,0,0,14,8,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62431,1450,60981,58544,54086,2768,223,1210,1,256,2437,2250,577,859,336,14,381,36,15,0,21,1,0,0,8,2,0,181,121,2,0,12,6,5,11,22,0,0,2,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52633,50482,45973,2671,233,1061,2,542,2151,1976,385,682,244,10,571,39,4,0,23,1,1,2,10,4,0,163,80,5,0,30,6,5,15,22,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52633,1217,51416,49621,45602,2560,213,1048,1,197,1795,1663,380,668,244,10,293,34,4,0,19,1,0,0,8,2,0,128,80,2,0,3,6,5,10,22,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26386,23696,2690,8009,497,123,6,285,83,7512,7432,0,80
0500000US39011,20798.0,4651.0,259.99999999999994,46422,44822,43929,240,86,255,41,271,1600,1528,280,638,108,9,446,1,0,3,27,0,0,3,2,9,2,60,29,0,2,4,8,0,2,9,0,0,5,0,0,0,1,0,0,0,0,0,12,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46422,781,45641,44303,43643,231,76,242,40,71,1338,1280,273,628,104,8,227,1,0,3,23,0,0,2,2,9,0,55,29,0,2,4,5,0,2,9,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35366,34404,33780,159,65,207,21,172,962,916,87,447,48,8,295,1,0,3,15,0,0,2,0,8,2,34,16,0,2,0,8,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,12,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35366,480,34886,34071,33599,153,59,199,20,41,815,781,85,446,46,8,171,1,0,3,11,0,0,2,0,8,0,31,16,0,2,0,5,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19873,18602,1271,481,469,36,0,433,0,12,0,0,12
0500000US39013,23560.0,9138.0,284.9999999999999,66497,63651,60831,2117,89,266,11,337,2846,2667,674,988,108,3,831,14,0,4,34,3,1,4,0,2,1,162,93,7,1,28,2,3,10,1,8,0,0,2,0,6,0,0,1,0,0,0,13,5,0,6,1,0,0,0,1,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,66497,824,65673,63096,60536,2071,83,265,11,130,2577,2433,669,978,104,3,622,14,0,4,31,0,1,4,0,2,1,131,90,7,1,10,2,3,6,1,3,0,0,2,0,6,0,0,0,0,0,0,9,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,53782,51972,49564,1860,76,226,10,236,1810,1719,275,744,54,0,620,8,0,0,10,3,0,3,0,2,0,82,39,4,0,11,2,3,6,1,7,0,0,2,0,6,0,0,1,0,0,0,9,5,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53782,545,53237,51587,49374,1835,70,225,10,73,1650,1569,272,744,54,0,479,8,0,0,7,0,0,3,0,2,0,73,39,4,0,7,2,3,6,1,3,0,0,2,0,6,0,0,0,0,0,0,8,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31618,27333,4285,3757,3525,2771,37,717,0,232,0,0,232
0500000US39015,16480.0,4380.0,181.99999999999994,43676,41914,41237,304,75,97,5,196,1762,1697,260,859,76,13,467,7,1,0,8,0,1,5,0,0,0,49,18,9,4,0,4,4,7,2,0,0,1,0,0,0,0,0,0,0,0,0,14,7,0,3,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,43676,487,43189,41620,41053,302,68,84,2,111,1569,1526,260,859,74,10,308,7,1,0,4,0,1,2,0,0,0,35,14,9,4,0,4,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,8,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33734,32580,32068,236,67,73,5,131,1154,1115,87,666,39,12,298,7,1,0,2,0,1,2,0,0,0,28,7,4,0,0,4,3,7,2,0,0,1,0,0,0,0,0,0,0,0,0,9,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,33734,281,33453,32404,31965,235,62,67,2,73,1049,1028,87,666,39,10,215,7,1,0,0,0,1,2,0,0,0,18,7,4,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19324,17153,2171,516,474,56,0,418,0,42,0,0,42
0500000US39017,114392.0,69613.0,2177.0,390357,365004,299100,34704,1481,15730,494,13495,25353,24020,5654,6011,2475,129,8157,256,196,27,686,20,0,251,53,89,16,1197,480,119,13,191,74,4,179,42,36,11,1,3,40,0,0,0,2,0,2,0,131,33,0,59,0,18,0,0,19,0,1,0,1,0,0,0,5,2,3,0,0,0,0,0,0,390357,25265,365092,347150,294712,34144,610,15658,480,1546,17942,17107,5430,5844,2410,129,2460,225,179,27,270,19,0,5,53,55,1,786,444,114,13,63,59,4,20,42,8,4,0,3,8,0,0,0,2,0,2,0,47,21,0,13,0,0,0,0,12,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,299082,284311,237552,24683,1047,12188,333,8508,14771,14058,1941,4544,1268,72,5253,200,97,18,396,15,0,149,41,54,10,637,248,50,4,88,45,4,120,27,13,4,0,2,30,0,0,0,0,0,2,0,74,15,0,45,0,12,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,299082,15477,283605,273224,234979,24357,498,12145,319,926,10381,9931,1871,4453,1245,72,1769,183,90,18,137,14,0,5,41,32,1,423,230,48,4,35,32,4,20,27,7,4,0,2,8,0,0,0,0,0,2,0,27,15,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,153741,145159,8582,12649,3668,1071,37,2543,17,8981,8375,0,606
0500000US39019,10745.0,3251.0,155.99999999999994,26721,25697,25307,122,77,52,4,135,1024,984,119,469,50,7,332,3,0,0,0,2,0,0,0,0,2,28,16,3,0,1,2,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,8,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,26721,299,26422,25510,25204,122,73,52,3,56,912,884,118,460,50,7,243,2,0,0,0,2,0,0,0,0,2,21,16,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,21151,20454,20166,91,69,43,1,84,697,682,34,364,30,0,249,1,0,0,0,2,0,0,0,0,2,11,3,3,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21151,204,20947,20328,20094,91,65,43,0,35,619,609,33,357,30,0,185,0,0,0,0,2,0,0,0,0,2,7,3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13395,11065,2330,341,218,36,0,182,0,123,0,0,123
