GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US40001,4787.0,1382.0,344.0,19495,16882,7645,41,8570,162,12,452,2613,2527,42,2237,10,5,193,20,0,0,3,5,11,0,1,0,0,80,35,0,0,2,18,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19495,1252,18243,15930,7464,40,8240,162,12,12,2313,2257,39,2134,10,0,42,14,0,0,2,5,11,0,0,0,0,53,35,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14420,12744,6347,33,5919,118,3,324,1676,1637,23,1452,3,2,131,13,0,0,0,1,11,0,1,0,0,37,20,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14420,667,13753,12221,6253,32,5803,118,3,12,1532,1502,23,1412,3,0,39,13,0,0,0,1,11,0,0,0,0,28,20,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8059,7076,983,203,141,34,52,55,0,62,0,0,62
0500000US40003,1933.0,215.99999999999997,108.99999999999997,5699,5345,4771,238,195,7,0,134,354,321,35,173,16,0,85,4,1,3,2,0,0,0,0,0,2,29,12,1,0,1,8,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5699,279,5420,5139,4702,229,194,7,0,7,281,254,32,167,16,0,34,0,0,3,2,0,0,0,0,0,0,24,12,1,0,1,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4560,4365,3842,227,169,7,0,120,195,179,9,103,15,0,46,1,1,2,0,0,0,0,0,0,2,14,7,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4560,201,4359,4207,3807,223,169,7,0,1,152,139,9,99,15,0,14,0,0,2,0,0,0,0,0,0,0,12,7,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2479,1895,584,1152,1152,1152,0,0,0,0,0,0,0
0500000US40005,4084.0,795.0,138.99999999999997,14143,12614,9480,565,2253,49,4,263,1529,1444,84,1132,21,0,131,49,0,4,12,6,2,3,0,0,0,83,55,0,0,4,20,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14143,548,13595,12171,9303,565,2192,49,4,58,1424,1343,84,1112,21,0,62,49,0,1,5,5,2,2,0,0,0,79,55,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11081,10145,7867,503,1483,49,4,239,936,901,33,723,12,0,89,32,0,1,4,5,0,2,0,0,0,35,23,0,0,4,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11081,354,10727,9835,7769,503,1452,49,4,58,892,859,33,720,12,0,51,32,0,1,3,5,0,2,0,0,0,33,23,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5981,5040,941,1591,1584,1529,0,55,0,7,0,0,7
0500000US40007,1993.0,175.99999999999997,73.99999999999997,5049,4680,3811,4,46,15,7,797,369,351,17,143,14,0,173,0,0,0,2,2,0,0,0,0,0,10,0,0,0,0,1,0,0,4,0,0,2,3,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,5049,1304,3745,3549,3497,3,29,11,6,3,196,189,17,138,13,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3748,3502,2931,4,38,15,6,508,246,239,4,105,11,0,116,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3748,804,2944,2801,2752,3,26,11,6,3,143,139,4,104,10,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2460,1962,498,54,54,9,0,45,0,0,0,0,0
0500000US40009,6308.0,960.0,283.99999999999994,22410,20726,17519,1136,852,131,12,1076,1684,1612,191,760,45,4,548,33,4,0,15,4,0,4,4,0,0,63,41,1,0,3,2,4,9,1,0,0,0,0,2,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22410,2684,19726,18593,16526,1119,770,128,12,38,1133,1075,173,699,43,4,106,33,4,0,5,4,0,0,4,0,0,49,34,1,0,3,2,4,2,1,0,0,0,0,2,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17013,16035,13486,1046,608,105,9,781,978,944,59,492,22,4,337,15,4,0,8,0,0,1,2,0,0,25,11,1,0,0,2,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17013,1646,15367,14689,12948,1040,564,102,9,26,678,648,59,461,20,4,82,15,4,0,1,0,0,0,2,0,0,21,11,1,0,0,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10123,8034,2089,2362,2362,2223,6,133,0,0,0,0,0
0500000US40011,2884.0,711.0,197.99999999999997,8735,7829,6463,263,672,26,8,397,906,820,86,361,7,10,271,59,0,0,6,5,3,0,0,6,6,81,27,10,2,6,8,0,13,0,10,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8735,985,7750,7189,6248,248,650,26,5,12,561,513,71,332,7,3,35,54,0,0,0,3,2,0,0,6,0,43,22,10,0,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6548,6057,5082,209,471,18,8,269,491,452,18,207,0,10,172,28,0,0,0,3,2,0,0,6,6,34,6,1,0,0,7,0,10,0,6,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6548,592,5956,5655,4962,204,455,18,5,11,301,280,16,193,0,3,29,28,0,0,0,3,2,0,0,6,0,16,6,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4590,3558,1032,100,100,5,0,66,29,0,0,0,0
0500000US40013,10478.0,2804.0,535.9999999999999,46067,40262,31023,744,6820,295,14,1366,5805,5496,410,3917,102,23,809,149,0,2,7,11,6,41,8,8,3,297,208,0,1,12,38,1,34,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,46067,3428,42639,37737,30076,715,6574,285,14,73,4902,4654,396,3718,99,22,236,142,0,2,1,11,6,5,8,8,0,246,196,0,0,4,38,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,35266,31598,25227,562,4628,239,14,928,3668,3530,183,2603,66,11,539,75,0,2,6,7,5,19,8,3,3,127,83,0,0,12,14,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,35266,2071,33195,30032,24673,554,4506,234,14,51,3163,3060,178,2532,66,11,170,73,0,2,0,7,5,5,8,3,0,101,76,0,0,4,14,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,20366,17954,2412,915,382,77,11,294,0,533,510,0,23
0500000US40015,6482.0,2420.0,445.99999999999994,26945,24310,16743,690,5773,68,17,1019,2635,2418,163,1595,44,16,353,136,7,0,9,2,6,78,3,2,4,207,133,0,7,6,2,1,46,3,5,0,0,0,3,0,0,0,0,0,0,1,9,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,26945,4335,22610,20651,14580,646,5320,63,13,29,1959,1816,155,1405,36,16,55,130,7,0,0,2,2,6,2,0,0,140,122,0,5,1,0,1,3,3,2,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,21082,19542,13948,631,4066,67,17,813,1540,1456,65,1016,23,16,230,61,3,0,0,2,0,38,2,0,0,81,44,0,5,1,0,1,19,3,5,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,21082,3345,17737,16522,12014,590,3822,62,13,21,1215,1155,65,938,21,16,46,56,3,0,0,2,0,6,2,0,0,57,42,0,5,1,0,1,0,3,2,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11544,9284,2260,3566,3566,3410,1,155,0,0,0,0,0
0500000US40017,39986.0,11674.0,3618.0,154405,136094,112548,5467,6922,4847,114,6196,18311,17224,1818,8606,1043,116,4936,322,75,10,81,57,14,92,19,28,7,1004,473,51,5,52,118,22,197,44,17,0,5,0,8,0,5,0,4,2,0,1,66,17,0,24,5,2,0,9,7,0,1,0,0,1,0,0,16,7,5,0,4,0,0,1,1,154405,16377,138028,124891,107898,5307,6312,4782,114,478,13137,12419,1684,8091,969,103,1074,298,70,5,31,51,13,4,14,6,6,674,407,50,4,12,107,22,17,39,6,0,3,0,0,0,0,0,4,2,0,1,38,17,0,7,4,0,0,9,0,0,0,0,0,1,0,0,5,0,5,0,0,0,0,1,1,112734,102236,85779,3895,4642,3786,70,4064,10498,10011,654,5291,477,52,3158,170,29,3,50,28,10,60,19,7,3,441,206,7,3,28,39,15,97,25,11,0,3,0,0,0,0,0,4,2,0,1,39,1,0,19,1,2,0,9,7,0,0,0,0,0,0,0,6,1,5,0,0,0,0,1,1,112734,9731,103003,95389,83108,3825,4326,3752,70,308,7614,7292,635,5104,453,44,777,164,28,3,25,28,10,3,14,2,2,300,188,6,2,6,35,15,13,25,0,0,3,0,0,0,0,0,4,2,0,1,16,1,0,6,0,0,0,9,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,1,1,60434,56361,4073,2284,1958,1518,3,437,0,326,184,0,142
0500000US40019,13752.0,4002.0,780.0,48003,42097,32121,2872,4430,588,51,2035,5906,5514,642,3252,109,35,930,448,9,7,25,6,4,41,0,6,0,374,243,3,3,15,42,8,52,0,1,1,0,0,0,2,0,0,0,4,0,0,16,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,48003,3622,44381,39540,31227,2824,4203,587,44,655,4841,4549,607,3083,105,35,264,409,9,7,14,6,4,0,0,6,0,281,221,3,3,11,34,6,0,0,0,1,0,0,0,2,0,0,0,0,0,0,10,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,36685,33161,25890,2199,3018,434,38,1582,3524,3345,245,2085,54,20,638,250,9,0,19,0,0,19,0,6,0,173,98,2,0,12,20,8,29,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,36685,2173,34512,31570,25395,2186,2902,434,31,622,2942,2818,232,2032,50,20,217,242,9,0,10,0,0,0,0,6,0,120,89,2,0,8,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21561,18957,2604,579,279,24,5,250,0,300,0,0,300
