GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US41001,6218.0,1797.0,412.99999999999994,16668,15635,14936,77,186,66,21,349,1033,967,62,404,59,23,394,1,5,0,2,0,0,7,0,7,3,51,7,0,0,13,4,8,1,9,1,1,0,0,2,3,0,0,2,0,0,0,15,3,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16668,809,15859,15083,14664,70,172,64,15,98,776,746,61,394,57,21,206,1,4,0,0,0,0,2,0,0,0,18,0,0,0,0,0,6,1,8,0,0,0,0,0,3,0,0,0,0,0,0,12,3,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13380,12667,12155,59,132,58,15,248,713,674,22,311,29,16,277,1,5,0,0,0,0,5,0,5,3,27,0,0,0,11,4,4,0,6,1,1,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13380,492,12888,12329,12011,56,125,56,12,69,559,540,21,304,29,16,163,1,4,0,0,0,0,2,0,0,0,10,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8609,7201,1408,452,373,373,0,0,0,79,0,0,79
0500000US41003,13445.0,29193.0,2692.0,95184,86292,74612,1002,819,6428,292,3139,8892,8327,633,1821,1703,229,3673,23,30,5,39,0,8,52,72,34,5,516,77,45,1,54,49,0,111,130,34,0,2,5,1,4,3,0,0,0,0,0,44,5,0,11,5,1,0,2,14,0,6,0,0,0,0,0,4,3,1,0,0,0,0,1,1,95184,8524,86660,80864,72209,938,528,6375,276,538,5796,5483,587,1638,1623,212,1274,10,30,2,17,0,8,3,63,16,0,302,59,44,1,21,33,0,5,112,13,0,2,5,0,4,3,0,0,0,0,0,10,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,79692,73292,63447,817,611,5747,247,2423,6400,6004,382,1414,1137,147,2713,16,28,4,27,0,4,43,67,20,2,357,56,22,1,31,31,0,88,99,23,0,1,0,1,4,0,0,0,0,0,0,34,0,0,11,3,1,0,2,12,0,5,0,0,0,0,0,4,3,1,0,0,0,0,1,1,79692,6128,73564,69366,61775,781,417,5704,246,443,4198,3981,357,1299,1092,136,970,7,28,1,15,0,4,1,59,12,0,213,47,21,1,14,23,0,5,84,13,0,1,0,0,4,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,40150,37447,2703,6464,241,28,43,165,5,6223,5453,0,770
0500000US41005,88384.67213114754,102093.91803278688,11052.877049180328,421401,380858,334855,4554,3510,20699,1117,16123,40543,37809,3028,8415,6980,790,17216,147,124,36,239,64,19,225,363,138,25,2502,424,166,23,214,330,46,568,503,174,16,15,1,7,2,0,0,5,6,0,2,188,27,1,58,13,4,1,52,15,5,12,0,0,0,0,0,41,16,10,1,7,7,0,3,3,421401,40342,381059,355619,325361,4336,2249,20459,1056,2158,25440,23889,2787,7703,6686,731,5189,118,108,36,73,44,11,9,335,47,12,1446,348,149,14,81,289,40,21,461,28,6,4,0,0,0,0,0,5,0,0,0,84,22,1,7,13,0,0,40,0,0,1,0,0,0,0,0,21,11,5,1,4,0,0,0,0,330868,305274,270583,3464,2761,16281,831,11354,25594,24134,1431,6208,3337,465,11720,96,80,18,158,44,15,189,283,77,13,1347,246,67,10,99,155,23,351,300,61,13,11,0,3,2,0,0,5,0,0,1,85,10,0,36,4,0,1,20,6,5,3,0,0,0,0,0,25,11,7,0,7,0,0,3,3,330868,26367,304501,288428,264728,3325,1834,16142,796,1603,16073,15229,1351,5781,3227,439,3859,82,67,18,55,34,11,9,262,26,8,796,209,66,2,40,138,22,14,283,9,4,4,0,0,0,0,0,5,0,0,0,31,6,0,7,4,0,0,14,0,0,0,0,0,0,0,0,17,8,5,0,4,0,0,0,0,170094,160503,9591,3918,2244,270,77,1852,45,1674,0,0,1674
0500000US41007,8138.0,9252.0,973.0,41065,37472,34522,226,430,563,104,1627,3593,3379,198,1005,379,74,1624,5,3,5,15,6,5,13,33,13,1,195,41,9,0,11,16,6,41,49,6,3,1,0,5,0,0,0,2,4,0,1,17,0,0,4,0,1,1,10,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,41065,3846,37219,34964,33523,224,344,551,91,231,2255,2153,178,945,372,73,523,5,3,5,8,6,5,0,27,3,0,97,25,5,0,4,10,5,8,34,2,0,1,0,0,0,0,0,0,2,0,1,5,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33258,30783,28618,194,320,503,79,1069,2475,2361,98,774,223,43,1142,5,1,5,14,6,5,2,32,10,1,109,26,4,0,2,4,4,37,24,0,0,1,0,5,0,0,0,2,0,0,0,5,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33258,2418,30840,29211,28011,193,252,491,79,185,1629,1573,94,739,216,42,425,5,1,5,7,6,5,0,26,2,0,55,18,0,0,0,4,4,8,20,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23015,17531,5484,530,116,49,0,59,8,414,76,85,253
0500000US41009,13217.0,10167.0,1646.0,52589,48007,45243,323,733,583,121,1004,4582,4272,313,1682,545,108,1544,11,10,4,9,20,0,2,13,5,6,278,45,14,0,15,65,5,60,62,7,4,0,0,0,0,0,0,0,0,0,1,25,2,3,5,0,0,1,6,6,0,1,0,1,0,0,0,7,6,0,0,0,1,0,0,0,52589,3070,49519,46091,44228,300,618,561,117,267,3428,3236,295,1541,531,100,719,8,10,4,2,15,0,0,9,2,0,176,39,14,0,5,57,5,5,46,0,4,0,0,0,0,0,0,0,0,0,1,14,1,3,3,0,0,1,6,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,41729,38731,36576,237,571,521,100,726,2998,2854,134,1248,295,48,1082,11,7,3,8,9,0,2,6,0,1,132,15,6,0,3,21,5,45,28,4,4,0,0,0,0,0,0,0,0,0,1,8,1,2,3,0,0,0,0,0,0,1,0,1,0,0,0,4,3,0,0,0,1,0,0,0,41729,1918,39811,37487,35966,222,496,499,96,208,2324,2237,132,1178,287,45,560,8,7,3,2,9,0,0,6,0,0,80,15,6,0,0,19,5,5,25,0,4,0,0,0,0,0,0,0,0,0,1,6,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,21697,20457,1240,504,182,136,0,46,0,322,0,0,322
0500000US41011,17865.0,10448.0,1411.0,64929,59136,54930,289,1493,747,128,1549,5793,5507,278,2593,468,134,1857,20,6,1,10,16,10,41,51,6,16,266,58,3,3,9,46,18,75,30,8,6,2,0,0,0,2,0,4,0,0,2,9,5,0,2,0,0,0,0,0,1,0,1,0,0,0,0,7,6,1,0,0,0,0,4,4,64929,4292,60637,56281,53538,259,1320,728,120,316,4356,4195,257,2411,446,121,849,19,6,1,9,14,6,7,46,3,0,151,50,2,2,4,35,16,12,27,0,1,0,0,0,0,0,0,0,0,0,2,8,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,53383,49309,46045,233,1125,649,99,1158,4074,3882,129,1933,249,65,1371,13,3,0,8,14,10,34,40,5,8,178,43,2,1,1,28,17,58,14,7,1,2,0,0,0,2,0,0,0,0,2,4,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,6,5,1,0,0,0,0,4,4,53383,2899,50484,47364,45171,216,1005,631,91,250,3120,3021,122,1822,241,60,690,13,3,0,8,13,6,6,35,2,0,94,36,2,0,1,21,15,5,11,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,31378,27662,3716,1339,562,328,13,221,0,777,171,11,595
0500000US41013,8511.0,2637.0,518.0,24738,22722,21349,80,317,114,30,832,2016,1909,78,741,88,7,955,0,1,0,7,1,1,13,12,0,5,69,6,2,0,7,10,10,18,10,3,0,0,0,0,0,0,0,3,0,0,0,26,1,0,10,1,3,0,6,1,0,4,0,0,0,0,0,10,8,2,0,0,0,0,2,2,24738,1803,22935,21453,20874,78,262,114,23,102,1482,1422,68,712,88,6,520,0,0,0,7,1,1,4,10,0,5,39,6,2,0,3,10,4,0,10,1,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,1,3,0,6,1,0,0,0,0,0,0,0,8,8,0,0,0,0,0,2,2,19871,18420,17429,54,243,102,18,574,1451,1388,38,565,43,7,699,0,1,0,7,0,1,13,9,0,5,38,6,1,0,0,8,3,13,4,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,6,0,3,0,0,1,0,4,0,0,0,0,0,9,7,2,0,0,0,0,2,2,19871,1146,18725,17634,17178,52,201,102,18,83,1091,1053,36,547,43,6,397,0,0,0,7,0,1,4,7,0,5,25,6,1,0,0,8,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,7,7,0,0,0,0,0,2,2,11159,9975,1184,175,82,40,0,42,0,93,0,0,93
0500000US41015,7212.0,4300.0,498.0,23446,21331,19925,84,541,214,25,542,2115,1970,88,827,173,31,823,0,2,0,4,4,9,2,0,4,3,123,20,5,0,12,20,3,47,1,14,0,0,0,0,0,0,0,1,0,0,0,18,1,1,7,3,0,0,0,2,0,4,0,0,0,0,0,2,0,0,0,0,2,0,2,2,23446,1674,21772,20330,19428,77,461,214,25,125,1442,1372,78,756,152,31,333,0,2,0,4,4,4,1,0,4,3,62,20,5,0,7,9,3,9,1,8,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,20121,18564,17455,76,397,190,25,421,1557,1483,60,636,110,12,644,0,2,0,4,4,5,1,0,4,1,60,9,0,0,2,5,2,34,1,7,0,0,0,0,0,0,0,0,0,0,0,12,1,0,4,3,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2,0,0,0,20121,1161,18960,17864,17125,69,353,190,25,102,1096,1059,53,606,102,12,270,0,2,0,4,4,0,1,0,4,1,31,9,0,0,0,5,2,9,1,5,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,13018,10953,2065,190,83,14,0,60,9,107,0,4,103
0500000US41017,45692.0,42444.0,5158.0,198253,180993,169137,887,1563,2481,272,6653,17260,16194,868,4127,2272,361,8232,18,24,9,25,27,6,85,103,21,16,983,134,56,14,68,101,28,252,253,52,14,0,2,0,3,1,0,2,0,1,2,75,7,3,25,5,0,0,14,3,0,15,0,0,3,0,0,8,4,1,0,2,1,0,0,0,198253,17237,181016,170227,164595,786,1139,2421,258,1028,10789,10182,806,3795,2153,343,2897,18,24,9,6,16,0,5,103,1,6,575,128,50,10,27,71,28,29,229,1,0,0,0,0,0,0,0,2,0,0,0,26,4,3,7,3,0,0,9,0,0,0,0,0,0,0,0,6,4,1,0,0,1,0,0,0,158167,146689,137977,582,1216,2072,215,4627,11478,10884,469,3107,1204,211,5637,10,20,9,17,17,5,64,82,21,11,542,83,32,3,38,41,18,143,150,23,6,0,0,0,0,0,0,2,0,1,2,45,3,3,15,5,0,0,6,2,0,8,0,0,3,0,0,7,4,0,0,2,1,0,0,0,158167,11250,146917,139603,135152,540,902,2021,208,780,7314,6964,446,2894,1152,204,2132,10,20,9,0,8,0,0,82,1,6,330,77,26,3,14,27,18,22,140,1,0,0,0,0,0,0,0,2,0,0,0,15,0,3,3,3,0,0,6,0,0,0,0,0,0,0,0,5,4,0,0,0,1,0,0,0,94110,80217,13893,1709,880,164,71,645,0,829,125,0,704
0500000US41019,34582.0,14096.0,2413.0,111201,101896,96048,400,1950,1231,164,2103,9305,8803,420,3952,714,216,3293,31,17,6,5,9,7,39,62,24,8,466,107,18,3,24,75,34,90,82,14,8,2,0,2,1,0,1,1,3,0,1,27,3,0,2,3,0,0,11,3,0,4,0,1,0,0,0,8,3,0,0,1,4,0,1,1,111201,6654,104547,97470,93525,383,1694,1185,151,532,7077,6746,377,3645,652,194,1741,22,13,6,3,8,6,6,51,22,0,306,95,18,0,10,64,30,9,73,3,0,2,0,0,1,0,0,0,0,0,1,19,3,0,2,3,0,0,11,0,0,0,0,0,0,0,0,5,1,0,0,0,4,0,1,1,89959,83438,78872,310,1527,1029,127,1573,6521,6239,200,2926,392,113,2469,20,7,0,2,7,7,26,44,18,8,264,61,8,3,15,30,15,56,55,11,5,0,0,0,1,0,1,1,2,0,0,15,3,0,0,3,0,0,7,1,0,0,0,1,0,0,0,2,1,0,0,1,0,0,1,1,89959,4375,85584,80469,77306,305,1332,989,118,419,5115,4932,185,2781,368,104,1397,15,7,0,0,6,6,6,40,17,0,169,56,8,0,10,24,11,5,51,3,0,0,0,0,1,0,0,0,0,0,0,13,3,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,49774,45817,3957,1653,580,166,34,321,59,1073,0,19,1054
