GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R20,L20,D20
0500000US41001,16668,77,13380,59,157,492,7352.0,143.99999999999997,2346.0
0500000US41003,95184,1002,79692,817,2207,6128,14878.0,1142.0,35827.0
0500000US41005,421401,4554,330868,3464,9149,26367,110507.24615384615,4735.976923076923,139041.84615384616
0500000US41007,41065,226,33258,194,549,2418,10218.0,436.99999999999994,12916.0
0500000US41009,52589,323,41729,237,661,1918,17150.0,787.0,13835.0
0500000US41011,64929,289,53383,233,670,2899,21829.0,571.9999999999999,14243.0
0500000US41013,24738,80,19871,54,161,1146,11287.0,230.99999999999997,3801.0
0500000US41015,23446,84,20121,76,229,1161,8484.0,227.99999999999997,6058.0
0500000US41017,198253,887,158167,582,1845,11250,55646.0,2097.0,65962.0
0500000US41019,111201,400,89959,310,938,4375,43298.0,1182.0,19160.0
0500000US41021,1995,4,1596,1,11,75,834.0,16.999999999999993,324.0
0500000US41023,7233,13,5910,8,62,192,3545.0,76.99999999999997,929.0
0500000US41025,7495,8,5839,6,36,212,3475.0,62.99999999999998,894.0
0500000US41027,23977,53,18372,35,136,4858,3955.0,198.99999999999997,8764.0
0500000US41029,223259,1734,178032,1318,3693,19761,63869.0,2168.0,59478.0
0500000US41031,24502,145,18983,128,330,3189,7189.0,209.99999999999997,4393.0
0500000US41033,88090,415,71749,333,1039,4826,31659.0,795.0,18413.0
0500000US41035,69413,562,54901,416,1107,5687,25308.0,636.9999999999999,10388.0
0500000US41037,8160,49,6604,49,118,517,3470.0,62.99999999999997,792.0
0500000US41039,382962,4660,313471,3713,10101,25737,80336.0,3906.0,134366.0
0500000US41041,50395,199,42380,152,499,3179,12460.0,461.99999999999994,17385.0
0500000US41043,128610,681,100402,493,1524,8016,43486.0,1594.0,26512.0
0500000US41045,31569,465,23846,397,879,6559,8187.0,220.99999999999994,3260.0
0500000US41047,345920,4161,262742,3027,7713,60955,79002.0,3272.0,80872.0
0500000US41049,12186,58,8842,30,90,3118,3586.0,125.99999999999999,1371.0
0500000US41051,815428,45370,666710,34216,77884,72400,82996.75384615385,5726.023076923077,367250.1538461539
0500000US41053,87433,735,67652,515,1423,8137,23732.0,981.0,22917.0
0500000US41055,1870,0,1508,0,3,92,921.0,23.999999999999993,260.0
0500000US41057,27287,79,22305,61,245,1821,8354.0,260.99999999999994,8066.0
0500000US41059,80075,701,60393,612,1440,14363,21270.0,739.9999999999999,10707.0
0500000US41061,26196,161,20379,128,382,866,10298.0,240.99999999999994,4254.0
0500000US41063,7391,9,6016,9,41,159,3404.0,75.99999999999999,1625.0
0500000US41065,26670,133,20973,98,273,3241,7035.0,296.0,6604.0
0500000US41067,600372,13437,464964,9850,24042,71496,99073.0,6398.0,209939.0
0500000US41069,1451,1,1217,0,4,50,711.0,24.999999999999993,217.0
0500000US41071,107722,900,84336,725,1883,11734,29551.0,1448.0,27174.0
