GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US42001,31423.0,14219.0,1251.0,103852,98221,91460,1559,340,975,37,3850,5631,5408,845,1256,418,33,2676,27,8,1,53,0,0,57,17,13,4,184,47,11,4,28,5,1,45,8,15,5,5,2,1,0,0,0,0,4,3,0,34,6,1,15,3,2,3,4,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,103852,7790,96062,92883,89945,1473,147,952,33,333,3179,3066,775,1227,399,31,553,27,8,1,18,0,0,3,15,9,0,92,42,11,4,15,5,1,0,8,0,0,0,1,1,0,0,0,0,4,0,0,16,0,0,6,3,0,3,4,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,83005,79549,74690,1237,255,800,24,2543,3456,3354,302,935,205,16,1763,24,7,0,30,0,0,43,16,9,4,75,13,0,4,9,2,0,25,2,8,5,0,1,0,0,0,0,0,3,3,0,25,2,1,15,3,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,83005,4865,78140,76179,73832,1183,129,791,20,224,1961,1912,277,923,201,16,434,24,7,0,8,0,0,3,14,5,0,34,13,0,4,9,2,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,13,0,0,6,3,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,43007,40270,2737,3523,903,248,49,606,0,2620,2353,0,267
0500000US42003,259489.65588974036,367620.56458042265,16102.477834353187,1250578,1184872,946321,163678,1909,58541,357,14066,65706,61018,16767,9112,8525,332,21383,1979,566,106,1660,67,1,153,128,210,29,4258,2199,322,69,638,175,5,425,145,157,18,28,9,30,10,17,3,1,0,0,7,386,141,40,161,2,8,8,14,6,0,0,4,2,0,0,0,34,22,12,0,0,0,0,10,10,1250578,34325,1216253,1165797,938252,161554,1305,58318,304,6064,50456,47135,16116,8662,8294,311,9932,1835,543,99,987,65,0,18,113,150,10,3058,1953,290,68,300,149,4,41,134,38,7,26,9,10,10,10,3,1,0,0,5,233,126,40,44,2,6,3,6,2,0,0,4,0,0,0,0,26,21,5,0,0,0,0,4,4,1020183,979993,799427,122538,1491,46183,290,10064,40190,37421,7457,6802,4445,194,15103,1486,373,66,1071,48,0,121,109,127,19,2472,1317,135,31,322,105,5,312,81,66,14,24,3,27,10,11,3,1,0,0,5,260,96,21,119,1,4,5,8,4,0,0,0,2,0,0,0,27,15,12,0,0,0,0,10,10,1020183,24137,996046,966091,793509,121252,1032,46016,244,4038,29955,27981,7207,6533,4338,180,7043,1389,351,64,625,46,0,13,97,92,3,1803,1197,119,30,168,88,4,34,81,17,3,24,3,10,10,6,3,1,0,0,5,147,81,21,40,1,4,0,0,0,0,0,0,0,0,0,0,20,15,5,0,0,0,0,4,4,602095,551013,51082,34557,10853,2151,185,8485,32,23704,19266,22,4416
0500000US42005,23484.0,7178.0,684.9999999999999,65558,63397,62513,445,66,160,14,199,2161,2105,364,801,107,20,762,18,3,0,19,2,1,0,5,3,0,53,24,2,0,5,6,0,5,8,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,65558,490,65068,63096,62320,438,57,147,14,120,1972,1935,363,791,100,20,623,18,1,0,9,2,0,0,5,3,0,36,22,2,0,4,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,53182,51753,51070,362,59,123,14,125,1429,1389,135,621,45,6,550,15,0,0,9,0,0,0,5,3,0,37,18,2,0,1,6,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,53182,296,52886,51567,50952,359,50,115,14,77,1319,1294,135,611,44,6,472,15,0,0,3,0,0,0,5,3,0,24,16,2,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,32106,28061,4045,673,486,127,0,359,0,187,0,0,187
0500000US42007,48167.0,32531.0,2022.0,168215,158856,144954,11168,243,1028,59,1404,9359,8835,2537,2355,501,33,2956,195,24,13,176,9,0,2,18,14,2,491,267,28,2,90,9,7,48,16,11,0,0,0,10,0,0,0,1,0,0,2,28,1,4,6,3,0,0,9,0,0,0,0,3,0,2,0,5,0,4,0,0,0,1,0,0,168215,3611,164604,156833,143881,11069,195,1022,53,613,7771,7380,2436,2293,489,33,1754,185,24,13,125,8,0,0,17,3,0,373,262,28,2,29,9,7,6,15,9,0,0,0,5,0,0,0,1,0,0,0,17,1,4,0,3,0,0,6,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,136115,130557,120247,8292,198,813,39,968,5558,5297,867,1755,244,22,2092,136,15,13,112,5,0,2,18,14,2,239,140,6,0,30,0,7,27,10,9,0,0,0,9,0,0,0,1,0,0,0,20,1,2,5,0,0,0,9,0,0,0,0,3,0,0,0,2,0,1,0,0,0,1,0,0,136115,2396,133719,129159,119542,8234,158,807,33,385,4560,4359,834,1725,241,22,1279,133,15,13,72,5,0,0,17,3,0,188,135,6,0,10,0,7,6,9,9,0,0,0,5,0,0,0,1,0,0,0,12,1,2,0,0,0,0,6,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,78944,71971,6973,2858,1250,78,34,1138,0,1608,717,0,891
0500000US42009,19552.0,3645.0,259.9999999999999,47577,46163,45569,192,78,153,4,167,1414,1362,206,617,73,4,432,5,0,1,5,4,0,1,5,9,0,42,23,0,0,1,0,0,10,3,2,0,0,0,2,0,0,0,0,0,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47577,519,47058,45831,45381,181,66,153,0,50,1227,1184,206,602,71,4,287,2,0,1,3,4,0,0,2,2,0,34,20,0,0,1,0,0,8,2,2,0,0,0,0,0,0,0,0,0,0,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38284,37332,36869,140,64,116,4,139,952,912,78,472,36,4,304,5,0,1,5,0,0,1,2,4,0,30,11,0,0,1,0,0,10,3,2,0,0,0,2,0,0,0,0,0,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38284,353,37931,37099,36752,134,59,116,0,38,832,801,78,462,34,4,213,2,0,1,3,0,0,0,2,2,0,22,8,0,0,1,0,0,8,2,2,0,0,0,0,0,0,0,0,0,0,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23489,20041,3448,320,234,48,0,186,0,86,0,0,86
0500000US42011,96626.0,78437.0,5247.0,428849,390204,309107,21992,2252,6413,170,50270,38645,36172,4783,3472,1585,115,21070,257,109,21,3110,16,13,1084,111,136,290,2169,492,112,0,919,34,2,218,60,77,15,4,0,218,0,4,4,0,2,1,7,275,28,12,212,0,13,0,1,2,0,0,3,3,0,1,0,25,2,20,3,0,0,0,4,4,428849,99550,329299,317632,291258,18087,450,6225,61,1551,11667,11102,3588,3068,1472,88,2244,154,96,18,196,7,0,9,111,44,7,523,287,78,0,51,29,2,4,52,15,0,1,0,3,0,1,0,0,0,0,0,36,21,8,1,0,0,0,1,2,0,0,3,0,0,0,0,6,0,6,0,0,0,0,0,0,333658,308809,251498,16155,1574,5024,124,34434,24849,23457,2201,2554,800,80,14327,183,62,15,2073,12,13,728,100,94,215,1207,283,50,0,491,17,2,138,26,34,1,4,0,146,0,3,4,0,1,0,7,169,19,7,131,0,6,0,1,0,0,0,3,1,0,1,0,13,0,10,3,0,0,0,3,3,333658,65244,268414,261066,240772,14000,355,4921,53,965,7348,7028,1746,2339,759,66,1617,126,61,12,148,7,0,9,100,31,7,290,171,32,0,30,15,2,3,23,9,0,1,0,3,0,1,0,0,0,0,0,24,16,3,1,0,0,0,1,0,0,0,3,0,0,0,0,6,0,6,0,0,0,0,0,0,170742,161485,9257,12380,3971,859,288,2468,356,8409,6205,0,2204
0500000US42013,39134.71155778894,13957.902512562814,1255.988944723618,122822,117986,113618,2533,164,878,13,780,4836,4643,1144,1526,345,58,1435,23,9,0,68,3,2,7,19,1,3,174,78,9,0,16,13,0,16,18,5,4,5,0,4,0,3,0,0,0,0,3,19,6,8,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122822,1708,121114,116860,113016,2463,134,868,12,367,4254,4129,1091,1507,339,56,1041,19,9,0,54,3,2,0,8,0,0,120,68,4,0,9,9,0,0,18,0,4,5,0,0,0,3,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98475,95544,92211,1867,141,713,13,599,2931,2843,398,1131,184,33,1030,15,0,0,32,1,2,6,8,0,3,77,32,3,0,3,3,0,2,18,0,4,5,0,4,0,0,0,0,0,0,3,11,6,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98475,1116,97359,94757,91837,1822,119,704,12,263,2602,2531,384,1116,181,33,768,15,0,0,29,1,2,0,2,0,0,66,31,2,0,3,3,0,0,18,0,4,5,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55700,51227,4473,4117,1826,272,21,1462,71,2291,1504,0,787
0500000US42015,18141.0,6369.0,892.9999999999999,59967,57329,56026,404,136,465,14,284,2638,2542,292,1091,107,18,962,9,6,0,28,6,0,15,4,4,0,84,30,2,0,8,12,0,8,16,5,0,2,0,1,0,0,0,0,0,0,0,10,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,59967,873,59094,56834,55717,394,117,460,13,133,2260,2196,274,1080,105,18,678,9,3,0,15,6,0,1,4,3,0,54,21,2,0,1,11,0,0,16,1,0,2,0,0,0,0,0,0,0,0,0,8,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,46941,45196,44249,272,118,352,5,200,1745,1710,87,844,64,14,648,7,5,0,21,6,0,10,4,0,0,31,7,0,0,1,8,0,5,4,4,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,46941,543,46398,44869,44064,262,100,347,5,91,1529,1507,87,838,62,14,478,7,2,0,8,6,0,1,4,0,0,18,6,0,0,0,7,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,29363,24789,4574,650,413,156,0,257,0,237,32,0,205
0500000US42017,164361.0,167060.0,8556.0,646538,609656,529895,26373,1173,35216,178,16821,36882,35009,4753,4949,5172,184,17950,326,246,24,834,67,0,207,78,200,19,1673,544,127,16,346,64,3,255,105,148,20,0,3,27,3,11,0,0,0,1,0,183,30,4,125,0,5,1,1,3,5,0,0,6,0,1,2,17,6,10,1,0,0,0,0,0,646538,39770,606768,585091,521575,25277,531,35053,143,2512,21677,20813,4352,4634,5011,184,5571,278,224,24,266,60,0,20,78,104,7,822,428,96,14,71,44,3,26,98,31,2,0,3,0,2,4,0,0,0,0,0,37,25,1,3,0,0,0,1,3,0,0,0,4,0,0,0,5,4,0,1,0,0,0,0,0,515340,492670,433194,19661,891,26957,142,11825,22670,21644,1895,3649,2470,127,12203,245,127,19,508,46,0,147,57,133,18,902,326,39,10,165,31,3,157,56,73,10,0,0,25,2,4,0,0,0,1,0,108,12,0,80,0,0,0,0,3,5,0,0,6,0,0,2,16,6,10,0,0,0,0,0,0,515340,26025,489315,476366,428133,19077,441,26860,123,1732,12949,12466,1755,3478,2408,127,3962,217,121,19,190,39,0,10,57,77,6,461,274,30,10,28,21,3,19,51,19,0,0,0,0,2,4,0,0,0,0,0,18,11,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,255632,245587,10045,8848,5668,792,411,4429,36,3180,1401,0,1779
0500000US42019,64428.0,28584.0,3062.0,193763,185875,179140,2243,234,2814,41,1403,7888,7535,1136,2142,859,53,3126,32,29,6,90,0,0,16,17,26,3,337,129,18,2,57,30,2,39,11,25,2,1,0,13,2,6,0,0,0,0,0,16,1,3,4,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193763,3665,190098,183814,178081,2174,154,2792,36,577,6284,6074,1097,2075,838,51,1874,32,27,6,43,0,0,1,17,13,0,199,114,18,2,2,30,2,3,10,9,0,1,0,0,2,6,0,0,0,0,0,11,1,3,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155325,150463,145394,1697,171,2198,37,966,4862,4695,487,1551,389,31,2097,26,18,4,44,0,0,10,15,20,3,155,51,9,0,26,22,0,28,5,11,0,1,0,0,2,0,0,0,0,0,0,12,0,0,4,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155325,2377,152948,149058,144715,1653,114,2176,32,368,3890,3792,477,1516,381,29,1300,26,16,4,17,0,0,0,15,11,0,91,45,9,0,0,22,0,3,4,5,0,1,0,0,2,0,0,0,0,0,0,7,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85019,78727,6292,4960,1950,243,99,1438,170,3010,2607,0,403
