GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US42001,103852,1559,83005,1237,2864,4865,31423.0,1251.0,14219.0
0500000US42003,1250578,163678,1020183,122538,257412,24137,259489.65588974036,16102.477834353187,367620.56458042265
0500000US42005,65558,445,53182,362,904,296,23484.0,684.9999999999999,7178.0
0500000US42007,168215,11168,136115,8292,17912,2396,48167.0,2022.0,32531.0
0500000US42009,47577,192,38284,140,383,353,19552.0,259.9999999999999,3645.0
0500000US42011,428849,21992,333658,16155,37825,65244,96626.0,5247.0,78437.0
0500000US42013,122822,2533,98475,1867,4226,1116,39134.71155778894,1255.988944723618,13957.902512562814
0500000US42015,59967,404,46941,272,674,543,18141.0,892.9999999999999,6369.0
0500000US42017,646538,26373,515340,19661,42687,26025,164361.0,8556.0,167060.0
0500000US42019,193763,2243,155325,1697,4062,2377,64428.0,3062.0,28584.0
0500000US42021,133472,5828,108388,3968,8709,1592,42259.70829616773,1270.0159676427568,18867.23275834984
0500000US42023,4547,16,3751,16,38,49,1589.0,52.99999999999999,531.0
0500000US42025,64749,1208,52290,855,1958,2254,18743.0,690.9999999999999,8936.0
0500000US42027,158172,5476,134439,4926,10647,4701,35274.0,2644.0,37088.0
0500000US42029,534413,29526,412886,22879,49316,28457,116114.0,7930.0,141682.0
0500000US42031,37556,552,30220,470,1044,282,12462.0,465.99999999999994,4223.0
0500000US42033,80562,1906,65948,1817,3765,2329,24932.0,775.9999999999999,8200.0
0500000US42035,37450,447,29598,347,785,409,10022.0,469.99999999999994,4744.0
0500000US42037,64727,912,53098,703,1678,1493,18004.0,882.9999999999999,8934.0
0500000US42039,83938,1530,66608,1206,2721,795,24987.0,1046.0,10971.0
0500000US42041,259469,11081,206533,8054,17877,8018,69076.0,3975.0,47085.0
0500000US42043,286401,50868,224493,37042,78866,20482,60863.0,3498.0,64706.0
0500000US42045,576830,129242,449790,93795,192958,17672,110667.0,5992.0,177402.0
0500000US42047,30990,80,25229,57,178,183,10025.0,401.0,3853.0
0500000US42049,270876,20584,214341,14433,31065,7450,60069.0,3871.0,58112.0
0500000US42051,128804,5789,104708,4563,9797,1056,34606.96645985815,853.4424348794995,17954.51861585918
0500000US42053,6973,1237,6323,1223,2450,298,1683.0,59.999999999999986,626.0
0500000US42055,155932,5338,120964,3862,8800,6584,49768.0,1712.0,17465.0
0500000US42057,14556,128,11514,92,218,81,5694.0,92.99999999999997,912.0
0500000US42059,35954,1083,29272,1050,2190,415,10849.0,283.9999999999999,4482.0
0500000US42061,44092,2271,36075,2148,4448,659,14494.0,424.99999999999994,4539.0
0500000US42063,83246,2494,67726,2217,4767,1121,24886.580146043325,935.995087633625,11527.864729087343
0500000US42065,44492,131,35246,97,268,271,15192.0,431.99999999999994,3650.0
0500000US42067,23509,133,18343,98,269,557,8273.0,200.99999999999997,1821.0
0500000US42069,215896,8350,173597,5729,13017,11538,48384.0,1934.9999999999998,51983.0
0500000US42071,552984,22394,425314,15921,36542,40363,137914.0,8555.0,91093.0
0500000US42073,86070,3664,69056,2594,5840,1032,25428.0,869.9999999999999,14009.0
0500000US42075,143257,3233,111234,2261,5553,13125,40525.0,1647.0,18953.0
0500000US42077,374557,27589,291935,19665,44808,65250,73690.0,4026.9999999999995,81324.0
0500000US42079,325594,16226,262455,11391,25707,30897,78688.0,2338.9999999999995,52451.0
0500000US42081,114188,5835,90800,4321,9421,1556,35627.0,1310.9999999999998,13020.0
0500000US42083,40432,867,32321,827,1772,449,11635.0,407.99999999999994,4025.0
0500000US42085,110652,6389,89028,4789,10225,985,31544.0,1370.0,18733.0
0500000US42087,46143,388,36057,270,673,578,14094.0,475.99999999999994,3877.0
0500000US42089,168327,24894,134271,18577,40063,19796,33386.0,1502.0,33918.0
0500000US42091,856553,81786,674024,62445,131905,35655,162731.0,10934.0,256082.0
0500000US42093,18136,331,14393,211,508,318,5288.0,287.0,2857.0
0500000US42095,312951,19442,251676,14139,31428,29851,71736.0,3690.0,66275.0
0500000US42097,91647,2579,73275,2028,4390,2583,25427.0,930.9999999999999,9788.0
0500000US42099,45842,302,35917,236,613,554,15616.0,619.0,4632.0
0500000US42101,1603797,630462,1278362,480804,988532,167538,108748.0,7115.0,584025.0
0500000US42103,58535,3285,47447,2517,5501,4593,16056.0,491.99999999999994,9256.0
0500000US42105,16396,43,13140,34,91,156,6251.0,164.99999999999997,1302.0
0500000US42107,143049,4394,115932,3834,8238,5112,44001.0,1413.9999999999998,16770.0
0500000US42109,39736,539,31144,433,964,652,11725.0,454.99999999999994,4002.0
0500000US42111,74129,1881,60695,1809,3725,748,27380.60163551402,678.0315420560746,7376.367990654206
0500000US42113,5840,85,4857,68,158,72,2291.0,64.99999999999999,750.0
0500000US42115,38434,145,30923,106,270,531,13356.0,568.9999999999999,5123.0
0500000US42117,41045,343,32720,285,674,426,13614.0,548.0,3901.0
0500000US42119,42681,2583,34680,2366,4877,1555,10622.0,449.99999999999994,6180.0
0500000US42121,50454,444,40320,308,766,328,16021.0,733.0,6309.0
0500000US42123,38587,149,31105,110,301,257,12477.0,549.0,5145.0
0500000US42125,209349,6958,169191,5566,12471,2702,61379.768403104914,2642.7240513927914,36320.4154528552
0500000US42127,51155,1722,42587,1598,3359,1707,16244.0,465.99999999999994,7008.0
0500000US42129,354663,9188,289614,6665,15193,3412,116500.00761178258,4366.324137318446,59658.13336020875
0500000US42131,26069,233,21073,205,473,360,8837.0,323.0,3811.0
0500000US42133,456438,27999,356368,19914,43778,25021,128528.0,6484.0,68524.0
