GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US45001,6763.0,3741.0,128.99999999999997,24295,23408,16877,6205,44,73,11,198,887,847,276,292,23,6,180,25,6,1,29,3,1,0,1,4,0,33,4,3,2,1,0,1,6,2,3,0,2,0,6,0,1,2,0,0,0,0,7,0,3,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24295,423,23872,23120,16744,6184,44,71,7,70,752,728,264,292,21,6,92,24,6,1,21,0,1,0,0,0,0,18,4,3,2,0,0,1,2,0,1,0,2,0,1,0,0,2,0,0,0,0,6,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19369,18785,13589,4948,42,57,2,147,584,559,125,221,18,6,135,24,2,1,22,0,1,0,1,3,0,21,4,1,2,0,0,0,4,0,1,0,0,0,6,0,1,2,0,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19369,284,19085,18590,13503,4931,42,55,2,57,495,480,120,221,18,6,73,24,2,1,14,0,1,0,0,0,0,11,4,1,2,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11540,9818,1722,821,129,45,0,84,0,692,562,0,130
0500000US45003,46023.2572519084,25454.470992366412,1797.9358778625954,168808,158270,110016,39856,699,1792,132,5775,10538,9752,2035,2567,738,67,3597,275,71,10,289,9,1,48,14,11,20,689,264,50,6,109,29,18,129,22,14,5,10,1,12,18,2,0,0,0,0,0,81,3,3,55,2,0,0,4,9,0,0,5,0,0,0,0,14,8,5,1,0,0,0,2,2,168808,11526,157282,150451,107918,39465,530,1773,96,669,6831,6378,1952,2451,709,67,729,254,66,8,111,7,1,1,11,11,0,404,214,43,6,31,29,18,8,22,7,0,4,1,8,13,0,0,0,0,0,0,36,3,3,20,2,0,0,3,0,0,0,5,0,0,0,0,12,7,5,0,0,0,0,1,1,132926,126220,90374,29877,576,1469,90,3834,6706,6270,777,1975,385,52,2552,212,37,10,199,6,1,33,11,8,12,366,159,9,0,59,21,7,75,9,5,5,4,1,4,6,2,0,0,0,0,0,67,0,3,44,2,0,0,4,9,0,0,5,0,0,0,0,1,0,0,1,0,0,0,2,2,132926,7504,125422,121153,89089,29662,438,1451,66,447,4269,4002,752,1915,375,52,569,201,37,8,69,4,1,0,11,8,0,233,144,8,0,23,21,7,7,9,0,0,4,1,4,5,0,0,0,0,0,0,33,0,3,20,2,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,76923,69450,7473,2692,1466,383,20,1040,23,1226,741,0,485
0500000US45005,789.0,2735.0,21.99999999999998,8039,7871,2010,5656,48,17,1,139,168,143,81,25,1,1,18,7,4,0,4,0,0,2,0,0,0,11,1,0,0,0,0,0,4,2,0,0,0,2,2,0,0,0,0,0,0,0,13,7,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8039,194,7845,7707,1985,5646,45,17,1,13,138,122,80,25,0,1,3,7,4,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,11,7,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6687,6563,1819,4578,37,17,0,112,124,110,62,19,1,0,17,5,0,0,4,0,0,2,0,0,0,8,1,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6687,162,6525,6430,1806,4569,34,17,0,4,95,89,61,19,0,0,2,5,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4040,3281,759,1006,957,911,0,46,0,49,0,0,49
0500000US45007,56214.44314677891,21093.0924877648,1591.4518610860812,203718,192673,154385,30440,616,2413,58,4761,11045,10579,2709,3081,621,46,3473,190,34,20,274,12,4,31,49,24,11,423,182,30,0,81,15,1,58,24,14,0,3,0,12,1,1,0,0,0,1,0,31,9,0,12,6,1,0,0,0,1,2,0,0,0,0,0,7,7,0,0,0,0,0,5,5,203718,9574,194144,186183,152396,30214,425,2404,46,698,7961,7660,2644,3028,592,45,934,184,34,15,106,12,4,0,49,13,0,273,168,28,0,20,14,1,6,24,5,0,3,0,2,1,1,0,0,0,0,0,17,9,0,0,6,1,0,0,0,1,0,0,0,0,0,0,6,6,0,0,0,0,0,5,5,157974,151340,123038,22740,485,1903,48,3126,6634,6379,858,2382,307,28,2382,141,15,17,144,10,4,21,49,11,10,228,109,12,0,31,9,1,40,11,0,0,3,0,9,1,1,0,0,0,1,0,16,2,0,11,2,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,5,5,157974,6103,151871,147197,121876,22617,364,1894,36,410,4674,4499,839,2346,301,27,692,138,15,12,60,10,4,0,49,6,0,159,104,12,0,11,9,1,6,11,0,0,3,0,0,1,1,0,0,0,0,0,5,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,5,5,89123,80372,8751,3213,1292,91,82,1006,113,1921,1522,0,399
0500000US45009,2204.0,3898.0,50.99999999999997,13311,12990,5046,7763,30,68,0,83,321,279,111,50,16,6,49,16,7,1,4,0,0,0,8,9,2,36,20,3,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,6,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13311,141,13170,12886,5010,7749,25,66,0,36,284,251,107,50,15,6,30,16,7,0,4,0,0,0,8,6,2,27,20,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10690,10471,4158,6167,20,53,0,73,219,197,60,47,2,6,47,16,7,1,2,0,0,0,7,0,2,20,13,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10690,104,10586,10389,4138,6153,17,51,0,30,197,175,57,47,2,6,29,16,7,0,2,0,0,0,7,0,2,20,13,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6558,5394,1164,842,107,14,0,81,12,735,564,0,171
0500000US45011,4889.0,4400.0,86.99999999999997,20589,19833,10493,8825,78,161,18,258,756,690,280,229,15,1,110,36,0,0,12,0,0,1,0,6,0,55,30,5,0,6,4,0,1,6,0,0,0,0,2,0,0,1,0,0,0,0,11,4,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20589,520,20069,19431,10352,8785,61,161,14,58,638,588,265,222,15,1,46,27,0,0,11,0,0,1,0,0,0,41,27,5,0,1,4,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,9,3,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15964,15518,8518,6613,68,124,17,178,446,407,125,162,8,0,77,24,0,0,11,0,0,0,0,0,0,34,20,0,0,5,3,0,1,2,0,0,0,0,2,0,0,1,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15964,339,15625,15240,8421,6592,58,124,13,32,385,356,118,162,8,0,38,19,0,0,11,0,0,0,0,0,0,24,17,0,0,0,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9854,8460,1394,492,440,281,0,159,0,52,0,0,52
0500000US45013,42922.0,32138.0,2005.0,187117,172860,130860,27973,738,2441,137,10711,14257,13611,1688,1821,859,81,8325,162,103,14,392,4,0,108,25,19,10,569,148,64,5,101,34,2,98,51,42,0,1,0,8,1,4,0,0,2,3,5,71,8,0,50,7,0,0,4,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,5,5,187117,23411,163706,157778,126704,27545,354,2381,119,675,5928,5571,1560,1719,816,80,976,141,92,14,124,4,0,10,25,10,0,322,136,47,5,19,34,2,6,51,11,0,0,0,1,1,4,0,0,0,0,5,30,5,0,12,7,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,151768,142411,111725,20942,550,1977,88,7129,9357,9002,735,1372,443,47,5854,126,54,6,246,4,0,77,19,16,3,306,66,30,0,56,19,0,70,27,25,0,0,0,1,0,4,0,0,0,3,5,48,7,0,34,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,151768,15565,136203,132479,109053,20703,281,1931,77,434,3724,3536,701,1322,424,46,748,110,51,6,94,4,0,3,19,8,0,165,66,19,0,7,19,0,6,27,11,0,0,0,1,0,4,0,0,0,0,5,23,4,0,12,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98068,76373,21695,8266,528,0,0,515,13,7738,798,6359,581
0500000US45015,44664.50744280148,30771.25607644778,2472.3942022420692,230263,212147,141748,52439,1568,5493,202,10697,18116,16952,2854,3195,2171,124,7119,440,201,53,536,14,1,67,105,58,14,1085,341,133,8,160,69,4,176,85,50,6,3,0,28,10,7,2,0,0,0,3,71,30,1,22,2,1,2,13,0,0,0,0,0,0,0,0,8,1,7,0,0,0,0,0,0,230263,20343,209920,198272,138118,51830,1037,5394,173,1720,11648,10944,2658,3035,2061,124,2026,425,192,53,210,14,1,4,103,36,2,662,278,114,8,69,65,4,8,79,22,0,3,0,2,5,2,0,0,0,0,3,42,30,0,3,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174291,163421,111758,38728,1174,4464,149,7148,10870,10304,1032,2322,1064,73,4835,322,105,34,348,6,1,45,75,34,8,519,168,38,5,60,39,4,99,54,17,0,0,0,17,10,3,2,0,0,0,3,44,17,1,18,0,0,0,8,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,174291,13051,161240,154394,109508,38390,841,4403,129,1123,6846,6482,975,2240,1030,73,1465,311,100,34,145,6,1,4,75,23,0,343,147,34,5,37,35,4,7,52,14,0,0,0,0,5,0,0,0,0,0,3,21,17,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93778,85693,8085,4336,1325,1043,43,239,0,3011,0,2631,380
0500000US45017,3787.0,3573.0,104.99999999999999,14119,13638,7896,5372,62,30,6,272,481,437,118,139,41,5,81,20,2,3,13,0,1,1,3,7,3,29,11,2,0,1,0,1,9,0,5,0,0,0,0,0,0,0,0,0,0,0,15,7,1,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14119,487,13632,13269,7783,5361,62,27,6,30,363,331,108,136,36,5,9,20,2,3,4,0,1,0,2,5,0,20,8,1,0,1,0,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11423,11121,6518,4356,46,22,6,173,302,272,58,104,16,3,46,20,2,3,10,0,1,1,3,5,0,24,8,0,0,1,0,1,9,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11423,292,11131,10888,6448,4348,46,20,6,20,243,220,54,102,16,3,9,20,2,3,3,0,1,0,2,5,0,19,8,0,0,1,0,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7024,5986,1038,163,115,0,0,115,0,48,0,0,48
0500000US45019,75439.27690322581,89295.08722580645,7282.620645161291,407428,385629,268385,92210,1494,7544,345,15651,21799,20486,3016,3654,2659,150,9247,576,222,39,620,23,6,130,72,64,8,1193,390,117,9,215,88,8,201,67,50,0,0,6,20,3,5,2,5,0,0,7,110,35,2,32,2,8,0,12,14,3,1,0,0,1,0,0,7,3,0,0,0,4,0,3,3,407428,29235,378193,364756,263252,91364,850,7441,319,1530,13437,12626,2840,3451,2560,140,2439,549,215,36,265,17,5,12,61,36,0,740,329,115,9,95,70,8,12,64,13,0,0,6,10,2,2,0,5,0,0,0,65,33,2,13,2,5,0,8,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,327210,312451,222935,71143,1144,6221,269,10739,14759,13939,1591,2834,1529,99,6613,438,140,21,441,23,6,103,62,31,8,732,255,56,5,120,49,8,137,50,20,0,0,6,16,0,3,2,5,0,0,0,78,29,2,21,0,3,0,11,7,3,1,0,0,1,0,0,7,3,0,0,0,4,0,3,3,327210,19945,307265,298216,219371,70609,719,6142,248,1127,9049,8500,1515,2726,1484,94,1794,428,139,18,199,17,5,10,52,19,0,491,221,54,5,71,44,8,10,49,6,0,0,6,10,0,2,0,5,0,0,0,52,27,2,12,0,3,0,7,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,201443,173157,28286,9089,2936,942,72,1922,0,6153,4567,588,998
