GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US47001,19212.0,9013.0,1034.0,77123,72296,66863,2888,302,981,53,1209,4827,4573,946,1861,330,12,1275,51,28,4,34,3,0,2,7,15,5,243,124,7,0,24,24,3,41,7,3,5,3,0,0,0,0,0,2,0,0,0,9,0,0,7,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,77123,2820,74303,70402,66044,2841,217,975,53,272,3901,3710,919,1808,329,12,509,50,28,4,32,3,0,0,6,10,0,188,120,7,0,13,22,3,7,7,1,3,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,60836,57743,53667,2195,235,809,35,802,3093,2962,351,1486,151,9,882,35,14,4,14,3,0,2,6,5,0,120,68,3,0,7,4,1,24,7,2,2,0,0,0,0,0,0,2,0,0,0,9,0,0,7,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,60836,1756,59080,56569,53194,2178,180,803,35,179,2511,2421,343,1461,150,9,381,34,14,4,13,3,0,0,5,4,0,87,64,3,0,6,2,1,2,7,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,35143,31993,3150,1129,786,294,46,446,0,343,70,0,273
0500000US47003,11486.0,3395.0,305.99999999999994,50237,46970,37996,3641,426,341,27,4539,3267,3129,648,785,112,16,1440,33,1,2,45,0,1,27,0,9,10,131,44,6,0,16,16,1,28,5,1,2,3,4,0,4,0,0,0,1,0,0,7,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50237,7665,42572,40679,36499,3563,127,337,13,140,1893,1805,635,749,106,16,239,31,1,1,18,0,1,1,0,7,0,82,34,6,0,2,16,0,9,5,0,0,3,3,0,4,0,0,0,0,0,0,6,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37654,35836,29665,2784,293,260,23,2811,1818,1748,174,577,55,6,864,22,1,0,22,0,1,15,0,1,10,70,27,1,0,9,6,1,20,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37654,4543,33111,32057,28841,2756,102,256,12,90,1054,1010,174,568,52,6,181,20,1,0,6,0,1,1,0,0,0,44,24,1,0,2,6,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19685,18350,1335,1019,747,592,13,142,0,272,56,0,216
0500000US47005,4716.0,1474.0,82.99999999999997,15864,15100,14487,316,65,107,4,121,764,739,107,340,29,8,220,8,7,0,6,0,0,0,6,8,0,21,5,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,15864,375,15489,14885,14378,316,50,107,4,30,604,595,100,333,26,8,105,5,7,0,5,0,0,0,6,0,0,9,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12773,12249,11771,256,48,84,4,86,524,507,30,280,5,8,162,8,7,0,1,0,0,0,6,0,0,13,0,1,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,12773,246,12527,12102,11698,256,39,84,4,21,425,421,23,280,5,8,87,5,7,0,0,0,0,0,6,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8485,6881,1604,178,143,95,0,48,0,35,0,0,35
0500000US47007,3622.0,897.0,94.99999999999997,14913,14343,13258,786,74,38,0,187,570,544,54,294,19,4,154,2,4,0,0,2,0,3,4,4,0,16,8,1,0,1,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,10,3,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14913,459,14454,13997,13129,781,48,37,0,2,457,443,52,291,14,4,72,1,3,0,0,2,0,0,4,0,0,10,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12310,11902,10906,771,56,22,0,147,408,395,19,239,11,4,107,2,4,0,0,2,0,3,4,0,0,11,7,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12310,307,12003,11648,10822,766,39,21,0,0,355,346,19,236,11,4,66,1,3,0,0,2,0,0,4,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5870,5039,831,2616,2591,2481,0,110,0,25,0,0,25
0500000US47009,37443.0,12100.0,1666.0,135280,127218,119367,3628,521,1297,29,2376,8062,7726,1176,3190,544,31,2651,37,1,5,38,1,1,30,11,6,4,318,114,10,11,27,36,0,79,23,3,0,0,0,4,0,0,10,0,1,0,0,15,9,0,5,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,135280,5709,129571,123585,117952,3552,339,1280,23,439,5986,5792,1143,3099,525,30,902,37,1,5,22,1,1,13,10,3,0,183,94,7,3,10,29,0,15,23,0,0,0,0,0,0,0,2,0,0,0,0,10,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,107665,102341,96608,2816,385,1007,23,1502,5324,5142,405,2489,275,21,1856,32,1,5,22,1,0,18,10,3,4,168,52,4,1,12,20,0,56,13,1,0,0,0,0,0,0,8,0,1,0,0,11,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,107665,3591,104074,100081,95749,2772,262,997,23,278,3993,3883,397,2437,267,20,700,32,1,5,7,1,0,6,10,0,0,100,44,4,0,7,20,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,59776,54720,5056,2186,1113,506,11,580,16,1073,659,0,414
0500000US47011,29768.0,7070.0,1098.0,108620,100456,89555,5238,447,1199,131,3886,8164,7794,1246,2632,368,47,2908,53,49,2,162,6,0,298,6,14,3,329,126,34,0,38,21,7,71,14,7,1,0,0,3,5,0,0,0,2,0,0,34,0,0,31,0,0,0,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,1,1,108620,8461,100159,94859,87830,5105,271,1188,117,348,5300,5060,1198,2557,359,47,728,48,47,2,58,3,0,1,6,6,0,220,115,32,0,14,21,7,19,10,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,84901,79610,71789,3984,354,913,82,2488,5291,5059,458,2091,196,33,1911,39,42,1,95,5,0,176,1,11,0,207,69,15,0,22,14,7,56,10,6,1,0,0,2,3,0,0,0,2,0,0,19,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,84901,5264,79637,76094,70736,3919,227,907,74,231,3543,3391,448,2054,196,33,543,37,40,1,32,2,0,1,1,3,0,137,69,13,0,5,14,7,19,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,44781,41847,2934,2574,727,344,0,383,0,1847,1679,0,168
0500000US47013,9870.0,2248.0,250.99999999999997,39272,37823,37267,133,84,98,0,241,1449,1372,138,837,65,14,284,5,6,1,12,0,0,2,2,3,3,71,51,0,0,7,0,0,8,2,0,2,0,0,0,0,1,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39272,500,38772,37489,37101,130,77,94,0,87,1283,1216,133,835,63,13,152,5,6,1,2,0,0,0,2,3,1,61,49,0,0,7,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31248,30211,29787,108,71,69,0,176,1037,983,62,660,37,5,200,2,0,0,11,0,0,1,2,0,3,48,36,0,0,7,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31248,321,30927,29990,29685,107,64,65,0,69,937,885,62,658,35,5,118,2,0,0,2,0,0,0,2,0,1,46,36,0,0,7,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19941,16324,3617,493,453,192,0,261,0,40,0,0,40
0500000US47015,4007.0,1127.0,105.99999999999999,14506,13613,13187,203,34,43,4,142,893,863,74,285,45,0,443,3,2,0,5,3,0,0,0,0,3,29,4,1,0,1,0,0,9,9,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14506,395,14111,13364,13064,192,25,38,4,41,747,731,74,274,39,0,335,3,2,0,2,2,0,0,0,0,0,15,0,1,0,1,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11408,10806,10469,165,23,42,4,103,602,591,30,214,25,0,308,3,2,0,4,2,0,0,0,0,3,11,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11408,261,11147,10640,10387,157,22,37,4,33,507,504,30,210,20,0,236,3,2,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6355,5856,499,120,108,42,0,66,0,12,0,0,12
0500000US47017,7756.0,2327.0,180.99999999999994,28440,27021,23997,2457,86,124,13,344,1419,1344,403,527,50,16,270,27,0,2,30,0,0,11,0,4,4,66,25,4,0,4,2,1,2,9,7,4,0,0,0,2,0,0,1,0,4,1,8,3,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,28440,769,27671,26497,23744,2445,75,124,5,104,1174,1127,403,513,46,16,110,23,0,2,11,0,0,3,0,0,0,41,25,2,0,0,1,1,0,9,0,0,0,0,0,2,0,0,1,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,22484,21635,19244,1990,70,97,8,226,849,810,118,435,17,14,180,20,0,2,16,0,0,3,0,4,1,32,9,0,0,0,2,1,2,9,3,4,0,0,0,1,0,0,1,0,0,0,6,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,22484,494,21990,21269,19072,1978,65,97,5,52,721,694,118,435,13,14,89,16,0,2,4,0,0,3,0,0,0,22,9,0,0,0,1,1,0,9,0,0,0,0,0,1,0,0,1,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13084,11446,1638,1310,371,113,0,258,0,939,796,0,143
0500000US47019,16898.0,3453.0,408.99999999999994,56356,53774,52173,719,179,240,7,456,2582,2485,336,1306,134,16,636,14,7,1,17,0,0,3,0,12,3,72,27,5,0,3,3,0,24,0,0,0,1,0,0,5,0,0,2,0,0,2,18,2,3,11,0,0,2,0,0,0,0,0,0,0,0,0,7,2,5,0,0,0,0,0,0,56356,1181,55175,52991,51790,702,153,231,7,108,2184,2125,333,1289,125,14,317,10,7,1,15,0,0,0,0,12,2,46,27,5,0,0,3,0,3,0,0,0,1,0,0,5,0,0,2,0,0,0,8,1,3,2,0,0,2,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,45897,44110,42858,572,140,214,6,320,1787,1730,126,1035,75,8,446,14,0,1,13,0,0,2,0,8,2,42,17,0,0,0,3,0,13,0,0,0,0,0,0,5,0,0,2,0,0,2,10,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,45897,798,45099,43579,42608,563,126,205,6,71,1520,1487,124,1018,66,6,241,10,0,1,11,0,0,0,0,8,2,27,17,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,27779,24317,3462,1455,669,255,7,407,0,786,624,0,162
