GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US47001,77123,2888,60836,2195,4886,1756,19212.0,1034.0,9013.0
0500000US47003,50237,3641,37654,2784,5825,4543,11486.0,305.99999999999994,3395.0
0500000US47005,15864,316,12773,256,563,246,4716.0,82.99999999999997,1474.0
0500000US47007,14913,786,12310,771,1575,307,3622.0,94.99999999999997,897.0
0500000US47009,135280,3628,107665,2816,6174,3591,37443.0,1666.0,12100.0
0500000US47011,108620,5238,84901,3984,8714,5264,29768.0,1098.0,7070.0
0500000US47013,39272,133,31248,108,335,321,9870.0,250.99999999999997,2248.0
0500000US47015,14506,203,11408,165,369,261,4007.0,105.99999999999999,1127.0
0500000US47017,28440,2457,22484,1990,4146,494,7756.0,180.99999999999994,2327.0
0500000US47019,56356,719,45897,572,1320,798,16898.0,408.99999999999994,3453.0
0500000US47021,41072,819,32259,629,1406,1176,11297.0,463.0,3878.0
0500000US47023,17341,1498,13491,1124,2342,305,5081.0,114.99999999999997,1243.0
0500000US47025,32043,315,25936,271,641,380,8602.0,191.99999999999997,1832.0
0500000US47027,7581,76,6038,67,152,86,2141.0,46.99999999999999,707.0
0500000US47029,35999,583,28934,481,1117,607,9791.0,210.99999999999994,1981.0
0500000US47031,57889,2117,44600,1601,3501,1983,14417.0,517.0,4743.0
0500000US47033,13911,1882,10643,1454,2941,916,3982.0,75.99999999999997,1303.0
0500000US47035,61145,312,50574,220,549,1234,20413.0,470.99999999999994,5202.0
0500000US47037,715884,173092,572818,130971,268946,65511,84563.62807474082,9603.60095460059,148866.37227651442
0500000US47039,11435,270,9122,226,476,226,3588.0,69.99999999999997,894.0
0500000US47041,20080,245,15664,194,469,900,5171.0,116.99999999999999,1569.0
0500000US47043,54315,1962,42204,1550,3406,1671,13233.0,488.99999999999994,4722.0
0500000US47045,36801,5362,27943,3836,7869,755,10180.0,192.99999999999997,2816.0
0500000US47047,41990,11080,34105,8750,17709,910,13055.0,260.99999999999994,5874.0
0500000US47049,18489,30,14688,16,65,186,6038.0,106.99999999999999,1100.0
0500000US47051,42774,1985,34398,1615,3390,976,11533.311162341042,319.0469639565943,4374.923327819528
0500000US47053,50429,8965,38270,6709,13686,863,13786.0,304.99999999999994,5258.0
0500000US47055,30346,2936,23982,2334,4875,435,7970.0,161.99999999999994,2917.0
0500000US47057,23527,124,18704,102,259,473,6626.0,129.99999999999997,1154.0
0500000US47059,70152,1393,56339,1120,2500,1585,18562.0,480.9999999999999,4216.0
0500000US47061,13529,38,10768,33,103,117,3636.0,79.99999999999997,999.0
0500000US47063,64499,2206,49514,1737,3912,5478,15857.0,442.99999999999994,4075.0
0500000US47065,366207,64428,289447,48376,99518,17174,78733.0,5443.0,55316.0
0500000US47067,6662,35,5278,21,78,33,1843.0,41.999999999999986,322.0
0500000US47069,25462,10194,20791,8045,16236,380,4919.0,83.99999999999996,4185.0
0500000US47071,26831,810,21369,657,1387,378,8012.0,133.99999999999994,1622.0
0500000US47073,56721,683,45408,526,1208,548,16648.0,396.99999999999994,3507.0
0500000US47075,17864,9032,13841,6867,13857,545,3013.0,59.99999999999998,3711.0
0500000US47077,27842,1950,21559,1535,3261,442,8138.0,171.99999999999994,1800.0
0500000US47079,32199,2339,25561,1773,3686,559,9508.0,222.99999999999994,3063.0
0500000US47081,24925,941,19743,849,1764,434,5695.0,160.99999999999997,1824.0
0500000US47083,8283,210,6501,172,391,90,2182.0,87.99999999999999,866.0
0500000US47085,18990,506,14658,351,766,268,4930.0,165.99999999999997,1967.0
0500000US47087,11617,48,9418,33,93,160,3236.0,61.999999999999986,1129.0
0500000US47089,54683,802,43731,649,1459,1428,14776.0,496.99999999999994,3494.0
0500000US47091,17948,730,14811,712,1472,340,5410.0,101.99999999999997,988.0
