GEOID,R20,D20,L20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US48001,15110.0,3955.0,133.99999999999994,57922,54327,34922,11577,357,392,13,7066,3595,3429,509,728,97,14,1926,29,10,0,44,5,0,54,3,3,7,129,29,2,2,19,8,9,51,0,8,1,0,0,0,0,0,0,0,0,0,0,32,4,0,19,2,0,2,0,4,1,0,0,0,0,0,0,2,0,2,0,0,0,0,3,3,57922,11111,46811,45228,33098,11430,193,381,13,113,1583,1506,465,680,83,14,213,28,10,0,5,5,0,0,3,0,0,59,29,0,2,10,8,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,13,3,0,7,2,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,3,3,47381,45123,28789,9888,275,327,10,5834,2258,2174,157,583,46,14,1267,26,6,0,24,5,0,41,2,3,0,67,17,0,0,12,4,6,27,0,0,1,0,0,0,0,0,0,0,0,0,0,17,1,0,13,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47381,8350,39031,38031,27667,9809,157,317,10,71,1000,949,143,549,35,14,165,25,6,0,5,5,0,0,2,0,0,41,17,0,0,10,4,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20131,17371,2760,13906,13755,13344,0,411,0,151,0,0,151
0500000US48003,4943.0,850.0,59.99999999999998,18610,14756,10909,237,220,112,0,3278,3854,3776,97,236,20,1,3374,1,1,0,6,3,0,27,3,4,3,74,10,0,4,13,0,1,38,2,0,0,0,0,2,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,18610,10400,8210,7844,7405,192,96,102,0,49,366,345,71,201,14,1,49,1,1,0,0,0,0,0,3,4,0,21,10,0,4,3,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12948,10450,7768,183,174,81,0,2244,2498,2454,36,170,8,0,2203,1,1,0,6,3,0,23,3,0,0,42,10,0,4,3,0,1,23,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12948,6731,6217,5963,5636,160,71,72,0,24,254,235,31,147,8,0,44,1,1,0,0,0,0,0,3,0,0,19,10,0,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7020,6262,758,67,59,0,0,59,0,8,0,0,8
0500000US48005,25076.0,9143.0,273.99999999999994,86395,78097,54887,13098,563,919,42,8588,8298,8061,737,1197,181,10,5672,56,18,0,93,0,0,75,2,19,1,220,38,2,6,45,0,1,103,2,3,4,5,3,0,0,0,5,0,0,0,3,13,3,0,2,0,0,0,5,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,1,86395,19732,66663,64159,49970,12872,200,891,30,196,2504,2428,690,1091,164,10,369,54,16,0,22,0,0,7,0,4,1,67,37,2,0,16,0,1,3,2,0,1,0,3,0,0,0,0,0,0,0,2,8,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,65058,59728,43155,9544,419,726,40,5844,5330,5191,273,926,87,10,3731,47,5,0,42,0,0,52,2,15,1,130,29,2,0,14,0,0,67,2,3,4,5,3,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,65058,12872,52186,50552,40104,9429,156,709,30,124,1634,1579,272,865,79,10,282,47,3,0,20,0,0,0,0,0,1,48,28,2,0,9,0,0,3,2,0,1,0,3,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,36480,32134,4346,2516,1664,1104,17,543,0,852,101,0,751
0500000US48007,9239.0,2916.0,102.99999999999996,23830,20580,17996,264,245,501,17,1557,3250,3155,74,532,106,5,2382,7,1,5,5,2,0,19,12,5,0,71,7,0,0,4,2,0,43,0,10,2,0,0,1,1,0,1,0,0,0,0,15,1,0,9,0,5,0,0,0,0,0,0,0,0,0,0,7,1,4,0,2,0,0,2,2,23830,6158,17672,16772,15816,241,142,480,15,78,900,877,69,470,94,5,217,0,1,5,1,2,0,0,12,1,0,21,7,0,0,0,2,0,4,0,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,19816,17394,15372,197,189,401,17,1218,2422,2362,25,432,63,3,1793,7,1,0,5,2,0,14,12,5,0,55,7,0,0,4,2,0,34,0,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,2,2,19816,4397,15419,14716,13935,187,119,388,15,72,703,681,25,392,58,3,186,0,1,0,1,2,0,0,12,1,0,20,7,0,0,0,2,0,3,0,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,15500,10236,5264,414,366,197,0,169,0,48,0,0,48
0500000US48009,4300.0,446.0,44.99999999999998,8560,8011,7551,32,108,19,0,301,549,517,51,163,25,0,260,0,4,3,1,2,0,4,2,2,0,21,5,0,0,1,0,0,5,6,1,0,0,0,1,0,1,0,0,0,0,1,9,3,0,0,1,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,8560,742,7818,7496,7356,30,71,18,0,21,322,302,49,156,19,0,69,0,2,0,1,2,0,0,2,2,0,14,5,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6612,6250,5929,27,75,17,0,202,362,341,23,136,11,0,159,0,4,0,1,0,0,4,2,1,0,15,2,0,0,1,0,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,6612,474,6138,5910,5811,25,51,17,0,6,228,216,23,129,11,0,47,0,2,0,1,0,0,0,2,1,0,11,2,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3865,3396,469,68,55,26,0,29,0,13,0,0,13
0500000US48011,1035.0,75.0,1.9999999999999976,1848,1725,1646,13,17,10,0,39,123,112,11,49,7,1,37,0,0,1,4,0,0,1,0,1,0,6,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,1,0,0,0,1848,144,1704,1628,1593,6,17,10,0,2,76,74,10,46,2,1,12,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427,1357,1290,10,17,9,0,31,70,63,1,31,2,1,24,0,0,1,1,0,0,1,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,1,0,0,0,1427,85,1342,1292,1258,6,17,9,0,2,50,48,1,31,2,1,10,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,728,114,44,44,3,0,41,0,0,0,0,0
0500000US48013,12039.0,5876.0,142.99999999999994,48981,36893,28203,425,491,206,18,7550,12088,11884,168,557,101,7,10916,12,6,1,35,0,0,41,14,24,2,193,19,13,5,33,6,0,92,8,9,0,1,5,1,0,0,1,0,0,0,0,9,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,48981,31178,17803,16884,16066,340,116,170,15,177,919,871,117,399,71,7,249,4,6,1,0,0,0,0,14,2,1,42,10,13,5,3,4,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35983,27313,21223,306,406,151,15,5212,8670,8548,87,416,52,7,7888,10,6,1,15,0,0,33,10,22,1,117,6,7,0,16,4,0,67,5,9,0,0,1,1,0,0,1,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,35983,21784,14199,13548,12906,262,108,139,12,121,651,628,64,308,42,7,186,4,6,1,0,0,0,0,10,0,0,23,5,7,0,3,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18777,16485,2292,366,337,0,0,323,14,29,0,0,29
0500000US48015,11447.0,2951.0,122.99999999999996,30167,26193,20164,2440,277,201,8,3103,3974,3905,228,454,69,6,2977,28,4,0,66,1,8,57,0,7,0,63,7,0,0,11,4,0,26,0,9,0,0,0,0,0,1,0,0,0,0,5,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30167,8052,22115,21226,18480,2352,78,201,8,107,889,883,192,379,61,4,209,18,4,0,12,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23157,20508,16141,1813,190,165,8,2191,2649,2602,74,335,30,2,2061,16,4,0,25,1,8,44,0,2,0,41,7,0,0,3,1,0,18,0,6,0,0,0,0,0,1,0,0,0,0,5,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23157,5357,17800,17226,15123,1787,65,165,8,78,574,568,65,295,28,0,154,9,4,0,9,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13779,11618,2161,285,167,40,30,97,0,118,0,0,118
0500000US48017,1434.0,409.0,13.999999999999979,6904,5553,3348,65,86,11,0,2043,1351,1327,4,48,0,1,1254,0,0,0,7,0,0,11,0,0,2,21,6,0,0,6,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6904,4540,2364,2298,2190,49,24,8,0,27,66,59,4,29,0,0,13,0,0,0,5,0,0,8,0,0,0,7,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4838,3994,2499,39,48,9,0,1399,844,837,0,44,0,0,783,0,0,0,0,0,0,8,0,0,2,7,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4838,2946,1892,1848,1782,32,11,8,0,15,44,41,0,29,0,0,4,0,0,0,0,0,0,8,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2746,2359,387,128,128,78,0,50,0,0,0,0,0
0500000US48019,10057.0,2505.0,119.99999999999997,20851,18339,17110,110,157,97,15,850,2512,2397,107,442,73,14,1729,9,0,1,5,0,0,9,8,0,0,103,15,1,8,2,0,0,44,5,18,0,2,0,4,0,0,0,0,0,0,4,12,3,0,1,0,0,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20851,4010,16841,15975,15595,102,101,95,11,71,866,822,96,392,69,14,231,8,0,1,3,0,0,0,8,0,0,40,13,1,8,1,0,0,6,5,6,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17349,15450,14469,96,149,81,5,650,1899,1828,50,359,46,11,1331,9,0,0,5,0,0,9,8,0,0,65,13,0,0,1,0,0,34,5,6,0,2,0,0,0,0,0,0,0,0,4,6,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17349,2948,14401,13716,13395,88,95,79,1,58,685,657,50,329,46,11,202,8,0,0,3,0,0,0,8,0,0,25,13,0,0,1,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11400,8847,2553,206,96,62,3,31,0,110,0,0,110
