GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R20,L20,D20
0500000US48001,57922,11577,47381,9888,20018,8350,15110.0,133.99999999999994,3955.0
0500000US48003,18610,237,12948,183,428,6731,4943.0,59.99999999999998,850.0
0500000US48005,86395,13098,65058,9544,19508,12872,25076.0,273.99999999999994,9143.0
0500000US48007,23830,264,19816,197,445,4397,9239.0,102.99999999999996,2916.0
0500000US48009,8560,32,6612,27,85,474,4300.0,44.99999999999998,446.0
0500000US48011,1848,13,1427,10,23,85,1035.0,1.9999999999999976,75.0
0500000US48013,48981,425,35983,306,763,21784,12039.0,142.99999999999994,5876.0
0500000US48015,30167,2440,23157,1813,3756,5357,11447.0,122.99999999999996,2951.0
0500000US48017,6904,65,4838,39,80,2946,1434.0,13.999999999999979,409.0
0500000US48019,20851,110,17349,96,272,2948,10057.0,119.99999999999997,2505.0
0500000US48021,97216,5759,73027,4465,9427,27108,20516.0,530.9999999999999,15474.0
0500000US48023,3465,57,2636,46,105,275,1494.0,21.999999999999986,183.0
0500000US48025,31047,2395,25022,2214,4512,14920,6006.0,92.99999999999996,3288.0
0500000US48027,370647,85241,272163,60111,127263,61176,67893.0,1979.9999999999998,57014.0
0500000US48029,2009324,161307,1512388,119626,256505,854043,308618.0,8837.0,448448.0
0500000US48031,11374,72,9421,66,163,1514,5443.0,71.99999999999997,1911.0
0500000US48033,631,1,471,0,6,53,397.0,1.9999999999999993,15.999999999999996
0500000US48035,18235,279,14456,216,515,2148,7469.0,82.99999999999994,1561.0
0500000US48037,92893,23251,71537,17203,35153,5263,27116.0,299.9999999999999,10747.0
0500000US48039,372031,55176,275900,40692,83916,77672,90440.78640099111,1860.1649193448368,62238.7545122289
0500000US48041,233849,24341,185935,17732,37534,45137,47530.0,1812.0,35349.0
0500000US48043,9546,198,7846,154,373,2982,2461.0,88.99999999999997,2258.0
0500000US48045,1435,18,1113,13,29,259,639.0,6.999999999999994,78.0
0500000US48047,7076,25,5329,8,35,4593,998.0,9.999999999999988,1470.0
0500000US48049,38095,1462,29878,1084,2345,5525,13698.0,133.99999999999994,2107.0
0500000US48051,17642,1908,13911,1446,2973,2503,6743.0,62.99999999999997,1788.0
0500000US48053,49130,643,38983,492,1141,7372,18767.0,267.99999999999994,5639.0
0500000US48055,45883,2440,34034,1903,3984,17100,8028.686504610227,189.94216261525563,6669.763621123218
0500000US48057,20106,426,15502,341,731,6980,5641.0,60.99999999999997,2148.0
0500000US48059,13708,133,10696,97,245,867,6012.0,70.99999999999997,734.0
0500000US48061,421011,2076,301204,1383,3417,263999,49032.0,727.9999999999998,64063.0
0500000US48063,12464,1898,9345,1427,2922,1998,3626.0,30.99999999999998,1394.0
0500000US48065,5807,20,4401,17,77,382,2779.0,36.99999999999998,297.0
0500000US48067,28454,4541,22227,3452,7047,844,11033.0,78.99999999999994,2795.0
0500000US48069,7371,108,5277,81,176,3215,1602.0,8.99999999999998,466.0
0500000US48071,46571,3227,33464,2439,5119,6781,17353.0,249.99999999999997,3997.0
0500000US48073,50412,6426,37887,4947,10104,7472,15101.0,160.99999999999994,4210.0
0500000US48075,6664,582,5318,532,1100,1461,1943.0,17.99999999999998,310.0
0500000US48077,10218,39,8144,30,97,394,5069.0,45.99999999999998,614.0
0500000US48079,2547,71,1817,57,119,1019,809.0,10.999999999999991,177.0
0500000US48081,3285,7,2634,7,19,471,1586.0,9.999999999999986,178.0
0500000US48083,7684,151,6165,113,244,815,3641.0,22.99999999999996,451.0
0500000US48085,1064465,110284,786838,78760,165138,112750,252284.85772446735,6074.364349666065,230917.8017805432
0500000US48087,2652,121,1988,91,189,520,1048.0,11.999999999999986,155.0
0500000US48089,20557,2335,16093,1756,3581,4026,7472.0,49.99999999999996,2420.0
0500000US48091,161501,3880,126535,3047,6841,30300,62740.0,1106.0,24826.0
0500000US48093,13594,48,10566,26,92,2506,5177.0,48.999999999999964,853.0
0500000US48095,3303,82,2851,75,163,815,1058.0,9.999999999999993,197.0
0500000US48097,41668,1233,31523,881,1922,5132,15596.0,155.99999999999994,3210.0
0500000US48099,83093,12356,62606,9319,19946,11259,15438.0,409.99999999999994,7565.0
0500000US48101,1380,96,1097,69,158,226,540.0,5.999999999999992,112.99999999999999
0500000US48103,4675,77,3351,61,131,2087,1247.0,9.999999999999991,241.0
