GEOID,R20,D20,L20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US49001,2695.0,357.0,22.999999999999982,7072,6683,5904,23,104,32,22,598,389,350,6,70,8,12,234,0,6,3,3,0,0,3,2,3,0,26,0,3,3,6,0,0,5,4,0,3,0,2,0,0,0,0,0,0,0,0,11,1,0,0,2,0,1,1,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,2,2,7072,1066,6006,5871,5717,23,70,32,21,8,135,116,6,63,8,12,16,0,6,3,0,0,0,0,2,0,0,10,0,3,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,2,2,4910,4699,4133,23,83,26,5,429,211,195,2,36,8,7,132,0,3,3,0,0,0,3,0,1,0,8,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4910,689,4221,4139,4025,23,53,26,4,8,82,70,2,36,8,7,11,0,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2863,2276,587,367,367,344,0,23,0,0,0,0,0
0500000US49003,21548.0,4473.0,614.0,57666,54267,50784,178,516,455,103,2231,3399,3211,160,692,369,72,1841,13,5,2,10,3,0,19,10,14,1,170,26,13,0,9,11,8,54,38,4,0,0,0,0,0,5,0,0,1,0,1,15,5,1,2,2,0,0,5,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,57666,5537,52129,50543,49361,161,383,438,98,102,1586,1496,151,610,341,59,301,9,3,2,1,2,0,0,10,7,0,74,22,10,0,0,6,0,0,32,4,0,0,0,0,0,0,0,0,0,0,0,13,5,1,2,0,0,0,5,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,39411,37522,35156,92,360,375,59,1480,1889,1789,60,414,156,34,1076,4,5,2,7,3,0,19,9,0,0,87,14,1,0,0,10,0,34,22,0,0,0,0,0,0,5,0,0,0,0,1,10,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,39411,3280,36131,35265,34429,82,266,360,54,74,866,815,57,375,148,27,189,2,3,2,1,2,0,0,9,0,0,38,13,1,0,0,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,19517,18678,839,358,321,88,94,117,22,37,0,0,37
0500000US49005,38032.0,16646.0,1796.0,133154,125033,112842,1115,1108,2353,705,6910,8121,7694,543,1094,951,285,4578,10,17,6,67,6,1,102,31,2,1,394,37,15,8,33,23,9,138,104,10,2,4,0,3,7,1,0,0,0,0,0,20,0,0,16,0,2,0,1,0,0,1,0,0,0,0,0,13,4,5,1,0,3,0,0,0,133154,15076,118078,114426,109376,1045,620,2303,660,422,3652,3447,494,951,906,276,742,0,17,6,17,6,0,6,26,0,0,200,31,15,8,3,21,8,2,102,2,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,94161,89473,81169,710,789,1844,451,4510,4688,4472,255,692,525,121,2715,4,3,2,45,6,0,84,18,2,0,202,23,2,4,12,16,9,76,46,7,0,2,0,3,1,1,0,0,0,0,0,11,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,94161,9231,84930,82847,79185,674,457,1823,429,279,2083,1984,230,608,505,121,476,0,3,2,11,6,0,6,16,0,0,98,20,2,4,0,14,8,2,45,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43774,41658,2116,4145,528,201,69,256,2,3617,3420,0,197
0500000US49007,6693.0,2392.0,150.99999999999997,20412,18760,17643,61,270,65,29,692,1652,1566,62,312,98,17,1032,5,4,2,1,0,5,17,5,1,5,76,9,0,0,3,3,3,45,0,9,0,0,2,0,2,0,0,0,0,0,0,9,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20412,2677,17735,17044,16645,50,199,63,29,58,691,660,61,248,93,5,237,5,2,0,0,0,2,2,4,1,0,26,9,0,0,1,0,3,8,0,3,0,0,0,0,2,0,0,0,0,0,0,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15185,14143,13292,54,202,52,17,526,1042,986,31,207,47,5,669,2,0,0,0,0,5,10,4,1,5,56,7,0,0,2,2,3,33,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15185,1759,13426,12997,12688,50,147,50,17,45,429,408,30,170,46,5,148,2,0,0,0,0,2,0,4,1,0,21,7,0,0,0,0,3,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9579,7950,1629,314,139,58,3,78,0,175,88,0,87
0500000US49009,496.0,111.0,6.999999999999998,935,894,884,4,0,2,2,2,41,34,2,15,1,1,9,0,0,0,0,0,0,1,1,3,1,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,935,29,906,887,881,1,0,1,2,2,19,15,2,10,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,716,690,682,4,0,2,2,0,26,22,2,12,1,0,6,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,18,698,686,682,1,0,1,2,0,12,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,392,746,0,0,0,0,0,0,0,0,0,0
0500000US49011,104075.0,57381.0,5004.0,362679,334695,302352,4376,2503,7143,3345,14976,27984,25996,2164,3335,4532,1265,13486,93,125,75,243,23,26,225,252,125,27,1789,218,121,38,119,95,22,444,543,111,38,11,0,8,1,5,0,4,1,0,10,188,13,7,82,16,1,0,44,6,2,9,5,2,0,0,1,11,1,4,1,0,5,0,0,0,362679,39295,323384,309285,292458,4008,1464,6907,3204,1244,14099,13077,1941,2748,4250,1178,2283,70,125,72,96,13,26,11,216,40,8,926,151,100,35,23,72,17,6,495,14,0,7,0,1,0,1,0,4,0,0,0,92,13,5,11,16,0,0,40,0,1,3,0,2,0,0,1,4,1,0,0,0,3,0,0,0,246384,230905,208006,2897,1798,5744,2139,10321,15479,14592,881,2126,2033,531,8264,59,68,26,153,19,14,163,179,72,4,792,106,43,8,45,37,5,263,214,41,14,9,0,2,1,1,0,0,1,0,2,89,2,5,50,0,0,0,20,0,2,3,5,2,0,0,0,6,1,4,1,0,0,0,0,0,246384,24151,222233,214779,202482,2724,1073,5601,2066,833,7454,7025,813,1847,1947,508,1479,45,68,23,67,9,14,11,162,32,0,385,83,35,5,15,28,5,1,203,4,0,5,0,0,0,1,0,0,0,0,0,43,2,5,10,0,0,0,20,0,1,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0,115217,111552,3665,2309,1646,324,241,1048,33,663,0,412,251
0500000US49013,7510.0,842.0,106.99999999999997,19596,18716,17076,21,940,63,39,577,880,834,32,353,51,12,320,3,4,0,5,2,2,29,7,8,6,40,4,0,0,3,5,1,11,0,0,0,2,0,3,0,2,1,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,0,0,0,0,0,19596,1285,18311,17778,16736,21,875,60,39,47,533,500,31,319,48,12,61,3,4,0,0,1,2,4,7,8,0,28,4,0,0,2,5,1,0,0,0,0,2,0,3,0,2,1,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,0,0,0,0,0,13268,12782,11706,6,626,45,29,370,486,466,9,195,21,12,189,3,1,0,5,1,0,18,2,4,6,19,4,0,0,2,3,0,7,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13268,755,12513,12219,11518,6,589,42,29,35,294,283,9,180,21,12,46,3,1,0,0,1,0,4,2,4,0,11,4,0,0,1,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8725,6511,2214,195,166,91,0,75,0,29,0,0,29
0500000US49015,4207.0,572.0,46.99999999999998,9825,9327,9003,4,63,40,7,210,498,467,6,97,19,0,339,0,2,0,1,0,0,3,0,0,0,20,1,3,0,1,4,0,1,6,0,1,0,0,0,0,0,0,3,0,0,0,11,2,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9825,705,9120,8927,8811,2,55,36,7,16,193,174,4,89,19,0,57,0,2,0,0,0,0,3,0,0,0,17,1,3,0,0,4,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6956,6678,6458,2,50,23,7,138,278,261,3,68,3,0,182,0,2,0,0,0,0,3,0,0,0,13,0,3,0,0,0,0,1,5,0,1,0,0,0,0,0,0,3,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6956,380,6576,6444,6348,2,48,23,7,16,132,119,3,63,3,0,45,0,2,0,0,0,0,3,0,0,0,11,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4069,3535,534,56,39,0,15,24,0,17,0,0,17
0500000US49017,2158.0,514.0,36.999999999999986,5083,4860,4541,11,107,37,7,157,223,196,10,40,13,8,111,0,0,2,1,5,0,0,6,0,0,16,9,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5083,384,4699,4581,4446,5,90,30,7,3,118,102,10,35,13,6,25,0,0,2,0,5,0,0,6,0,0,14,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3881,3730,3463,9,79,34,3,142,151,132,7,23,5,0,85,0,0,2,1,5,0,0,4,0,0,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3881,316,3565,3491,3391,5,62,30,3,0,74,65,7,22,5,0,20,0,0,2,0,5,0,0,4,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3501,1881,1620,248,103,60,25,18,0,145,0,0,145
0500000US49019,2248.0,2805.0,61.99999999999999,9669,8827,7817,73,373,80,13,471,842,789,38,153,80,3,483,6,2,3,0,0,0,10,4,6,1,48,10,0,0,6,9,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,9669,1226,8443,8029,7481,65,330,80,11,62,414,394,31,150,75,3,126,2,2,0,0,0,0,3,0,1,1,19,8,0,0,1,6,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7622,7079,6344,55,240,77,11,352,543,501,17,100,38,3,324,6,2,0,0,0,0,6,4,0,1,39,7,0,0,6,7,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7622,793,6829,6546,6141,47,220,77,11,50,283,267,17,100,38,3,101,2,2,0,0,0,0,3,0,0,1,16,5,0,0,1,6,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5192,4006,1186,178,72,34,0,38,0,106,31,0,75
