GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R20,L20,D20
0500000US49001,7072,23,4910,23,55,689,2695.0,22.999999999999982,357.0
0500000US49003,57666,178,39411,92,282,3280,21548.0,614.0,4473.0
0500000US49005,133154,1115,94161,710,1777,9231,38032.0,1796.0,16646.0
0500000US49007,20412,61,15185,54,150,1759,6693.0,150.99999999999997,2392.0
0500000US49009,935,4,716,4,10,18,496.0,6.999999999999998,111.0
0500000US49011,362679,4376,246384,2897,7196,24151,104075.0,5004.0,57381.0
0500000US49013,19596,21,13268,6,39,755,7510.0,106.99999999999997,842.0
0500000US49015,9825,4,6956,2,12,380,4207.0,46.99999999999998,572.0
0500000US49017,5083,11,3881,9,35,316,2158.0,36.999999999999986,514.0
0500000US49019,9669,73,7622,55,149,793,2248.0,61.99999999999999,2805.0
0500000US49021,57289,408,41030,300,767,3495,18989.0,666.0,4892.0
0500000US49023,11786,18,7756,15,33,319,5087.0,90.99999999999999,645.0
0500000US49025,7667,31,5915,25,58,227,2998.0,50.999999999999986,1083.0
0500000US49027,12975,15,8935,10,46,1120,5404.0,63.99999999999997,624.0
0500000US49029,12295,12,7996,2,19,211,5181.0,160.0,1086.0
0500000US49031,1438,0,1092,0,5,80,773.0,6.999999999999995,86.0
0500000US49033,2510,11,1743,8,28,68,1157.0,13.999999999999993,180.0
0500000US49035,1185238,23474,874895,15609,36740,153486,230197.89928909953,12220.035545023697,289925.41113744077
0500000US49037,14518,36,10342,25,94,478,3520.0,98.99999999999997,3110.0
0500000US49039,28437,224,20434,179,396,1912,10459.0,214.99999999999997,1794.0
0500000US49041,21522,65,15073,28,79,617,9052.0,132.99999999999997,1084.0
0500000US49043,42357,173,32006,125,342,3090,10252.0,367.0,15244.0
0500000US49045,72698,465,48739,304,823,5765,20989.0,957.0,8937.0
0500000US49047,35620,98,23846,65,201,1697,13261.0,225.99999999999997,1663.0
0500000US49049,659399,4403,443266,2873,7972,55510,192787.10071090047,10375.964454976303,76011.58886255925
0500000US49051,34806,157,24227,95,275,3106,10794.0,352.0,6181.0
0500000US49053,180279,988,132737,711,1924,12931,67294.0,1742.0,20530.0
0500000US49055,2486,1,1950,1,20,62,1229.0,8.99999999999999,365.0
0500000US49057,262223,3613,189592,2692,6685,31065,65944.0,2849.0,40693.0
