GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US51001,33413,8670,26872,6707,13657,2060,8583.0,263.99999999999994,6740.0
0500000US51003,112395,9953,89545,7864,16697,5602,19259.0,2105.0,33345.0
0500000US51005,15223,681,12380,550,1169,123,4874.0,163.99999999999997,2166.0
0500000US51007,13265,2555,10588,2171,4441,258,4708.0,129.0,2128.0
0500000US51009,31307,5400,24919,4420,9201,538,9719.0,317.0,5057.0
0500000US51011,16119,2894,12545,2224,4565,181,5715.0,135.99999999999997,2023.0
0500000US51013,238643,20875,196563,17159,36939,27920,20186.0,3827.0,92016.0
0500000US51015,77487,3116,62017,2681,5693,1752,26163.0,1099.0,8177.0
0500000US51017,4209,116,3512,103,244,55,1548.0,55.99999999999999,603.0
0500000US51019,79462,4925,63582,3938,8274,1292,30659.0,1074.0,9768.0
0500000US51021,6270,169,5328,168,363,40,2573.0,60.999999999999986,453.0
0500000US51023,33596,918,26924,768,1641,460,13375.0,497.0,4494.0
0500000US51025,15849,8607,13337,7252,14625,264,3046.0,71.99999999999997,4481.0
0500000US51027,20355,618,16787,491,1020,125,7296.0,121.99999999999997,1721.0
0500000US51029,16824,5435,13623,4555,9251,304,3950.0,101.99999999999999,3128.0
0500000US51031,55696,7832,44155,6264,12968,1156,19551.0,665.0,6664.0
0500000US51033,30887,7721,23869,6210,12890,1320,7147.0,368.0,6432.0
0500000US51035,29155,169,23710,122,319,607,10663.0,219.99999999999997,2559.0
0500000US51036,6773,2836,5779,2461,5024,79,1476.0,67.0,2496.0
0500000US51037,11529,3140,9129,2543,5167,171,3479.0,110.99999999999999,2155.0
0500000US51041,364548,83107,276953,63041,130377,25811,85045.0,6247.0,81074.0
0500000US51043,14783,578,11893,478,1033,578,4661.0,261.0,3051.0
0500000US51045,4892,13,3973,5,18,31,2140.0,53.99999999999999,541.0
0500000US51047,52552,6567,39903,5121,10768,4666,13349.0,584.0,7759.0
0500000US51049,9675,2831,7701,2314,4719,148,2697.0,94.99999999999999,2036.0
0500000US51051,14124,49,11373,35,88,54,4932.0,80.99999999999999,1335.0
0500000US51053,27947,8177,21990,6583,13408,683,7447.0,195.99999999999997,5765.0
0500000US51057,10599,3775,8598,2956,6048,235,2657.0,112.99999999999999,2542.0
0500000US51059,1150309,110889,882106,83857,177983,139127,157710.0,15664.0,355133.0
0500000US51061,72972,5091,56104,4080,8771,4949,22127.0,1191.0,12971.0
0500000US51063,15476,244,12408,205,471,335,5293.0,184.99999999999997,2300.0
0500000US51065,27249,3730,21838,3050,6371,742,7025.0,425.0,5760.0
0500000US51067,54477,3921,44197,3208,6757,1216,18569.0,602.0,7257.0
0500000US51069,91419,3718,70428,2871,6318,6213,26083.0,1280.0,11932.0
0500000US51071,16787,244,13425,182,426,177,5910.0,200.99999999999997,1950.0
0500000US51073,38711,2753,31072,2348,4973,897,13096.0,693.0,5404.0
0500000US51075,24727,3267,20405,2823,5782,577,8442.839746852902,475.7258946618751,4912.680225570927
0500000US51077,15333,904,12874,847,1751,401,5592.0,109.99999999999997,1407.0
0500000US51079,20552,1447,15892,1126,2425,823,5945.0,406.0,2924.0
0500000US51081,11391,6657,9691,5600,11270,224,1737.0,49.999999999999986,2558.0
0500000US51083,34022,11791,27225,9485,19239,484,9704.0,236.99999999999994,6897.0
0500000US51085,109979,9808,85823,7762,16152,2482,39630.0,2310.0,19382.0
0500000US51087,334389,97568,258936,74450,152718,14583,59857.0,5657.0,93935.0
0500000US51089,50948,11160,41087,9027,18475,1971,15208.0,377.99999999999994,8198.0
0500000US51091,2232,2,1903,2,9,19,958.0,32.99999999999999,371.0
0500000US51093,38606,8660,30382,6891,14103,755,12204.0,589.0,7881.0
0500000US51095,78254,10028,62868,7784,16283,3276,21306.0,1395.0,19105.0
0500000US51097,6608,1571,5456,1300,2662,128,2099.0,75.0,1468.0
0500000US51099,26723,3983,19948,3110,6538,970,7341.0,367.0,4007.0
0500000US51101,17810,2601,13744,2159,4450,289,5975.0,261.0,2760.0
0500000US51103,10919,2951,9388,2287,4617,89,3523.0,141.0,2869.0
0500000US51105,22173,885,17900,861,1746,398,7543.0,105.99999999999997,1627.0
0500000US51107,420959,30568,302792,22410,48282,39862,69949.0,5674.0,100795.0
0500000US51109,37596,5408,29861,4446,9260,851,10469.1602531471,503.27410533812485,6188.319774429073
0500000US51111,11936,3805,9579,3145,6386,314,3204.0,87.99999999999997,2227.0
0500000US51113,13837,1065,10922,900,1920,287,4419.0,184.0,2203.0
0500000US51115,8533,660,7212,578,1206,123,3517.0,147.0,1563.0
0500000US51117,30319,10435,24728,8296,16860,546,8288.0,238.99999999999994,6285.0
0500000US51119,10625,1523,9035,1311,2690,169,3670.0,140.0,2108.0
0500000US51121,99717,4165,83606,3462,7644,3587,19459.0,2026.0,20021.0
0500000US51125,14775,1538,12287,1284,2663,425,4154.0,244.0,3689.0
0500000US51127,22945,2739,18177,2315,4796,482,8118.0,348.0,3546.0
0500000US51131,12282,3785,10057,3047,6184,675,2686.0,115.99999999999999,3255.0
0500000US51133,11839,2690,10114,2090,4262,221,4302.0,136.0,2852.0
0500000US51135,15642,5813,12721,4794,9737,519,3712.0,115.99999999999997,2829.0
0500000US51137,36254,4364,28591,3443,7264,1343,10521.0,399.0,5957.0
0500000US51139,23709,439,18981,367,811,318,7831.0,197.99999999999997,2514.0
0500000US51141,17608,840,14532,694,1465,348,6454.0,146.99999999999997,1768.0
0500000US51143,60501,12417,48776,10222,20780,1063,21554.0,441.99999999999994,9199.0
0500000US51145,30333,2505,23936,2231,4623,504,11885.0,639.0,4060.0
0500000US51147,21849,9269,18384,7924,16143,918,4101.0,286.0,4591.0
0500000US51149,43010,12968,34541,10529,21594,3153,9153.68761220826,373.8168761220826,6417.254937163375
0500000US51153,482204,97457,353402,71774,150595,81467,71721.0,5374.0,113144.0
0500000US51155,33800,1658,27769,1384,2993,460,10322.0,351.0,4172.0
0500000US51157,7348,200,6139,178,383,215,2539.0,92.99999999999999,1747.0
0500000US51159,8923,2439,7348,2060,4184,415,2213.0,56.99999999999999,1347.0
0500000US51161,96929,5764,77144,4437,9492,2166,31408.0,1620.0,17200.0
0500000US51163,22650,575,18521,445,978,316,6680.0,271.0,3508.0
0500000US51165,83757,1886,65371,1532,3513,4532,25990.0,1088.0,9366.0
0500000US51167,25781,229,20830,194,433,112,9521.0,189.99999999999997,2330.0
0500000US51169,21576,134,17656,109,257,155,8247.0,141.99999999999997,1581.0
0500000US51171,44186,1087,34862,821,1827,2327,14094.0,556.0,5273.0
0500000US51173,29800,430,23953,348,784,353,9750.0,257.99999999999994,2665.0
0500000US51175,17996,5924,14513,4886,9924,201,5035.0,155.99999999999997,3595.0
0500000US51177,140032,22933,105356,17286,36584,10546,34623.0,1910.0,24207.0
0500000US51179,156927,30400,115060,22079,46646,14941,33868.0,2140.0,27908.0
