GEOID,R20,D20,L20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US51001,9172.0,7578.0,187.99999999999994,33413,31655,20261,8670,297,255,4,2168,1758,1658,328,419,89,12,628,40,18,0,90,0,1,25,2,1,5,85,25,11,1,18,0,4,16,3,0,1,0,3,0,0,3,0,0,0,0,0,9,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,6,0,5,1,0,0,0,0,0,33413,3430,29983,28878,19825,8639,65,249,1,99,1105,1056,313,404,83,10,129,40,18,0,54,0,0,0,2,0,3,45,23,0,1,8,0,4,0,3,0,0,0,3,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,26872,25743,17339,6707,198,195,1,1303,1129,1072,125,324,45,7,460,33,13,0,40,0,1,18,2,1,3,48,11,7,0,8,0,4,10,2,0,0,0,3,0,0,3,0,0,0,0,0,8,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,26872,2060,24812,24102,17092,6693,61,192,1,63,710,683,124,324,44,7,106,33,13,0,27,0,0,0,2,0,3,26,9,0,0,5,0,4,0,2,0,0,0,3,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21703,14302,7401,416,277,122,0,155,0,139,45,19,75
0500000US51003,20804.0,42466.0,1014.0,112395,104478,81866,9953,286,8222,50,4101,7917,7390,1305,955,1318,30,3341,96,42,10,112,10,4,57,41,65,4,480,136,46,9,89,40,6,81,16,28,0,7,0,2,10,3,2,0,2,0,3,40,2,0,26,2,1,0,9,0,0,0,0,0,0,0,0,7,3,3,1,0,0,0,0,0,112395,8453,103942,99058,80335,9793,96,8186,44,604,4884,4569,1232,896,1282,30,820,94,42,10,67,6,0,3,41,46,0,295,121,45,9,34,37,6,2,16,12,0,7,0,0,3,3,0,0,0,0,0,17,2,0,5,0,1,0,9,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,89545,84681,66741,7864,221,7000,31,2824,4864,4586,603,695,697,21,2238,89,24,7,80,10,4,42,24,52,0,253,87,21,1,44,12,3,48,9,12,0,6,0,0,3,3,1,0,0,0,3,21,0,0,18,2,1,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,89545,5602,83943,81037,65774,7775,83,6975,31,399,2906,2747,578,663,681,21,569,88,24,7,53,6,0,0,24,33,0,152,72,21,1,19,9,3,0,9,6,0,6,0,0,3,3,0,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,47291,43468,3823,7481,1546,319,18,1201,8,5935,5709,0,226
0500000US51005,5859.0,2243.0,88.99999999999999,15223,14647,13813,681,27,61,7,58,576,535,146,235,15,2,96,8,3,1,17,3,0,0,0,4,5,36,3,4,4,7,3,2,6,0,4,0,0,0,1,1,0,0,0,0,0,1,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15223,178,15045,14542,13754,676,22,59,7,24,503,473,145,231,15,2,56,8,3,1,7,1,0,0,0,4,0,25,3,4,4,7,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12380,12037,11381,550,17,43,2,44,343,325,43,171,4,2,82,8,0,1,9,0,0,0,0,0,5,18,0,0,0,6,0,2,4,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12380,123,12257,11969,11347,548,17,41,2,14,288,278,42,167,4,2,47,8,0,1,7,0,0,0,0,0,0,10,0,0,0,6,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7934,6699,1235,296,263,0,43,220,0,33,7,0,26
0500000US51007,5390.0,2411.0,79.99999999999999,13265,12633,9780,2555,39,65,0,194,632,583,156,194,29,0,174,14,10,0,6,0,0,0,0,0,0,43,21,7,0,0,2,0,4,0,0,0,0,0,0,3,5,0,0,0,1,0,6,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13265,425,12840,12364,9687,2546,18,63,0,50,476,444,144,185,29,0,61,14,10,0,1,0,0,0,0,0,0,29,17,1,0,0,2,0,0,0,0,0,0,0,0,3,5,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10588,10213,7810,2171,32,59,0,141,375,343,50,148,10,0,111,14,4,0,6,0,0,0,0,0,0,28,10,7,0,0,2,0,0,0,0,0,0,0,0,3,5,0,0,0,1,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10588,258,10330,10036,7754,2167,18,59,0,38,294,269,46,148,10,0,46,14,4,0,1,0,0,0,0,0,0,22,10,1,0,0,2,0,0,0,0,0,0,0,0,3,5,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5704,5206,498,103,83,0,0,83,0,20,0,0,20
0500000US51009,11041.0,5672.0,250.99999999999997,31307,29477,23190,5400,251,182,27,427,1830,1728,650,563,73,7,307,91,6,0,16,2,5,4,0,3,1,94,61,1,0,14,1,0,11,0,4,0,0,2,0,0,0,0,0,0,0,0,8,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31307,838,30469,28908,22967,5346,243,182,25,145,1561,1491,639,546,64,7,127,86,5,0,10,2,1,0,0,3,1,66,61,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24919,23882,18815,4420,192,136,16,303,1037,979,218,402,32,6,219,78,5,0,9,2,1,4,0,2,1,53,40,1,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24919,538,24381,23492,18671,4386,185,136,16,98,889,840,216,395,29,6,102,73,5,0,8,2,1,0,0,2,1,45,40,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14232,12746,1486,714,111,0,0,111,0,603,443,0,160
0500000US51011,6702.0,2418.0,118.99999999999999,16119,15429,12258,2894,51,46,7,173,690,618,225,164,31,0,167,19,1,0,7,0,0,0,1,3,0,65,36,0,0,5,0,0,6,5,9,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,1,0,0,0,0,0,16119,344,15775,15211,12155,2877,50,42,3,84,564,512,223,164,24,0,77,15,1,0,5,0,0,0,0,3,0,46,36,0,0,1,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,12545,12165,9764,2224,35,34,0,108,380,346,73,131,19,0,106,12,1,0,4,0,0,0,0,0,0,27,23,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,1,0,0,0,0,0,12545,181,12364,12050,9710,2219,34,34,0,53,314,285,73,131,12,0,54,12,1,0,2,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,7301,6470,831,95,56,0,0,56,0,39,0,0,39
0500000US51013,22318.0,105344.0,1836.0,238643,212765,145293,20875,1565,27443,141,17448,25878,24223,2138,1254,5580,120,13412,221,312,16,512,50,1,322,98,171,16,1485,227,123,0,278,75,5,411,103,204,9,9,3,17,12,9,0,0,0,0,0,164,21,0,113,3,5,0,3,14,0,5,0,0,0,0,0,6,4,2,0,0,0,0,0,0,238643,37362,201281,189085,139653,20330,258,27235,118,1491,12196,11557,2005,988,5384,112,2139,186,294,14,215,41,0,11,93,75,0,607,176,123,0,63,67,5,10,100,28,0,8,3,3,12,9,0,0,0,0,0,32,16,0,9,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196563,178538,123471,17159,1171,23715,127,12895,18025,16927,1364,1018,2967,91,10176,184,194,15,423,34,0,257,87,102,15,955,179,42,0,194,45,5,322,58,82,2,5,3,15,1,2,0,0,0,0,0,142,19,0,98,0,4,0,2,14,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,196563,27920,168643,160899,119195,16763,205,23550,106,1080,7744,7337,1282,819,2857,89,1565,167,183,14,190,25,0,8,84,54,0,378,141,42,0,58,40,5,9,55,17,0,4,3,1,1,2,0,0,0,0,0,29,14,0,9,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119085,109912,9173,2986,1090,247,12,831,0,1896,678,597,621
0500000US51015,30714.0,10840.0,608.0,77487,74044,69142,3116,185,467,31,1103,3443,3262,708,1128,220,15,1070,31,9,2,36,0,0,25,11,5,2,164,59,2,2,21,9,0,33,11,10,1,2,0,0,10,4,0,0,0,0,0,17,4,0,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77487,2728,74759,72263,68375,3072,130,461,27,198,2496,2379,667,1105,216,9,310,27,8,2,15,0,0,3,11,4,2,112,59,2,2,9,3,0,7,7,8,1,0,0,0,10,4,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62017,59916,55951,2681,152,361,23,748,2101,2002,235,846,96,11,735,23,9,0,13,0,0,25,3,4,2,95,34,0,2,5,6,0,19,11,7,1,0,0,0,8,2,0,0,0,0,0,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62017,1752,60265,58748,55474,2648,113,355,23,135,1517,1449,226,833,96,7,244,23,8,0,0,0,0,3,3,4,2,65,34,0,2,2,0,0,3,7,6,1,0,0,0,8,2,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32590,30233,2357,3004,2856,2371,35,207,243,148,0,0,148
0500000US51017,1834.0,646.0,15.999999999999991,4209,4015,3855,116,6,17,2,19,194,177,43,73,8,0,33,5,0,0,8,1,0,3,3,0,0,16,1,6,0,2,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4209,73,4136,3980,3841,114,3,17,1,4,156,145,38,71,8,0,21,4,0,0,0,0,0,0,3,0,0,10,0,6,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3512,3386,3249,103,4,16,1,13,126,121,23,49,6,0,28,5,0,0,6,1,0,3,0,0,0,5,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3512,55,3457,3357,3235,101,2,16,1,2,100,96,21,49,6,0,16,4,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3239,1891,1348,63,40,0,0,40,0,23,0,0,23
0500000US51019,35600.0,12176.0,708.0,79462,75671,68743,4925,211,970,37,785,3791,3547,792,1161,305,9,1136,54,20,1,38,7,0,17,1,1,5,227,82,15,6,31,15,3,36,17,13,0,6,0,2,0,0,0,0,0,1,0,17,4,0,8,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79462,2055,77407,74488,68128,4864,167,967,33,329,2919,2750,768,1134,302,9,444,39,14,1,27,4,0,7,1,0,0,158,74,15,6,17,15,3,3,17,2,0,6,0,0,0,0,0,0,0,0,0,11,3,0,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63582,61295,55890,3938,158,726,22,561,2287,2164,259,878,155,4,768,42,12,1,19,7,0,17,1,1,0,115,45,2,0,13,13,0,24,8,4,0,3,0,2,0,0,0,0,0,1,0,8,1,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63582,1292,62290,60539,55523,3902,138,723,18,235,1751,1665,253,856,152,4,325,37,7,1,18,4,0,7,1,0,0,82,41,2,0,10,13,0,3,8,2,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37249,32486,4763,528,462,81,0,377,4,66,0,0,66
