GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US53001,20613,41,13630,29,95,7875,3083.0,182.99999999999997,1299.0
0500000US53003,22270,116,17717,81,239,543,5741.0,624.0,3134.0
0500000US53005,206823,2891,152597,1986,4938,30192,47194.0,4819.0,26360.0
0500000US53007,79002,296,61347,201,601,14296,18004.0,1499.0,12968.0
0500000US53009,77142,615,64576,515,1388,3156,18794.0,1838.0,17677.0
0500000US53011,503342,11395,385883,8491,20683,37089,92412.0,10069.0,92744.0
0500000US53013,3952,11,3277,7,35,210,1497.0,109.0,526.0
0500000US53015,110730,820,85596,605,1688,6484,24185.0,2343.0,17908.0
0500000US53017,42938,150,32199,112,310,9290,9603.0,714.0,4918.0
0500000US53019,7178,28,5831,28,92,154,2202.0,191.0,1098.0
0500000US53021,96749,1790,66302,1416,3235,32496,13201.0,1148.0,8886.0
0500000US53023,2286,9,1799,5,22,65,851.0,88.0,279.0
0500000US53025,99123,782,70900,584,1519,26419,18518.0,1387.0,7810.0
0500000US53027,75639,1026,60535,857,2047,4746,14067.0,1443.0,12020.0
0500000US53029,86682,2397,71020,1881,4491,4705,18465.0,2319.0,20960.0
0500000US53031,32976,207,28951,177,495,951,6037.0,746.0,12656.0
0500000US53033,2267888,151412,1811926,112204,248425,169775,216338.8548730646,40861.076323895046,718321.3534827521
0500000US53035,275104,7818,219103,6227,15154,16157,49018.0,8596.0,63156.0
0500000US53037,44337,402,36115,350,945,3146,10098.577017114914,907.7652811735941,7487.738386308069
0500000US53039,22735,64,18296,60,178,2033,5789.0,463.0,4194.0
0500000US53041,82149,564,64000,421,1162,5255,21992.0,1664.0,9654.0
0500000US53043,10876,21,8582,15,70,230,4108.0,251.99999999999997,1244.0
0500000US53045,65510,713,53066,620,1568,4660,13677.0,1560.0,11993.0
0500000US53047,42111,168,32983,133,385,5409,9610.0,713.0,6298.0
0500000US53049,23281,101,19287,63,213,1335,5360.0,436.0,4620.0
0500000US53051,13399,57,10877,45,126,271,4373.0,323.0,1934.0
0500000US53053,919381,65992,707967,50466,115820,71857,146825.56810982048,19909.15839493136,172538.90813093982
0500000US53055,17702,54,15189,51,179,866,2688.0,402.0,7172.0
0500000US53057,129446,887,101659,658,1770,14802,24736.0,3090.0,26690.0
0500000US53059,12031,74,9794,49,141,501,2928.0,285.0,2232.0
0500000US53061,827868,29290,639736,21252,49101,62123,128248.0,19346.0,185224.0
0500000US53063,539339,10979,421551,8135,20250,23384,113435.0,13227.0,93767.0
0500000US53065,46445,149,36608,112,331,1060,15161.0,1134.0,5767.0
0500000US53067,294593,9399,230928,7128,17267,18624,48622.0,7306.0,68794.0
0500000US53069,4417,22,3652,13,44,121,1344.0,111.0,832.0
0500000US53071,62584,1056,49597,940,2192,9364,13651.0,1435.0,9694.0
0500000US53073,226624,2344,182306,1826,5176,15237,40599.0,4837.0,60340.0
0500000US53075,47967,1203,40515,996,2442,3347,7403.0,1227.0,8146.0
0500000US53077,256728,2119,184371,1551,3990,82166,41735.0,3261.0,31291.0
