GEOID,R20,D20,L20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US53001,3907.0,1814.0,81.99999999999997,20613,17078,9164,41,439,135,13,7286,3535,3399,36,202,62,8,2999,3,3,0,18,2,5,52,8,0,1,118,0,3,1,17,4,1,56,17,10,0,0,0,0,1,1,0,6,1,0,0,10,0,0,2,0,0,0,3,2,2,0,0,0,0,0,1,8,0,1,0,0,7,0,0,0,20613,13120,7493,7135,6829,24,63,129,3,87,358,316,29,139,49,5,86,1,0,0,0,2,0,0,5,0,0,30,0,3,1,0,4,0,1,12,0,0,0,0,0,1,1,0,6,1,0,0,5,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,13630,11457,6621,29,286,115,10,4396,2173,2093,11,144,23,3,1856,0,3,0,6,0,5,40,2,0,0,66,0,3,1,12,4,0,23,12,3,0,0,0,0,1,0,0,6,1,0,0,6,0,0,2,0,0,0,0,1,2,0,0,0,0,0,1,8,0,1,0,0,7,0,0,0,13630,7875,5755,5519,5301,20,46,109,1,42,236,199,11,109,19,0,59,0,0,0,0,0,0,0,1,0,0,28,0,3,1,0,4,0,0,12,0,0,0,0,0,1,0,0,6,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,6735,6228,507,342,113,29,0,49,35,229,0,0,229
0500000US53003,7319.0,4250.0,260.0,22285,20813,19858,116,299,206,34,300,1472,1378,105,569,143,40,495,11,0,3,1,2,2,3,3,1,0,78,28,14,7,5,3,2,9,3,0,0,1,0,4,1,1,0,0,0,0,0,16,3,0,2,3,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22285,915,21370,20176,19473,113,262,206,34,88,1194,1120,101,547,143,40,269,11,0,3,1,2,0,0,3,0,0,60,25,14,7,5,3,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,14,3,0,2,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17729,16816,16099,81,215,169,31,221,913,876,46,384,64,19,351,8,0,3,1,0,0,0,0,0,0,34,10,3,0,0,3,2,7,3,0,0,1,0,4,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17729,546,17183,16430,15883,78,196,169,31,73,753,731,46,372,64,19,218,8,0,3,1,0,0,0,0,0,0,21,10,3,0,0,3,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10034,9349,685,248,208,24,0,184,0,40,0,0,40
0500000US53005,60361.0,38704.0,2706.0,206823,182678,146057,2891,2052,6391,607,24680,24145,22912,1579,3989,2290,267,14090,75,32,18,166,21,2,190,86,99,8,1115,196,63,11,106,104,21,361,154,78,7,0,0,7,3,0,0,3,0,1,0,107,10,4,24,8,1,1,24,22,0,9,0,0,0,1,3,10,2,7,1,0,0,0,1,1,206823,49331,157492,147318,135688,2619,1191,6238,536,1046,10174,9603,1350,3578,2124,250,2004,55,29,18,39,18,2,12,80,37,7,536,161,51,10,18,85,20,21,145,16,1,0,0,7,0,0,0,0,0,1,0,33,5,0,2,6,0,0,17,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,152597,137997,113094,1986,1535,4940,404,16038,14600,14018,658,2863,1099,130,8827,42,17,7,89,14,0,147,68,56,1,523,93,19,3,30,43,13,201,84,27,1,0,0,6,2,0,0,0,0,1,0,51,5,4,18,2,0,0,8,11,0,0,0,0,0,0,3,7,1,5,1,0,0,0,1,1,152597,30192,122405,116034,107304,1876,936,4864,347,707,6371,6083,611,2646,1038,123,1461,39,17,7,31,11,0,12,62,25,0,276,89,15,3,11,36,13,9,81,11,1,0,0,6,0,0,0,0,0,1,0,11,0,0,1,2,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80050,76344,3706,1242,838,338,19,472,9,404,0,0,404
0500000US53007,22746.0,19349.0,709.0,79063,70577,55283,296,817,809,124,13248,8486,8175,243,1290,537,121,5715,13,3,10,40,9,7,105,34,37,11,281,44,9,1,12,16,17,126,30,12,0,4,1,2,1,4,0,2,0,0,0,20,3,1,4,0,3,1,6,0,2,0,0,0,0,0,0,3,0,0,0,0,3,0,7,7,79063,22100,56963,54025,52087,253,408,787,109,381,2938,2822,222,1151,515,117,761,7,3,6,0,3,2,0,22,13,0,108,39,9,1,1,16,9,6,18,0,0,4,1,1,1,2,0,0,0,0,0,6,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,61399,55815,45412,201,601,647,97,8857,5584,5390,112,975,267,69,3773,7,3,6,25,3,6,85,30,18,11,176,28,4,1,6,10,11,80,26,3,0,4,1,1,0,1,0,0,0,0,0,15,3,0,4,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,61399,14303,47096,45032,43529,182,337,633,89,262,2064,1988,106,900,266,69,604,7,3,2,0,3,1,0,22,5,0,69,24,4,1,0,10,3,6,16,0,0,4,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,37260,30295,6965,1654,825,247,15,563,0,829,0,0,829
0500000US53009,23062.0,24721.0,894.0,77142,70456,62440,615,4346,1263,119,1673,6686,6234,439,2453,655,135,2259,70,14,6,24,46,17,20,75,19,2,402,95,13,3,22,75,11,76,69,26,3,1,0,3,4,0,0,0,1,0,0,47,13,6,8,7,1,1,4,6,0,0,1,0,0,0,0,3,2,1,0,0,0,0,0,0,77142,4729,72413,67435,61154,571,3931,1234,113,432,4978,4673,402,2263,641,124,1006,63,11,4,15,43,16,1,75,8,1,269,93,9,3,3,61,5,13,65,10,3,1,0,3,0,0,0,0,0,0,0,33,12,6,0,4,1,1,4,5,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,64576,59932,53887,515,3070,1121,106,1233,4644,4386,213,1736,389,94,1747,38,10,6,19,31,9,15,75,4,0,232,54,4,0,10,36,6,62,40,12,3,1,0,2,1,0,0,0,1,0,0,24,10,0,5,2,1,0,0,5,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,64576,3156,61420,57932,53046,497,2839,1095,100,355,3488,3332,209,1644,387,88,836,34,7,4,12,28,8,0,75,0,0,139,53,2,0,1,28,1,12,36,0,3,1,0,2,0,0,0,0,0,0,0,15,9,0,0,0,1,0,0,5,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,37924,34107,3817,1778,1227,872,0,355,0,551,31,96,424
0500000US53011,126303.0,140324.0,5320.0,503311,451040,379827,11396,4835,24274,5306,25402,52271,48303,5323,10061,8233,1308,20851,305,287,57,360,110,34,417,651,194,112,3539,702,282,73,321,327,56,738,742,160,42,5,10,19,30,4,0,7,3,3,15,377,73,11,99,44,9,4,78,18,9,22,5,0,0,4,1,48,37,9,0,0,1,1,4,4,503311,58790,444521,412201,366727,10850,3051,23910,5127,2536,32320,29968,4905,9062,7756,1204,5426,241,269,55,129,90,30,23,618,80,80,2116,580,258,66,82,268,49,66,658,42,5,2,9,0,21,2,0,3,1,0,4,205,53,11,27,38,2,0,58,6,1,3,5,0,0,0,1,31,29,0,0,0,1,1,0,0,385835,353460,300790,8492,3759,19661,3573,17185,32375,30293,2404,7457,4130,705,13916,209,165,29,227,69,12,292,515,100,63,1852,365,98,20,151,170,26,481,396,76,20,2,1,13,11,4,0,0,0,3,15,196,47,11,60,19,0,1,26,10,2,14,5,0,0,0,1,30,20,9,0,0,1,0,4,4,385835,37097,348738,328539,293122,8190,2477,19425,3480,1845,20199,18991,2291,6894,3953,663,4070,172,152,27,88,63,12,16,496,42,52,1087,317,93,20,45,141,25,41,361,26,5,1,0,0,6,2,0,0,0,0,4,105,28,11,17,17,0,0,22,0,1,3,5,0,0,0,1,16,15,0,0,0,1,0,0,0,195036,187188,7848,3761,1818,769,0,948,101,1943,148,0,1795
0500000US53013,1754.0,668.0,50.99999999999999,3952,3645,3442,11,50,23,1,118,307,275,8,96,14,9,140,0,0,0,0,0,2,2,3,0,1,22,1,5,6,4,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,5,1,0,0,1,3,0,0,0,3952,304,3648,3433,3347,6,41,21,0,18,215,196,8,91,13,7,72,0,0,0,0,0,0,2,3,0,0,16,1,3,6,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3277,3058,2896,7,35,23,1,96,219,193,7,70,4,7,102,0,0,0,0,0,0,1,2,0,0,18,0,3,6,4,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,0,1,3,0,0,0,3277,210,3067,2907,2837,5,27,21,0,17,160,145,7,66,4,7,58,0,0,0,0,0,0,1,2,0,0,14,0,3,6,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2190,1765,425,70,35,0,0,35,0,35,0,0,35
0500000US53015,34424.0,23938.0,1274.0,110730,100536,90812,820,1720,1772,668,4744,10194,9542,743,3457,832,194,4052,32,10,7,32,10,12,81,46,25,9,548,146,32,4,21,72,13,124,81,28,1,2,2,2,0,5,0,7,8,0,0,93,11,3,22,10,1,5,30,0,4,7,0,0,0,0,0,11,1,0,4,6,0,0,0,0,110730,10802,99928,93071,88067,746,1409,1721,643,485,6857,6464,676,3205,794,191,1455,32,10,7,9,9,11,5,45,15,0,343,131,25,4,3,58,11,14,74,7,0,0,2,2,0,5,0,7,0,0,0,49,11,3,1,10,0,0,20,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,85596,79072,72143,605,1324,1420,438,3142,6524,6198,327,2510,430,110,2648,21,5,2,23,5,7,48,44,14,4,274,65,17,4,10,31,5,69,44,19,0,0,2,2,0,0,0,6,0,0,0,51,7,3,11,4,1,5,14,0,4,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,85596,6484,79112,74499,70655,566,1100,1388,421,369,4613,4406,306,2372,426,109,1093,21,5,2,9,4,7,0,44,8,0,173,61,11,4,3,27,3,5,42,7,0,0,2,2,0,0,0,6,0,0,0,33,7,3,1,4,0,0,14,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,45424,42787,2637,928,592,192,25,375,0,336,0,0,336
0500000US53017,12955.0,7811.0,334.99999999999994,42938,36824,27842,150,673,412,62,7685,6114,5888,131,785,326,44,4412,10,8,5,18,16,0,97,15,10,11,192,18,14,4,23,23,8,85,5,11,0,0,0,0,0,0,0,0,0,0,1,33,0,0,7,0,0,0,8,8,2,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,42938,14637,28301,26564,25445,117,338,406,55,203,1737,1663,124,701,303,44,433,10,6,5,8,10,0,1,15,1,2,71,16,12,4,5,18,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32199,28358,22276,112,467,337,43,5123,3841,3723,53,582,152,28,2786,6,6,5,2,10,0,60,15,7,11,95,4,3,0,7,11,7,54,4,4,0,0,0,0,0,0,0,0,0,0,1,22,0,0,3,0,0,0,3,8,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,32199,9290,22909,21731,20894,88,248,333,36,132,1178,1145,53,540,149,28,332,6,6,5,0,7,0,1,15,1,2,30,4,1,0,5,6,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17318,15415,1903,592,93,0,20,73,0,499,0,0,499
0500000US53019,2771.0,1486.0,75.99999999999999,7178,6602,5118,28,1309,46,11,90,576,516,26,278,25,0,160,1,3,3,3,9,0,1,7,0,0,45,10,3,4,2,12,2,0,4,6,1,0,0,0,1,0,0,0,0,0,0,10,1,0,6,1,0,1,0,1,0,0,0,0,0,0,0,5,0,1,4,0,0,0,0,0,7178,210,6968,6460,5056,21,1293,43,11,36,508,465,25,276,24,0,121,1,2,1,1,7,0,0,7,0,0,29,10,3,4,0,7,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,9,1,0,5,1,0,1,0,1,0,0,0,0,0,0,0,5,0,1,4,0,0,0,0,0,5831,5425,4352,28,908,44,11,82,406,375,15,208,12,0,124,1,0,2,3,2,0,1,7,0,0,25,9,3,3,0,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5831,154,5677,5311,4314,21,892,41,11,32,366,339,15,208,11,0,96,1,0,0,1,0,0,0,7,0,0,21,9,3,3,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4059,3140,919,122,53,23,0,19,11,69,0,0,69
