GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US55001,20654,603,17644,570,1180,553,5966.0,215.99999999999994,3745.0
0500000US55003,16027,112,12586,82,226,219,3302.12285012285,193.9557739557739,4225.214987714988
0500000US55005,46711,819,36847,541,1189,782,13614.0,726.9999999999999,7889.0
0500000US55007,16220,59,13450,35,102,164,4124.87714987715,197.044226044226,4953.785012285012
0500000US55009,268552,8404,205958,5763,12859,16006,67213.91990846682,4985.176201372998,53383.2585812357
0500000US55011,13317,43,10554,29,87,195,4038.5359477124184,217.77647058823527,2518.3490196078433
0500000US55013,16526,65,13642,52,161,154,5410.0,235.99999999999997,2949.0
0500000US55015,52442,444,39712,279,674,1675,15367.0,1054.0,9642.0
0500000US55017,66297,1075,51536,928,1992,823,17916.0,1219.0,11887.0
0500000US55019,34659,119,24688,67,203,1214,8653.176282051281,455.11217948717945,4221.413461538462
0500000US55021,58490,905,46137,767,1682,1351,14163.0,1092.0,13528.0
0500000US55023,16113,269,12817,256,546,203,3836.0,276.99999999999994,3419.0
0500000US55025,561504,30473,448406,21138,46793,27787,71274.0,10541.0,217692.0
0500000US55027,89396,2766,71608,2519,5245,3505,26450.0,1526.0,13866.0
0500000US55029,30048,145,25287,94,275,711,8579.0,558.0,8013.0
0500000US55031,44295,583,35640,416,1004,467,9661.0,723.9999999999999,11357.0
0500000US55033,45440,404,36191,306,765,665,11486.0,1093.0,9034.0
0500000US55035,105710,1255,83793,900,2216,1951,23331.0,2504.0,27338.0
0500000US55037,4558,9,3848,7,16,36,1898.0,63.99999999999999,665.0
0500000US55039,104154,2416,82059,1602,3574,4230,31022.0,1909.0,17387.0
0500000US55041,9179,32,7302,25,78,73,2787.0,83.99999999999997,1579.0
0500000US55043,51938,684,40847,534,1157,856,12350.0,1164.0,10051.0
0500000US55045,37093,212,28864,128,325,878,8679.0,685.0,9106.0
0500000US55047,19018,117,15013,85,212,586,6216.0,276.0,2693.0
0500000US55049,23709,114,18441,73,206,302,4809.0,455.99999999999994,6669.0
0500000US55051,6137,16,5255,13,31,40,2081.0,69.99999999999999,1275.0
0500000US55053,21145,442,16416,398,840,446,4905.557692307692,299.98076923076917,3817.9615384615386
0500000US55055,84900,888,66349,618,1467,4323,23417.0,1662.0,16569.0
0500000US55057,26718,560,21387,511,1083,460,7130.442307692308,277.0192307692307,4073.0384615384614
0500000US55059,169151,12082,131452,8450,18256,15721,36033.20547945205,2732.876712328767,35795.109589041094
0500000US55061,20563,60,16113,46,116,490,6618.0,349.0,3627.0
0500000US55063,120784,1994,96611,1406,3494,2089,26378.0,2673.0,32406.0
0500000US55065,16611,28,12491,21,77,657,3977.0,237.99999999999997,3288.0
0500000US55067,19491,105,15647,50,137,251,6478.0,278.0,3250.0
0500000US55069,28415,158,23017,51,166,321,8401.0,596.0,5371.0
0500000US55071,81359,1070,64596,689,1589,2380,23244.0,1562.0,14538.0
0500000US55073,138013,1192,106877,810,2008,2584,39010.46092725104,2327.8738670244484,26478.437701252235
0500000US55075,41872,201,33918,133,348,700,13122.0,523.9999999999999,6409.0
0500000US55077,15592,46,12550,32,90,277,4709.0,187.99999999999997,2808.0
0500000US55078,4255,2,2893,2,19,81,267.0,11.999999999999984,1002.0
0500000US55079,939486,245863,720443,171562,354584,99822,126069.0,13590.0,288822.0
0500000US55081,46274,649,34674,463,1047,1445,11355.0,707.0,7049.0
0500000US55083,38965,92,31009,68,180,491,13341.08009153318,589.8237986270022,5938.741418764302
0500000US55085,37845,213,31461,152,369,365,12132.0,751.0,8109.0
0500000US55087,190705,3053,146186,2060,4717,5740,49854.0,3931.0,38047.0
0500000US55089,91503,1524,71843,1112,2518,1867,30464.0,2111.0,20170.0
0500000US55091,7318,24,5705,21,51,96,2206.0,115.99999999999999,1344.0
0500000US55093,42212,406,33381,315,801,832,11272.0,1052.0,8399.0
0500000US55095,44977,182,35567,107,309,591,13810.0,885.0,7565.0
0500000US55097,70377,945,56525,693,1589,1715,17303.0,1493.0,18525.0
0500000US55099,14054,33,11566,19,52,105,4559.0,197.99999999999997,2667.0
0500000US55101,197727,23303,153051,16366,34551,17456,46681.0,3253.0,42641.0
0500000US55103,17304,96,13369,46,124,312,4013.0,242.99999999999997,3569.0
0500000US55105,163687,8311,126282,5741,12610,9544,31493.0,2859.0,39339.0
0500000US55107,14188,45,11302,34,82,164,4564.0,196.99999999999997,2171.0
0500000US55109,93536,653,70347,457,1185,1636,26222.0,2337.0,17482.0
0500000US55111,65763,622,51197,448,1077,2589,14799.0,1103.0,14690.0
0500000US55113,18074,101,14724,72,189,223,5192.11724137931,210.0965517241379,3505.906896551724
0500000US55115,40881,126,32157,84,273,693,12768.362790697674,614.0139534883721,6068.148837209303
0500000US55117,118034,2539,92434,1808,3986,5355,32514.0,2378.0,23000.0
0500000US55119,19913,67,15126,41,98,331,6579.0,294.99999999999994,2393.0
0500000US55121,30760,105,23150,63,178,2158,7375.464052287582,388.2235294117647,5642.650980392157
0500000US55123,30714,127,22734,93,231,300,7004.0,430.99999999999994,6372.0
0500000US55125,23047,58,19453,49,147,264,8166.0,339.99999999999994,4770.0
0500000US55127,106478,1223,84970,905,2123,8107,28863.794520547945,2115.123287671233,18708.890410958906
0500000US55129,16623,34,13612,23,66,179,5428.88275862069,271.90344827586205,3279.093103448276
0500000US55131,136761,1753,107030,1139,2624,2966,51738.0,2747.0,20852.0
0500000US55133,406978,6852,318193,4661,10594,13630,142538.0,8897.0,79223.0
0500000US55135,51812,211,41368,166,409,1140,16209.0,801.0,8451.0
0500000US55137,24520,397,20060,373,788,1085,7667.0,325.99999999999994,3791.0
0500000US55139,171730,5099,136202,3661,7950,5265,43445.0,3818.0,37047.0
0500000US55141,74207,579,58544,381,970,1393,21498.0,1365.0,14225.0
