GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US56001,7602.0,6890.0,1391.0,37066,34092,30918,432,397,1041,37,1267,2974,2831,230,674,389,28,1459,3,5,1,10,3,2,17,7,3,0,135,17,14,7,12,8,2,48,12,13,0,0,0,0,0,0,0,0,2,0,0,7,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,37066,3910,33156,31496,29584,384,282,1028,30,188,1660,1602,207,577,369,28,389,1,5,1,10,0,2,6,7,0,0,56,10,14,4,3,5,2,10,6,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30852,28666,26136,348,292,892,29,969,2186,2084,121,512,277,15,1119,0,5,1,7,2,2,14,6,3,0,96,4,14,4,9,8,0,40,5,10,0,0,0,0,0,0,0,0,2,0,0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,30852,2862,27990,26768,25190,321,204,879,24,150,1222,1179,112,448,261,15,318,0,5,1,7,0,2,4,6,0,0,42,4,14,4,1,5,0,7,5,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18494,15993,2501,2622,216,52,33,131,0,2406,2309,0,97
0500000US56003,4067.0,604.0,241.99999999999997,11521,10821,10271,22,154,50,9,315,700,668,19,183,43,0,404,1,0,0,2,0,0,12,3,1,0,28,5,1,5,0,1,1,7,6,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11521,1069,10452,10098,9884,22,98,44,6,44,354,333,19,172,37,0,99,1,0,0,0,0,0,1,3,1,0,18,5,1,5,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8627,8189,7797,10,109,39,9,225,438,418,6,134,23,0,242,1,0,0,1,0,0,7,3,1,0,20,5,1,5,0,0,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8627,642,7985,7743,7596,10,72,33,6,26,242,225,6,134,17,0,63,1,0,0,0,0,0,0,3,1,0,17,5,1,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5327,4493,834,273,273,100,4,169,0,0,0,0,0
0500000US56005,15778.0,1324.0,653.0,47026,43979,40762,239,626,330,25,1997,3047,2929,200,1043,207,20,1415,13,0,0,8,1,3,13,0,4,2,92,20,6,0,5,3,1,39,6,0,4,0,0,8,0,0,0,0,0,0,0,22,4,4,9,0,3,0,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,47026,4283,42743,40862,39601,219,509,320,25,188,1881,1840,180,971,201,20,452,8,0,0,7,1,0,0,0,0,0,28,9,6,0,3,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,2,0,3,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,33847,32052,29915,164,416,252,18,1287,1795,1736,71,658,75,8,889,10,0,0,5,1,0,13,0,4,2,45,7,6,0,2,1,1,22,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,33847,2526,31321,30183,29288,156,343,248,18,130,1138,1112,71,622,75,8,323,8,0,0,4,1,0,0,0,0,0,21,7,6,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816,17822,1994,521,371,223,12,132,4,150,57,0,93
0500000US56007,4409.0,1279.0,380.99999999999994,14537,13285,11957,140,195,93,16,884,1252,1218,61,260,41,2,819,0,1,0,4,5,0,12,10,3,0,33,1,0,0,7,6,0,8,1,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14537,2600,11937,11455,11006,130,155,89,15,60,482,470,61,221,40,2,132,0,1,0,0,5,0,0,5,3,0,11,1,0,0,0,6,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11221,10376,9398,113,164,79,9,613,845,821,25,181,15,2,577,0,0,0,4,5,0,4,8,0,0,23,1,0,0,6,6,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11221,1770,9451,9140,8782,107,126,75,8,42,311,302,25,156,14,2,97,0,0,0,0,5,0,0,3,0,0,8,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8157,5921,2236,607,599,538,0,61,0,8,0,0,8
0500000US56009,5520.0,668.0,250.99999999999997,13751,12922,12366,41,90,55,3,367,829,791,46,212,47,3,460,3,0,0,1,0,0,15,3,1,0,27,8,0,0,0,1,0,9,8,0,0,0,0,0,0,1,0,0,0,0,0,11,3,1,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13751,1062,12689,12203,11996,39,72,55,0,41,486,468,44,203,44,3,164,3,0,0,0,0,0,3,3,1,0,17,8,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10331,9810,9403,22,68,55,3,259,521,505,21,152,22,0,291,0,0,0,1,0,0,14,3,1,0,8,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10331,668,9663,9355,9199,22,54,55,0,25,308,307,21,152,22,0,105,0,0,0,0,0,0,3,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6612,5693,919,102,97,32,6,59,0,5,0,0,5
0500000US56011,3348.0,273.0,117.99999999999999,7181,6908,6792,0,54,11,7,44,273,244,16,93,5,4,111,0,0,0,1,3,1,4,0,6,0,27,6,0,0,2,5,5,3,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,7181,112,7069,6841,6766,0,43,9,7,16,228,206,15,93,5,4,81,0,0,0,1,3,1,3,0,0,0,20,6,0,0,2,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,5432,5229,5147,0,32,11,2,37,203,183,10,80,1,4,77,0,0,0,1,1,0,3,0,6,0,20,6,0,0,0,3,5,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5432,85,5347,5179,5122,0,30,9,2,16,168,150,10,80,1,4,50,0,0,0,1,1,0,3,0,0,0,18,6,0,0,0,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3672,2943,729,27,22,0,0,22,0,5,0,0,5
0500000US56013,11167.0,4200.0,773.0,39234,36541,27238,192,8190,217,11,693,2693,2518,107,1290,128,38,820,38,4,4,13,6,8,48,9,1,4,148,30,3,9,0,15,3,44,12,7,0,3,0,7,0,3,5,2,5,0,0,20,4,0,2,4,0,4,3,2,0,1,0,0,0,0,0,7,2,2,0,0,1,2,0,0,39234,2421,36813,34898,26586,166,7798,205,7,136,1915,1822,103,1177,118,38,315,37,2,2,0,5,8,5,8,0,4,77,20,1,9,0,10,0,5,11,7,0,3,0,7,0,0,2,2,0,0,0,13,4,0,0,4,0,0,2,2,0,1,0,0,0,0,0,3,0,2,0,0,1,0,0,0,29597,27916,21918,152,5134,178,3,531,1681,1572,36,787,56,19,599,14,2,3,13,4,4,24,7,1,3,88,8,3,2,0,12,0,30,7,7,0,3,0,3,0,3,3,2,5,0,0,15,3,0,2,4,0,0,3,2,0,1,0,0,0,0,0,6,2,2,0,0,0,2,0,0,29597,1540,28057,26855,21524,138,4919,166,3,105,1202,1148,34,752,53,19,258,14,0,1,0,4,4,0,6,0,3,40,5,1,2,0,10,0,0,7,7,0,3,0,3,0,0,0,2,0,0,0,12,3,0,0,4,0,0,2,2,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,17407,15146,2261,1291,562,339,1,222,0,729,382,0,347
0500000US56015,4418.0,924.0,233.99999999999997,12498,11803,11113,76,111,49,1,453,695,670,29,176,32,0,419,0,4,0,1,0,0,9,0,0,0,23,3,1,0,4,6,0,2,1,2,3,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12498,1212,11286,10942,10695,76,83,46,0,42,344,340,29,167,30,0,109,0,4,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005,9541,8984,72,82,38,0,365,464,452,12,114,15,0,306,0,0,0,1,0,0,4,0,0,0,11,3,1,0,0,0,0,2,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005,842,9163,8931,8725,72,68,36,0,30,232,231,12,114,15,0,89,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5853,5057,796,1075,759,601,43,115,0,316,289,0,27
0500000US56017,1939.0,400.0,136.0,4621,4337,4219,13,51,18,3,33,284,247,33,104,11,1,85,2,0,1,0,1,2,4,0,1,2,25,7,3,2,0,3,2,1,0,2,2,0,0,2,0,0,0,1,0,0,0,12,3,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4621,177,4444,4230,4142,9,42,18,3,16,214,194,25,102,11,1,48,1,0,1,0,0,2,0,0,1,2,14,1,2,2,0,3,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3653,3454,3365,6,40,18,0,25,199,178,18,74,11,1,65,0,0,1,0,1,2,2,0,1,2,15,6,3,0,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3653,98,3555,3400,3332,6,31,18,0,13,155,143,18,72,11,1,35,0,0,1,0,0,2,0,0,1,2,6,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2551,2034,517,107,94,11,12,71,0,13,0,0,13
0500000US56019,3477.0,638.0,173.99999999999997,8447,8007,7771,26,74,15,7,114,440,404,24,134,26,2,210,0,0,0,1,0,0,5,0,2,0,33,4,0,3,2,8,0,12,0,2,0,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8447,347,8100,7785,7640,26,69,15,7,28,315,298,22,121,24,2,127,0,0,0,0,0,0,0,0,2,0,17,4,0,2,0,8,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6680,6379,6210,15,54,15,6,79,301,274,10,103,19,2,137,0,0,0,1,0,0,2,0,0,0,26,2,0,2,2,6,0,11,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6680,223,6457,6231,6123,15,50,15,6,22,226,214,10,98,17,2,87,0,0,0,0,0,0,0,0,0,0,12,2,0,2,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4598,3718,880,148,72,19,0,53,0,76,0,0,76
