GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US56001,37066,432,30852,348,861,2862,7602.0,1391.0,6890.0
0500000US56003,11521,22,8627,10,40,642,4067.0,241.99999999999997,604.0
0500000US56005,47026,239,33847,164,429,2526,15778.0,653.0,1324.0
0500000US56007,14537,140,11221,113,262,1770,4409.0,380.99999999999994,1279.0
0500000US56009,13751,41,10331,22,67,668,5520.0,250.99999999999997,668.0
0500000US56011,7181,0,5432,0,17,85,3348.0,117.99999999999999,273.0
0500000US56013,39234,192,29597,152,397,1540,11167.0,773.0,4200.0
0500000US56015,12498,76,10005,72,162,842,4418.0,233.99999999999997,924.0
0500000US56017,4621,13,3653,6,42,98,1939.0,136.0,400.0
0500000US56019,8447,26,6680,15,47,223,3477.0,173.99999999999997,638.0
0500000US56021,100512,2472,77134,1855,4343,10266,24847.0,2657.0,11573.0
0500000US56023,19581,40,14460,21,66,620,6779.0,331.0,1105.0
0500000US56025,79955,791,60437,576,1481,4444,23552.0,1791.0,6577.0
0500000US56027,2467,6,2033,5,18,56,1116.0,48.99999999999999,115.0
0500000US56029,29624,61,23541,48,149,1106,11115.0,625.0,2535.0
0500000US56031,8605,19,6889,1,25,460,3437.0,179.99999999999997,719.0
0500000US56033,30921,115,24303,85,252,891,10266.0,729.0,2927.0
0500000US56035,8728,18,6609,16,49,386,3409.0,168.99999999999997,644.0
0500000US56037,42272,366,31070,271,677,4412,12154.0,928.0,3231.0
0500000US56039,23331,55,18755,50,143,2166,3921.0,701.0,7314.0
0500000US56041,20450,66,14627,36,123,1215,6154.0,472.0,1202.0
0500000US56043,7685,12,5846,5,27,662,2911.0,194.0,532.0
0500000US56045,6838,30,5388,24,61,213,3033.0,107.99999999999999,299.0
