GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US02013,3420,297,3120,297,604,658,55.2450437,-161.9974772
0500000US02016,5232,259,4579,259,553,583,51.9594469,178.338813
0500000US02020,291247,14576,222915,11298,26173,17777,61.1742503,-149.2843294
0500000US02050,18666,85,12130,78,199,144,60.9291413,-160.1526246
0500000US02060,844,6,658,3,15,25,58.741661,-156.9668053
0500000US02063,7102,49,5456,44,109,259,60.4884737,-146.2030924
0500000US02066,2617,8,2031,7,24,49,62.034479,-143.9221674
0500000US02068,1619,11,1291,10,22,28,63.6820386,-150.0270164
0500000US02070,4857,25,3319,24,83,87,59.5433255,-158.2671226
0500000US02090,95655,4014,72748,3157,7238,5007,64.6760436,-146.5481586
0500000US02100,2080,2,1702,1,8,56,59.0984037,-135.5757906
0500000US02105,2365,6,1845,6,36,67,58.403336,-135.884909
0500000US02110,32255,350,25367,286,790,1392,58.3729099,-134.1784454
0500000US02122,58799,386,45987,331,897,1501,60.360766,-152.0526403
0500000US02130,13948,103,10855,82,238,427,55.4499378,-131.1066847
0500000US02150,13101,90,9874,77,207,683,57.7044003,-153.9183721
0500000US02158,8368,16,4947,15,43,11,62.2835878,-163.1901714
0500000US02164,1476,2,1025,2,7,20,58.1085067,-156.4134134
0500000US02170,107081,1121,78081,889,2324,3062,62.2656263,-149.5039935
0500000US02180,10046,55,6751,42,99,123,64.7836858,-164.1889119
0500000US02185,11031,162,8179,154,346,477,69.4493427,-153.4728302
0500000US02188,7793,72,4986,66,154,69,67.0050655,-160.0210864
0500000US02195,3398,49,2685,37,90,102,57.1124581,-133.0085979
0500000US02198,5753,22,4383,22,74,93,55.6827733,-133.1623885
0500000US02220,8458,37,6714,35,119,347,57.1932044,-135.3673965
0500000US02230,1240,10,993,8,19,33,59.5603794,-135.3382787
0500000US02240,6808,74,5223,61,142,257,63.8649972,-143.2186282
0500000US02275,2127,0,1707,0,11,49,56.1807793,-132.0267878
0500000US02282,662,4,534,2,5,18,60.0174528,-140.416942
0500000US02290,5343,7,3918,4,20,37,65.3757271,-151.5778496
